02/06/2015 08:58 - HEITOR | COD_FUNCAO = 2049 | CD_CCUSTO = 1.01.01.001
02/06/2015 08:58 - HEITOR | COD_FUNCAO = 2049 | CD_CCUSTO = 1.01.05.001
02/06/2015 08:58 - HEITOR | COD_FUNCAO = 2049 | CD_CCUSTO = 1.01.05.004
02/06/2015 08:58 - HEITOR | COD_FUNCAO = 2049 | CD_CCUSTO = 1.01.07.004
02/06/2015 08:58 - HEITOR | COD_FUNCAO = 2049 | CD_CCUSTO = 1.01.07.005
02/06/2015 08:58 - HEITOR | COD_FUNCAO = 2049 | CD_CCUSTO = 1.01.10.007
02/06/2015 08:58 - HEITOR | COD_FUNCAO = 2049 | CD_CCUSTO = 1.01.10.008
02/06/2015 08:58 - HEITOR | COD_FUNCAO = 2049 | CD_CCUSTO = 1.02.03.003
02/06/2015 09:01 - HEITOR | COD_FUNCAO = 2027 | CD_CCUSTO = 1.01.01.001
02/06/2015 09:01 - HEITOR | COD_FUNCAO = 2027 | CD_CCUSTO = 1.01.05.001
02/06/2015 09:01 - HEITOR | COD_FUNCAO = 2027 | CD_CCUSTO = 1.01.05.004
02/06/2015 09:01 - HEITOR | COD_FUNCAO = 2027 | CD_CCUSTO = 1.01.05.005
02/06/2015 09:01 - HEITOR | COD_FUNCAO = 2027 | CD_CCUSTO = 1.01.07.003
02/06/2015 09:01 - HEITOR | COD_FUNCAO = 2027 | CD_CCUSTO = 1.01.07.004
02/06/2015 09:01 - HEITOR | COD_FUNCAO = 2027 | CD_CCUSTO = 1.01.07.005
02/06/2015 09:01 - HEITOR | COD_FUNCAO = 2027 | CD_CCUSTO = 1.01.10.004
02/06/2015 09:01 - HEITOR | COD_FUNCAO = 2027 | CD_CCUSTO = 1.01.10.007
02/06/2015 09:01 - HEITOR | COD_FUNCAO = 2027 | CD_CCUSTO = 1.01.10.008
02/06/2015 09:01 - HEITOR | COD_FUNCAO = 2027 | CD_CCUSTO = 1.01.10.012
02/06/2015 09:01 - HEITOR | COD_FUNCAO = 2027 | CD_CCUSTO = 1.01.10.013
02/06/2015 09:01 - HEITOR | COD_FUNCAO = 2027 | CD_CCUSTO = 1.02.03.003
03/06/2015 13:42 - HEITOR | COD_FUNCAO = 2031 | CD_CCUSTO = 3.01.01.010
03/06/2015 13:42 - HEITOR | COD_FUNCAO = 2031 | CD_CCUSTO = 3.01.02.015
03/06/2015 13:42 - HEITOR | COD_FUNCAO = 2031 | CD_CCUSTO = 3.01.02.020
03/06/2015 13:42 - HEITOR | COD_FUNCAO = 2031 | CD_CCUSTO = 3.01.03.008
08/06/2015 08:12 - ALEXANDRE | COD_FUNCAO = 2045 | CD_CCUSTO = 2.01.50.030
08/06/2015 08:12 - ALEXANDRE | COD_FUNCAO = 2045 | CD_CCUSTO = 3.01.01.003
08/06/2015 08:12 - ALEXANDRE | COD_FUNCAO = 2045 | CD_CCUSTO = 3.01.01.004
08/06/2015 08:12 - ALEXANDRE | COD_FUNCAO = 2045 | CD_CCUSTO = 3.01.01.030
08/06/2015 08:12 - ALEXANDRE | COD_FUNCAO = 2045 | CD_CCUSTO = 3.01.01.040
08/06/2015 08:12 - ALEXANDRE | COD_FUNCAO = 2045 | CD_CCUSTO = 3.02.01.007
08/06/2015 08:14 - ALEXANDRE | COD_FUNCAO = 1970 | CD_CCUSTO = 1.02.01.004
08/06/2015 08:14 - ALEXANDRE | COD_FUNCAO = 1970 | CD_CCUSTO = 2.02.01.004
08/06/2015 08:14 - ALEXANDRE | COD_FUNCAO = 1970 | CD_CCUSTO = 3.03.01.004
08/06/2015 08:14 - ALEXANDRE | COD_FUNCAO = 1970 | CD_CCUSTO = 3.03.01.005
08/06/2015 08:14 - ALEXANDRE | COD_FUNCAO = 1970 | CD_CCUSTO = 3.03.01.006
08/06/2015 08:14 - ALEXANDRE | COD_FUNCAO = 1525 | CD_CCUSTO = 1.02.01.004
08/06/2015 08:14 - ALEXANDRE | COD_FUNCAO = 1525 | CD_CCUSTO = 2.02.01.004
08/06/2015 08:14 - ALEXANDRE | COD_FUNCAO = 1525 | CD_CCUSTO = 3.02.01.001
