04/01/2016 14:51 - BIRA | COD_FUNCAO = 2031 | CD_CCUSTO = 1.01.01.025
04/01/2016 14:51 - BIRA | COD_FUNCAO = 2031 | CD_CCUSTO = 1.01.04.001
04/01/2016 14:51 - BIRA | COD_FUNCAO = 2031 | CD_CCUSTO = 1.01.04.002
04/01/2016 14:51 - BIRA | COD_FUNCAO = 2031 | CD_CCUSTO = 3.01.01.002
04/01/2016 14:51 - BIRA | COD_FUNCAO = 2031 | CD_CCUSTO = 3.01.01.010
04/01/2016 14:51 - BIRA | COD_FUNCAO = 2031 | CD_CCUSTO = 3.01.01.025
04/01/2016 14:51 - BIRA | COD_FUNCAO = 2031 | CD_CCUSTO = 3.01.02.015
04/01/2016 14:51 - BIRA | COD_FUNCAO = 2031 | CD_CCUSTO = 3.01.02.020
04/01/2016 14:51 - BIRA | COD_FUNCAO = 2031 | CD_CCUSTO = 3.01.03.008
04/01/2016 14:51 - BIRA | COD_FUNCAO = 2031 | CD_CCUSTO = 3.01.05.005
04/01/2016 14:51 - BIRA | COD_FUNCAO = 2031 | CD_CCUSTO = 3.01.05.010
04/01/2016 14:51 - BIRA | COD_FUNCAO = 2031 | CD_CCUSTO = 3.01.05.015
04/01/2016 15:01 - BIRA | COD_FUNCAO = 2059 | CD_CCUSTO = 3.01.01.025
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.01.01.001
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.01.01.005
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.01.01.010
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.01.01.015
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.01.01.020
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.01.01.025
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.01.02.001
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.01.02.002
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.01.02.003
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.01.02.004
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.01.02.005
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.01.02.006
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.01.03.001
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.01.04.001
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.01.04.002
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.01.05.001
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.01.05.004
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.01.05.005
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.01.05.010
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.01.05.015
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.01.05.025
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.01.07.001
