06/06/2016 09:12 - ALEXANDRE | COD_FUNCAO = 1525 | CD_CCUSTO = 3.02.01.001
06/06/2016 09:12 - ALEXANDRE | COD_FUNCAO = 1525 | CD_CCUSTO = 3.02.01.002
06/06/2016 09:12 - ALEXANDRE | COD_FUNCAO = 1525 | CD_CCUSTO = 3.02.01.003
06/06/2016 09:12 - ALEXANDRE | COD_FUNCAO = 1525 | CD_CCUSTO = 3.02.01.004
06/06/2016 09:12 - ALEXANDRE | COD_FUNCAO = 1525 | CD_CCUSTO = 3.02.01.005
06/06/2016 09:12 - ALEXANDRE | COD_FUNCAO = 1525 | CD_CCUSTO = 3.02.01.006
06/06/2016 09:12 - ALEXANDRE | COD_FUNCAO = 1525 | CD_CCUSTO = 3.02.02.001
06/06/2016 09:12 - ALEXANDRE | COD_FUNCAO = 1525 | CD_CCUSTO = 3.03.01.001
06/06/2016 09:12 - ALEXANDRE | COD_FUNCAO = 1525 | CD_CCUSTO = 3.03.01.002
06/06/2016 09:12 - ALEXANDRE | COD_FUNCAO = 1525 | CD_CCUSTO = 3.03.01.004
06/06/2016 09:12 - ALEXANDRE | COD_FUNCAO = 1525 | CD_CCUSTO = 3.03.01.005
06/06/2016 09:12 - ALEXANDRE | COD_FUNCAO = 1525 | CD_CCUSTO = 3.03.01.006
06/06/2016 09:14 - ALEXANDRE | COD_FUNCAO = 1970 | CD_CCUSTO = 3.03.01.004
06/06/2016 09:14 - ALEXANDRE | COD_FUNCAO = 1970 | CD_CCUSTO = 3.03.01.005
06/06/2016 09:14 - ALEXANDRE | COD_FUNCAO = 1970 | CD_CCUSTO = 3.03.01.006
06/06/2016 09:15 - ALEXANDRE | COD_FUNCAO = 2045 | CD_CCUSTO = 1.02.01.004
06/06/2016 09:15 - ALEXANDRE | COD_FUNCAO = 2045 | CD_CCUSTO = 2.01.50.030
06/06/2016 09:15 - ALEXANDRE | COD_FUNCAO = 2045 | CD_CCUSTO = 2.02.01.004
06/06/2016 09:15 - ALEXANDRE | COD_FUNCAO = 2045 | CD_CCUSTO = 3.01.01.003
06/06/2016 09:15 - ALEXANDRE | COD_FUNCAO = 2045 | CD_CCUSTO = 3.01.01.004
06/06/2016 09:15 - ALEXANDRE | COD_FUNCAO = 2045 | CD_CCUSTO = 3.01.01.030
06/06/2016 09:15 - ALEXANDRE | COD_FUNCAO = 2045 | CD_CCUSTO = 3.01.01.040
06/06/2016 09:15 - ALEXANDRE | COD_FUNCAO = 2045 | CD_CCUSTO = 3.02.01.007
06/06/2016 09:16 - ALEXANDRE | COD_FUNCAO = 2004 | CD_CCUSTO = 1.02.01.004
06/06/2016 09:16 - ALEXANDRE | COD_FUNCAO = 2004 | CD_CCUSTO = 2.01.50.030
06/06/2016 09:16 - ALEXANDRE | COD_FUNCAO = 2004 | CD_CCUSTO = 2.02.01.004
06/06/2016 09:16 - ALEXANDRE | COD_FUNCAO = 2004 | CD_CCUSTO = 3.01.01.004
06/06/2016 09:16 - ALEXANDRE | COD_FUNCAO = 2004 | CD_CCUSTO = 3.01.01.030
06/06/2016 09:16 - ALEXANDRE | COD_FUNCAO = 2004 | CD_CCUSTO = 3.01.01.040
06/06/2016 09:16 - ALEXANDRE | COD_FUNCAO = 2004 | CD_CCUSTO = 3.02.01.007
06/06/2016 10:44 - ALEXANDRE | COD_FUNCAO = 1997 | CD_CCUSTO = 1.02.01.004
06/06/2016 10:44 - ALEXANDRE | COD_FUNCAO = 1997 | CD_CCUSTO = 2.01.50.030
06/06/2016 10:44 - ALEXANDRE | COD_FUNCAO = 1997 | CD_CCUSTO = 2.02.01.004
06/06/2016 10:44 - ALEXANDRE | COD_FUNCAO = 1997 | CD_CCUSTO = 3.01.01.003
06/06/2016 10:44 - ALEXANDRE | COD_FUNCAO = 1997 | CD_CCUSTO = 3.01.01.004
06/06/2016 10:44 - ALEXANDRE | COD_FUNCAO = 1997 | CD_CCUSTO = 3.01.01.030
06/06/2016 10:44 - ALEXANDRE | COD_FUNCAO = 1997 | CD_CCUSTO = 3.01.01.040
06/06/2016 10:44 - ALEXANDRE | COD_FUNCAO = 1997 | CD_CCUSTO = 3.02.01.007
06/06/2016 10:44 - ALEXANDRE | COD_FUNCAO = 1997 | CD_CCUSTO = 3.04.01.001
06/06/2016 10:44 - ALEXANDRE | COD_FUNCAO = 1997 | CD_CCUSTO = 3.04.02.001
06/06/2016 10:44 - ALEXANDRE | COD_FUNCAO = 1997 | CD_CCUSTO = 3.04.02.002
06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.01.001
06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.01.005
06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.01.010
06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.01.015
06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.01.020
06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.02.001
