17/08/2016 10:05 - BIRA | COD_FUNCAO = 2062 | MO = I
17/08/2016 10:07 - BIRA | COD_FUNCAO = 2042 | MO = I
17/08/2016 10:37 - BIRA | COD_FUNCAO = 2042 | MO = I
17/08/2016 10:38 - BIRA | COD_FUNCAO = 2062 | MO = I
17/08/2016 10:40 - BIRA | COD_FUNCAO = 2042 | MO = I
17/08/2016 10:41 - BIRA | COD_FUNCAO = 2062 | MO = I
17/08/2016 10:42 - BIRA | COD_FUNCAO = 2042 | MO = I
17/08/2016 10:43 - BIRA | COD_FUNCAO = 2062 | MO = I
17/08/2016 10:44 - BIRA | COD_FUNCAO = 2042 | MO = I
17/08/2016 10:45 - BIRA | COD_FUNCAO = 2062 | MO = I
17/08/2016 10:46 - BIRA | COD_FUNCAO = 2042 | MO = I
17/08/2016 10:46 - BIRA | COD_FUNCAO = 2062 | MO = I
17/08/2016 10:48 - BIRA | COD_FUNCAO = 2042 | MO = I
17/08/2016 10:49 - BIRA | COD_FUNCAO = 2062 | MO = I
17/08/2016 10:51 - BIRA | COD_FUNCAO = 2042 | MO = I
17/08/2016 10:51 - BIRA | COD_FUNCAO = 2062 | MO = I
17/08/2016 10:53 - BIRA | COD_FUNCAO = 2042 | MO = I
17/08/2016 10:53 - BIRA | COD_FUNCAO = 2062 | MO = I
17/08/2016 10:55 - BIRA | COD_FUNCAO = 2063 | MO = I
17/08/2016 10:56 - BIRA | COD_FUNCAO = 1964 | MO = I
17/08/2016 10:58 - BIRA | COD_FUNCAO = 2063 | MO = I
17/08/2016 10:58 - BIRA | COD_FUNCAO = 1964 | MO = I
17/08/2016 11:02 - BIRA | COD_FUNCAO = 2063 | MO = I
17/08/2016 11:02 - BIRA | COD_FUNCAO = 1964 | MO = I
17/08/2016 11:03 - BIRA | COD_FUNCAO = 2063 | MO = I
17/08/2016 11:04 - BIRA | COD_FUNCAO = 1964 | MO = I
17/08/2016 11:05 - BIRA | COD_FUNCAO = 2063 | MO = I
17/08/2016 11:05 - BIRA | COD_FUNCAO = 1964 | MO = I
17/08/2016 11:06 - BIRA | COD_FUNCAO = 2063 | MO = I
17/08/2016 11:07 - BIRA | COD_FUNCAO = 1964 | MO = I
17/08/2016 11:08 - BIRA | COD_FUNCAO = 2063 | MO = I
17/08/2016 11:08 - BIRA | COD_FUNCAO = 1964 | MO = I
17/08/2016 11:14 - BIRA | COD_FUNCAO = 2042 | MO = I
17/08/2016 11:15 - BIRA | COD_FUNCAO = 1987 | MO = I
17/08/2016 11:15 - BIRA | COD_FUNCAO = 2041 | MO = I
17/08/2016 11:17 - BIRA | COD_FUNCAO = 2042 | MO = I
17/08/2016 11:17 - BIRA | COD_FUNCAO = 1987 | MO = I
17/08/2016 11:17 - BIRA | COD_FUNCAO = 2041 | MO = I
17/08/2016 11:18 - BIRA | COD_FUNCAO = 2042 | MO = I
17/08/2016 11:19 - BIRA | COD_FUNCAO = 1987 | MO = I
17/08/2016 11:19 - BIRA | COD_FUNCAO = 2041 | MO = I
17/08/2016 11:25 - BIRA | COD_FUNCAO = 2063 | MO = I
17/08/2016 15:05 - BIRA | COD_FUNCAO = 1954 | MO = I
17/08/2016 15:06 - BIRA | COD_FUNCAO = 2066 | MO = I
17/08/2016 15:19 - BIRA | COD_FUNCAO = 2003 | MO = I
17/08/2016 15:20 - BIRA | COD_FUNCAO = 2027 | MO = I
17/08/2016 15:21 - BIRA | COD_FUNCAO = 1954 | MO = I
17/08/2016 15:21 - BIRA | COD_FUNCAO = 2066 | MO = I
17/08/2016 15:22 - BIRA | COD_FUNCAO = 1954 | MO = I
17/08/2016 15:23 - BIRA | COD_FUNCAO = 2066 | MO = I
17/08/2016 15:24 - BIRA | COD_FUNCAO = 1954 | MO = I
17/08/2016 15:24 - BIRA | COD_FUNCAO = 2066 | MO = I
