18/08/2015 17:02 - HEITOR | COD_FUNCAO = 2042 | PROCESSOS_ID = 36
18/08/2015 17:02 - HEITOR | COD_FUNCAO = 2042 | PROCESSOS_ID = 37
18/08/2015 17:02 - HEITOR | COD_FUNCAO = 2042 | PROCESSOS_ID = 38
18/08/2015 17:02 - HEITOR | COD_FUNCAO = 2042 | PROCESSOS_ID = 40
18/08/2015 17:02 - HEITOR | COD_FUNCAO = 2042 | PROCESSOS_ID = 41
18/08/2015 17:02 - HEITOR | COD_FUNCAO = 2042 | PROCESSOS_ID = 42
18/08/2015 17:02 - HEITOR | COD_FUNCAO = 2042 | PROCESSOS_ID = 43
18/08/2015 17:02 - HEITOR | COD_FUNCAO = 2042 | PROCESSOS_ID = 44
18/08/2015 17:02 - HEITOR | COD_FUNCAO = 2042 | PROCESSOS_ID = 45
18/08/2015 17:07 - HEITOR | COD_FUNCAO = 2042 | PROCESSOS_ID = 36
18/08/2015 17:07 - HEITOR | COD_FUNCAO = 2042 | PROCESSOS_ID = 37
18/08/2015 17:07 - HEITOR | COD_FUNCAO = 2042 | PROCESSOS_ID = 38
18/08/2015 17:07 - HEITOR | COD_FUNCAO = 2042 | PROCESSOS_ID = 40
18/08/2015 17:07 - HEITOR | COD_FUNCAO = 2042 | PROCESSOS_ID = 41
18/08/2015 17:07 - HEITOR | COD_FUNCAO = 2042 | PROCESSOS_ID = 42
18/08/2015 17:07 - HEITOR | COD_FUNCAO = 2042 | PROCESSOS_ID = 43
18/08/2015 17:07 - HEITOR | COD_FUNCAO = 2042 | PROCESSOS_ID = 44
18/08/2015 17:07 - HEITOR | COD_FUNCAO = 2042 | PROCESSOS_ID = 45
