06/06/2016 09:12 - ALEXANDRE | COD_FUNCAO = 1525 | PROCESSOS_ID = 115
06/06/2016 09:12 - ALEXANDRE | COD_FUNCAO = 1525 | PROCESSOS_ID = 125
06/06/2016 09:12 - ALEXANDRE | COD_FUNCAO = 1525 | PROCESSOS_ID = 126
06/06/2016 09:12 - ALEXANDRE | COD_FUNCAO = 1525 | PROCESSOS_ID = 127
06/06/2016 09:12 - ALEXANDRE | COD_FUNCAO = 1525 | PROCESSOS_ID = 128
06/06/2016 09:12 - ALEXANDRE | COD_FUNCAO = 1525 | PROCESSOS_ID = 129
06/06/2016 09:12 - ALEXANDRE | COD_FUNCAO = 1525 | PROCESSOS_ID = 130
06/06/2016 09:12 - ALEXANDRE | COD_FUNCAO = 1525 | PROCESSOS_ID = 131
06/06/2016 09:14 - ALEXANDRE | COD_FUNCAO = 1970 | PROCESSOS_ID = 225
06/06/2016 09:15 - ALEXANDRE | COD_FUNCAO = 2045 | PROCESSOS_ID = 15
06/06/2016 09:15 - ALEXANDRE | COD_FUNCAO = 2045 | PROCESSOS_ID = 150
06/06/2016 09:15 - ALEXANDRE | COD_FUNCAO = 2045 | PROCESSOS_ID = 151
06/06/2016 09:15 - ALEXANDRE | COD_FUNCAO = 2045 | PROCESSOS_ID = 152
06/06/2016 09:15 - ALEXANDRE | COD_FUNCAO = 2045 | PROCESSOS_ID = 153
06/06/2016 09:15 - ALEXANDRE | COD_FUNCAO = 2045 | PROCESSOS_ID = 154
06/06/2016 09:15 - ALEXANDRE | COD_FUNCAO = 2045 | PROCESSOS_ID = 156
06/06/2016 09:15 - ALEXANDRE | COD_FUNCAO = 2045 | PROCESSOS_ID = 157
06/06/2016 09:15 - ALEXANDRE | COD_FUNCAO = 2045 | PROCESSOS_ID = 158
06/06/2016 09:15 - ALEXANDRE | COD_FUNCAO = 2045 | PROCESSOS_ID = 161
06/06/2016 09:15 - ALEXANDRE | COD_FUNCAO = 2045 | PROCESSOS_ID = 173
06/06/2016 09:16 - ALEXANDRE | COD_FUNCAO = 2004 | PROCESSOS_ID = 151
06/06/2016 09:16 - ALEXANDRE | COD_FUNCAO = 2004 | PROCESSOS_ID = 152
06/06/2016 09:16 - ALEXANDRE | COD_FUNCAO = 2004 | PROCESSOS_ID = 153
06/06/2016 09:16 - ALEXANDRE | COD_FUNCAO = 2004 | PROCESSOS_ID = 154
06/06/2016 09:16 - ALEXANDRE | COD_FUNCAO = 2004 | PROCESSOS_ID = 156
06/06/2016 09:16 - ALEXANDRE | COD_FUNCAO = 2004 | PROCESSOS_ID = 157
06/06/2016 09:16 - ALEXANDRE | COD_FUNCAO = 2004 | PROCESSOS_ID = 158
06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | PROCESSOS_ID = 176
06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | PROCESSOS_ID = 177
06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | PROCESSOS_ID = 178
06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | PROCESSOS_ID = 179
