06/09/2016 11:45 - BIRA | COD_FUNCAO = 2027 | PROCESSOS_ID = 66
06/09/2016 11:45 - BIRA | COD_FUNCAO = 2027 | PROCESSOS_ID = 67
06/09/2016 11:45 - BIRA | COD_FUNCAO = 2027 | PROCESSOS_ID = 70
06/09/2016 11:45 - BIRA | COD_FUNCAO = 2027 | PROCESSOS_ID = 72
06/09/2016 11:45 - BIRA | COD_FUNCAO = 2027 | PROCESSOS_ID = 73
06/09/2016 11:45 - BIRA | COD_FUNCAO = 2027 | PROCESSOS_ID = 74
06/09/2016 11:45 - BIRA | COD_FUNCAO = 2027 | PROCESSOS_ID = 75
06/09/2016 11:45 - BIRA | COD_FUNCAO = 2027 | PROCESSOS_ID = 76
06/09/2016 11:45 - BIRA | COD_FUNCAO = 2027 | PROCESSOS_ID = 77
06/09/2016 11:47 - BIRA | COD_FUNCAO = 1954 | PROCESSOS_ID = 78
06/09/2016 11:47 - BIRA | COD_FUNCAO = 1954 | PROCESSOS_ID = 79
06/09/2016 11:47 - BIRA | COD_FUNCAO = 1954 | PROCESSOS_ID = 80
06/09/2016 11:47 - BIRA | COD_FUNCAO = 1954 | PROCESSOS_ID = 81
06/09/2016 11:47 - BIRA | COD_FUNCAO = 1954 | PROCESSOS_ID = 82
06/09/2016 11:47 - BIRA | COD_FUNCAO = 1954 | PROCESSOS_ID = 83
06/09/2016 11:48 - BIRA | COD_FUNCAO = 1999 | PROCESSOS_ID = 176
06/09/2016 11:48 - BIRA | COD_FUNCAO = 1999 | PROCESSOS_ID = 177
06/09/2016 11:48 - BIRA | COD_FUNCAO = 1999 | PROCESSOS_ID = 178
06/09/2016 11:48 - BIRA | COD_FUNCAO = 1999 | PROCESSOS_ID = 179
06/09/2016 11:51 - BIRA | COD_FUNCAO = 1954 | PROCESSOS_ID = 78
06/09/2016 11:51 - BIRA | COD_FUNCAO = 1954 | PROCESSOS_ID = 79
06/09/2016 11:51 - BIRA | COD_FUNCAO = 1954 | PROCESSOS_ID = 80
06/09/2016 11:51 - BIRA | COD_FUNCAO = 1954 | PROCESSOS_ID = 81
06/09/2016 11:51 - BIRA | COD_FUNCAO = 1954 | PROCESSOS_ID = 82
06/09/2016 11:51 - BIRA | COD_FUNCAO = 1954 | PROCESSOS_ID = 83
06/09/2016 11:51 - BIRA | COD_FUNCAO = 2003 | PROCESSOS_ID = 60
06/09/2016 11:51 - BIRA | COD_FUNCAO = 2003 | PROCESSOS_ID = 61
06/09/2016 11:51 - BIRA | COD_FUNCAO = 2003 | PROCESSOS_ID = 62
06/09/2016 11:51 - BIRA | COD_FUNCAO = 2003 | PROCESSOS_ID = 63
06/09/2016 11:51 - BIRA | COD_FUNCAO = 2003 | PROCESSOS_ID = 64
06/09/2016 11:51 - BIRA | COD_FUNCAO = 2003 | PROCESSOS_ID = 65
