01/04/2015 08:46 - FRANCISCO | CI = 11351 | NOME_FISICO = 1427888754-04562600.pdf | NOME_ORIGINAL = CUPOM RON.31-03.pdf | TAMANHO = 593 | DESCRICAO = CUPOM RON.31-03.pdf
01/04/2015 08:50 - FRANCISCO | CI = 11352 | NOME_FISICO = 1427889020-24875100.pdf | NOME_ORIGINAL = CUPOM RON-EST.31-03.pdf | TAMANHO = 187 | DESCRICAO = CUPOM RON-EST.31-03.pdf
01/04/2015 14:51 - RODRIGO_POIT | CI = 11360 | NOME_FISICO = 1427910600-46847800.pdf | NOME_ORIGINAL = ELTON CARLOS PEREIRA DOS SANTOS - PROC. 959-2011 - ATA DE AUDIÊNCIA.pdf | TAMANHO = 93 | DESCRICAO = ELTON CARLOS PEREIRA DOS SANTOS - PROC. 959-2011 - ATA DE AUDIÊNCIA.pdf
01/04/2015 14:57 - RODRIGO_POIT | CI = 11361 | NOME_FISICO = 1427911056-14035200.msg | NOME_ORIGINAL = FERNANDO RODRIGO FRANÇA - PROC. 1180214 - TERMO DE AUDIÊNCIA.msg | TAMANHO = 60 | DESCRICAO = FERNANDO RODRIGO FRANÇA - PROC. 1180214 - TERMO DE AUDIÊNCIA.msg
02/04/2015 13:51 - MARTA | CI = 11374 | NOME_FISICO = 1427993452-81418000.pdf | NOME_ORIGINAL = sindicatos 032015.pdf | TAMANHO = 898 | DESCRICAO = sindicatos março 2015
02/04/2015 14:49 - FRANCISCO | CI = 11375 | NOME_FISICO = 1427996979-82980600.pdf | NOME_ORIGINAL = CUPOM - RON-02-04.pdf | TAMANHO = 211 | DESCRICAO = CUPOM - RON-02-04.pdf
02/04/2015 15:55 - FRANCISCO | CI = 11376 | NOME_FISICO = 1428000915-20480500.pdf | NOME_ORIGINAL = CUPOM-AIRTON-01-04.pdf | TAMANHO = 394 | DESCRICAO = CUPOM-AIRTON-01-04.pdf
06/04/2015 10:51 - TOM | CI = 11383 | NOME_FISICO = 1428328216-78293000.pdf | NOME_ORIGINAL = PEDAGIOS 2.pdf | TAMANHO = 454 | DESCRICAO = PEDAGIOS 2.pdf
06/04/2015 10:51 - TOM | CI = 11383 | NOME_FISICO = 1428328241-29855600.pdf | NOME_ORIGINAL = VIAGENS 1.pdf | TAMANHO = 309 | DESCRICAO = VIAGENS 1.pdf
06/04/2015 11:50 - LUZMARINA | CI = 11388 | NOME_FISICO = 1428331785-26730500.pdf | NOME_ORIGINAL = Danilo Eduardo Batista.pdf | TAMANHO = 653 | DESCRICAO = Danilo Eduardo Batista.pdf
06/04/2015 13:48 - RODRIGO_POIT | CI = 11389 | NOME_FISICO = 1428338916-15793100.pdf | NOME_ORIGINAL = WALTER MARQUES.pdf | TAMANHO = 62 | DESCRICAO = WALTER MARQUES.pdf
06/04/2015 14:07 - TIAGOLIMA | CI = 11391 | NOME_FISICO = 1428340021-34543000.pdf | NOME_ORIGINAL = NF 12.276 Geo Vision.pdf | TAMANHO = 224 | DESCRICAO = NF 12.276 Geo Vision.pdf
06/04/2015 14:07 - TIAGOLIMA | CI = 11391 | NOME_FISICO = 1428340026-68918000.pdf | NOME_ORIGINAL = ISS A PAGAR.pdf | TAMANHO = 1520 | DESCRICAO = ISS A PAGAR.pdf
06/04/2015 15:59 - FRANCISCO | CI = 11392 | NOME_FISICO = 1428346716-34543000.pdf | NOME_ORIGINAL = BOLETO DER - GLERIAN-2.015.pdf | TAMANHO = 426 | DESCRICAO = BOLETO DER - GLERIAN-2.015.pdf
07/04/2015 08:21 - TIAGOLIMA | CI = 11395 | NOME_FISICO = 1428405648-32980600.pdf | NOME_ORIGINAL = GARE ICMS PPI.pdf | TAMANHO = 11 | DESCRICAO = GARE ICMS PPI.pdf
07/04/2015 08:21 - TIAGOLIMA | CI = 11395 | NOME_FISICO = 1428405661-48605500.pdf | NOME_ORIGINAL = PPI - Programa de Parcelamento Incentivado do Estado de São Paulo.pdf | TAMANHO = 204 | DESCRICAO = PPI - Programa de Parcelamento Incentivado do Estado de São Paulo.pdf
07/04/2015 08:54 - TIAGOLIMA | CI = 11397 | NOME_FISICO = 1428407588-93918000.pdf | NOME_ORIGINAL = DARF - 1194.pdf | TAMANHO = 2348 | DESCRICAO = DARF - 1194.pdf
07/04/2015 08:54 - TIAGOLIMA | CI = 11397 | NOME_FISICO = 1428407596-78293000.pdf | NOME_ORIGINAL = DARF - 1279.pdf | TAMANHO = 2372 | DESCRICAO = DARF - 1279.pdf
07/04/2015 08:54 - TIAGOLIMA | CI = 11397 | NOME_FISICO = 1428407613-62668000.pdf | NOME_ORIGINAL = DARF - 1285.pdf | TAMANHO = 2303 | DESCRICAO = DARF - 1285.pdf
07/04/2015 11:50 - FRANCISCO | CI = 11403 | NOME_FISICO = 1428418235-78437600.pdf | NOME_ORIGINAL = DETRAN- TAXAS SERV. 2.015.pdf | TAMANHO = 41 | DESCRICAO = DETRAN- TAXAS SERV. 2.015.pdf
07/04/2015 13:17 - FRANCISCO | CI = 11404 | NOME_FISICO = 1428423418-80000100.pdf | NOME_ORIGINAL = CUPOM - RON-06-04.pdf | TAMANHO = 210 | DESCRICAO = CUPOM - RON-06-04.pdf
07/04/2015 13:25 - FRANCISCO | CI = 11405 | NOME_FISICO = 1428423862-45625200.pdf | NOME_ORIGINAL = CUPOM-AIRTON-06-04.pdf | TAMANHO = 211 | DESCRICAO = CUPOM-AIRTON-06-04.pdf
