02/05/2015 07:11 - ERIC | CI = 11714 | NOME_FISICO = 1430561464-14695400.pdf | NOME_ORIGINAL = RECIBO.pdf | TAMANHO = 488 | DESCRICAO = RECIBO
04/05/2015 08:08 - TIAGOLIMA | CI = 11716 | NOME_FISICO = 1430737695-66257900.pdf | NOME_ORIGINAL = ISS - São Paulo.pdf | TAMANHO = 403 | DESCRICAO = ISS - São Paulo.pdf
04/05/2015 08:40 - TIAGOLIMA | CI = 11717 | NOME_FISICO = 1430739598-25632900.pdf | NOME_ORIGINAL = ISS.pdf | TAMANHO = 1592 | DESCRICAO = ISS.pdf
04/05/2015 09:00 - MARTA | CI = 11719 | NOME_FISICO = 1430740790-38133000.pdf | NOME_ORIGINAL = willian 04052015 1.pdf | TAMANHO = 527 | DESCRICAO = Despesas Viagem
04/05/2015 09:00 - MARTA | CI = 11719 | NOME_FISICO = 1430740790-40797100.pdf | NOME_ORIGINAL = willian 04052015 2.pdf | TAMANHO = 405 | DESCRICAO = Despesas Viagem
04/05/2015 10:09 - FRANCISCO | CI = 11725 | NOME_FISICO = 1430744939-39695500.xlsx | NOME_ORIGINAL = LICENC.REB. -2.015 - FINAL  - 02.xlsx | TAMANHO = 12 | DESCRICAO = LICENC.REB. -2.015 - FINAL  - 02.xlsx
04/05/2015 13:04 - FERNANDOPIRES | CI = 11726 | NOME_FISICO = 1430755463-04050800.pdf | NOME_ORIGINAL = FF Despesas diversas - 04-05-15.pdf | TAMANHO = 1667 | DESCRICAO = FF Despesas diversas - 04-05-15.pdf
04/05/2015 16:15 - RODRIGO_POIT | CI = 11727 | NOME_FISICO = 1430766882-05613300.msg | NOME_ORIGINAL = Interposição de Recurso Extraordinário - José Benedito Marques.msg | TAMANHO = 57 | DESCRICAO = Interposição de Recurso Extraordinário - José Benedito Marques.msg
04/05/2015 16:39 - FRANCISCO | CI = 11728 | NOME_FISICO = 1430768316-72800800.pdf | NOME_ORIGINAL = N.FISCAL - SESTARE - 71.pdf | TAMANHO = 476 | DESCRICAO = N.FISCAL - SESTARE - 71.pdf
04/05/2015 16:56 - FERNANDOPIRES | CI = 11729 | NOME_FISICO = 1430769387-99363400.pdf | NOME_ORIGINAL = Garagem escritório de SP - 04-05-15.pdf | TAMANHO = 446 | DESCRICAO = Garagem escritório de SP - 04-05-15.pdf
05/05/2015 07:06 - ERIC | CI = 11730 | NOME_FISICO = 1430820390-43113300.PDF | NOME_ORIGINAL = Boleto_29_04_2015_LI_EAS_USINA SANTA FÉ.PDF | TAMANHO = 55 | DESCRICAO = Guia de recolhimento
05/05/2015 07:22 - ACYRNETO | CI = 11731 | NOME_FISICO = 1430821354-43113300.pdf | NOME_ORIGINAL = SANTA FE x CUTRALE COLINA - 2015-16.pdf | TAMANHO = 38 | DESCRICAO = SANTA FE x CUTRALE COLINA - 2015-16.pdf
05/05/2015 07:25 - ACYRNETO | CI = 11732 | NOME_FISICO = 1430821491-80613400.pdf | NOME_ORIGINAL = SANTA FE x CUTRALE COLINA - 2015-16.pdf | TAMANHO = 38 | DESCRICAO = SANTA FE x CUTRALE COLINA - 2015-16.pdf
05/05/2015 10:40 - LUZMARINA | CI = 11738 | NOME_FISICO = 1430833176-18308700.pdf | NOME_ORIGINAL = OsmarAntonio Barbosa.pdf | TAMANHO = 803 | DESCRICAO = OsmarAntonio Barbosa.pdf
05/05/2015 11:15 - FRANCISCO | CI = 11739 | NOME_FISICO = 1430835323-83933700.pdf | NOME_ORIGINAL = AUTO NOTIF.101952.pdf | TAMANHO = 725 | DESCRICAO = AUTO NOTIF.101952.pdf
05/05/2015 12:36 - TIAGOLIMA | CI = 11740 | NOME_FISICO = 1430840169-90281300.pdf | NOME_ORIGINAL = RCCP.pdf | TAMANHO = 5660 | DESCRICAO = RCCP.pdf
