01/06/2015 07:30 - RODRIGO_POIT | CI = 12061 | NOME_FISICO = 1433154649-32208700.pdf | NOME_ORIGINAL = CARTÓRIO.pdf | TAMANHO = 295 | DESCRICAO = CARTÓRIO.pdf
01/06/2015 07:44 - MARTA | CI = 12062 | NOME_FISICO = 1433155450-50958700.pdf | NOME_ORIGINAL = willian 01062015.pdf | TAMANHO = 388 | DESCRICAO = Despesas Viagem
01/06/2015 07:44 - MARTA | CI = 12062 | NOME_FISICO = 1433155450-52960600.pdf | NOME_ORIGINAL = willian 01062015 2.pdf | TAMANHO = 423 | DESCRICAO = Despesas Viagem
01/06/2015 07:49 - RODRIGO_POIT | CI = 12061 | NOME_FISICO = 1433155748-66585800.pdf | NOME_ORIGINAL = NOTIFICAÇÃO.pdf | TAMANHO = 322 | DESCRICAO = NOTIFICAÇÃO.pdf
01/06/2015 08:22 - GRAZIELA | CI = 12063 | NOME_FISICO = 1433157746-33771100.tif | NOME_ORIGINAL = RECIBO ARISP.tif | TAMANHO = 27 | DESCRICAO = RECIBO
01/06/2015 09:57 - FERNANDOPIRES | CI = 12068 | NOME_FISICO = 1433163436-00958700.pdf | NOME_ORIGINAL = FF - despesas diversas - 01-06-15.pdf | TAMANHO = 1276 | DESCRICAO = FF - despesas diversas - 01-06-15.pdf
01/06/2015 10:03 - FRANCISCO | CI = 12069 | NOME_FISICO = 1433163790-29083600.pdf | NOME_ORIGINAL = CUPOM - RON-28-05.pdf | TAMANHO = 469 | DESCRICAO = CUPOM - RON-28-05.pdf
01/06/2015 10:14 - TIAGOLIMA | CI = 12070 | NOME_FISICO = 1433164439-30646100.pdf | NOME_ORIGINAL = Contrato de Estágio - Erika Oliveira Costa.pdf | TAMANHO = 2003 | DESCRICAO = Contrato de Estágio - Erika Oliveira Costa.pdf
01/06/2015 13:10 - VALDINEI | CI = 12072 | NOME_FISICO = 1433175012-53888300.pdf | NOME_ORIGINAL = Neptuno e Stella Maris 01S - Junho-15.pdf | TAMANHO = 155 | DESCRICAO = Neptuno e Stella Maris 01S - Junho-15.pdf
01/06/2015 15:21 - GRAZIELA | CI = 12076 | NOME_FISICO = 1433182700-50763300.pdf | NOME_ORIGINAL = RECIBO.pdf | TAMANHO = 309 | DESCRICAO = RECIBO
01/06/2015 15:21 - GRAZIELA | CI = 12076 | NOME_FISICO = 1433182715-55450800.pdf | NOME_ORIGINAL = NOTIF. MARIA RIBEIRO TRICAI.pdf | TAMANHO = 605 | DESCRICAO = notificação
01/06/2015 16:22 - RODRIGO_POIT | CI = 12077 | NOME_FISICO = 1433185520-75861000.pdf | NOME_ORIGINAL = Sergio  Lisboa.pdf | TAMANHO = 369 | DESCRICAO = Sergio  Lisboa.pdf
01/06/2015 16:22 - RODRIGO_POIT | CI = 12077 | NOME_FISICO = 1433186012-66916700.pdf | NOME_ORIGINAL = 1 - ATA DA AUDIÊNCIA INICIAL.pdf | TAMANHO = 77 | DESCRICAO = 1 - ATA DA AUDIÊNCIA INICIAL.pdf
01/06/2015 16:22 - RODRIGO_POIT | CI = 12077 | NOME_FISICO = 1433186012-67260000.pdf | NOME_ORIGINAL = 2 - RECURSO ORDINÁRIO.pdf | TAMANHO = 316 | DESCRICAO = 2 - RECURSO ORDINÁRIO.pdf
01/06/2015 16:22 - RODRIGO_POIT | CI = 12077 | NOME_FISICO = 1433186012-68895100.pdf | NOME_ORIGINAL = 3 - SENTENÇA.pdf | TAMANHO = 612 | DESCRICAO = 3 - SENTENÇA.pdf
01/06/2015 16:22 - RODRIGO_POIT | CI = 12077 | NOME_FISICO = 1433186012-69468100.pdf | NOME_ORIGINAL = 4 - AUDIÊNCIA DE INSTRUÇÃO.pdf | TAMANHO = 85 | DESCRICAO = 4 - AUDIÊNCIA DE INSTRUÇÃO.pdf
01/06/2015 16:22 - RODRIGO_POIT | CI = 12077 | NOME_FISICO = 1433186012-70795500.pdf | NOME_ORIGINAL = 5 - EMBARGOS DECLARATÓRIOS.pdf | TAMANHO = 97 | DESCRICAO = 5 - EMBARGOS DECLARATÓRIOS.pdf
01/06/2015 16:22 - RODRIGO_POIT | CI = 12077 | NOME_FISICO = 1433186012-71747800.pdf | NOME_ORIGINAL = 6 - LAUDO MÉDICO PERICIAL.pdf | TAMANHO = 2955 | DESCRICAO = 6 - LAUDO MÉDICO PERICIAL.pdf
01/06/2015 16:22 - RODRIGO_POIT | CI = 12077 | NOME_FISICO = 1433186012-73496700.pdf | NOME_ORIGINAL = 7 - CONTRARRAZÕES.pdf | TAMANHO = 195 | DESCRICAO = 7 - CONTRARRAZÕES.pdf
01/06/2015 16:41 - RODRIGO_POIT | CI = 12079 | NOME_FISICO = 1433187545-18048600.msg | NOME_ORIGINAL = Interposição de Agravo de Instrumento - Rogério Soares Mendes.msg | TAMANHO = 65 | DESCRICAO = Interposição de Agravo de Instrumento - Rogério Soares Mendes.msg
02/06/2015 09:09 - ROSEMEIRESGOTI | CI = 12083 | NOME_FISICO = 1433246959-43146200.pdf | NOME_ORIGINAL = PERDCOMP 03_2015 multa_juros.pdf | TAMANHO = 288 | DESCRICAO = PERDCOMP 03_2015 multa_juros.pdf
02/06/2015 15:25 - FRANCISCO | CI = 12087 | NOME_FISICO = 1433269510-26349300.pdf | NOME_ORIGINAL = CUPOM-RON-DR.ROBERTO.pdf | TAMANHO = 398 | DESCRICAO = CUPOM-RON-DR.ROBERTO.pdf
02/06/2015 16:14 - FABIOTOMASETTO | CI = 12090 | NOME_FISICO = 1433272400-74786800.docx | NOME_ORIGINAL = Áreas Salinas.docx | TAMANHO = 4668 | DESCRICAO = Áreas Salinas.docx
03/06/2015 08:56 - ROBERTA | CI = 12091 | NOME_FISICO = 1433332601-69089200.pdf | NOME_ORIGINAL = Perdas Físicas Referente a NF 167.099 e 167.100.pdf | TAMANHO = 5.78 | DESCRICAO = Perdas Físicas Referente a NF 167.099 e 167.100.pdf
03/06/2015 08:57 - ROBERTA | CI = 12092 | NOME_FISICO = 1433332647-86276600.pdf | NOME_ORIGINAL = Perdas Físicas Referente a NF 167.141 e 167.416.pdf | TAMANHO = 5.62 | DESCRICAO = Perdas Físicas Referente a NF 167.141 e 167.416.pdf
03/06/2015 10:24 - TIAGOLIMA | CI = 12095 | NOME_FISICO = 1433337816-86276600.pdf | NOME_ORIGINAL = CSLL_COFINS_PIS 2º QUINZENA.pdf | TAMANHO = 491 | DESCRICAO = CSLL_COFINS_PIS 2º QUINZENA.pdf
03/06/2015 10:37 - ROBERTA | CI = 12096 | NOME_FISICO = 1433338653-28464200.pdf | NOME_ORIGINAL = Calculo Sinistro NF 165.838.pdf | TAMANHO = 5.77 | DESCRICAO = Calculo Sinistro NF 165.838.pdf
03/06/2015 10:40 - TIAGOLIMA | CI = 12097 | NOME_FISICO = 1433338804-83151600.pdf | NOME_ORIGINAL = ISS - SÂO PAULO.pdf | TAMANHO = 411 | DESCRICAO = ISS - SÂO PAULO.pdf
03/06/2015 11:35 - VALDINEI | CI = 12098 | NOME_FISICO = 1433342067-92624300.pdf | NOME_ORIGINAL = IPTU - 2015.pdf | TAMANHO = 264 | DESCRICAO = IPTU - 2015.pdf
03/06/2015 13:25 - RODRIGO_POIT | CI = 12100 | NOME_FISICO = 1433348749-98874300.pdf | NOME_ORIGINAL = DESPESAS CÓPIAS.pdf | TAMANHO = 252 | DESCRICAO = DESPESAS CÓPIAS.pdf
03/06/2015 13:30 - TIAGOLIMA | CI = 12101 | NOME_FISICO = 1433348991-53561900.pdf | NOME_ORIGINAL = INSS.pdf | TAMANHO = 816 | DESCRICAO = INSS.pdf
03/06/2015 15:44 - TIAGOLIMA | CI = 12107 | NOME_FISICO = 1433357073-58347000.pdf | NOME_ORIGINAL = Calculo INSS Faturamento Maio-SAFRA 2015-2016.pdf | TAMANHO = 22 | DESCRICAO = Calculo INSS Faturamento Maio-SAFRA 2015-2016.pdf
03/06/2015 16:06 - FRANCISCO | CI = 12108 | NOME_FISICO = 1433358358-92819600.pdf | NOME_ORIGINAL = PED. PLACA TRAS.FROTA-1837.pdf | TAMANHO = 258 | DESCRICAO = PED. PLACA TRAS.FROTA-1837.pdf
05/06/2015 08:23 - TIAGOLIMA | CI = 12110 | NOME_FISICO = 1433503346-36569700.pdf | NOME_ORIGINAL = Funrural Agro II.pdf | TAMANHO = 231 | DESCRICAO = Funrural Agro II.pdf
05/06/2015 08:23 - TIAGOLIMA | CI = 12110 | NOME_FISICO = 1433503353-77194600.pdf | NOME_ORIGINAL = Funrural Agro.pdf | TAMANHO = 366 | DESCRICAO = Funrural Agro.pdf
05/06/2015 09:30 - FRANCISCO | CI = 12111 | NOME_FISICO = 1433507405-86569600.pdf | NOME_ORIGINAL = CUPOM-RON.03-06.pdf | TAMANHO = 432 | DESCRICAO = CUPOM-RON.03-06.pdf
05/06/2015 09:40 - RODRIGO_POIT | CI = 12112 | NOME_FISICO = 1433508046-08444600.msg | NOME_ORIGINAL = Mário Valdir da Silva - Interposição de Recurso Extraordinário.msg | TAMANHO = 64 | DESCRICAO = Mário Valdir da Silva - Interposição de Recurso Extraordinário.msg
