01/02/2016 10:38 - SUZANA | CI = 14741 | NOME_FISICO = 1454330268-91312700.pdf | NOME_ORIGINAL = boleto Cetesb.pdf | TAMANHO = 326 | DESCRICAO = boleto Cetesb.pdf
01/02/2016 10:38 - SUZANA | CI = 14741 | NOME_FISICO = 1454330280-05375100.pdf | NOME_ORIGINAL = Boleto ART.pdf | TAMANHO = 228 | DESCRICAO = Boleto ART.pdf
01/02/2016 11:58 - FRANCISCO | CI = 14742 | NOME_FISICO = 1454334955-91312600.pdf | NOME_ORIGINAL = AUTOS INF.128893 - 990316 - 053011.pdf | TAMANHO = 1578 | DESCRICAO = AUTOS INF.128893 - 990316 - 053011.pdf
01/02/2016 13:08 - MARCELOGODOI | CI = 14743 | NOME_FISICO = 1454339010-69437700.msg | NOME_ORIGINAL = AILTON ALCASSER MONTE1 .msg | TAMANHO = 58 | DESCRICAO = AILTON ALCASSER MONTE1 .msg
01/02/2016 13:18 - FRANCISCO | CI = 14744 | NOME_FISICO = 1454339847-50687600.pdf | NOME_ORIGINAL = AUTO INF. 326795-1.pdf | TAMANHO = 536 | DESCRICAO = AUTO INF. 326795-1.pdf
02/02/2016 07:50 - LUCIANOHENRIQUE | CI = 14750 | NOME_FISICO = 1454406514-47562600.pdf | NOME_ORIGINAL = Cerradão.pdf | TAMANHO = 445 | DESCRICAO = Cerradão.pdf
02/02/2016 09:44 - TIAGOLIMA | CI = 14753 | NOME_FISICO = 1454413456-25687600.pdf | NOME_ORIGINAL = ISS - São Paulo.pdf | TAMANHO = 425 | DESCRICAO = ISS - São Paulo.pdf
02/02/2016 09:44 - TIAGOLIMA | CI = 14753 | NOME_FISICO = 1454413456-27994500.PDF | NOME_ORIGINAL = Guia ISS.PDF | TAMANHO = 55 | DESCRICAO = Guia ISS.PDF
02/02/2016 10:50 - FRANCISCO | CI = 14755 | NOME_FISICO = 1454417397-21000100.pdf | NOME_ORIGINAL = AUTO INF.010285-1.pdf | TAMANHO = 300 | DESCRICAO = AUTO INF.010285-1.pdf
02/02/2016 12:28 - MATHEUSUZELOTTO | CI = 14758 | NOME_FISICO = 1454423330-77250100.pdf | NOME_ORIGINAL = doc06577920160202134822.pdf | TAMANHO = 227 | DESCRICAO = doc06577920160202134822.pdf
02/02/2016 12:44 - FERNANDOPIRES | CI = 14759 | NOME_FISICO = 1454424258-25687700.pdf | NOME_ORIGINAL = Boleto SP Boys - 25-02-16.pdf | TAMANHO = 118 | DESCRICAO = Boleto SP Boys - 25-02-16.pdf
03/02/2016 09:09 - VALDINEI | CI = 14767 | NOME_FISICO = 1454497695-78812600.pdf | NOME_ORIGINAL = Comprovante Sedex a cobrar - 18-12-15.pdf | TAMANHO = 353 | DESCRICAO = Comprovante Sedex a cobrar - 18-12-15.pdf
03/02/2016 09:09 - VALDINEI | CI = 14767 | NOME_FISICO = 1454497716-14750200.pdf | NOME_ORIGINAL = Comprovante Sedex a cobrar - 19-01-16.pdf | TAMANHO = 322 | DESCRICAO = Comprovante Sedex a cobrar - 19-01-16.pdf
03/02/2016 10:13 - TIAGOLIMA | CI = 14769 | NOME_FISICO = 1454501547-53812600.pdf | NOME_ORIGINAL = Taxa Prefeitura Municipal - Usina.pdf | TAMANHO = 516 | DESCRICAO = Taxa Prefeitura Municipal - Usina.pdf
03/02/2016 10:16 - TIAGOLIMA | CI = 14770 | NOME_FISICO = 1454501636-67875100.pdf | NOME_ORIGINAL = Taxa Prefeitura Municipal - Agro.pdf | TAMANHO = 505 | DESCRICAO = Taxa Prefeitura Municipal - Agro.pdf
03/02/2016 13:20 - FRANCISCO | CI = 14771 | NOME_FISICO = 1454512811-11625200.pdf | NOME_ORIGINAL = DETRAN - TAXAS DE SERV .2016.pdf | TAMANHO = 316 | DESCRICAO = DETRAN - TAXAS DE SERV .2016.pdf
03/02/2016 14:48 - TIAGOLIMA | CI = 14772 | NOME_FISICO = 1454517997-16312600.pdf | NOME_ORIGINAL = Apuração INSS - Jan 2016.pdf | TAMANHO = 1774 | DESCRICAO = Apuração INSS - Jan 2016.pdf
03/02/2016 14:48 - TIAGOLIMA | CI = 14772 | NOME_FISICO = 1454517997-18802700.pdf | NOME_ORIGINAL = Doc. Suporte Faturamento.pdf | TAMANHO = 820 | DESCRICAO = Doc. Suporte Faturamento.pdf
