01/07/2016 08:27 - GRAZIELA | CI = 16479 | NOME_FISICO = 1467372363-28095300.pdf | NOME_ORIGINAL = IGC.pdf | TAMANHO = 199 | DESCRICAO = COMPROVANTE
01/07/2016 08:27 - GRAZIELA | CI = 16479 | NOME_FISICO = 1467372436-87470400.pdf | NOME_ORIGINAL = ADRIANA.pdf | TAMANHO = 21 | DESCRICAO = EMAIL DRA. ADRIANA
01/07/2016 08:40 - GRAZIELA | CI = 16481 | NOME_FISICO = 1467373217-20282800.pdf | NOME_ORIGINAL = Comprovantes.pdf | TAMANHO = 3694 | DESCRICAO = Comprovantes
01/07/2016 13:29 - GRAZIELA | CI = 16486 | NOME_FISICO = 1467390490-67157900.pdf | NOME_ORIGINAL = Publicação Werner.pdf | TAMANHO = 167 | DESCRICAO = PUBLICAÇÃO
01/07/2016 13:29 - GRAZIELA | CI = 16486 | NOME_FISICO = 1467390500-40595300.pdf | NOME_ORIGINAL = Guia de Recolhimento Autenticação Reprográfica.pdf | TAMANHO = 127 | DESCRICAO = GUIA
01/07/2016 15:15 - FRANCISCO | CI = 16487 | NOME_FISICO = 1467396914-57782900.pdf | NOME_ORIGINAL = N. FISCAL-SEST.158 - F-2214.pdf | TAMANHO = 463 | DESCRICAO = N. FISCAL-SEST.158 - F-2214.pdf
01/07/2016 15:19 - FRANCISCO | CI = 16488 | NOME_FISICO = 1467397116-24970400.pdf | NOME_ORIGINAL = DETRAN - TAXAS DE SERV .2016.pdf | TAMANHO = 316 | DESCRICAO = DETRAN - TAXAS DE SERV .2016.pdf
01/07/2016 15:54 - FERNANDOPIRES | CI = 16489 | NOME_FISICO = 1467399254-28095400.pdf | NOME_ORIGINAL = FF - despesas diversas - 01-07-16.pdf | TAMANHO = 2115 | DESCRICAO = FF - despesas diversas - 01-07-16.pdf
04/07/2016 08:01 - RODRIGO_POIT | CI = 16492 | NOME_FISICO = 1467630085-58812600.pdf | NOME_ORIGINAL = RPA FAIZ MASSAD.pdf | TAMANHO = 1164 | DESCRICAO = RPA FAIZ MASSAD.pdf
04/07/2016 08:43 - RODRIGO_POIT | CI = 16493 | NOME_FISICO = 1467632584-65062600.pdf | NOME_ORIGINAL = Termo de Acordo.pdf | TAMANHO = 1158 | DESCRICAO = Termo de Acordo.pdf
04/07/2016 08:51 - KLEBER | CI = 16494 | NOME_FISICO = 1467633082-41625100.pdf | NOME_ORIGINAL = 1434_001.pdf | TAMANHO = 44 | DESCRICAO = 1434_001.pdf
04/07/2016 09:38 - VALDINEI | CI = 16496 | NOME_FISICO = 1467635858-77562600.pdf | NOME_ORIGINAL = Conta de Água - Julho - 2016.pdf | TAMANHO = 487 | DESCRICAO = Conta de Água - Julho - 2016.pdf
04/07/2016 10:20 - ERIC | CI = 16497 | NOME_FISICO = 1467638205-93187600.pdf | NOME_ORIGINAL = COMPLEMENTO PROJETO 9.04.122 – Cozedor 800HL - 04-07-2016.pdf | TAMANHO = 35 | DESCRICAO = Complemento de verba 9.05.122
04/07/2016 10:20 - ERIC | CI = 16497 | NOME_FISICO = 1467638243-51000100.PDF | NOME_ORIGINAL = PROJETO 9.05.122 - 04-07-2016.PDF | TAMANHO = 6359 | DESCRICAO = Relatório de orçamento 04-07-16
04/07/2016 11:20 - RODRIGO_POIT | CI = 16500 | NOME_FISICO = 1467641972-30687700.pdf | NOME_ORIGINAL = JOÃO LUCIANO DA SILVA - PROC. 1160-86.2011 - ATA DE ACORDO.pdf | TAMANHO = 1416 | DESCRICAO = JOÃO LUCIANO DA SILVA - PROC. 1160-86.2011 - ATA DE ACORDO.pdf
04/07/2016 11:39 - RODRIGO_POIT | CI = 16501 | NOME_FISICO = 1467643149-15062700.pdf | NOME_ORIGINAL = Termo de Acordo - MARCOS ROBERTO MENDONÇA.pdf | TAMANHO = 562 | DESCRICAO = Termo de Acordo - MARCOS ROBERTO MENDONÇA.pdf
04/07/2016 11:44 - RODRIGO_POIT | CI = 16502 | NOME_FISICO = 1467643435-29125200.pdf | NOME_ORIGINAL = Termo de Acordo - VALDEMIR MOUTIN.pdf | TAMANHO = 582 | DESCRICAO = Termo de Acordo - VALDEMIR MOUTIN.pdf
04/07/2016 12:02 - RODRIGO_POIT | CI = 16503 | NOME_FISICO = 1467643966-47875200.msg | NOME_ORIGINAL = SAMUEL ALBERTO DA CRUZ - PROC. 1062713 - PARCELAMENTO - FAZER LANÇAMENTO PRIMEIRO PAGAMENTO DIA 25-07-2016.msg | TAMANHO = 59 | DESCRICAO = SAMUEL ALBERTO DA CRUZ - PROC. 1062713 - PARCELAMENTO - FAZER LANÇAMENTO PRIMEIRO PAGAMENTO DIA 25-07-2016.msg
04/07/2016 15:18 - FRANCISCO | CI = 16509 | NOME_FISICO = 1467656272-72875100.pdf | NOME_ORIGINAL = N.FISCAL SEST.159-ONI-1528.pdf | TAMANHO = 459 | DESCRICAO = N.FISCAL SEST.159-ONI-1528.pdf
04/07/2016 15:20 - RODRIGO_POIT | CI = 16510 | NOME_FISICO = 1467656347-77562600.pdf | NOME_ORIGINAL = prestação de contas.pdf | TAMANHO = 329 | DESCRICAO = prestação de contas.pdf
05/07/2016 09:25 - SUZANA | CI = 16515 | NOME_FISICO = 1467721410-10375200.pdf | NOME_ORIGINAL = boleto_04-07-2016-02-51.pdf | TAMANHO = 326 | DESCRICAO = boleto_04-07-2016-02-51.pdf
05/07/2016 09:58 - GRAZIELA | CI = 16517 | NOME_FISICO = 1467723504-16625100.pdf | NOME_ORIGINAL = GuiaWerner_pdf.pdf | TAMANHO = 351 | DESCRICAO = GUIA RECOLHIDA
05/07/2016 10:07 - MARTA | CI = 16521 | NOME_FISICO = 1467723995-22875200.xlsx | NOME_ORIGINAL = assistencial rural 2016 nova europa.xlsx | TAMANHO = 12 | DESCRICAO = Relatório 
05/07/2016 10:20 - MARCOS | CI = 16525 | NOME_FISICO = 1467724843-21312600.pdf | NOME_ORIGINAL = Guia ISS.pdf | TAMANHO = 458 | DESCRICAO = Guia ISS.pdf
05/07/2016 11:39 - KLEBER | CI = 16535 | NOME_FISICO = 1467729565-57250100.pdf | NOME_ORIGINAL = Conta de Agua.pdf | TAMANHO = 157 | DESCRICAO = Conta de Agua.pdf
05/07/2016 12:41 - MARCOS | CI = 16523 | NOME_FISICO = 1467733258-01000200.pdf | NOME_ORIGINAL = GUIA ISSQN - STª FÉ 7.pdf | TAMANHO = 22 | DESCRICAO = GUIA ISSQN - STª FÉ 7.pdf
05/07/2016 12:41 - MARCOS | CI = 16523 | NOME_FISICO = 1467733270-47875100.pdf | NOME_ORIGINAL = Relatorio ISS CPAF0017.pdf | TAMANHO = 235 | DESCRICAO = Relatorio ISS CPAF0017.pdf
