01/08/2016 08:32 - FRANCISCO | CI = 16878 | NOME_FISICO = 1470051145-34367300.pdf | NOME_ORIGINAL = TAXA DER-F-1530.pdf | TAMANHO = 308 | DESCRICAO = TAXA DER-F-1530.pdf
01/08/2016 08:54 - GRAZIELA | CI = 16880 | NOME_FISICO = 1470052446-48429800.pdf | NOME_ORIGINAL = doc00331320160801064359.pdf | TAMANHO = 441 | DESCRICAO = GUIA RECOLHIDA
01/08/2016 09:55 - RODRIGO_POIT | CI = 16882 | NOME_FISICO = 1470056136-24992300.pdf | NOME_ORIGINAL = Notificação.pdf | TAMANHO = 373 | DESCRICAO = Notificação.pdf
01/08/2016 13:38 - FRANCISCO | CI = 16885 | NOME_FISICO = 1470069467-73429800.pdf | NOME_ORIGINAL = CUPOM-AIRT.28-07.pdf | TAMANHO = 222 | DESCRICAO = CUPOM-AIRT.28-07.pdf
02/08/2016 09:25 - REGI | CI = 16895 | NOME_FISICO = 1470140724-56242300.pdf | NOME_ORIGINAL = doc07914220160802115848.pdf | TAMANHO = 552 | DESCRICAO = doc07914220160802115848.pdf
03/08/2016 07:31 - MARCOS | CI = 16912 | NOME_FISICO = 1470220244-87492300.pdf | NOME_ORIGINAL = CPAF0017 RISS.pdf | TAMANHO = 200 | DESCRICAO = CPAF0017 RISS.pdf
03/08/2016 07:31 - MARCOS | CI = 16912 | NOME_FISICO = 1470220266-82804700.pdf | NOME_ORIGINAL = FISF0064 RISS.pdf | TAMANHO = 224 | DESCRICAO = FISF0064 RISS.pdf
03/08/2016 07:31 - MARCOS | CI = 16912 | NOME_FISICO = 1470220279-60929700.pdf | NOME_ORIGINAL = Guia de ISS.pdf | TAMANHO = 460 | DESCRICAO = Guia de ISS.pdf
03/08/2016 08:29 - FRANCISCO | CI = 16914 | NOME_FISICO = 1470223595-24992200.pdf | NOME_ORIGINAL = CUPOM-RON-28-07.pdf | TAMANHO = 468 | DESCRICAO = CUPOM-RON-28-07.pdf
03/08/2016 08:29 - FRANCISCO | CI = 16914 | NOME_FISICO = 1470223636-73962400.pdf | NOME_ORIGINAL = CUPOM-RON.-29-07.pdf | TAMANHO = 332 | DESCRICAO = CUPOM-RON.-29-07.pdf
03/08/2016 08:44 - FRANCISCO | CI = 16915 | NOME_FISICO = 1470224633-82804700.pdf | NOME_ORIGINAL = CUPOM-RON-01-08-16.pdf | TAMANHO = 469 | DESCRICAO = CUPOM-RON-01-08-16.pdf
03/08/2016 08:52 - TIAGOCHIMINI | CI = 16916 | NOME_FISICO = 1470225074-51554700.pdf | NOME_ORIGINAL = ocpr0005.pdf | TAMANHO = 79 | DESCRICAO = ocpr0005.pdf
