01/09/2016 09:18 - FRANCISCO | CI = 17262 | NOME_FISICO = 1472732310-16275100.pdf | NOME_ORIGINAL = CUPOM-AIRT.30-08.pdf | TAMANHO = 442 | DESCRICAO = CUPOM-AIRT.30-08.pdf
01/09/2016 13:35 - VELOSA | CI = 17270 | NOME_FISICO = 1472747705-47525000.pdf | NOME_ORIGINAL = Recibo1.pdf | TAMANHO = 47 | DESCRICAO = Recibo1.pdf
01/09/2016 13:42 - VELOSA | CI = 17273 | NOME_FISICO = 1472748095-77212600.pdf | NOME_ORIGINAL = Recibo.pdf | TAMANHO = 8.7 | DESCRICAO = Recibo.pdf
01/09/2016 16:42 - ROBSONMANFRIM | CI = 17275 | NOME_FISICO = 1472758946-91275100.pdf | NOME_ORIGINAL = Despesa 30_08.pdf | TAMANHO = 257 | DESCRICAO = Despesa 30_08.pdf
02/09/2016 13:20 - ELISSANDRA | CI = 17283 | NOME_FISICO = 1472833174-36587600.pdf | NOME_ORIGINAL = doc12137720160902154357.pdf | TAMANHO = 210 | DESCRICAO = doc12137720160902154357.pdf
02/09/2016 13:35 - KLEBER | CI = 17284 | NOME_FISICO = 1472834114-38150000.pdf | NOME_ORIGINAL = doc05490620160902111734.pdf | TAMANHO = 487 | DESCRICAO = doc05490620160902111734.pdf
02/09/2016 16:19 - FRANCISCO | CI = 17289 | NOME_FISICO = 1472843970-89712600.pdf | NOME_ORIGINAL = DETRAN - TAXAS DE SERV .2016.pdf | TAMANHO = 316 | DESCRICAO = DETRAN - TAXAS DE SERV .2016.pdf
05/09/2016 08:20 - GRAZIELA | CI = 17298 | NOME_FISICO = 1473074344-99950000.htm | NOME_ORIGINAL = Guias para pagamento.htm | TAMANHO = 30 | DESCRICAO = EMAIL DRA. ELIANE
05/09/2016 08:20 - GRAZIELA | CI = 17298 | NOME_FISICO = 1473074355-37450100.pdf | NOME_ORIGINAL = Guia de Recolhimento Autenticação (02-09)  2.pdf | TAMANHO = 123 | DESCRICAO = GUIA 1
05/09/2016 08:20 - GRAZIELA | CI = 17298 | NOME_FISICO = 1473074362-59325100.pdf | NOME_ORIGINAL = Guia de Recolhimento Autenticação (02-09).pdf | TAMANHO = 124 | DESCRICAO = GUIA 2
05/09/2016 08:20 - GRAZIELA | CI = 17298 | NOME_FISICO = 1473074369-07762500.pdf | NOME_ORIGINAL = Guia de Recolhimento complemento (02-09).pdf | TAMANHO = 123 | DESCRICAO = GUIA 3
