01/11/2016 08:29 - DONIZETE | CI = 18038 | NOME_FISICO = 1477996180-45937700.pdf | NOME_ORIGINAL = Despesas.pdf | TAMANHO = 270 | DESCRICAO = Despesas.pdf
01/11/2016 08:30 - DONIZETE | CI = 18039 | NOME_FISICO = 1477996215-13125100.pdf | NOME_ORIGINAL = Carregadores.pdf | TAMANHO = 259 | DESCRICAO = Carregadores.pdf
01/11/2016 10:07 - RONALDOGOMES | CI = 18045 | NOME_FISICO = 1478002026-00625100.pdf | NOME_ORIGINAL = Combustivel.pdf | TAMANHO = 195 | DESCRICAO = Combustivel.pdf
01/11/2016 10:07 - RONALDOGOMES | CI = 18045 | NOME_FISICO = 1478002026-03285200.pdf | NOME_ORIGINAL = Pedagios.pdf | TAMANHO = 220 | DESCRICAO = Pedagios.pdf
01/11/2016 11:22 - RONALDOGOMES | CI = 18050 | NOME_FISICO = 1478006542-95937600.pdf | NOME_ORIGINAL = Combustivel.pdf | TAMANHO = 195 | DESCRICAO = Combustivel.pdf
01/11/2016 11:22 - RONALDOGOMES | CI = 18050 | NOME_FISICO = 1478006542-97349400.pdf | NOME_ORIGINAL = Pedagio.pdf | TAMANHO = 220 | DESCRICAO = Pedagio.pdf
01/11/2016 11:27 - ELISSANDRA | CI = 18051 | NOME_FISICO = 1478006817-27187600.pdf | NOME_ORIGINAL = doc12628720161101124911.pdf | TAMANHO = 260 | DESCRICAO = doc12628720161101124911.pdf
01/11/2016 11:29 - ELISSANDRA | CI = 18052 | NOME_FISICO = 1478006961-27187600.pdf | NOME_ORIGINAL = doc12616620161101083520.pdf | TAMANHO = 192 | DESCRICAO = doc12616620161101083520.pdf
01/11/2016 11:31 - CRISTIANOALVES | CI = 18053 | NOME_FISICO = 1478006920-64687700.xlsx | NOME_ORIGINAL = Lançamento dos Pedidos de Ressarcimentos de PIS e COFINS.xlsx | TAMANHO = 21 | DESCRICAO = Lançamento dos Pedidos de Ressarcimentos de PIS e COFINS
01/11/2016 11:31 - CRISTIANOALVES | CI = 18053 | NOME_FISICO = 1478006933-32427300.pdf | NOME_ORIGINAL = Apuração Estimativa 09_2016.pdf | TAMANHO = 51 | DESCRICAO = Apuração Estimativa 09_2016
01/11/2016 11:35 - ELISSANDRA | CI = 18054 | NOME_FISICO = 1478007299-86562600.pdf | NOME_ORIGINAL = doc12629220161101125543.pdf | TAMANHO = 332 | DESCRICAO = doc12629220161101125543.pdf
01/11/2016 13:54 - MATHEUSUZELOTTO | CI = 18056 | NOME_FISICO = 1478015623-16250200.pdf | NOME_ORIGINAL = irrigacana2.pdf | TAMANHO = 198 | DESCRICAO = irrigacana2.pdf
01/11/2016 13:54 - MATHEUSUZELOTTO | CI = 18056 | NOME_FISICO = 1478015623-18905000.pdf | NOME_ORIGINAL = irrigacana1.pdf | TAMANHO = 297 | DESCRICAO = irrigacana1.pdf
01/11/2016 14:10 - ALEXANDRE | CI = 18057 | NOME_FISICO = 1478016551-44375000.pdf | NOME_ORIGINAL = Oficio 3 Grandioso Almoço e Leilão Beneficente.pdf | TAMANHO = 2291 | DESCRICAO = Oficio 3 Grandioso Almoço e Leilão Beneficente.pdf
01/11/2016 15:23 - FRANCISCO | CI = 18061 | NOME_FISICO = 1478020902-52187700.pdf | NOME_ORIGINAL = DETRAN - TAXAS DE SERV .2016.pdf | TAMANHO = 316 | DESCRICAO = DETRAN - TAXAS DE SERV .2016.pdf
01/11/2016 15:40 - CRISTIANOALVES | CI = 18063 | NOME_FISICO = 1478021998-00625100.pdf | NOME_ORIGINAL = 17944.pdf | TAMANHO = 122 | DESCRICAO = C.I. 17944
01/11/2016 15:50 - CRISTIANOALVES | CI = 18064 | NOME_FISICO = 1478022646-25625200.pdf | NOME_ORIGINAL = 17687.pdf | TAMANHO = 326 | DESCRICAO = C.I. 17687
03/11/2016 07:55 - RODRIGO_POIT | CI = 18065 | NOME_FISICO = 1478166918-18312700.msg | NOME_ORIGINAL = Re RES RES RES COMRPOVANTE PGT - GUIA OFICIAL DE JUSTIÇA PROCESSO CAJURU.msg | TAMANHO = 242 | DESCRICAO = Re RES RES RES COMRPOVANTE PGT - GUIA OFICIAL DE JUSTIÇA PROCESSO CAJURU.msg
03/11/2016 08:12 - TIAGOCHIMINI | CI = 18066 | NOME_FISICO = 1478167952-21437700.275 | NOME_ORIGINAL = 9.05.275 | TAMANHO = 168 | DESCRICAO = 9.05.275
03/11/2016 09:10 - FRANCISCO | CI = 18068 | NOME_FISICO = 1478171452-10500100.pdf | NOME_ORIGINAL = CUPOM-RON.28-10.pdf | TAMANHO = 428 | DESCRICAO = CUPOM-RON.28-10.pdf
03/11/2016 09:14 - FRANCISCO | CI = 18069 | NOME_FISICO = 1478171641-02687600.pdf | NOME_ORIGINAL = CUPOM-RON.01-11.pdf | TAMANHO = 213 | DESCRICAO = CUPOM-RON.01-11.pdf
03/11/2016 09:24 - FRANCISCO | CI = 18072 | NOME_FISICO = 1478172257-30812600.pdf | NOME_ORIGINAL = CUPOM-NOTA-3085.pdf | TAMANHO = 224 | DESCRICAO = CUPOM-NOTA-3085.pdf
03/11/2016 09:45 - FERNANDOPIRES | CI = 18073 | NOME_FISICO = 1478173525-82375100.pdf | NOME_ORIGINAL = FF - despesas diversas - 03-11-2016.pdf | TAMANHO = 144 | DESCRICAO = FF - despesas diversas - 03-11-2016.pdf
03/11/2016 13:54 - MARTA | CI = 18078 | NOME_FISICO = 1478188469-10500100.pdf | NOME_ORIGINAL = darf 0561 vencimento 18 11 2016 usina.pdf | TAMANHO = 495 | DESCRICAO = DARF
03/11/2016 13:59 - MARTA | CI = 18079 | NOME_FISICO = 1478188748-33937700.pdf | NOME_ORIGINAL = darf 0561 vencimento 18 11 2016 agro.pdf | TAMANHO = 500 | DESCRICAO = DARF
03/11/2016 14:09 - FRANCISCO | CI = 18085 | NOME_FISICO = 1478189259-96437600.xlsx | NOME_ORIGINAL = LIC. REB.-ANO 2016-FINAL-09.xlsx | TAMANHO = 12 | DESCRICAO = LIC. REB.-ANO 2016-FINAL-09.xlsx
03/11/2016 16:30 - ELISSANDRA | CI = 18092 | NOME_FISICO = 1478197772-51125200.pdf | NOME_ORIGINAL = doc12641320161103175333.pdf | TAMANHO = 190 | DESCRICAO = doc12641320161103175333.pdf
04/11/2016 09:39 - VELOSA | CI = 18096 | NOME_FISICO = 1478259562-33937700.pdf | NOME_ORIGINAL = ISS - São Paulo.pdf | TAMANHO = 847 | DESCRICAO = ISS - São Paulo.pdf
04/11/2016 10:07 - VALDINEI | CI = 18101 | NOME_FISICO = 1478261219-15187600.pdf | NOME_ORIGINAL = Conta de Energia - Novembro - 2016.pdf | TAMANHO = 601 | DESCRICAO = Conta de Energia - Novembro - 2016.pdf
04/11/2016 11:17 - MARIANACAMPOS | CI = 18106 | NOME_FISICO = 1478265258-62062700.pdf | NOME_ORIGINAL = reembolso.pdf | TAMANHO = 362 | DESCRICAO = reembolso.pdf
