01/12/2016 08:09 - MARCELOGODOI | CI = 18416 | NOME_FISICO = 1480586957-13950100.pdf | NOME_ORIGINAL = DARE.pdf | TAMANHO = 70 | DESCRICAO = DARE.pdf
01/12/2016 08:39 - KLEBER | CI = 18419 | NOME_FISICO = 1480588757-56137600.pdf | NOME_ORIGINAL = 2057_001.pdf | TAMANHO = 101 | DESCRICAO = 2057_001.pdf
01/12/2016 09:06 - FRANCISCO | CI = 18421 | NOME_FISICO = 1480590350-56137600.pdf | NOME_ORIGINAL = CUPOM-RON DH-24-11.pdf | TAMANHO = 192 | DESCRICAO = CUPOM-RON DH-24-11.pdf
01/12/2016 14:27 - LUISMORETTI | CI = 18426 | NOME_FISICO = 1480609600-87387600.pdf | NOME_ORIGINAL = Catanduva.pdf | TAMANHO = 294 | DESCRICAO = Catanduva.pdf
01/12/2016 16:15 - MICHELAAUGUSTO | CI = 18428 | NOME_FISICO = 1480616106-43637700.pdf | NOME_ORIGINAL = FISF0064 - Pagto Real.pdf | TAMANHO = 133 | DESCRICAO = FISF0064 - Pagto Real.pdf
01/12/2016 16:15 - MICHELAAUGUSTO | CI = 18428 | NOME_FISICO = 1480616106-47596800.pdf | NOME_ORIGINAL = FISF0064 - Prev. Pagto - Titulos Baixados.pdf | TAMANHO = 28 | DESCRICAO = FISF0064 - Prev. Pagto - Titulos Baixados.pdf
01/12/2016 16:15 - MICHELAAUGUSTO | CI = 18428 | NOME_FISICO = 1480616106-49277000.pdf | NOME_ORIGINAL = FISF0064 - Prev. Pagto - Titulos NÃO Baixados.pdf | TAMANHO = 45 | DESCRICAO = FISF0064 - Prev. Pagto - Titulos NÃO Baixados.pdf
01/12/2016 16:15 - MICHELAAUGUSTO | CI = 18428 | NOME_FISICO = 1480616106-51103000.pdf | NOME_ORIGINAL = CPAF0017.pdf | TAMANHO = 24 | DESCRICAO = CPAF0017.pdf
01/12/2016 16:15 - MICHELAAUGUSTO | CI = 18428 | NOME_FISICO = 1480616106-52741800.pdf | NOME_ORIGINAL = DARF cód. 5952 - 10.2016.pdf | TAMANHO = 57 | DESCRICAO = DARF cód. 5952 - 10.2016.pdf
02/12/2016 08:40 - FERNANDOPIRES | CI = 18433 | NOME_FISICO = 1480675251-20200100.pdf | NOME_ORIGINAL = Matrícula para 2017 - FMU - FAZER CI - 02-12-2016.pdf | TAMANHO = 17 | DESCRICAO = Matrícula para 2017 - FMU - FAZER CI - 02-12-2016.pdf
02/12/2016 10:22 - FRANCISCO | CI = 18435 | NOME_FISICO = 1480681348-03012600.pdf | NOME_ORIGINAL = CUPOM-RON-26-11-RH.pdf | TAMANHO = 325 | DESCRICAO = CUPOM-RON-26-11-RH.pdf
