02/01/2017 08:47 - FRANCISCO | CI = 18800 | NOME_FISICO = 1483354019-53625100.pdf | NOME_ORIGINAL = CUPOM-RON.-29-12.pdf | TAMANHO = 407 | DESCRICAO = CUPOM-RON.-29-12.pdf
02/01/2017 08:55 - CLEBERRONDI | CI = 18801 | NOME_FISICO = 1483352636-95812600.pdf | NOME_ORIGINAL = Documentos.pdf | TAMANHO = 2517 | DESCRICAO = Documentos.pdf
02/01/2017 14:48 - FRANCISCO | CI = 18809 | NOME_FISICO = 1483375662-34875100.pdf | NOME_ORIGINAL = DETRAN - TAXAS DE SERV .2016.pdf | TAMANHO = 316 | DESCRICAO = DETRAN - TAXAS DE SERV .2016.pdf
02/01/2017 16:15 - MARVYNALVES | CI = 18811 | NOME_FISICO = 1483380886-39562600.pdf | NOME_ORIGINAL = STATUS PROJ. 9.05.113.pdf | TAMANHO = 42 | DESCRICAO = RELATORIO PROJ. 9.05.113
03/01/2017 08:59 - LARISSALIMA | CI = 18814 | NOME_FISICO = 1483441165-47375100.pdf | NOME_ORIGINAL = doc08710920161223143637.pdf | TAMANHO = 468 | DESCRICAO = doc08710920161223143637.pdf
03/01/2017 14:31 - MICHELAAUGUSTO | CI = 18830 | NOME_FISICO = 1483460029-81750100.msg | NOME_ORIGINAL = RES  Pagamentos à CARAMURÚ CONSTRUÇÕES.msg | TAMANHO = 161 | DESCRICAO = RES  Pagamentos à CARAMURÚ CONSTRUÇÕES.msg
03/01/2017 15:34 - ZEZE | CI = 18831 | NOME_FISICO = 1483464824-53625100.pdf | NOME_ORIGINAL = Patrocinio Anderson 17.pdf | TAMANHO = 233 | DESCRICAO = Patrocinio Anderson 17.pdf
04/01/2017 08:49 - MARVYNALVES | CI = 18840 | NOME_FISICO = 1483526944-75500100.pdf | NOME_ORIGINAL = STATUS PROJ. 9.05.430.pdf | TAMANHO = 17 | DESCRICAO = RELATORIO PROJ. 9.05.430
04/01/2017 10:17 - ROSEMEIRESGOTI | CI = 18844 | NOME_FISICO = 1483532240-75212700.pdf | NOME_ORIGINAL = doc13021320170104113037.pdf | TAMANHO = 248 | DESCRICAO = doc13021320170104113037.pdf
04/01/2017 10:28 - MARVYNALVES | CI = 18845 | NOME_FISICO = 1483532167-01775100.pdf | NOME_ORIGINAL = COMPLEMENTO 9.05.107.pdf | TAMANHO = 88 | DESCRICAO = Relatorio do Projeto 9.05.107
04/01/2017 10:44 - MARVYNALVES | CI = 18846 | NOME_FISICO = 1483533675-25212700.pdf | NOME_ORIGINAL = COMPLEMENTO 9.05.176.pdf | TAMANHO = 45 | DESCRICAO = RELATORIO PROJ. 9.05.176
04/01/2017 13:01 - FERNANDOPIRES | CI = 18848 | NOME_FISICO = 1483542063-17400200.pdf | NOME_ORIGINAL = Boleto Ticket - 02-02-2017.pdf | TAMANHO = 62 | DESCRICAO = Boleto Ticket - 02-02-2017.pdf
04/01/2017 13:01 - FERNANDOPIRES | CI = 18848 | NOME_FISICO = 1483542063-21680800.pdf | NOME_ORIGINAL = NF Ticket.pdf | TAMANHO = 9.62 | DESCRICAO = NF Ticket.pdf
04/01/2017 14:12 - MARVYNALVES | CI = 18849 | NOME_FISICO = 1483546326-36150100.pdf | NOME_ORIGINAL = COMPLEMENTO 9.05.251.pdf | TAMANHO = 21 | DESCRICAO = Relatorio Proj. 9.05.251
04/01/2017 16:12 - ELISSANDRA | CI = 18853 | NOME_FISICO = 1483553523-03337600.pdf | NOME_ORIGINAL = doc13029820170104173235.pdf | TAMANHO = 211 | DESCRICAO = doc13029820170104173235.pdf
04/01/2017 16:16 - ELISSANDRA | CI = 18854 | NOME_FISICO = 1483553744-72087600.pdf | NOME_ORIGINAL = doc13029920170104173614.pdf | TAMANHO = 276 | DESCRICAO = doc13029920170104173614.pdf
04/01/2017 16:19 - ELISSANDRA | CI = 18855 | NOME_FISICO = 1483553953-40837600.pdf | NOME_ORIGINAL = doc13030420170104173907.pdf | TAMANHO = 197 | DESCRICAO = doc13030420170104173907.pdf
04/01/2017 16:29 - ELISSANDRA | CI = 18856 | NOME_FISICO = 1483554523-12712700.pdf | NOME_ORIGINAL = doc13030520170104174609.pdf | TAMANHO = 509 | DESCRICAO = doc13030520170104174609.pdf
05/01/2017 07:34 - MICHELAAUGUSTO | CI = 18858 | NOME_FISICO = 1483608838-73650200.pdf | NOME_ORIGINAL = apuração INSS 12.2016.pdf | TAMANHO = 268 | DESCRICAO = apuração INSS 12.2016.pdf
05/01/2017 13:00 - VELOSA | CI = 18864 | NOME_FISICO = 1483628364-22087600.pdf | NOME_ORIGINAL = ISS - São Paulo - relatório financeiro.pdf | TAMANHO = 135 | DESCRICAO = ISS - São Paulo - relatório financeiro.pdf
05/01/2017 13:00 - VELOSA | CI = 18864 | NOME_FISICO = 1483628376-36150200.pdf | NOME_ORIGINAL = ISS - São Paulo.pdf | TAMANHO = 73 | DESCRICAO = ISS - São Paulo.pdf
05/01/2017 13:00 - VELOSA | CI = 18864 | NOME_FISICO = 1483628387-45525100.PDF | NOME_ORIGINAL = Guia ISS - São Paulo.PDF | TAMANHO = 55 | DESCRICAO = Guia ISS - São Paulo.PDF
05/01/2017 14:16 - FRANCISCO | CI = 18872 | NOME_FISICO = 1483632983-33025200.pdf | NOME_ORIGINAL = CUPOM-RON.03-01.pdf | TAMANHO = 204 | DESCRICAO = CUPOM-RON.03-01.pdf
05/01/2017 14:41 - VELOSA | CI = 18873 | NOME_FISICO = 1483634459-93962600.PDF | NOME_ORIGINAL = IRRF Usina.PDF | TAMANHO = 238 | DESCRICAO = IRRF Usina.PDF
05/01/2017 14:41 - VELOSA | CI = 18873 | NOME_FISICO = 1483634472-40837600.PDF | NOME_ORIGINAL = IRRF Usina - relatório financeiro.PDF | TAMANHO = 214 | DESCRICAO = IRRF Usina - relatório financeiro.PDF
