02/05/2017 09:22 - FRANCISCO | CI = 20411 | NOME_FISICO = 1493727635-89706300.pdf | NOME_ORIGINAL = CUPOM RON.28-04-.pdf | TAMANHO = 611 | DESCRICAO = CUPOM RON.28-04-.pdf
02/05/2017 09:40 - FRANCISCO | CI = 20413 | NOME_FISICO = 1493728800-56893800.pdf | NOME_ORIGINAL = CUPOM-SANDRO-DUC..pdf | TAMANHO = 205 | DESCRICAO = CUPOM-SANDRO-DUC..pdf
02/05/2017 09:51 - FRANCISCO | CI = 20414 | NOME_FISICO = 1493729466-11581300.pdf | NOME_ORIGINAL = CUPOM-AIRTON-28-04.pdf | TAMANHO = 338 | DESCRICAO = CUPOM-AIRTON-28-04.pdf
02/05/2017 14:16 - ZEZE | CI = 20419 | NOME_FISICO = 1493745399-42831300.msg | NOME_ORIGINAL = Re APAE Arraiá da Bondade 2017.msg | TAMANHO = 140 | DESCRICAO = Re APAE Arraiá da Bondade 2017.msg
02/05/2017 14:45 - KLEBER | CI = 20421 | NOME_FISICO = 1493747076-60018900.pdf | NOME_ORIGINAL = Untitled_05022017_112156.pdf | TAMANHO = 397 | DESCRICAO = Untitled_05022017_112156.pdf
02/05/2017 15:09 - FRANCISCO | CI = 20424 | NOME_FISICO = 1493748587-75643900.pdf | NOME_ORIGINAL = CUPOM - AIRT. 02-05-.pdf | TAMANHO = 227 | DESCRICAO = CUPOM - AIRT. 02-05-.pdf
02/05/2017 15:19 - RODRIGO_POIT | CI = 20425 | NOME_FISICO = 1493749136-47518800.pdf | NOME_ORIGINAL = despesas joisy.pdf | TAMANHO = 269 | DESCRICAO = despesas joisy.pdf
02/05/2017 15:56 - MICHELAAUGUSTO | CI = 20426 | NOME_FISICO = 1493751205-35018800.pdf | NOME_ORIGINAL = NFS 1916.pdf | TAMANHO = 248 | DESCRICAO = NFS 1916.pdf
03/05/2017 08:26 - KLEBER | CI = 20430 | NOME_FISICO = 1493810752-39706400.pdf | NOME_ORIGINAL = refeicao 27 de abril.pdf | TAMANHO = 416 | DESCRICAO = refeicao 27 de abril.pdf
03/05/2017 09:57 - LUISMOREIRA | CI = 20431 | NOME_FISICO = 1493816246-28768800.pdf | NOME_ORIGINAL = CONTA ENERGIA.pdf | TAMANHO = 922 | DESCRICAO = CONTA ENERGIA.pdf
03/05/2017 11:14 - MONICA | CI = 20432 | NOME_FISICO = 1493820791-08456300.pdf | NOME_ORIGINAL = Desconto NFEC Fornecedor Safra 2016.pdf | TAMANHO = 40 | DESCRICAO = Desconto NFEC Fornecedor Safra 2016.pdf
03/05/2017 15:22 - FRANCISCO | CI = 20438 | NOME_FISICO = 1493835701-31893900.xlsx | NOME_ORIGINAL = LICENC.VEÍC. - FINAL  - 02-2017.xlsx | TAMANHO = 14 | DESCRICAO = LICENC.VEÍC. - FINAL  - 02-2017.xlsx
03/05/2017 15:32 - STEFANIAESTEVO | CI = 20439 | NOME_FISICO = 1493836356-06893800.pdf | NOME_ORIGINAL = CUPOM FISCAL 03-05.pdf | TAMANHO = 546 | DESCRICAO = CUPOM FISCAL
03/05/2017 15:57 - SUZANA | CI = 20440 | NOME_FISICO = 1493837768-66268800.pdf | NOME_ORIGINAL = GR Certidão.pdf | TAMANHO = 749 | DESCRICAO = GR Certidão.pdf
04/05/2017 10:03 - VALDINEI | CI = 20450 | NOME_FISICO = 1493902992-70112700.pdf | NOME_ORIGINAL = Boleto.pdf | TAMANHO = 483 | DESCRICAO = Boleto.pdf
04/05/2017 10:34 - RODRIGO_POIT | CI = 20451 | NOME_FISICO = 1493904868-66987500.pdf | NOME_ORIGINAL = despesas faiz.pdf | TAMANHO = 2501 | DESCRICAO = despesas faiz.pdf
04/05/2017 13:46 - FRANCISCO | CI = 20458 | NOME_FISICO = 1493916373-73237700.pdf | NOME_ORIGINAL = CUPOM - RON.-18-04.pdf | TAMANHO = 490 | DESCRICAO = CUPOM - RON.-18-04.pdf
04/05/2017 14:03 - SUZANA | CI = 20460 | NOME_FISICO = 1493917328-56050100.pdf | NOME_ORIGINAL = boleto_04-05-2017-11-11.pdf | TAMANHO = 326 | DESCRICAO = boleto_04-05-2017-11-11.pdf
04/05/2017 14:22 - FRANCISCO | CI = 20463 | NOME_FISICO = 1493918517-84175100.pdf | NOME_ORIGINAL = IPVA-FROTA-1547-48-49-50.pdf | TAMANHO = 1912 | DESCRICAO = IPVA-FROTA-1547-48-49-50.pdf
04/05/2017 14:34 - FRANCISCO | CI = 20465 | NOME_FISICO = 1493919242-84175100.pdf | NOME_ORIGINAL = AUTO INF. 714912-3.pdf | TAMANHO = 731 | DESCRICAO = AUTO INF. 714912-3.pdf
05/05/2017 08:44 - FRANCISCO | CI = 20477 | NOME_FISICO = 1493984623-96675100.pdf | NOME_ORIGINAL = AUTO INF. 406222-3.pdf | TAMANHO = 602 | DESCRICAO = AUTO INF. 406222-3.pdf
05/05/2017 13:32 - FRANCISCO | CI = 20486 | NOME_FISICO = 1494001914-46675100.pdf | NOME_ORIGINAL = CUPOM-AIRT. 05-05.pdf | TAMANHO = 249 | DESCRICAO = CUPOM-AIRT. 05-05.pdf
05/05/2017 15:42 - FRANCISCO | CI = 20488 | NOME_FISICO = 1494009760-38862500.pdf | NOME_ORIGINAL = CUPOM-RON.-02-05.pdf | TAMANHO = 202 | DESCRICAO = CUPOM-RON.-02-05.pdf
05/05/2017 15:44 - RAQUEL | CI = 20489 | NOME_FISICO = 1494009540-59175100.msg | NOME_ORIGINAL = RES Concreto Importante.msg | TAMANHO = 115 | DESCRICAO = RES Concreto Importante.msg
05/05/2017 15:44 - RAQUEL | CI = 20489 | NOME_FISICO = 1494009720-09175100.pdf | NOME_ORIGINAL = PROJETO 9 05 390 CONSTRUÇÃO GALPÃO.pdf | TAMANHO = 21 | DESCRICAO = PROJETO 9 05 390 CONSTRUÇÃO GALPÃO.pdf
05/05/2017 16:32 - MARTA | CI = 20490 | NOME_FISICO = 1494012419-52925100.pdf | NOME_ORIGINAL = Despesa 05 05 2017.pdf | TAMANHO = 1216 | DESCRICAO = Despesa 05 05 2017
05/05/2017 17:20 - AREIAS | CI = 20491 | NOME_FISICO = 1494015512-16987600.pdf | NOME_ORIGINAL = 02 Oficio Usina Santa Fé 2017 (003) 13.º RC MEC.pdf | TAMANHO = 250 | DESCRICAO = 02 Oficio Usina Santa Fé 2017 (003) 13.º RC MEC.pdf
08/05/2017 07:21 - KLEBER | CI = 20494 | NOME_FISICO = 1494238866-17162600.pdf | NOME_ORIGINAL = Refeição.pdf | TAMANHO = 321 | DESCRICAO = Refeição.pdf
08/05/2017 07:38 - KLEBER | CI = 20495 | NOME_FISICO = 1494239870-26537600.pdf | NOME_ORIGINAL = São Paulo.pdf | TAMANHO = 1981 | DESCRICAO = São Paulo.pdf
08/05/2017 08:32 - FRANCISCO | CI = 20497 | NOME_FISICO = 1494243097-98412600.pdf | NOME_ORIGINAL = CUPOM-AIRT. 06-05.pdf | TAMANHO = 405 | DESCRICAO = CUPOM-AIRT. 06-05.pdf
08/05/2017 09:15 - FRANCISCO | CI = 20500 | NOME_FISICO = 1494245682-57787500.pdf | NOME_ORIGINAL = CUPOM-RON .06-05-.pdf | TAMANHO = 411 | DESCRICAO = CUPOM-RON .06-05-.pdf
08/05/2017 10:12 - RODRIGO_POIT | CI = 20504 | NOME_FISICO = 1494248880-81225100.msg | NOME_ORIGINAL = PUBLICAÇÃO HOLOGAÇÃO CÁLCULO PROC. 1056716 - OLIVEIRA APARECIDO JUSTIMIANO.msg | TAMANHO = 60 | DESCRICAO = PUBLICAÇÃO HOLOGAÇÃO CÁLCULO PROC. 1056716 - OLIVEIRA APARECIDO JUSTIMIANO.msg
08/05/2017 13:27 - VALDINEI | CI = 20508 | NOME_FISICO = 1494260841-10912600.pdf | NOME_ORIGINAL = Conta de Energia - Maio - 2017.pdf | TAMANHO = 865 | DESCRICAO = Conta de Energia - Maio - 2017.pdf
08/05/2017 13:35 - VALDINEI | CI = 20509 | NOME_FISICO = 1494261325-06225100.pdf | NOME_ORIGINAL = Boleto - Maio - 2017.pdf | TAMANHO = 618 | DESCRICAO = Boleto - Maio - 2017.pdf
09/05/2017 07:13 - KLEBER | CI = 20514 | NOME_FISICO = 1494324717-67162600.pdf | NOME_ORIGINAL = CPFL - SENAI.pdf | TAMANHO = 420 | DESCRICAO = CPFL - SENAI.pdf
09/05/2017 08:28 - RODRIGO_POIT | CI = 20516 | NOME_FISICO = 1494329327-70287500.msg | NOME_ORIGINAL = Clinica Nog.msg | TAMANHO = 251 | DESCRICAO = Clinica Nog.msg
09/05/2017 09:37 - SANTANA | CI = 20519 | NOME_FISICO = 1494333458-99975100.pdf | NOME_ORIGINAL = ExtratoDetalhado (3).pdf | TAMANHO = 224 | DESCRICAO = ExtratoDetalhado (3).pdf
09/05/2017 09:37 - SANTANA | CI = 20519 | NOME_FISICO = 1494333459-26540300.pdf | NOME_ORIGINAL = GARE (3).pdf | TAMANHO = 11 | DESCRICAO = GARE (3).pdf
09/05/2017 09:52 - SANTANA | CI = 20520 | NOME_FISICO = 1494334323-14037600.pdf | NOME_ORIGINAL = Funrural Agro.pdf | TAMANHO = 647 | DESCRICAO = Funrural Agro.pdf
