02/10/2017 10:21 - MONICA | CI = 22143 | NOME_FISICO = 1506950477-62487600.msg | NOME_ORIGINAL = ASSINATURA CONSECANA.msg | TAMANHO = 138 | DESCRICAO = ASSINATURA CONSECANA.msg
02/10/2017 16:48 - ELISSANDRA | CI = 22148 | NOME_FISICO = 1506973703-21862600.pdf | NOME_ORIGINAL = Untitled_20171002_163339.pdf | TAMANHO = 1726 | DESCRICAO = Untitled_20171002_163339.pdf
03/10/2017 08:51 - OTAVIOGIRO | CI = 22149 | NOME_FISICO = 1507031433-57800200.xlsx | NOME_ORIGINAL = Licencimanto Final 08 - 2017.xlsx | TAMANHO = 13 | DESCRICAO = Licencimanto Final 08 - 2017.xlsx
03/10/2017 09:48 - OTAVIOGIRO | CI = 22151 | NOME_FISICO = 1507034811-54675100.xlsx | NOME_ORIGINAL = Licencimanto Caminhões.xlsx | TAMANHO = 12 | DESCRICAO = Licencimanto Caminhões.xlsx
03/10/2017 10:16 - RODRIGO_POIT | CI = 22153 | NOME_FISICO = 1507036402-90612700.pdf | NOME_ORIGINAL = despesas.pdf | TAMANHO = 2641 | DESCRICAO = despesas.pdf
03/10/2017 10:31 - MARCELOGODOI | CI = 22154 | NOME_FISICO = 1507037260-93737600.pdf | NOME_ORIGINAL = RECIBOS.pdf | TAMANHO = 684 | DESCRICAO = RECIBOS.pdf
03/10/2017 13:03 - FERNANDOPIRES | CI = 22162 | NOME_FISICO = 1507046623-24987600.pdf | NOME_ORIGINAL = FF - Despesas diversas - 03-10-2017.pdf | TAMANHO = 1657 | DESCRICAO = FF - Despesas diversas - 03-10-2017.pdf
03/10/2017 13:13 - MICHELAAUGUSTO | CI = 22163 | NOME_FISICO = 1507047194-04675100.pdf | NOME_ORIGINAL = INSS Faturamento 09.2017.pdf | TAMANHO = 109 | DESCRICAO = INSS Faturamento 09.2017.pdf
04/10/2017 07:41 - STEFANIAESTEVO | CI = 22169 | NOME_FISICO = 1507113683-42175100.pdf | NOME_ORIGINAL = CUPOM FISCAL 04-10.pdf | TAMANHO = 437 | DESCRICAO = CUPOM FISCAL
04/10/2017 09:33 - DENISESANTOS | CI = 22172 | NOME_FISICO = 1507120308-24987600.pdf | NOME_ORIGINAL = REEMBOLSO ITR 2017.pdf | TAMANHO = 507 | DESCRICAO = REEMBOLSO ITR 2017.pdf
04/10/2017 13:10 - JAQUELINEFERREIRA | CI = 22176 | NOME_FISICO = 1507133319-76550200.pdf | NOME_ORIGINAL = NF_PEÇAS GOTEJO 1.pdf | TAMANHO = 380 | DESCRICAO = NF_PEÇAS GOTEJO 1.pdf
04/10/2017 13:10 - JAQUELINEFERREIRA | CI = 22176 | NOME_FISICO = 1507133324-67175200.pdf | NOME_ORIGINAL = NF_PEÇAS GOTEJO 2.pdf | TAMANHO = 373 | DESCRICAO = NF_PEÇAS GOTEJO 2.pdf
04/10/2017 13:10 - JAQUELINEFERREIRA | CI = 22176 | NOME_FISICO = 1507133338-65612700.pdf | NOME_ORIGINAL = NF_PEÇAS GOTEJO 3 e 4.pdf | TAMANHO = 413 | DESCRICAO = NF_PEÇAS GOTEJO 3 e 4.pdf
04/10/2017 13:10 - JAQUELINEFERREIRA | CI = 22176 | NOME_FISICO = 1507133345-57800100.pdf | NOME_ORIGINAL = NF_PEÇAS GOTEJO 5.pdf | TAMANHO = 691 | DESCRICAO = NF_PEÇAS GOTEJO 5.pdf
04/10/2017 13:10 - JAQUELINEFERREIRA | CI = 22176 | NOME_FISICO = 1507133377-64050200.pdf | NOME_ORIGINAL = NF_PRÇAS GOTEJO 5 (1 E 2).pdf | TAMANHO = 319 | DESCRICAO = NF_PRÇAS GOTEJO 5 (1 E 2).pdf
04/10/2017 14:20 - MICHELAAUGUSTO | CI = 22180 | NOME_FISICO = 1507137601-89050100.pdf | NOME_ORIGINAL = IRRF 8053.pdf | TAMANHO = 28 | DESCRICAO = IRRF 8053.pdf
04/10/2017 15:48 - RODRIGO_POIT | CI = 22182 | NOME_FISICO = 1507142884-64050100.pdf | NOME_ORIGINAL = despesa.pdf | TAMANHO = 269 | DESCRICAO = despesa.pdf
04/10/2017 16:30 - ELISSANDRA | CI = 22183 | NOME_FISICO = 1507145390-65612600.pdf | NOME_ORIGINAL = Untitled_20171004_162502.pdf | TAMANHO = 264 | DESCRICAO = Untitled_20171004_162502.pdf
05/10/2017 07:24 - MICHELAAUGUSTO | CI = 22184 | NOME_FISICO = 1507199034-90710300.pdf | NOME_ORIGINAL = 20732.17190.290917.1.3.19-8078 - Original.pdf | TAMANHO = 92 | DESCRICAO = 20732.17190.290917.1.3.19-8078 - Original.pdf
05/10/2017 07:32 - MICHELAAUGUSTO | CI = 22185 | NOME_FISICO = 1507199507-81335200.pdf | NOME_ORIGINAL = Despesas do Cartório.pdf | TAMANHO = 63 | DESCRICAO = Despesas do Cartório.pdf
05/10/2017 08:56 - MICHELAAUGUSTO | CI = 22186 | NOME_FISICO = 1507204482-21960200.pdf | NOME_ORIGINAL = FISF0064 - 09.2017.pdf | TAMANHO = 13 | DESCRICAO = FISF0064 - 09.2017.pdf
05/10/2017 08:56 - MICHELAAUGUSTO | CI = 22186 | NOME_FISICO = 1507204489-04772700.pdf | NOME_ORIGINAL = CPAF0017 - 09.2017.pdf | TAMANHO = 14 | DESCRICAO = CPAF0017 - 09.2017.pdf
05/10/2017 08:56 - MICHELAAUGUSTO | CI = 22186 | NOME_FISICO = 1507204501-62585200.PDF | NOME_ORIGINAL = GUIA ISS - 09.2017.PDF | TAMANHO = 56 | DESCRICAO = GUIA ISS - 09.2017.PDF
05/10/2017 10:36 - MICHELAAUGUSTO | CI = 22188 | NOME_FISICO = 1507210569-45397800.pdf | NOME_ORIGINAL = FISF0064 - 09.2017.pdf | TAMANHO = 92 | DESCRICAO = FISF0064 - 09.2017.pdf
05/10/2017 10:36 - MICHELAAUGUSTO | CI = 22188 | NOME_FISICO = 1507210576-26647700.pdf | NOME_ORIGINAL = CPAF0017 - 09.2017.pdf | TAMANHO = 15 | DESCRICAO = CPAF0017 - 09.2017.pdf
05/10/2017 10:36 - MICHELAAUGUSTO | CI = 22188 | NOME_FISICO = 1507210585-31335300.pdf | NOME_ORIGINAL = GUIA ISSQN - STª FÉ 21.pdf | TAMANHO = 39 | DESCRICAO = GUIA ISSQN - STª FÉ 21.pdf
05/10/2017 11:13 - MICHELAAUGUSTO | CI = 22189 | NOME_FISICO = 1507212683-84460200.pdf | NOME_ORIGINAL = FAFT0031 - 09.2017.pdf | TAMANHO = 12 | DESCRICAO = FAFT0031 - 09.2017.pdf
05/10/2017 11:18 - MICHELAAUGUSTO | CI = 22190 | NOME_FISICO = 1507213118-62585200.pdf | NOME_ORIGINAL = FISF0111 - 09.2017.pdf | TAMANHO = 53 | DESCRICAO = FISF0111 - 09.2017.pdf
05/10/2017 11:48 - FABIOTOMASETTO | CI = 22191 | NOME_FISICO = 1507214845-32897700.pdf | NOME_ORIGINAL = 24-07-2017 USINA STA FE Nota Fiscal.pdf | TAMANHO = 290 | DESCRICAO = 24-07-2017 USINA STA FE Nota Fiscal.pdf
05/10/2017 14:02 - ELISSANDRA | CI = 22193 | NOME_FISICO = 1507222821-21960200.pdf | NOME_ORIGINAL = Untitled_20171005_135535.pdf | TAMANHO = 438 | DESCRICAO = Untitled_20171005_135535.pdf
05/10/2017 14:05 - ELISSANDRA | CI = 22194 | NOME_FISICO = 1507223114-61022700.pdf | NOME_ORIGINAL = Untitled_20171005_140008.pdf | TAMANHO = 413 | DESCRICAO = Untitled_20171005_140008.pdf
05/10/2017 14:46 - MICHELAAUGUSTO | CI = 22198 | NOME_FISICO = 1507225557-84460200.pdf | NOME_ORIGINAL = FISF0064 - 09.2017.pdf | TAMANHO = 14 | DESCRICAO = FISF0064 - 09.2017.pdf
05/10/2017 14:46 - MICHELAAUGUSTO | CI = 22198 | NOME_FISICO = 1507225565-20397800.pdf | NOME_ORIGINAL = CPAF0017 - 09.2017.pdf | TAMANHO = 14 | DESCRICAO = CPAF0017 - 09.2017.pdf
05/10/2017 15:22 - MATHEUSRODRIGUES | CI = 22205 | NOME_FISICO = 1507227695-29772700.pdf | NOME_ORIGINAL = EVENTO_UDOP.pdf | TAMANHO = 856 | DESCRICAO = EVENTO_UDOP.pdf
05/10/2017 15:42 - RODRIGO_POIT | CI = 22206 | NOME_FISICO = 1507228352-76647800.pdf | NOME_ORIGINAL = Ata.pdf | TAMANHO = 873 | DESCRICAO = Ata.pdf
05/10/2017 15:42 - RODRIGO_POIT | CI = 22206 | NOME_FISICO = 1507228353-44644900.pdf | NOME_ORIGINAL = Cálculo Usina.pdf | TAMANHO = 874 | DESCRICAO = Cálculo Usina.pdf
05/10/2017 15:42 - RODRIGO_POIT | CI = 22206 | NOME_FISICO = 1507228353-46376900.pdf | NOME_ORIGINAL = Cálculo Reclamante.pdf | TAMANHO = 940 | DESCRICAO = Cálculo Reclamante.pdf
