02/01/2018 09:20 - RODRIGO_POIT | CI = 23180 | NOME_FISICO = 1514891967-66200100.pdf | NOME_ORIGINAL = Despesas.pdf | TAMANHO = 1344 | DESCRICAO = Despesas.pdf
02/01/2018 10:47 - LUISMOREIRA | CI = 23185 | NOME_FISICO = 1514897170-03700100.pdf | NOME_ORIGINAL = CI.pdf | TAMANHO = 441 | DESCRICAO = CI.pdf
02/01/2018 13:18 - FERNANDOPIRES | CI = 23193 | NOME_FISICO = 1514906121-89637600.pdf | NOME_ORIGINAL = FF - despesas diversas - 02-01-2018.pdf | TAMANHO = 1265 | DESCRICAO = FF - despesas diversas - 02-01-2018.pdf
02/01/2018 13:42 - FABRICIOTOMASETTO | CI = 23194 | NOME_FISICO = 1514907707-08387600.pdf | NOME_ORIGINAL = Comprovante Pagamento ART Faz. Gruta Azul.pdf | TAMANHO = 1285 | DESCRICAO = Comprovante de pagamento da ART Faz Gruta Azul
02/01/2018 13:42 - FABRICIOTOMASETTO | CI = 23194 | NOME_FISICO = 1514907707-93041300.pdf | NOME_ORIGINAL = Comprovante Pagamento ART Faz. Santana.pdf | TAMANHO = 1282 | DESCRICAO = Comprovante de pagamento da ART Faz São João da Santana
03/01/2018 07:18 - MATHEUSRODRIGUES | CI = 23198 | NOME_FISICO = 1514971051-93462600.pdf | NOME_ORIGINAL = ocpr0005.pdf | TAMANHO = 16 | DESCRICAO = ocpr0005.pdf
03/01/2018 09:18 - REGI | CI = 23218 | NOME_FISICO = 1514978254-02837600.xlsx | NOME_ORIGINAL = Relação Férias para 11_01_18.xlsx | TAMANHO = 19 | DESCRICAO = Relação Férias para 11_01_18.xlsx
03/01/2018 09:34 - MARCIO | CI = 23221 | NOME_FISICO = 1514979244-65337600.xlsx | NOME_ORIGINAL = Programação de Férias - 08-01-2018.xlsx | TAMANHO = 12 | DESCRICAO = Programação de Férias - 08-01-2018.xlsx
03/01/2018 09:51 - FABIOTOMASETTO | CI = 23222 | NOME_FISICO = 1514980242-12212600.xlsx | NOME_ORIGINAL = C.I. 08-01-2018.xlsx | TAMANHO = 12 | DESCRICAO = C.I. 08-01-2018.xlsx
03/01/2018 10:28 - LUISMORETTI | CI = 23228 | NOME_FISICO = 1514982475-16900100.xlsx | NOME_ORIGINAL = Férias 08 01.xlsx | TAMANHO = 9.77 | DESCRICAO = Férias 08 01.xlsx
03/01/2018 10:51 - LUISMORETTI | CI = 23232 | NOME_FISICO = 1514983890-40337700.xlsx | NOME_ORIGINAL = Férias 15 01.xlsx | TAMANHO = 9.55 | DESCRICAO = Férias 15 01.xlsx
03/01/2018 11:14 - REGI | CI = 23233 | NOME_FISICO = 1514985266-96587600.pdf | NOME_ORIGINAL = Viagem São Paulo 26_12_17.pdf | TAMANHO = 501 | DESCRICAO = Viagem São Paulo 26_12_17.pdf
03/01/2018 11:18 - REGI | CI = 23234 | NOME_FISICO = 1514985501-66900100.pdf | NOME_ORIGINAL = Viagem São Paulo 01_01_18.pdf | TAMANHO = 563 | DESCRICAO = Viagem São Paulo 01_01_18.pdf
03/01/2018 11:24 - REGI | CI = 23235 | NOME_FISICO = 1514985866-70025000.pdf | NOME_ORIGINAL = Viagem a Dobrada e Araraquara.pdf | TAMANHO = 315 | DESCRICAO = Viagem a Dobrada e Araraquara.pdf
03/01/2018 19:39 - TOM | CI = 23240 | NOME_FISICO = 1515015513-27837700.pdf | NOME_ORIGINAL = Sem Parar.pdf | TAMANHO = 95 | DESCRICAO = Sem Parar.pdf
04/01/2018 09:38 - FERNANDOPIRES | CI = 23248 | NOME_FISICO = 1515065871-32525100.pdf | NOME_ORIGINAL = Boleto Hackmann.pdf | TAMANHO = 54 | DESCRICAO = Boleto Hackmann.pdf
04/01/2018 09:38 - FERNANDOPIRES | CI = 23248 | NOME_FISICO = 1515065871-99107700.pdf | NOME_ORIGINAL = N.F. 1278 - Hackmann.pdf | TAMANHO = 51 | DESCRICAO = N.F. 1278 - Hackmann.pdf
04/01/2018 16:57 - THIAGO | CI = 23255 | NOME_FISICO = 1515091847-85650200.pdf | NOME_ORIGINAL = Prestação de Contas.pdf | TAMANHO = 1397 | DESCRICAO = Prestação de Contas.pdf
04/01/2018 17:01 - FABIOTOMASETTO | CI = 23256 | NOME_FISICO = 1515092505-23150100.xlsx | NOME_ORIGINAL = C.I.15-01-2018.xlsx | TAMANHO = 12 | DESCRICAO = C.I.15-01-2018.xlsx
05/01/2018 08:28 - FABIOTOMASETTO | CI = 23256 | NOME_FISICO = 1515148125-34087600.xlsx | NOME_ORIGINAL = C.I.15-01-2018.xlsx | TAMANHO = 12 | DESCRICAO = C.I.15-01-2018.xlsx
05/01/2018 16:23 - ALINEFERREIRA | CI = 23281 | NOME_FISICO = 1515176630-62212600.pdf | NOME_ORIGINAL = Perdas 05 sacas - Transvale - NF 234660.pdf | TAMANHO = 9.4 | DESCRICAO = Perdas 05 sacas - Transvale - NF 234660
08/01/2018 10:32 - VALDEREZ | CI = 23294 | NOME_FISICO = 1515414698-43387700.PDF | NOME_ORIGINAL = pensão de 09012018.PDF | TAMANHO = 9.59 | DESCRICAO = pensao 09012018
08/01/2018 11:00 - ALINEFERREIRA | CI = 23295 | NOME_FISICO = 1515416413-30887600.pdf | NOME_ORIGINAL = Sinistro 720 sacas 1500 Frete.pdf | TAMANHO = 8.05 | DESCRICAO = Sinistro 720 sacas 1500 Frete
08/01/2018 11:00 - ALINEFERREIRA | CI = 23295 | NOME_FISICO = 1515416427-46514000.pdf | NOME_ORIGINAL = Sinistro 720 sacas 1500.pdf | TAMANHO = 11 | DESCRICAO = Sinistro 720 sacas 1500
08/01/2018 11:19 - THIAGO | CI = 23296 | NOME_FISICO = 1515417501-13700000.pdf | NOME_ORIGINAL = Prestação de Contas PDF.pdf | TAMANHO = 1779 | DESCRICAO = Prestação de Contas PDF.pdf
08/01/2018 12:04 - THIAGO | CI = 23297 | NOME_FISICO = 1515420161-84012500.pdf | NOME_ORIGINAL = Prestação de Contas Passagem Aérea.pdf | TAMANHO = 959 | DESCRICAO = Prestação de Contas Passagem Aérea.pdf
08/01/2018 13:11 - FERNANDOPIRES | CI = 23300 | NOME_FISICO = 1515424261-19950100.pdf | NOME_ORIGINAL = Boleto ticket - 02-02-18.pdf | TAMANHO = 62 | DESCRICAO = Boleto ticket - 02-02-18.pdf
08/01/2018 13:11 - FERNANDOPIRES | CI = 23300 | NOME_FISICO = 1515424261-24222300.pdf | NOME_ORIGINAL = Nota Fiscal Ticket.pdf | TAMANHO = 9.6 | DESCRICAO = Nota Fiscal Ticket.pdf
08/01/2018 14:36 - SANDRA | CI = 23302 | NOME_FISICO = 1515429096-76200100.pdf | NOME_ORIGINAL = Rodonaves Frete 31171244914992001290570010022273761022273763-cte.pdf | TAMANHO = 46 | DESCRICAO = Rodonaves Frete 31171244914992001290570010022273761022273763-cte.pdf
09/01/2018 09:42 - STEFANIAESTEVO | CI = 23317 | NOME_FISICO = 1515498143-79325100.pdf | NOME_ORIGINAL = CUPOM FISCAL 09-01.pdf | TAMANHO = 1332 | DESCRICAO = CUPOM FISCAL
09/01/2018 10:48 - ERIKAOLIVEIRA | CI = 23319 | NOME_FISICO = 1515502064-40262600.pdf | NOME_ORIGINAL = Apuração Dezembro.pdf | TAMANHO = 9.28 | DESCRICAO = Apuração Dezembro.pdf
09/01/2018 10:48 - ERIKAOLIVEIRA | CI = 23319 | NOME_FISICO = 1515502075-19950100.pdf | NOME_ORIGINAL = Balancete Dez-2017.pdf | TAMANHO = 6.79 | DESCRICAO = Balancete Dez-2017.pdf
09/01/2018 10:48 - ERIKAOLIVEIRA | CI = 23319 | NOME_FISICO = 1515502081-74637600.png | NOME_ORIGINAL = Calculo IRPJ e CSSL Dezembro 2017.png | TAMANHO = 209 | DESCRICAO = Calculo IRPJ e CSSL Dezembro 2017.png
09/01/2018 11:57 - MARCIO | CI = 23320 | NOME_FISICO = 1515506219-52762600.xlsx | NOME_ORIGINAL = Férias 15-01-2018.xlsx | TAMANHO = 8.84 | DESCRICAO = Férias 15-01-2018.xlsx
09/01/2018 13:55 - SANTANA | CI = 23322 | NOME_FISICO = 1515513298-71512600.rar | NOME_ORIGINAL = Parcelamento Cod. 1194 (Art. 1º - PGFN) IPI (safras 1992_1993, 1993_1994 e 1994_1995).rar | TAMANHO = 109 | DESCRICAO = Parcelamento Cod. 1194 (Art. 1º - PGFN) IPI (safras 1992_1993, 1993_1994 e 1994_1995).rar
09/01/2018 13:55 - SANTANA | CI = 23322 | NOME_FISICO = 1515513298-75218400.rar | NOME_ORIGINAL = Parcelamento Cod. 1279 (Art. 1º - RFB) IPI (safras 1997_1998, 1998_1999 e 1999_2000).rar | TAMANHO = 109 | DESCRICAO = Parcelamento Cod. 1279 (Art. 1º - RFB) IPI (safras 1997_1998, 1998_1999 e 1999_2000).rar
09/01/2018 13:55 - SANTANA | CI = 23322 | NOME_FISICO = 1515513298-76907900.rar | NOME_ORIGINAL = Parcelamento Cod. 1285 (Art. 3º - RFB) COFINS (10 e 1997), CSLL (2004) e IRPJ (2003).rar | TAMANHO = 109 | DESCRICAO = Parcelamento Cod. 1285 (Art. 3º - RFB) COFINS (10 e 1997), CSLL (2004) e IRPJ (2003).rar
09/01/2018 15:34 - SANTANA | CI = 23325 | NOME_FISICO = 1515519249-84110200.pdf | NOME_ORIGINAL = Calculo INSS Faturamento-SAFRA 2017-2018.pdf | TAMANHO = 727 | DESCRICAO = Calculo INSS Faturamento-SAFRA 2017-2018.pdf
09/01/2018 15:34 - SANTANA | CI = 23325 | NOME_FISICO = 1515519249-86528200.pdf | NOME_ORIGINAL = Cálculo INSS - SISTEMA.pdf | TAMANHO = 1077 | DESCRICAO = Cálculo INSS - SISTEMA.pdf
09/01/2018 15:34 - SANTANA | CI = 23325 | NOME_FISICO = 1515519249-89014400.xlsx | NOME_ORIGINAL = Doc. Suporte.xlsx | TAMANHO = 332 | DESCRICAO = Doc. Suporte.xlsx
11/01/2018 08:11 - VALDEREZ | CI = 23338 | NOME_FISICO = 1515665484-46610100.PDF | NOME_ORIGINAL = pensão 12012018.PDF | TAMANHO = 8.32 | DESCRICAO = pensão 12012018
11/01/2018 08:49 - VALDINEI | CI = 23340 | NOME_FISICO = 1515667744-93625100.pdf | NOME_ORIGINAL = IPTU - Garagem Guarujá- 2018.pdf | TAMANHO = 443 | DESCRICAO = IPTU - Garagem Guarujá- 2018.pdf
11/01/2018 14:08 - FERNANDOPIRES | CI = 23346 | NOME_FISICO = 1515686915-99875100.pdf | NOME_ORIGINAL = Boleto Vales Transporte - 09-02-2018.pdf | TAMANHO = 101 | DESCRICAO = Boleto Vales Transporte - 09-02-2018.pdf
11/01/2018 15:21 - KLEBER | CI = 23349 | NOME_FISICO = 1515691283-34250100.pdf | NOME_ORIGINAL = Despesas com Alimentação.pdf | TAMANHO = 398 | DESCRICAO = Despesas com Alimentação.pdf
11/01/2018 15:46 - SANTANA | CI = 23350 | NOME_FISICO = 1515692771-34250100.pdf | NOME_ORIGINAL = Funrural AGRO.pdf | TAMANHO = 347 | DESCRICAO = Funrural AGRO.pdf
11/01/2018 15:46 - SANTANA | CI = 23350 | NOME_FISICO = 1515692771-38803300.pdf | NOME_ORIGINAL = Resumo Funrural - Útimos 12 meses.pdf | TAMANHO = 349 | DESCRICAO = Resumo Funrural - Útimos 12 meses.pdf
12/01/2018 07:55 - VALDINEI | CI = 23358 | NOME_FISICO = 1515750912-73019600.pdf | NOME_ORIGINAL = Conta de Água - Janeiro - 2018.pdf | TAMANHO = 487 | DESCRICAO = Conta de Água - Janeiro - 2018.pdf
12/01/2018 09:18 - SANTANA | CI = 23359 | NOME_FISICO = 1515755914-32004000.rar | NOME_ORIGINAL = IMPOSTOS RETIDOS USINA - ISS.rar | TAMANHO = 290 | DESCRICAO = IMPOSTOS RETIDOS USINA - ISS.rar
12/01/2018 09:43 - SANTANA | CI = 23359 | NOME_FISICO = 1515757408-48025200.rar | NOME_ORIGINAL = IMPOSTOS RETIDOS USINA - ISS.rar | TAMANHO = 502 | DESCRICAO = IMPOSTOS RETIDOS USINA - ISS.rar
12/01/2018 09:46 - GRAZIELA | CI = 23360 | NOME_FISICO = 1515757565-86687500.msg | NOME_ORIGINAL = RE MATRÍCULAS -  Pendências diligência LAt20.msg | TAMANHO = 79 | DESCRICAO = EMAIL
15/01/2018 08:21 - VELOSA | CI = 23367 | NOME_FISICO = 1516011582-63225100.pdf | NOME_ORIGINAL = Comprovante Parcelamento.pdf | TAMANHO = 92 | DESCRICAO = Comprovante Parcelamento.pdf
15/01/2018 08:21 - VELOSA | CI = 23367 | NOME_FISICO = 1516011589-77287600.pdf | NOME_ORIGINAL = Gare - 1ª Parcela.pdf | TAMANHO = 155 | DESCRICAO = Gare - 1ª Parcela.pdf
15/01/2018 09:11 - SANTANA | CI = 23369 | NOME_FISICO = 1516014691-61662700.rar | NOME_ORIGINAL = IMPOSTOS RETIDOS USINA - IRRF.rar | TAMANHO = 536 | DESCRICAO = IMPOSTOS RETIDOS USINA - IRRF.rar
15/01/2018 09:14 - SANTANA | CI = 23370 | NOME_FISICO = 1516014868-05412600.rar | NOME_ORIGINAL = IMPOSTOS RETIDOS USINA - RCCP.rar | TAMANHO = 291 | DESCRICAO = IMPOSTOS RETIDOS USINA - RCCP.rar
15/01/2018 09:16 - SANTANA | CI = 23371 | NOME_FISICO = 1516014970-28850200.rar | NOME_ORIGINAL = IMPOSTOS RETIDOS USINA - INSS.rar | TAMANHO = 465 | DESCRICAO = IMPOSTOS RETIDOS USINA - INSS.rar
15/01/2018 09:20 - SANTANA | CI = 23372 | NOME_FISICO = 1516015217-61662600.rar | NOME_ORIGINAL = IMPOSTOS RETIDOS AGRO- IRRF.rar | TAMANHO = 480 | DESCRICAO = IMPOSTOS RETIDOS AGRO- IRRF.rar
15/01/2018 09:21 - SANTANA | CI = 23373 | NOME_FISICO = 1516015283-97600100.rar | NOME_ORIGINAL = IMPOSTOS RETIDOS AGRO- RCCP.rar | TAMANHO = 250 | DESCRICAO = IMPOSTOS RETIDOS AGRO- RCCP.rar
15/01/2018 09:26 - SANTANA | CI = 23375 | NOME_FISICO = 1516015512-56975100.rar | NOME_ORIGINAL = IMPOSTOS RETIDOS USINA FILIAL SP- ISS.rar | TAMANHO = 515 | DESCRICAO = IMPOSTOS RETIDOS USINA FILIAL SP- ISS.rar
15/01/2018 11:06 - FERNANDOPIRES | CI = 23377 | NOME_FISICO = 1516021568-05412600.PDF | NOME_ORIGINAL = Boleto Limpadora Veloz - 30-01-2018.PDF | TAMANHO = 31 | DESCRICAO = Boleto Limpadora Veloz - 30-01-2018.PDF
15/01/2018 11:06 - FERNANDOPIRES | CI = 23377 | NOME_FISICO = 1516021568-08898800.pdf | NOME_ORIGINAL = NF - Limpadora Veloz - 30-01-18.pdf | TAMANHO = 425 | DESCRICAO = NF - Limpadora Veloz - 30-01-18.pdf
15/01/2018 14:47 - FERNANDOPIRES | CI = 23379 | NOME_FISICO = 1516034842-96037700.pdf | NOME_ORIGINAL = Boleto Amil - 10-02-2018.pdf | TAMANHO = 130 | DESCRICAO = Boleto Amil - 10-02-2018.pdf
15/01/2018 15:55 - ELISSANDRA | CI = 23380 | NOME_FISICO = 1516038899-55412600.pdf | NOME_ORIGINAL = Untitled_20180115_144441.pdf | TAMANHO = 335 | DESCRICAO = Untitled_20180115_144441.pdf
15/01/2018 15:59 - ELISSANDRA | CI = 23381 | NOME_FISICO = 1516039136-03850100.pdf | NOME_ORIGINAL = Untitled_20180115_144902.pdf | TAMANHO = 198 | DESCRICAO = Untitled_20180115_144902.pdf
16/01/2018 08:13 - MONICA | CI = 23385 | NOME_FISICO = 1516097248-91350200.pdf | NOME_ORIGINAL = CPR Salina.pdf | TAMANHO = 3093 | DESCRICAO = CPR Salina.pdf
16/01/2018 08:37 - MICHELAAUGUSTO | CI = 23388 | NOME_FISICO = 1516099048-47600100.pdf | NOME_ORIGINAL = Demonstrativo Financeiro - retidas mútuo.pdf | TAMANHO = 39 | DESCRICAO = Demonstrativo Financeiro - retidas mútuo.pdf
16/01/2018 08:42 - MICHELAAUGUSTO | CI = 23389 | NOME_FISICO = 1516099220-31975100.pdf | NOME_ORIGINAL = Fechamento de Câmbio - Bco Santander.pdf | TAMANHO = 295 | DESCRICAO = Fechamento de Câmbio - Bco Santander.pdf
16/01/2018 11:15 - KLEBER | CI = 23393 | NOME_FISICO = 1516108401-72600100.pdf | NOME_ORIGINAL = 12-2017 - Usina Santa Fé - Diretores - Boleto.pdf | TAMANHO = 100 | DESCRICAO = 12-2017 - Usina Santa Fé - Diretores - Boleto.pdf
16/01/2018 11:15 - KLEBER | CI = 23393 | NOME_FISICO = 1516108401-96037700.pdf | NOME_ORIGINAL = 12-2017 - Usina Santa Fé - Funcionários - Boleto.pdf | TAMANHO = 100 | DESCRICAO = 12-2017 - Usina Santa Fé - Funcionários - Boleto.pdf
