02/05/2018 07:50 - KLEBER | CI = 24440 | NOME_FISICO = 1525258230-87856200.pdf | NOME_ORIGINAL = Cupons Fiscais.pdf | TAMANHO = 3084 | DESCRICAO = Cupons Fiscais.pdf
02/05/2018 16:12 - ZEZE | CI = 24445 | NOME_FISICO = 1525288325-45668800.pdf | NOME_ORIGINAL = Anderson.pdf | TAMANHO = 369 | DESCRICAO = Anderson.pdf
02/05/2018 16:33 - ZEZE | CI = 24446 | NOME_FISICO = 1525289629-51918800.pdf | NOME_ORIGINAL = Policia Militar.pdf | TAMANHO = 1530 | DESCRICAO = Policia Militar.pdf
03/05/2018 17:27 - ELISSANDRA | CI = 24458 | NOME_FISICO = 1525379250-20668700.pdf | NOME_ORIGINAL = Untitled_20180503_171142.pdf | TAMANHO = 231 | DESCRICAO = Untitled_20180503_171142.pdf
03/05/2018 17:29 - ELISSANDRA | CI = 24459 | NOME_FISICO = 1525379333-33168800.pdf | NOME_ORIGINAL = Untitled_20180503_171234.pdf | TAMANHO = 247 | DESCRICAO = Untitled_20180503_171234.pdf
03/05/2018 17:30 - ELISSANDRA | CI = 24460 | NOME_FISICO = 1525379400-80043800.pdf | NOME_ORIGINAL = Untitled_20180503_171314.pdf | TAMANHO = 256 | DESCRICAO = Untitled_20180503_171314.pdf
03/05/2018 17:31 - ELISSANDRA | CI = 24461 | NOME_FISICO = 1525379463-83168800.pdf | NOME_ORIGINAL = Untitled_20180503_171354.pdf | TAMANHO = 221 | DESCRICAO = Untitled_20180503_171354.pdf
03/05/2018 17:32 - ELISSANDRA | CI = 24462 | NOME_FISICO = 1525379526-48793800.pdf | NOME_ORIGINAL = Untitled_20180503_171431.pdf | TAMANHO = 214 | DESCRICAO = Untitled_20180503_171431.pdf
03/05/2018 17:37 - ELISSANDRA | CI = 24463 | NOME_FISICO = 1525379803-58168800.pdf | NOME_ORIGINAL = Untitled_20180503_172414.pdf | TAMANHO = 327 | DESCRICAO = Untitled_20180503_172414.pdf
04/05/2018 11:19 - TATIANEPASSADOR | CI = 24468 | NOME_FISICO = 1525443553-28481300.pdf | NOME_ORIGINAL = Projeto. 9.05.705 - Aquisição de Ferramentas.pdf | TAMANHO = 167 | DESCRICAO = Projeto. 9.05.705 - Aquisição de Ferramentas.pdf
04/05/2018 15:53 - FERNANDOPIRES | CI = 24473 | NOME_FISICO = 1525459800-12856300.pdf | NOME_ORIGINAL = FF - Despesas diversas - 04-05-18.pdf | TAMANHO = 1692 | DESCRICAO = FF - Despesas diversas - 04-05-18.pdf
07/05/2018 08:13 - MARVYNALVES | CI = 24476 | NOME_FISICO = 1525691599-42543800.pdf | NOME_ORIGINAL = Status Projeto 9.05740 - 07-05-18-.pdf | TAMANHO = 64 | DESCRICAO = STATUS PROJ. 
07/05/2018 08:18 - MARVYNALVES | CI = 24477 | NOME_FISICO = 1525691911-42543900.pdf | NOME_ORIGINAL = Status Projeto 9.05749 - 07-05-18-.pdf | TAMANHO = 123 | DESCRICAO = STATUS PROJ. 
07/05/2018 14:26 - CAIOAUGUSTO | CI = 24491 | NOME_FISICO = 1525713992-40981300.pdf | NOME_ORIGINAL = Estacionamento Agrishow.pdf | TAMANHO = 270 | DESCRICAO = Estacionamento Agrishow.pdf
07/05/2018 15:01 - TATIANEPASSADOR | CI = 24492 | NOME_FISICO = 1525716055-20668800.pdf | NOME_ORIGINAL = Statu projeto - 9.05.755.pdf | TAMANHO = 79 | DESCRICAO = Statu projeto - 9.05.755.pdf
08/05/2018 13:50 - ELISSANDRA | CI = 24499 | NOME_FISICO = 1525798197-48793800.pdf | NOME_ORIGINAL = Untitled_20180508_133712.pdf | TAMANHO = 212 | DESCRICAO = Untitled_20180508_133712.pdf
