01/02/2019 06:52 - KLEBER | CI = 26448 | NOME_FISICO = 1549011125-23613300.pdf | NOME_ORIGINAL = Refeição.pdf | TAMANHO = 525 | DESCRICAO = Refeição.pdf
01/02/2019 09:48 - OTAVIOGIRO | CI = 26452 | NOME_FISICO = 1549021654-05937600.pdf | NOME_ORIGINAL = Comprovante Correio.pdf | TAMANHO = 1135 | DESCRICAO = Comprovante Correio.pdf
01/02/2019 09:56 - REGI | CI = 26453 | NOME_FISICO = 1549022178-95097700.xlsx | NOME_ORIGINAL = Lista Férias RH_Regi 3a. Remessa - 01.02.19.xlsx | TAMANHO = 17 | DESCRICAO = Lista Férias RH_Regi 3a. Remessa - 01.02.19.xlsx
01/02/2019 13:29 - MICHELAAUGUSTO | CI = 26456 | NOME_FISICO = 1549034321-30644600.pdf | NOME_ORIGINAL = Despesas.pdf | TAMANHO = 893 | DESCRICAO = Despesas.pdf
04/02/2019 10:23 - ELISSANDRA | CI = 26471 | NOME_FISICO = 1549282962-97539100.pdf | NOME_ORIGINAL = Untitled_20190204_090742.pdf | TAMANHO = 38 | DESCRICAO = Untitled_20190204_090742.pdf
04/02/2019 13:52 - ELISSANDRA | CI = 26481 | NOME_FISICO = 1549295552-12480600.pdf | NOME_ORIGINAL = Untitled_20190204_123724.pdf | TAMANHO = 227 | DESCRICAO = Untitled_20190204_123724.pdf
04/02/2019 16:01 - ELTON | CI = 26483 | NOME_FISICO = 1549303245-43632900.pdf | NOME_ORIGINAL = Untitled_20190204_144852.pdf | TAMANHO = 374 | DESCRICAO = Untitled_20190204_144852.pdf
05/02/2019 07:14 - VINICIUSSANTOS | CI = 26487 | NOME_FISICO = 1549357994-77812600.pdf | NOME_ORIGINAL = Untitled_20190205_054902.pdf | TAMANHO = 136 | DESCRICAO = Untitled_20190205_054902.pdf
05/02/2019 09:34 - MARVYNALVES | CI = 26490 | NOME_FISICO = 1549366267-21660200.pdf | NOME_ORIGINAL = Status Projeto- 9.06.068 -05-02-2019.pdf | TAMANHO = 20 | DESCRICAO = STATUS PROJ. 
05/02/2019 11:21 - FABIOTOMASETTO | CI = 26493 | NOME_FISICO = 1549372873-99492200.xlsx | NOME_ORIGINAL = Férias 20-02-2019.xlsx | TAMANHO = 10 | DESCRICAO = Férias 20-02-2019.xlsx
05/02/2019 13:37 - ELISSANDRA | CI = 26495 | NOME_FISICO = 1549381037-93730500.pdf | NOME_ORIGINAL = Untitled_20190205_122207.pdf | TAMANHO = 434 | DESCRICAO = Untitled_20190205_122207.pdf
05/02/2019 17:10 - REGI | CI = 26497 | NOME_FISICO = 1549393430-33964900.pdf | NOME_ORIGINAL = Relatório Pesagem - Fresa Asfalto.pdf | TAMANHO = 1385 | DESCRICAO = Relatório Pesagem - Fresa Asfalto.pdf
05/02/2019 17:10 - REGI | CI = 26497 | NOME_FISICO = 1549393439-88652400.pdf | NOME_ORIGINAL = OCPF0017 - acomp.projeto.pdf | TAMANHO = 75 | DESCRICAO = OCPF0017 - acomp.projeto.pdf
06/02/2019 07:53 - OSVALDOFLORES | CI = 26467 | NOME_FISICO = 1549446829-46171900.pdf | NOME_ORIGINAL = Untitled_20190206_063613.pdf | TAMANHO = 516 | DESCRICAO = Pedágio_Trecho
06/02/2019 09:41 - CAIOAUGUSTO | CI = 26501 | NOME_FISICO = 1549453264-77519500.pdf | NOME_ORIGINAL = Anéis - Semeadora Crotalária.pdf | TAMANHO = 614 | DESCRICAO = Anéis - Semeadora Crotalária.pdf
