06/02/2018 14:40 - DONIZETE | CD_CCUSTO = 30103001 | APROVADOR = 10892
14/02/2018 16:27 - DONIZETE | CD_CCUSTO = 20150021 | APROVADOR = 10850
14/02/2018 16:28 - DONIZETE | CD_CCUSTO = 20303004 | APROVADOR = 10841
14/02/2018 16:29 - DONIZETE | CD_CCUSTO = 20303004 | APROVADOR = 10850
14/02/2018 16:29 - DONIZETE | CD_CCUSTO = 20303006 | APROVADOR = 10850
14/02/2018 16:29 - DONIZETE | CD_CCUSTO = 20110005 | APROVADOR = 10841
14/02/2018 16:30 - DONIZETE | CD_CCUSTO = 20110005 | APROVADOR = 10850
14/02/2018 16:30 - DONIZETE | CD_CCUSTO = 30404001 | APROVADOR = 10841
14/02/2018 16:30 - DONIZETE | CD_CCUSTO = 30403001 | APROVADOR = 10850
14/02/2018 16:31 - DONIZETE | CD_CCUSTO = 20150010 | APROVADOR = 10841
14/02/2018 16:31 - DONIZETE | CD_CCUSTO = 20150009 | APROVADOR = 10841
14/02/2018 16:32 - DONIZETE | CD_CCUSTO = 20201015 | APROVADOR = 10841
14/02/2018 16:32 - DONIZETE | CD_CCUSTO = 20150016 | APROVADOR = 10850
14/02/2018 16:32 - DONIZETE | CD_CCUSTO = 20150025 | APROVADOR = 10850
14/02/2018 16:33 - DONIZETE | CD_CCUSTO = 20150015 | APROVADOR = 10850
14/02/2018 16:33 - DONIZETE | CD_CCUSTO = 20150014 | APROVADOR = 10850
14/02/2018 16:33 - DONIZETE | CD_CCUSTO = 20150013 | APROVADOR = 10850
14/02/2018 16:33 - DONIZETE | CD_CCUSTO = 20150004 | APROVADOR = 10850
14/02/2018 16:33 - DONIZETE | CD_CCUSTO = 20150005 | APROVADOR = 10850
14/02/2018 16:33 - DONIZETE | CD_CCUSTO = 20150012 | APROVADOR = 10850
14/02/2018 16:34 - DONIZETE | CD_CCUSTO = 20201010 | APROVADOR = 10841
14/02/2018 16:34 - DONIZETE | CD_CCUSTO = 20150008 | APROVADOR = 10850
14/02/2018 16:34 - DONIZETE | CD_CCUSTO = 20150008 | APROVADOR = 10841
14/02/2018 16:35 - DONIZETE | CD_CCUSTO = 20303002 | APROVADOR = 10850
14/02/2018 16:35 - DONIZETE | CD_CCUSTO = 20150002 | APROVADOR = 10850
14/02/2018 16:36 - DONIZETE | CD_CCUSTO = 20150011 | APROVADOR = 10850
14/02/2018 16:36 - DONIZETE | CD_CCUSTO = 20150001 | APROVADOR = 10850
14/02/2018 16:36 - DONIZETE | CD_CCUSTO = 20150007 | APROVADOR = 10841
14/02/2018 16:36 - DONIZETE | CD_CCUSTO = 20150007 | APROVADOR = 10850
14/02/2018 16:37 - DONIZETE | CD_CCUSTO = 20303005 | APROVADOR = 10850
14/02/2018 16:37 - DONIZETE | CD_CCUSTO = 20303005 | APROVADOR = 10841
14/02/2018 16:37 - DONIZETE | CD_CCUSTO = 20102001 | APROVADOR = 10850
14/02/2018 16:37 - DONIZETE | CD_CCUSTO = 20150003 | APROVADOR = 10850
14/02/2018 16:37 - DONIZETE | CD_CCUSTO = 20110004 | APROVADOR = 10841
14/02/2018 16:37 - DONIZETE | CD_CCUSTO = 20110004 | APROVADOR = 10850
14/02/2018 16:38 - DONIZETE | CD_CCUSTO = 20110001 | APROVADOR = 10850
14/02/2018 16:38 - DONIZETE | CD_CCUSTO = 20110001 | APROVADOR = 10841
14/02/2018 16:38 - DONIZETE | CD_CCUSTO = 20110002 | APROVADOR = 10850
14/02/2018 16:38 - DONIZETE | CD_CCUSTO = 20110003 | APROVADOR = 10841
14/02/2018 16:38 - DONIZETE | CD_CCUSTO = 20110003 | APROVADOR = 10850
14/02/2018 16:38 - DONIZETE | CD_CCUSTO = 20110012 | APROVADOR = 10841
14/02/2018 16:38 - DONIZETE | CD_CCUSTO = 20110012 | APROVADOR = 10850
14/02/2018 16:39 - DONIZETE | CD_CCUSTO = 20150006 | APROVADOR = 10841
14/02/2018 16:39 - DONIZETE | CD_CCUSTO = 20150006 | APROVADOR = 10850
14/02/2018 16:39 - DONIZETE | CD_CCUSTO = 20110010 | APROVADOR = 10850
14/02/2018 16:39 - DONIZETE | CD_CCUSTO = 20110010 | APROVADOR = 10841
14/02/2018 16:39 - DONIZETE | CD_CCUSTO = 20110011 | APROVADOR = 10841
14/02/2018 16:39 - DONIZETE | CD_CCUSTO = 20110011 | APROVADOR = 10850
14/02/2018 16:40 - DONIZETE | CD_CCUSTO = 30101018 | APROVADOR = 10850
14/02/2018 16:40 - DONIZETE | CD_CCUSTO = 20201003 | APROVADOR = 10841
14/02/2018 16:41 - DONIZETE | CD_CCUSTO = 20201003 | APROVADOR = 10850
14/02/2018 16:41 - DONIZETE | CD_CCUSTO = 10203008 | APROVADOR = 10841
14/02/2018 16:41 - DONIZETE | CD_CCUSTO = 10203008 | APROVADOR = 10850
14/02/2018 16:42 - DONIZETE | CD_CCUSTO = 20203010 | APROVADOR = 10841
14/02/2018 16:42 - DONIZETE | CD_CCUSTO = 20203010 | APROVADOR = 10850
14/02/2018 16:42 - DONIZETE | CD_CCUSTO = 20203004 | APROVADOR = 10841
14/02/2018 16:42 - DONIZETE | CD_CCUSTO = 20203004 | APROVADOR = 10850
14/02/2018 16:42 - DONIZETE | CD_CCUSTO = 20203005 | APROVADOR = 10841
14/02/2018 16:42 - DONIZETE | CD_CCUSTO = 20203005 | APROVADOR = 10850
14/02/2018 16:42 - DONIZETE | CD_CCUSTO = 20203003 | APROVADOR = 10841
14/02/2018 16:42 - DONIZETE | CD_CCUSTO = 20203003 | APROVADOR = 10850
14/02/2018 16:43 - DONIZETE | CD_CCUSTO = 20203008 | APROVADOR = 10841
14/02/2018 16:43 - DONIZETE | CD_CCUSTO = 20203008 | APROVADOR = 10850
14/02/2018 16:43 - DONIZETE | CD_CCUSTO = 20203001 | APROVADOR = 10841
14/02/2018 16:43 - DONIZETE | CD_CCUSTO = 20203001 | APROVADOR = 10850
14/02/2018 16:43 - DONIZETE | CD_CCUSTO = 20203002 | APROVADOR = 10841
14/02/2018 16:43 - DONIZETE | CD_CCUSTO = 20203002 | APROVADOR = 10850
14/02/2018 16:43 - DONIZETE | CD_CCUSTO = 20203006 | APROVADOR = 10841
14/02/2018 16:43 - DONIZETE | CD_CCUSTO = 20203006 | APROVADOR = 10850
