21/09/2018 15:51 - RONALDOGOMES | CD_CCUSTO = 30301006 | APROVADOR = 10847
21/09/2018 15:52 - RONALDOGOMES | CD_CCUSTO = 30202001 | APROVADOR = 10847
21/09/2018 15:54 - RONALDOGOMES | CD_CCUSTO = 30301002 | APROVADOR = 10847
21/09/2018 15:54 - RONALDOGOMES | CD_CCUSTO = 30301004 | APROVADOR = 10847
21/09/2018 15:56 - RONALDOGOMES | CD_CCUSTO = 30301005 | APROVADOR = 10847
21/09/2018 15:56 - RONALDOGOMES | CD_CCUSTO = 30201006 | APROVADOR = 10847
21/09/2018 16:03 - RONALDOGOMES | CD_CCUSTO = 30201005 | APROVADOR = 10847
21/09/2018 16:06 - RONALDOGOMES | CD_CCUSTO = 30201001 | APROVADOR = 10847
21/09/2018 16:21 - RONALDOGOMES | CD_CCUSTO = 30201004 | APROVADOR = 10847
21/09/2018 16:21 - RONALDOGOMES | CD_CCUSTO = 30201008 | APROVADOR = 10847
21/09/2018 16:21 - RONALDOGOMES | CD_CCUSTO = 30201002 | APROVADOR = 10847
21/09/2018 16:22 - RONALDOGOMES | CD_CCUSTO = 30201003 | APROVADOR = 10847
24/09/2018 15:20 - RONALDOGOMES | CD_CCUSTO = 10110009 | APROVADOR = 10895
26/09/2018 13:27 - RONALDOGOMES | CD_CCUSTO = 10202006 | APROVADOR = 10895
26/09/2018 13:28 - RONALDOGOMES | CD_CCUSTO = 10202010 | APROVADOR = 10895
