12/02/2016 11:21 - HEITOR | FINALIDADE_VALOR = 321 | APROVADOR = 11570
12/02/2016 11:21 - HEITOR | FINALIDADE_VALOR = 322 | APROVADOR = 11570
12/02/2016 11:21 - HEITOR | FINALIDADE_VALOR = 323 | APROVADOR = 11570
12/02/2016 11:21 - HEITOR | FINALIDADE_VALOR = 141 | APROVADOR = 11570
12/02/2016 11:21 - HEITOR | FINALIDADE_VALOR = 142 | APROVADOR = 11570
12/02/2016 11:21 - HEITOR | FINALIDADE_VALOR = 143 | APROVADOR = 11570
12/02/2016 11:22 - HEITOR | FINALIDADE_VALOR = 522 | APROVADOR = 11570
12/02/2016 11:22 - HEITOR | FINALIDADE_VALOR = 221 | APROVADOR = 11570
12/02/2016 11:22 - HEITOR | FINALIDADE_VALOR = 621 | APROVADOR = 11570
12/02/2016 11:22 - HEITOR | FINALIDADE_VALOR = 81 | APROVADOR = 11570
12/02/2016 11:22 - HEITOR | FINALIDADE_VALOR = 101 | APROVADOR = 11570
12/02/2016 11:22 - HEITOR | FINALIDADE_VALOR = 102 | APROVADOR = 11570
12/02/2016 11:22 - HEITOR | FINALIDADE_VALOR = 82 | APROVADOR = 11570
12/02/2016 11:23 - HEITOR | FINALIDADE_VALOR = 461 | APROVADOR = 11570
12/02/2016 11:23 - HEITOR | FINALIDADE_VALOR = 441 | APROVADOR = 11570
12/02/2016 11:23 - HEITOR | FINALIDADE_VALOR = 661 | APROVADOR = 11570
12/02/2016 11:23 - HEITOR | FINALIDADE_VALOR = 501 | APROVADOR = 11570
12/02/2016 11:23 - HEITOR | FINALIDADE_VALOR = 502 | APROVADOR = 11570
12/02/2016 11:23 - HEITOR | FINALIDADE_VALOR = 482 | APROVADOR = 11570
12/02/2016 11:23 - HEITOR | FINALIDADE_VALOR = 581 | APROVADOR = 11570
12/02/2016 11:23 - HEITOR | FINALIDADE_VALOR = 582 | APROVADOR = 10840
12/02/2016 11:24 - HEITOR | FINALIDADE_VALOR = 582 | APROVADOR = 11570
12/02/2016 11:24 - HEITOR | FINALIDADE_VALOR = 241 | APROVADOR = 11570
12/02/2016 11:24 - HEITOR | FINALIDADE_VALOR = 242 | APROVADOR = 11570
12/02/2016 11:24 - HEITOR | FINALIDADE_VALOR = 261 | APROVADOR = 11570
