11/05/2018 13:42 - RONALDOGOMES | FINALIDADE_VALOR = 141 | APROVADOR = 10839
11/05/2018 13:43 - RONALDOGOMES | FINALIDADE_VALOR = 142 | APROVADOR = 10839
11/05/2018 15:41 - RONALDOGOMES | FINALIDADE_VALOR = 601 | APROVADOR = 10839
11/05/2018 15:41 - RONALDOGOMES | FINALIDADE_VALOR = 321 | APROVADOR = 10839
11/05/2018 15:41 - RONALDOGOMES | FINALIDADE_VALOR = 322 | APROVADOR = 10839
11/05/2018 15:42 - RONALDOGOMES | FINALIDADE_VALOR = 323 | APROVADOR = 10839
11/05/2018 15:42 - RONALDOGOMES | FINALIDADE_VALOR = 143 | APROVADOR = 10839
11/05/2018 15:42 - RONALDOGOMES | FINALIDADE_VALOR = 221 | APROVADOR = 10839
11/05/2018 15:42 - RONALDOGOMES | FINALIDADE_VALOR = 621 | APROVADOR = 10839
11/05/2018 15:42 - RONALDOGOMES | FINALIDADE_VALOR = 81 | APROVADOR = 10839
11/05/2018 15:43 - RONALDOGOMES | FINALIDADE_VALOR = 101 | APROVADOR = 10839
11/05/2018 15:43 - RONALDOGOMES | FINALIDADE_VALOR = 102 | APROVADOR = 10839
11/05/2018 15:43 - RONALDOGOMES | FINALIDADE_VALOR = 461 | APROVADOR = 10839
11/05/2018 15:43 - RONALDOGOMES | FINALIDADE_VALOR = 441 | APROVADOR = 10839
11/05/2018 15:44 - RONALDOGOMES | FINALIDADE_VALOR = 501 | APROVADOR = 10839
11/05/2018 15:44 - RONALDOGOMES | FINALIDADE_VALOR = 502 | APROVADOR = 10839
11/05/2018 15:44 - RONALDOGOMES | FINALIDADE_VALOR = 482 | APROVADOR = 10839
11/05/2018 15:44 - RONALDOGOMES | FINALIDADE_VALOR = 581 | APROVADOR = 10839
11/05/2018 15:44 - RONALDOGOMES | FINALIDADE_VALOR = 582 | APROVADOR = 10839
11/05/2018 15:44 - RONALDOGOMES | FINALIDADE_VALOR = 241 | APROVADOR = 10839
11/05/2018 15:44 - RONALDOGOMES | FINALIDADE_VALOR = 242 | APROVADOR = 10839
11/05/2018 15:45 - RONALDOGOMES | FINALIDADE_VALOR = 261 | APROVADOR = 10839
