01/04/2015 09:11 - BRUNOFAZOLO | USUARIO = 11372 | CI = 11347 | STATUS = 3 | DATA = 01/04/2015 9:11 | MOTIVO_CANCELAMENTO = 
01/04/2015 09:43 - AREIAS | USUARIO = 10997 | CI = 11351 | STATUS = 7 | DATA = 01/04/2015 9:43 | MOTIVO_CANCELAMENTO = 
01/04/2015 09:43 - AREIAS | USUARIO = 10997 | CI = 11352 | STATUS = 7 | DATA = 01/04/2015 9:43 | MOTIVO_CANCELAMENTO = 
01/04/2015 10:10 - CAMARA | USUARIO = 10841 | CI = 11349 | STATUS = 3 | DATA = 01/04/2015 10:10 | MOTIVO_CANCELAMENTO = 
01/04/2015 10:35 - JT | USUARIO = 10823 | CI = 11353 | STATUS = 3 | DATA = 01/04/2015 10:35 | MOTIVO_CANCELAMENTO = 
01/04/2015 10:36 - JT | USUARIO = 10823 | CI = 11350 | STATUS = 7 | DATA = 01/04/2015 10:36 | MOTIVO_CANCELAMENTO = 
01/04/2015 10:36 - JT | USUARIO = 10823 | CI = 11350 | STATUS = 3 | DATA = 01/04/2015 10:36 | MOTIVO_CANCELAMENTO = 
01/04/2015 10:36 - JT | USUARIO = 10823 | CI = 11348 | STATUS = 7 | DATA = 01/04/2015 10:36 | MOTIVO_CANCELAMENTO = 
01/04/2015 10:36 - JT | USUARIO = 10823 | CI = 11348 | STATUS = 3 | DATA = 01/04/2015 10:36 | MOTIVO_CANCELAMENTO = 
01/04/2015 10:52 - ZEZE | USUARIO = 10931 | CI = 11346 | STATUS = 3 | DATA = 01/04/2015 10:52 | MOTIVO_CANCELAMENTO = 
01/04/2015 11:03 - HEITOR | USUARIO = 10996 | CI = 11355 | STATUS = 5 | DATA = 01/04/2015 11:03 | MOTIVO_CANCELAMENTO = teste
01/04/2015 11:19 - SYLVIO | USUARIO = 10914 | CI = 11356 | STATUS = 3 | DATA = 01/04/2015 11:19 | MOTIVO_CANCELAMENTO = 
01/04/2015 12:39 - ROSE | USUARIO = 10872 | CI = 11354 | STATUS = 5 | DATA = 01/04/2015 12:39 | MOTIVO_CANCELAMENTO = Subistituida por outra
01/04/2015 12:48 - MARTA | USUARIO = 10847 | CI = 11357 | STATUS = 3 | DATA = 01/04/2015 12:48 | MOTIVO_CANCELAMENTO = aprovado.
01/04/2015 12:59 - ACIR | USUARIO = 10839 | CI = 11352 | STATUS = 3 | DATA = 01/04/2015 12:59 | MOTIVO_CANCELAMENTO = 
01/04/2015 13:00 - ACIR | USUARIO = 10839 | CI = 11351 | STATUS = 3 | DATA = 01/04/2015 13:00 | MOTIVO_CANCELAMENTO = 
01/04/2015 13:30 - ZEZE | USUARIO = 10931 | CI = 11358 | STATUS = 7 | DATA = 01/04/2015 13:30 | MOTIVO_CANCELAMENTO = 
01/04/2015 13:30 - ZEZE | USUARIO = 10931 | CI = 11358 | STATUS = 3 | DATA = 01/04/2015 13:30 | MOTIVO_CANCELAMENTO = 
01/04/2015 13:52 - ZEZE | USUARIO = 10931 | CI = 11359 | STATUS = 3 | DATA = 01/04/2015 13:52 | MOTIVO_CANCELAMENTO = 
01/04/2015 16:59 - ZEZE | USUARIO = 10931 | CI = 11365 | STATUS = 7 | DATA = 01/04/2015 16:59 | MOTIVO_CANCELAMENTO = 
01/04/2015 17:31 - FERNANDO | USUARIO = 10842 | CI = 11365 | STATUS = 3 | DATA = 01/04/2015 17:31 | MOTIVO_CANCELAMENTO = 
01/04/2015 17:42 - ACIR | USUARIO = 10839 | CI = 11364 | STATUS = 7 | DATA = 01/04/2015 17:42 | MOTIVO_CANCELAMENTO = 
01/04/2015 17:42 - ACIR | USUARIO = 10839 | CI = 11364 | STATUS = 3 | DATA = 01/04/2015 17:42 | MOTIVO_CANCELAMENTO = 
01/04/2015 17:42 - ACIR | USUARIO = 10839 | CI = 11363 | STATUS = 7 | DATA = 01/04/2015 17:42 | MOTIVO_CANCELAMENTO = 
01/04/2015 17:42 - ACIR | USUARIO = 10839 | CI = 11363 | STATUS = 3 | DATA = 01/04/2015 17:42 | MOTIVO_CANCELAMENTO = 
01/04/2015 17:43 - ACIR | USUARIO = 10839 | CI = 11362 | STATUS = 7 | DATA = 01/04/2015 17:43 | MOTIVO_CANCELAMENTO = 
01/04/2015 17:43 - ACIR | USUARIO = 10839 | CI = 11362 | STATUS = 3 | DATA = 01/04/2015 17:43 | MOTIVO_CANCELAMENTO = 
01/04/2015 19:37 - TOM | USUARIO = 10831 | CI = 11344 | STATUS = 7 | DATA = 01/04/2015 19:37 | MOTIVO_CANCELAMENTO = 
01/04/2015 19:37 - TOM | USUARIO = 10831 | CI = 11344 | STATUS = 3 | DATA = 01/04/2015 19:37 | MOTIVO_CANCELAMENTO = 
01/04/2015 19:37 - TOM | USUARIO = 10831 | CI = 11360 | STATUS = 7 | DATA = 01/04/2015 19:37 | MOTIVO_CANCELAMENTO = 
01/04/2015 19:37 - TOM | USUARIO = 10831 | CI = 11360 | STATUS = 3 | DATA = 01/04/2015 19:37 | MOTIVO_CANCELAMENTO = 
01/04/2015 19:38 - TOM | USUARIO = 10831 | CI = 11361 | STATUS = 7 | DATA = 01/04/2015 19:38 | MOTIVO_CANCELAMENTO = 
01/04/2015 19:38 - TOM | USUARIO = 10831 | CI = 11361 | STATUS = 3 | DATA = 01/04/2015 19:38 | MOTIVO_CANCELAMENTO = 
02/04/2015 08:27 - AREIAS | USUARIO = 10997 | CI = 11366 | STATUS = 7 | DATA = 02/04/2015 8:27 | MOTIVO_CANCELAMENTO = 
02/04/2015 08:27 - AREIAS | USUARIO = 10997 | CI = 11366 | STATUS = 3 | DATA = 02/04/2015 8:27 | MOTIVO_CANCELAMENTO = 
02/04/2015 08:41 - JT | USUARIO = 10823 | CI = 11367 | STATUS = 3 | DATA = 02/04/2015 8:41 | MOTIVO_CANCELAMENTO = 
02/04/2015 12:04 - JT | USUARIO = 10823 | CI = 11370 | STATUS = 7 | DATA = 02/04/2015 12:04 | MOTIVO_CANCELAMENTO = 
02/04/2015 12:04 - JT | USUARIO = 10823 | CI = 11370 | STATUS = 3 | DATA = 02/04/2015 12:04 | MOTIVO_CANCELAMENTO = 
02/04/2015 14:03 - ZEZE | USUARIO = 10931 | CI = 11368 | STATUS = 3 | DATA = 02/04/2015 14:03 | MOTIVO_CANCELAMENTO = 
02/04/2015 14:04 - ZEZE | USUARIO = 10931 | CI = 11373 | STATUS = 7 | DATA = 02/04/2015 14:04 | MOTIVO_CANCELAMENTO = 
02/04/2015 14:04 - ZEZE | USUARIO = 10931 | CI = 11373 | STATUS = 3 | DATA = 02/04/2015 14:04 | MOTIVO_CANCELAMENTO = 
02/04/2015 14:04 - ZEZE | USUARIO = 10931 | CI = 11374 | STATUS = 7 | DATA = 02/04/2015 14:04 | MOTIVO_CANCELAMENTO = 
02/04/2015 16:18 - AREIAS | USUARIO = 10997 | CI = 11375 | STATUS = 7 | DATA = 02/04/2015 16:18 | MOTIVO_CANCELAMENTO = 
02/04/2015 16:18 - AREIAS | USUARIO = 10997 | CI = 11376 | STATUS = 7 | DATA = 02/04/2015 16:18 | MOTIVO_CANCELAMENTO = 
02/04/2015 16:44 - LUIDE | USUARIO = 10836 | CI = 11377 | STATUS = 7 | DATA = 02/04/2015 16:44 | MOTIVO_CANCELAMENTO = 
02/04/2015 16:44 - LUIDE | USUARIO = 10836 | CI = 11377 | STATUS = 3 | DATA = 02/04/2015 16:44 | MOTIVO_CANCELAMENTO = 
02/04/2015 18:06 - ACIR | USUARIO = 10839 | CI = 11376 | STATUS = 3 | DATA = 02/04/2015 18:06 | MOTIVO_CANCELAMENTO = 
02/04/2015 18:08 - TOM | USUARIO = 10831 | CI = 11372 | STATUS = 3 | DATA = 02/04/2015 18:08 | MOTIVO_CANCELAMENTO = 
04/04/2015 14:26 - JT | USUARIO = 10823 | CI = 11371 | STATUS = 7 | DATA = 04/04/2015 14:26 | MOTIVO_CANCELAMENTO = 
04/04/2015 14:26 - JT | USUARIO = 10823 | CI = 11371 | STATUS = 3 | DATA = 04/04/2015 14:26 | MOTIVO_CANCELAMENTO = 
04/04/2015 14:26 - JT | USUARIO = 10823 | CI = 11380 | STATUS = 7 | DATA = 04/04/2015 14:26 | MOTIVO_CANCELAMENTO = 
04/04/2015 14:48 - PARDAL | USUARIO = 10903 | CI = 11381 | STATUS = 3 | DATA = 04/04/2015 14:48 | MOTIVO_CANCELAMENTO = LIBERAÇÃO DE FUNCIONÁRIOS PARA MANUTENÇÃO DO GUINDASTE QUE DEU PROBLEMA APOS O TERMINO DOS SERVIÇOS PRESTADOS.
06/04/2015 10:56 - PORTARIA | USUARIO = 11207 | CI = 11378 | STATUS = 5 | DATA = 06/04/2015 10:56 | MOTIVO_CANCELAMENTO = desistencia da prestação do serviço
06/04/2015 11:48 - ACIR | USUARIO = 10839 | CI = 11384 | STATUS = 3 | DATA = 06/04/2015 11:48 | MOTIVO_CANCELAMENTO = 
06/04/2015 11:48 - ACIR | USUARIO = 10839 | CI = 11382 | STATUS = 3 | DATA = 06/04/2015 11:48 | MOTIVO_CANCELAMENTO = 
06/04/2015 12:04 - ALEXANDRE | USUARIO = 10837 | CI = 11385 | STATUS = 7 | DATA = 06/04/2015 12:04 | MOTIVO_CANCELAMENTO = 
06/04/2015 12:04 - ALEXANDRE | USUARIO = 10837 | CI = 11385 | STATUS = 3 | DATA = 06/04/2015 12:04 | MOTIVO_CANCELAMENTO = 
06/04/2015 12:05 - ALEXANDRE | USUARIO = 10837 | CI = 11386 | STATUS = 7 | DATA = 06/04/2015 12:05 | MOTIVO_CANCELAMENTO = 
06/04/2015 12:05 - ALEXANDRE | USUARIO = 10837 | CI = 11386 | STATUS = 3 | DATA = 06/04/2015 12:05 | MOTIVO_CANCELAMENTO = 
06/04/2015 15:10 - FERNANDO | USUARIO = 10842 | CI = 11383 | STATUS = 3 | DATA = 06/04/2015 15:10 | MOTIVO_CANCELAMENTO = 
06/04/2015 15:11 - FERNANDO | USUARIO = 10842 | CI = 11374 | STATUS = 3 | DATA = 06/04/2015 15:11 | MOTIVO_CANCELAMENTO = 
06/04/2015 16:22 - ZEZE | USUARIO = 10931 | CI = 11388 | STATUS = 3 | DATA = 06/04/2015 16:22 | MOTIVO_CANCELAMENTO = 
06/04/2015 16:23 - ZEZE | USUARIO = 10931 | CI = 11390 | STATUS = 7 | DATA = 06/04/2015 16:23 | MOTIVO_CANCELAMENTO = 
06/04/2015 16:23 - ZEZE | USUARIO = 10931 | CI = 11390 | STATUS = 3 | DATA = 06/04/2015 16:23 | MOTIVO_CANCELAMENTO = 
06/04/2015 16:23 - ZEZE | USUARIO = 10931 | CI = 11393 | STATUS = 7 | DATA = 06/04/2015 16:23 | MOTIVO_CANCELAMENTO = 
06/04/2015 16:23 - ZEZE | USUARIO = 10931 | CI = 11393 | STATUS = 3 | DATA = 06/04/2015 16:23 | MOTIVO_CANCELAMENTO = 
