01/05/2015 10:04 - JT | USUARIO = 10823 | CI = 11711 | STATUS = 3 | DATA = 01/05/2015 10:04 | MOTIVO_CANCELAMENTO = 
04/05/2015 08:54 - MARTA | USUARIO = 10847 | CI = 11718 | STATUS = 3 | DATA = 04/05/2015 8:54 | MOTIVO_CANCELAMENTO = aprovado.
04/05/2015 09:06 - ZEZE | USUARIO = 10931 | CI = 11719 | STATUS = 7 | DATA = 04/05/2015 9:06 | MOTIVO_CANCELAMENTO = 
04/05/2015 09:06 - ZEZE | USUARIO = 10931 | CI = 11719 | STATUS = 3 | DATA = 04/05/2015 9:06 | MOTIVO_CANCELAMENTO = 
04/05/2015 10:06 - HEITOR | USUARIO = 10996 | CI = 11721 | STATUS = 3 | DATA = 04/05/2015 10:06 | MOTIVO_CANCELAMENTO = 
04/05/2015 10:06 - HEITOR | USUARIO = 10996 | CI = 11722 | STATUS = 3 | DATA = 04/05/2015 10:06 | MOTIVO_CANCELAMENTO = 
04/05/2015 10:07 - HEITOR | USUARIO = 10996 | CI = 11723 | STATUS = 3 | DATA = 04/05/2015 10:07 | MOTIVO_CANCELAMENTO = 
04/05/2015 10:07 - HEITOR | USUARIO = 10996 | CI = 11724 | STATUS = 3 | DATA = 04/05/2015 10:07 | MOTIVO_CANCELAMENTO = 
04/05/2015 13:34 - AREIAS | USUARIO = 10997 | CI = 11725 | STATUS = 7 | DATA = 04/05/2015 13:34 | MOTIVO_CANCELAMENTO = 
04/05/2015 13:50 - EDUARDO | USUARIO = 10844 | CI = 11726 | STATUS = 3 | DATA = 04/05/2015 13:50 | MOTIVO_CANCELAMENTO = 
04/05/2015 13:54 - ROBSONMANFRIM | USUARIO = 11234 | CI = 11720 | STATUS = 3 | DATA = 04/05/2015 13:54 | MOTIVO_CANCELAMENTO = 
04/05/2015 13:55 - ROBSONMANFRIM | USUARIO = 11234 | CI = 11716 | STATUS = 7 | DATA = 04/05/2015 13:55 | MOTIVO_CANCELAMENTO = 
04/05/2015 13:55 - ROBSONMANFRIM | USUARIO = 11234 | CI = 11716 | STATUS = 3 | DATA = 04/05/2015 13:55 | MOTIVO_CANCELAMENTO = 
