01/07/2015 08:31 - MARTA | USUARIO = 10847 | CI = 12389 | STATUS = 3 | DATA = 01/07/2015 8:31 | MOTIVO_CANCELAMENTO = aprovado.
01/07/2015 08:53 - REGI | USUARIO = 10864 | CI = 12390 | STATUS = 3 | DATA = 01/07/2015 8:53 | MOTIVO_CANCELAMENTO = ok
01/07/2015 09:24 - DORACI | USUARIO = 10886 | CI = 12391 | STATUS = 7 | DATA = 01/07/2015 9:24 | MOTIVO_CANCELAMENTO = 
01/07/2015 09:39 - FERNANDO | USUARIO = 10842 | CI = 12391 | STATUS = 3 | DATA = 01/07/2015 9:39 | MOTIVO_CANCELAMENTO = 
01/07/2015 11:09 - AREIAS | USUARIO = 10997 | CI = 12387 | STATUS = 7 | DATA = 01/07/2015 11:09 | MOTIVO_CANCELAMENTO = 
01/07/2015 11:09 - AREIAS | USUARIO = 10997 | CI = 12393 | STATUS = 7 | DATA = 01/07/2015 11:09 | MOTIVO_CANCELAMENTO = 
01/07/2015 11:09 - AREIAS | USUARIO = 10997 | CI = 12393 | STATUS = 3 | DATA = 01/07/2015 11:09 | MOTIVO_CANCELAMENTO = 
01/07/2015 12:06 - ZEZE | USUARIO = 10931 | CI = 12396 | STATUS = 3 | DATA = 01/07/2015 12:06 | MOTIVO_CANCELAMENTO = 
01/07/2015 13:20 - CARACIOLO | USUARIO = 10840 | CI = 12395 | STATUS = 7 | DATA = 01/07/2015 13:20 | MOTIVO_CANCELAMENTO = 
01/07/2015 14:06 - TOM | USUARIO = 10831 | CI = 12382 | STATUS = 7 | DATA = 01/07/2015 14:06 | MOTIVO_CANCELAMENTO = 
01/07/2015 14:06 - TOM | USUARIO = 10831 | CI = 12392 | STATUS = 7 | DATA = 01/07/2015 14:06 | MOTIVO_CANCELAMENTO = 
01/07/2015 14:06 - TOM | USUARIO = 10831 | CI = 12392 | STATUS = 3 | DATA = 01/07/2015 14:06 | MOTIVO_CANCELAMENTO = 
01/07/2015 14:06 - TOM | USUARIO = 10831 | CI = 12397 | STATUS = 3 | DATA = 01/07/2015 14:06 | MOTIVO_CANCELAMENTO = 
01/07/2015 15:19 - JT | USUARIO = 10823 | CI = 12395 | STATUS = 3 | DATA = 01/07/2015 15:19 | MOTIVO_CANCELAMENTO = 
01/07/2015 15:20 - JT | USUARIO = 10823 | CI = 12398 | STATUS = 3 | DATA = 01/07/2015 15:20 | MOTIVO_CANCELAMENTO = 
01/07/2015 15:26 - ACIR | USUARIO = 10839 | CI = 12380 | STATUS = 7 | DATA = 01/07/2015 15:26 | MOTIVO_CANCELAMENTO = 
01/07/2015 15:26 - ACIR | USUARIO = 10839 | CI = 12380 | STATUS = 3 | DATA = 01/07/2015 15:26 | MOTIVO_CANCELAMENTO = 
01/07/2015 15:27 - ACIR | USUARIO = 10839 | CI = 12387 | STATUS = 3 | DATA = 01/07/2015 15:27 | MOTIVO_CANCELAMENTO = 
01/07/2015 16:49 - BRUNOFAZOLO | USUARIO = 11372 | CI = 12399 | STATUS = 3 | DATA = 01/07/2015 16:49 | MOTIVO_CANCELAMENTO = 
02/07/2015 07:17 - AREIAS | USUARIO = 10997 | CI = 12400 | STATUS = 7 | DATA = 02/07/2015 7:17 | MOTIVO_CANCELAMENTO = 
02/07/2015 07:17 - AREIAS | USUARIO = 10997 | CI = 12400 | STATUS = 3 | DATA = 02/07/2015 7:17 | MOTIVO_CANCELAMENTO = 
02/07/2015 08:02 - ZEZE | USUARIO = 10931 | CI = 12402 | STATUS = 7 | DATA = 02/07/2015 8:02 | MOTIVO_CANCELAMENTO = 
02/07/2015 08:02 - ZEZE | USUARIO = 10931 | CI = 12402 | STATUS = 3 | DATA = 02/07/2015 8:02 | MOTIVO_CANCELAMENTO = 
02/07/2015 11:49 - AREIAS | USUARIO = 10997 | CI = 12411 | STATUS = 7 | DATA = 02/07/2015 11:49 | MOTIVO_CANCELAMENTO = 
02/07/2015 11:49 - AREIAS | USUARIO = 10997 | CI = 12411 | STATUS = 3 | DATA = 02/07/2015 11:49 | MOTIVO_CANCELAMENTO = 
02/07/2015 11:56 - LUIDE | USUARIO = 10836 | CI = 12394 | STATUS = 7 | DATA = 02/07/2015 11:56 | MOTIVO_CANCELAMENTO = 
02/07/2015 11:56 - LUIDE | USUARIO = 10836 | CI = 12394 | STATUS = 3 | DATA = 02/07/2015 11:56 | MOTIVO_CANCELAMENTO = 
02/07/2015 11:57 - LUIDE | USUARIO = 10836 | CI = 12401 | STATUS = 7 | DATA = 02/07/2015 11:57 | MOTIVO_CANCELAMENTO = 
02/07/2015 11:57 - LUIDE | USUARIO = 10836 | CI = 12401 | STATUS = 3 | DATA = 02/07/2015 11:57 | MOTIVO_CANCELAMENTO = 
02/07/2015 11:57 - LUIDE | USUARIO = 10836 | CI = 12404 | STATUS = 7 | DATA = 02/07/2015 11:57 | MOTIVO_CANCELAMENTO = 
02/07/2015 11:57 - LUIDE | USUARIO = 10836 | CI = 12404 | STATUS = 3 | DATA = 02/07/2015 11:57 | MOTIVO_CANCELAMENTO = 
02/07/2015 11:57 - LUIDE | USUARIO = 10836 | CI = 12406 | STATUS = 3 | DATA = 02/07/2015 11:57 | MOTIVO_CANCELAMENTO = 
02/07/2015 11:58 - LUIDE | USUARIO = 10836 | CI = 12407 | STATUS = 3 | DATA = 02/07/2015 11:58 | MOTIVO_CANCELAMENTO = 
02/07/2015 13:31 - ZEZE | USUARIO = 10931 | CI = 12409 | STATUS = 7 | DATA = 02/07/2015 13:31 | MOTIVO_CANCELAMENTO = 
02/07/2015 13:31 - ZEZE | USUARIO = 10931 | CI = 12410 | STATUS = 7 | DATA = 02/07/2015 13:31 | MOTIVO_CANCELAMENTO = 
02/07/2015 15:28 - MARCIO | USUARIO = 10850 | CI = 12414 | STATUS = 7 | DATA = 02/07/2015 15:28 | MOTIVO_CANCELAMENTO = ok
02/07/2015 15:28 - MARCIO | USUARIO = 10850 | CI = 12414 | STATUS = 3 | DATA = 02/07/2015 15:28 | MOTIVO_CANCELAMENTO = ok
03/07/2015 09:02 - REGI | USUARIO = 10864 | CI = 12418 | STATUS = 3 | DATA = 03/07/2015 9:02 | MOTIVO_CANCELAMENTO = ok
03/07/2015 09:11 - LUIDE | USUARIO = 10836 | CI = 12412 | STATUS = 3 | DATA = 03/07/2015 9:11 | MOTIVO_CANCELAMENTO = 
03/07/2015 09:21 - FERNANDO | USUARIO = 10842 | CI = 12421 | STATUS = 3 | DATA = 03/07/2015 9:21 | MOTIVO_CANCELAMENTO = 
03/07/2015 09:22 - FERNANDO | USUARIO = 10842 | CI = 12420 | STATUS = 3 | DATA = 03/07/2015 9:22 | MOTIVO_CANCELAMENTO = 
03/07/2015 09:22 - FERNANDO | USUARIO = 10842 | CI = 12413 | STATUS = 3 | DATA = 03/07/2015 9:22 | MOTIVO_CANCELAMENTO = 
03/07/2015 09:27 - FERNANDO | USUARIO = 10842 | CI = 12409 | STATUS = 3 | DATA = 03/07/2015 9:27 | MOTIVO_CANCELAMENTO = 
03/07/2015 09:28 - FERNANDO | USUARIO = 10842 | CI = 12405 | STATUS = 3 | DATA = 03/07/2015 9:28 | MOTIVO_CANCELAMENTO = 
03/07/2015 09:29 - FERNANDO | USUARIO = 10842 | CI = 12410 | STATUS = 3 | DATA = 03/07/2015 9:29 | MOTIVO_CANCELAMENTO = 
03/07/2015 09:29 - FERNANDO | USUARIO = 10842 | CI = 12382 | STATUS = 3 | DATA = 03/07/2015 9:29 | MOTIVO_CANCELAMENTO = 
03/07/2015 09:36 - TOM | USUARIO = 10831 | CI = 12403 | STATUS = 7 | DATA = 03/07/2015 9:36 | MOTIVO_CANCELAMENTO = 
03/07/2015 10:57 - ZEZE | USUARIO = 10931 | CI = 12424 | STATUS = 3 | DATA = 03/07/2015 10:57 | MOTIVO_CANCELAMENTO = 
03/07/2015 11:24 - ZEZE | USUARIO = 10931 | CI = 12426 | STATUS = 3 | DATA = 03/07/2015 11:24 | MOTIVO_CANCELAMENTO = 
03/07/2015 11:25 - MARCIO | USUARIO = 10850 | CI = 12417 | STATUS = 7 | DATA = 03/07/2015 11:25 | MOTIVO_CANCELAMENTO = OK.
Este pagamento é referente a utilização de códigos de barra pela Usina Santa Fé.
03/07/2015 11:50 - AREIAS | USUARIO = 10997 | CI = 12422 | STATUS = 7 | DATA = 03/07/2015 11:50 | MOTIVO_CANCELAMENTO = 
03/07/2015 13:46 - ZEZE | USUARIO = 10931 | CI = 12427 | STATUS = 3 | DATA = 03/07/2015 13:46 | MOTIVO_CANCELAMENTO = 
03/07/2015 14:45 - DORACI | USUARIO = 10886 | CI = 12428 | STATUS = 7 | DATA = 03/07/2015 14:45 | MOTIVO_CANCELAMENTO = 
03/07/2015 14:46 - DORACI | USUARIO = 10886 | CI = 12429 | STATUS = 7 | DATA = 03/07/2015 14:46 | MOTIVO_CANCELAMENTO = 
03/07/2015 14:46 - DORACI | USUARIO = 10886 | CI = 12430 | STATUS = 7 | DATA = 03/07/2015 14:46 | MOTIVO_CANCELAMENTO = 
03/07/2015 16:36 - JT | USUARIO = 10823 | CI = 12422 | STATUS = 3 | DATA = 03/07/2015 16:36 | MOTIVO_CANCELAMENTO = 
03/07/2015 16:40 - LUIDE | USUARIO = 10836 | CI = 12434 | STATUS = 3 | DATA = 03/07/2015 16:40 | MOTIVO_CANCELAMENTO = 
03/07/2015 16:40 - LUIDE | USUARIO = 10836 | CI = 12431 | STATUS = 7 | DATA = 03/07/2015 16:40 | MOTIVO_CANCELAMENTO = 
03/07/2015 16:40 - LUIDE | USUARIO = 10836 | CI = 12431 | STATUS = 3 | DATA = 03/07/2015 16:40 | MOTIVO_CANCELAMENTO = 
03/07/2015 17:19 - CAMARA | USUARIO = 10841 | CI = 12432 | STATUS = 3 | DATA = 03/07/2015 17:19 | MOTIVO_CANCELAMENTO = 
03/07/2015 17:20 - CAMARA | USUARIO = 10841 | CI = 12417 | STATUS = 3 | DATA = 03/07/2015 17:20 | MOTIVO_CANCELAMENTO = 
04/07/2015 13:08 - JT | USUARIO = 10823 | CI = 12435 | STATUS = 7 | DATA = 04/07/2015 13:08 | MOTIVO_CANCELAMENTO = 
04/07/2015 14:06 - FERNANDO | USUARIO = 10842 | CI = 12435 | STATUS = 3 | DATA = 04/07/2015 14:06 | MOTIVO_CANCELAMENTO = 
04/07/2015 14:07 - FERNANDO | USUARIO = 10842 | CI = 12430 | STATUS = 3 | DATA = 04/07/2015 14:07 | MOTIVO_CANCELAMENTO = 
04/07/2015 14:09 - FERNANDO | USUARIO = 10842 | CI = 12425 | STATUS = 3 | DATA = 04/07/2015 14:09 | MOTIVO_CANCELAMENTO = 
06/07/2015 07:35 - ZEZE | USUARIO = 10931 | CI = 12436 | STATUS = 7 | DATA = 06/07/2015 7:35 | MOTIVO_CANCELAMENTO = 
06/07/2015 07:35 - ZEZE | USUARIO = 10931 | CI = 12436 | STATUS = 3 | DATA = 06/07/2015 7:35 | MOTIVO_CANCELAMENTO = 
06/07/2015 07:36 - ZEZE | USUARIO = 10931 | CI = 12437 | STATUS = 7 | DATA = 06/07/2015 7:36 | MOTIVO_CANCELAMENTO = 
06/07/2015 07:36 - ZEZE | USUARIO = 10931 | CI = 12437 | STATUS = 3 | DATA = 06/07/2015 7:36 | MOTIVO_CANCELAMENTO = 
06/07/2015 07:36 - ZEZE | USUARIO = 10931 | CI = 12438 | STATUS = 7 | DATA = 06/07/2015 7:36 | MOTIVO_CANCELAMENTO = 
06/07/2015 08:07 - EDUARDO | USUARIO = 10844 | CI = 12429 | STATUS = 3 | DATA = 06/07/2015 8:07 | MOTIVO_CANCELAMENTO = 
06/07/2015 08:07 - EDUARDO | USUARIO = 10844 | CI = 12438 | STATUS = 3 | DATA = 06/07/2015 8:07 | MOTIVO_CANCELAMENTO = 
06/07/2015 08:07 - EDUARDO | USUARIO = 10844 | CI = 12428 | STATUS = 3 | DATA = 06/07/2015 8:07 | MOTIVO_CANCELAMENTO = 
