01/10/2015 10:13 - HEITOR | USUARIO = 10996 | CI = 13399 | STATUS = 7 | DATA = 01/10/2015 10:13 | MOTIVO_CANCELAMENTO = 
01/10/2015 11:43 - TOM | USUARIO = 10831 | CI = 13400 | STATUS = 3 | DATA = 01/10/2015 11:43 | MOTIVO_CANCELAMENTO = 
01/10/2015 12:07 - ZEZE | USUARIO = 10931 | CI = 13391 | STATUS = 3 | DATA = 01/10/2015 12:07 | MOTIVO_CANCELAMENTO =  
01/10/2015 12:08 - ZEZE | USUARIO = 10931 | CI = 13399 | STATUS = 3 | DATA = 01/10/2015 12:08 | MOTIVO_CANCELAMENTO = 
01/10/2015 12:08 - ZEZE | USUARIO = 10931 | CI = 13401 | STATUS = 7 | DATA = 01/10/2015 12:08 | MOTIVO_CANCELAMENTO = 
01/10/2015 12:08 - ZEZE | USUARIO = 10931 | CI = 13401 | STATUS = 3 | DATA = 01/10/2015 12:08 | MOTIVO_CANCELAMENTO = 
01/10/2015 12:37 - MARTA | USUARIO = 10847 | CI = 13398 | STATUS = 3 | DATA = 01/10/2015 12:37 | MOTIVO_CANCELAMENTO = aprovado.
01/10/2015 14:37 - ACIR | USUARIO = 10839 | CI = 13396 | STATUS = 3 | DATA = 01/10/2015 14:37 | MOTIVO_CANCELAMENTO = 
01/10/2015 14:37 - ACIR | USUARIO = 10839 | CI = 13233 | STATUS = 3 | DATA = 01/10/2015 14:37 | MOTIVO_CANCELAMENTO = 
01/10/2015 15:23 - TOM | USUARIO = 10831 | CI = 13402 | STATUS = 7 | DATA = 01/10/2015 15:23 | MOTIVO_CANCELAMENTO = 
01/10/2015 15:23 - TOM | USUARIO = 10831 | CI = 13402 | STATUS = 3 | DATA = 01/10/2015 15:23 | MOTIVO_CANCELAMENTO = 
01/10/2015 16:30 - ZEZE | USUARIO = 10931 | CI = 13404 | STATUS = 3 | DATA = 01/10/2015 16:30 | MOTIVO_CANCELAMENTO = 
01/10/2015 18:10 - TOM | USUARIO = 10831 | CI = 13403 | STATUS = 7 | DATA = 01/10/2015 18:10 | MOTIVO_CANCELAMENTO = 
01/10/2015 18:10 - TOM | USUARIO = 10831 | CI = 13403 | STATUS = 3 | DATA = 01/10/2015 18:10 | MOTIVO_CANCELAMENTO = 
02/10/2015 07:48 - DORACI | USUARIO = 10886 | CI = 13405 | STATUS = 3 | DATA = 02/10/2015 7:48 | MOTIVO_CANCELAMENTO = 
02/10/2015 08:24 - JT | USUARIO = 10823 | CI = 13389 | STATUS = 3 | DATA = 02/10/2015 8:24 | MOTIVO_CANCELAMENTO = 
02/10/2015 08:24 - JT | USUARIO = 10823 | CI = 13394 | STATUS = 3 | DATA = 02/10/2015 8:24 | MOTIVO_CANCELAMENTO = 
02/10/2015 09:25 - AREIAS | USUARIO = 10997 | CI = 13406 | STATUS = 7 | DATA = 02/10/2015 9:25 | MOTIVO_CANCELAMENTO = 
02/10/2015 09:25 - AREIAS | USUARIO = 10997 | CI = 13406 | STATUS = 3 | DATA = 02/10/2015 9:25 | MOTIVO_CANCELAMENTO = 
02/10/2015 09:25 - AREIAS | USUARIO = 10997 | CI = 13407 | STATUS = 7 | DATA = 02/10/2015 9:25 | MOTIVO_CANCELAMENTO = 
02/10/2015 09:25 - AREIAS | USUARIO = 10997 | CI = 13407 | STATUS = 3 | DATA = 02/10/2015 9:25 | MOTIVO_CANCELAMENTO = 
02/10/2015 15:43 - SYLVIO | USUARIO = 10914 | CI = 13378 | STATUS = 3 | DATA = 02/10/2015 15:43 | MOTIVO_CANCELAMENTO = 
02/10/2015 16:42 - ROBSONMANFRIM | USUARIO = 11234 | CI = 13397 | STATUS = 7 | DATA = 02/10/2015 16:42 | MOTIVO_CANCELAMENTO = Prazo 01/06/2015 à 01/06/2017
02/10/2015 16:42 - ROBSONMANFRIM | USUARIO = 11234 | CI = 13397 | STATUS = 3 | DATA = 02/10/2015 16:42 | MOTIVO_CANCELAMENTO = Prazo 01/06/2015 à 01/06/2017
02/10/2015 16:42 - ROBSONMANFRIM | USUARIO = 11234 | CI = 13417 | STATUS = 7 | DATA = 02/10/2015 16:42 | MOTIVO_CANCELAMENTO = 
02/10/2015 16:42 - ROBSONMANFRIM | USUARIO = 11234 | CI = 13417 | STATUS = 3 | DATA = 02/10/2015 16:42 | MOTIVO_CANCELAMENTO = 
02/10/2015 16:44 - ROBSONMANFRIM | USUARIO = 11234 | CI = 13418 | STATUS = 7 | DATA = 02/10/2015 16:44 | MOTIVO_CANCELAMENTO = 
02/10/2015 16:45 - ROBSONMANFRIM | USUARIO = 11234 | CI = 13419 | STATUS = 7 | DATA = 02/10/2015 16:44 | MOTIVO_CANCELAMENTO = 
02/10/2015 17:59 - FERNANDO | USUARIO = 10842 | CI = 13419 | STATUS = 3 | DATA = 02/10/2015 17:59 | MOTIVO_CANCELAMENTO = 
02/10/2015 18:00 - FERNANDO | USUARIO = 10842 | CI = 13418 | STATUS = 3 | DATA = 02/10/2015 18:00 | MOTIVO_CANCELAMENTO = 
03/10/2015 09:26 - ALEXANDRE | USUARIO = 10837 | CI = 13361 | STATUS = 3 | DATA = 03/10/2015 9:26 | MOTIVO_CANCELAMENTO = 
03/10/2015 12:05 - JENS | USUARIO = 10895 | CI = 13423 | STATUS = 3 | DATA = 03/10/2015 12:05 | MOTIVO_CANCELAMENTO = 
05/10/2015 09:51 - MARTA | USUARIO = 10847 | CI = 13430 | STATUS = 3 | DATA = 05/10/2015 9:51 | MOTIVO_CANCELAMENTO = aprovado.
05/10/2015 09:51 - ZEZE | USUARIO = 10931 | CI = 13420 | STATUS = 7 | DATA = 05/10/2015 9:51 | MOTIVO_CANCELAMENTO = 
05/10/2015 09:52 - ZEZE | USUARIO = 10931 | CI = 13424 | STATUS = 7 | DATA = 05/10/2015 9:52 | MOTIVO_CANCELAMENTO = 
05/10/2015 09:52 - ZEZE | USUARIO = 10931 | CI = 13424 | STATUS = 3 | DATA = 05/10/2015 9:52 | MOTIVO_CANCELAMENTO = 
05/10/2015 10:03 - ZEZE | USUARIO = 10931 | CI = 13431 | STATUS = 7 | DATA = 05/10/2015 10:03 | MOTIVO_CANCELAMENTO = 
05/10/2015 10:03 - ZEZE | USUARIO = 10931 | CI = 13431 | STATUS = 3 | DATA = 05/10/2015 10:03 | MOTIVO_CANCELAMENTO = 
05/10/2015 10:03 - ZEZE | USUARIO = 10931 | CI = 13433 | STATUS = 7 | DATA = 05/10/2015 10:03 | MOTIVO_CANCELAMENTO = 
05/10/2015 10:03 - ZEZE | USUARIO = 10931 | CI = 13433 | STATUS = 3 | DATA = 05/10/2015 10:03 | MOTIVO_CANCELAMENTO = 
