02/01/2016 12:27 - CAMARA | USUARIO = 10841 | CI = 14381 | STATUS = 3 | DATA = 02/01/2016 12:27 | MOTIVO_CANCELAMENTO = B
04/01/2016 08:18 - ZEZE | USUARIO = 10931 | CI = 14362 | STATUS = 3 | DATA = 04/01/2016 8:18 | MOTIVO_CANCELAMENTO = 
04/01/2016 08:19 - ZEZE | USUARIO = 10931 | CI = 14363 | STATUS = 7 | DATA = 04/01/2016 8:19 | MOTIVO_CANCELAMENTO = 
04/01/2016 08:19 - ZEZE | USUARIO = 10931 | CI = 14363 | STATUS = 3 | DATA = 04/01/2016 8:19 | MOTIVO_CANCELAMENTO = 
04/01/2016 08:19 - ZEZE | USUARIO = 10931 | CI = 14364 | STATUS = 7 | DATA = 04/01/2016 8:19 | MOTIVO_CANCELAMENTO = 
04/01/2016 08:19 - ZEZE | USUARIO = 10931 | CI = 14364 | STATUS = 3 | DATA = 04/01/2016 8:19 | MOTIVO_CANCELAMENTO = 
04/01/2016 08:19 - ZEZE | USUARIO = 10931 | CI = 14366 | STATUS = 7 | DATA = 04/01/2016 8:19 | MOTIVO_CANCELAMENTO = 
04/01/2016 08:19 - ZEZE | USUARIO = 10931 | CI = 14366 | STATUS = 3 | DATA = 04/01/2016 8:19 | MOTIVO_CANCELAMENTO = 
04/01/2016 08:21 - ZEZE | USUARIO = 10931 | CI = 14382 | STATUS = 3 | DATA = 04/01/2016 8:21 | MOTIVO_CANCELAMENTO = 
04/01/2016 08:21 - ZEZE | USUARIO = 10931 | CI = 14383 | STATUS = 3 | DATA = 04/01/2016 8:21 | MOTIVO_CANCELAMENTO = 
04/01/2016 08:21 - ZEZE | USUARIO = 10931 | CI = 14384 | STATUS = 3 | DATA = 04/01/2016 8:21 | MOTIVO_CANCELAMENTO = 
04/01/2016 08:52 - CAMARA | USUARIO = 10841 | CI = 14385 | STATUS = 3 | DATA = 04/01/2016 8:52 | MOTIVO_CANCELAMENTO = 
04/01/2016 08:57 - LUIDE | USUARIO = 10836 | CI = 14387 | STATUS = 7 | DATA = 04/01/2016 8:57 | MOTIVO_CANCELAMENTO = 
04/01/2016 08:57 - LUIDE | USUARIO = 10836 | CI = 14387 | STATUS = 3 | DATA = 04/01/2016 8:57 | MOTIVO_CANCELAMENTO = 
04/01/2016 09:30 - ZEZE | USUARIO = 10931 | CI = 14389 | STATUS = 3 | DATA = 04/01/2016 9:30 | MOTIVO_CANCELAMENTO = 
04/01/2016 10:39 - ZEZE | USUARIO = 10931 | CI = 14391 | STATUS = 7 | DATA = 04/01/2016 10:39 | MOTIVO_CANCELAMENTO = 
04/01/2016 10:39 - ZEZE | USUARIO = 10931 | CI = 14391 | STATUS = 3 | DATA = 04/01/2016 10:39 | MOTIVO_CANCELAMENTO = 
04/01/2016 10:45 - JT | USUARIO = 10823 | CI = 14390 | STATUS = 3 | DATA = 04/01/2016 10:45 | MOTIVO_CANCELAMENTO = 
04/01/2016 11:42 - CAMARA | USUARIO = 10841 | CI = 14393 | STATUS = 3 | DATA = 04/01/2016 11:42 | MOTIVO_CANCELAMENTO = 
04/01/2016 12:55 - ALEXANDRE | USUARIO = 10837 | CI = 14395 | STATUS = 7 | DATA = 04/01/2016 12:55 | MOTIVO_CANCELAMENTO = 
04/01/2016 12:55 - ALEXANDRE | USUARIO = 10837 | CI = 14395 | STATUS = 3 | DATA = 04/01/2016 12:55 | MOTIVO_CANCELAMENTO = 
04/01/2016 13:08 - ZEZE | USUARIO = 10931 | CI = 14392 | STATUS = 7 | DATA = 04/01/2016 13:08 | MOTIVO_CANCELAMENTO = 
04/01/2016 13:08 - ZEZE | USUARIO = 10931 | CI = 14392 | STATUS = 3 | DATA = 04/01/2016 13:08 | MOTIVO_CANCELAMENTO = 
04/01/2016 14:42 - ZEZE | USUARIO = 10931 | CI = 14397 | STATUS = 3 | DATA = 04/01/2016 14:42 | MOTIVO_CANCELAMENTO = 
04/01/2016 15:42 - ROBSONMANFRIM | USUARIO = 11234 | CI = 14388 | STATUS = 7 | DATA = 04/01/2016 15:42 | MOTIVO_CANCELAMENTO = 
04/01/2016 15:42 - ROBSONMANFRIM | USUARIO = 11234 | CI = 14388 | STATUS = 3 | DATA = 04/01/2016 15:42 | MOTIVO_CANCELAMENTO = 
04/01/2016 15:45 - ZEZE | USUARIO = 10931 | CI = 14398 | STATUS = 3 | DATA = 04/01/2016 15:45 | MOTIVO_CANCELAMENTO = 
