01/02/2016 07:24 - JENS | USUARIO = 10895 | CI = 14735 | STATUS = 3 | DATA = 01/02/2016 7:24 | MOTIVO_CANCELAMENTO = 
01/02/2016 09:33 - MARTA | USUARIO = 10847 | CI = 14739 | STATUS = 3 | DATA = 01/02/2016 9:33 | MOTIVO_CANCELAMENTO = aprovado.
01/02/2016 10:27 - PARDAL | USUARIO = 10903 | CI = 14740 | STATUS = 3 | DATA = 01/02/2016 10:27 | MOTIVO_CANCELAMENTO = 
01/02/2016 11:23 - CARACIOLO | USUARIO = 10840 | CI = 14741 | STATUS = 7 | DATA = 01/02/2016 11:23 | MOTIVO_CANCELAMENTO = 
01/02/2016 11:50 - AREIAS | USUARIO = 10997 | CI = 14721 | STATUS = 7 | DATA = 01/02/2016 11:50 | MOTIVO_CANCELAMENTO = 
01/02/2016 11:50 - AREIAS | USUARIO = 10997 | CI = 14722 | STATUS = 7 | DATA = 01/02/2016 11:50 | MOTIVO_CANCELAMENTO = 
01/02/2016 11:50 - AREIAS | USUARIO = 10997 | CI = 14722 | STATUS = 3 | DATA = 01/02/2016 11:50 | MOTIVO_CANCELAMENTO = 
01/02/2016 11:59 - AREIAS | USUARIO = 10997 | CI = 14742 | STATUS = 7 | DATA = 01/02/2016 11:59 | MOTIVO_CANCELAMENTO = 
01/02/2016 13:32 - MARCIO | USUARIO = 10850 | CI = 14713 | STATUS = 7 | DATA = 01/02/2016 13:32 | MOTIVO_CANCELAMENTO = 
01/02/2016 13:33 - MARCIO | USUARIO = 10850 | CI = 14745 | STATUS = 7 | DATA = 01/02/2016 13:32 | MOTIVO_CANCELAMENTO = 
01/02/2016 13:33 - MARCIO | USUARIO = 10850 | CI = 14745 | STATUS = 3 | DATA = 01/02/2016 13:32 | MOTIVO_CANCELAMENTO = 
01/02/2016 13:47 - FERNANDO | USUARIO = 10842 | CI = 14742 | STATUS = 3 | DATA = 01/02/2016 13:47 | MOTIVO_CANCELAMENTO = 
01/02/2016 13:47 - FERNANDO | USUARIO = 10842 | CI = 14704 | STATUS = 3 | DATA = 01/02/2016 13:47 | MOTIVO_CANCELAMENTO = 
01/02/2016 14:45 - ZEZE | USUARIO = 10931 | CI = 14746 | STATUS = 7 | DATA = 01/02/2016 14:45 | MOTIVO_CANCELAMENTO = 
01/02/2016 14:45 - ZEZE | USUARIO = 10931 | CI = 14746 | STATUS = 3 | DATA = 01/02/2016 14:45 | MOTIVO_CANCELAMENTO = 
01/02/2016 18:00 - JT | USUARIO = 10823 | CI = 14738 | STATUS = 7 | DATA = 01/02/2016 18:00 | MOTIVO_CANCELAMENTO = 
01/02/2016 18:00 - JT | USUARIO = 10823 | CI = 14738 | STATUS = 3 | DATA = 01/02/2016 18:00 | MOTIVO_CANCELAMENTO = 
02/02/2016 07:51 - ZEZE | USUARIO = 10931 | CI = 14747 | STATUS = 3 | DATA = 02/02/2016 7:51 | MOTIVO_CANCELAMENTO = 
02/02/2016 07:55 - BRUNOFAZOLO | USUARIO = 11372 | CI = 14750 | STATUS = 3 | DATA = 02/02/2016 7:55 | MOTIVO_CANCELAMENTO = 
02/02/2016 08:29 - ACIR | USUARIO = 10839 | CI = 14713 | STATUS = 3 | DATA = 02/02/2016 8:29 | MOTIVO_CANCELAMENTO = 
02/02/2016 08:45 - ACIR | USUARIO = 10839 | CI = 14721 | STATUS = 3 | DATA = 02/02/2016 8:45 | MOTIVO_CANCELAMENTO = 
02/02/2016 08:45 - ACIR | USUARIO = 10839 | CI = 14734 | STATUS = 7 | DATA = 02/02/2016 8:45 | MOTIVO_CANCELAMENTO = 
02/02/2016 08:45 - ACIR | USUARIO = 10839 | CI = 14734 | STATUS = 3 | DATA = 02/02/2016 8:45 | MOTIVO_CANCELAMENTO = 
02/02/2016 08:45 - ACIR | USUARIO = 10839 | CI = 14751 | STATUS = 3 | DATA = 02/02/2016 8:45 | MOTIVO_CANCELAMENTO = 
02/02/2016 10:00 - JT | USUARIO = 10823 | CI = 14749 | STATUS = 7 | DATA = 02/02/2016 10:00 | MOTIVO_CANCELAMENTO = 
02/02/2016 10:00 - JT | USUARIO = 10823 | CI = 14749 | STATUS = 3 | DATA = 02/02/2016 10:00 | MOTIVO_CANCELAMENTO = 
02/02/2016 10:01 - JT | USUARIO = 10823 | CI = 14752 | STATUS = 7 | DATA = 02/02/2016 10:01 | MOTIVO_CANCELAMENTO = 
02/02/2016 10:01 - JT | USUARIO = 10823 | CI = 14752 | STATUS = 3 | DATA = 02/02/2016 10:01 | MOTIVO_CANCELAMENTO = 
02/02/2016 10:03 - JT | USUARIO = 10823 | CI = 14741 | STATUS = 3 | DATA = 02/02/2016 10:03 | MOTIVO_CANCELAMENTO = 
02/02/2016 10:42 - HEITOR | USUARIO = 10996 | CI = 14754 | STATUS = 3 | DATA = 02/02/2016 10:42 | MOTIVO_CANCELAMENTO = 
