01/03/2016 07:26 - ROBSONMANFRIM | USUARIO = 11234 | CI = 15031 | STATUS = 3 | DATA = 01/03/2016 7:26 | MOTIVO_CANCELAMENTO = 
01/03/2016 08:08 - MARCIO | USUARIO = 10850 | CI = 15044 | STATUS = 7 | DATA = 01/03/2016 8:08 | MOTIVO_CANCELAMENTO = 
01/03/2016 08:14 - PORTARIA | USUARIO = 11207 | CI = 15032 | STATUS = 5 | DATA = 01/03/2016 8:14 | MOTIVO_CANCELAMENTO = alteração de quantidade de funcionarios e data de serviços
01/03/2016 09:02 - ROBSONMANFRIM | USUARIO = 11234 | CI = 15045 | STATUS = 3 | DATA = 01/03/2016 9:02 | MOTIVO_CANCELAMENTO = 
01/03/2016 09:02 - ROBSONMANFRIM | USUARIO = 11234 | CI = 15046 | STATUS = 3 | DATA = 01/03/2016 9:02 | MOTIVO_CANCELAMENTO = 
01/03/2016 09:27 - TOM | USUARIO = 10831 | CI = 15047 | STATUS = 7 | DATA = 01/03/2016 9:27 | MOTIVO_CANCELAMENTO = 
01/03/2016 10:01 - FERNANDO | USUARIO = 10842 | CI = 15047 | STATUS = 3 | DATA = 01/03/2016 10:01 | MOTIVO_CANCELAMENTO = 
01/03/2016 10:01 - FERNANDO | USUARIO = 10842 | CI = 15016 | STATUS = 3 | DATA = 01/03/2016 10:01 | MOTIVO_CANCELAMENTO = 
01/03/2016 11:29 - ACIR | USUARIO = 10839 | CI = 15051 | STATUS = 3 | DATA = 01/03/2016 11:29 | MOTIVO_CANCELAMENTO = 
01/03/2016 11:29 - ACIR | USUARIO = 10839 | CI = 15049 | STATUS = 3 | DATA = 01/03/2016 11:29 | MOTIVO_CANCELAMENTO = 
01/03/2016 11:29 - ACIR | USUARIO = 10839 | CI = 15044 | STATUS = 3 | DATA = 01/03/2016 11:29 | MOTIVO_CANCELAMENTO = 
01/03/2016 11:30 - ACIR | USUARIO = 10839 | CI = 15038 | STATUS = 7 | DATA = 01/03/2016 11:30 | MOTIVO_CANCELAMENTO = 
