02/05/2016 08:33 - JG | USUARIO = 10849 | CI = 15628 | STATUS = 3 | DATA = 02/05/2016 8:33 | MOTIVO_CANCELAMENTO = ok
02/05/2016 08:33 - JG | USUARIO = 10849 | CI = 15629 | STATUS = 3 | DATA = 02/05/2016 8:33 | MOTIVO_CANCELAMENTO = ok
02/05/2016 09:02 - MARCELOGODOI | USUARIO = 11316 | CI = 15711 | STATUS = 7 | DATA = 02/05/2016 9:02 | MOTIVO_CANCELAMENTO = 
02/05/2016 09:03 - MARCELOGODOI | USUARIO = 11316 | CI = 15712 | STATUS = 7 | DATA = 02/05/2016 9:03 | MOTIVO_CANCELAMENTO = 
02/05/2016 09:07 - DOUGLAS | USUARIO = 11530 | CI = 15706 | STATUS = 3 | DATA = 02/05/2016 9:07 | MOTIVO_CANCELAMENTO = 
02/05/2016 09:09 - DOUGLAS | USUARIO = 11530 | CI = 15697 | STATUS = 3 | DATA = 02/05/2016 9:09 | MOTIVO_CANCELAMENTO = Aprovado mediante concordância e aprovação de Antonio Christiano e dentro das políticas da companhia
02/05/2016 09:11 - DOUGLAS | USUARIO = 11530 | CI = 15640 | STATUS = 3 | DATA = 02/05/2016 9:11 | MOTIVO_CANCELAMENTO = Aprovada mediante concordância de Antonio Christiano e dentro das políticas da companhia
02/05/2016 09:22 - ZEZE | USUARIO = 10931 | CI = 15713 | STATUS = 7 | DATA = 02/05/2016 9:22 | MOTIVO_CANCELAMENTO = 
02/05/2016 09:22 - ZEZE | USUARIO = 10931 | CI = 15713 | STATUS = 3 | DATA = 02/05/2016 9:22 | MOTIVO_CANCELAMENTO = 
02/05/2016 12:11 - CHRISTIANO | USUARIO = 11570 | CI = 15711 | STATUS = 3 | DATA = 02/05/2016 12:11 | MOTIVO_CANCELAMENTO = 
02/05/2016 12:11 - CHRISTIANO | USUARIO = 11570 | CI = 15712 | STATUS = 3 | DATA = 02/05/2016 12:11 | MOTIVO_CANCELAMENTO = 
02/05/2016 13:35 - CAMARA | USUARIO = 10841 | CI = 15717 | STATUS = 3 | DATA = 02/05/2016 13:35 | MOTIVO_CANCELAMENTO = 
02/05/2016 13:35 - DORACI | USUARIO = 10886 | CI = 15718 | STATUS = 7 | DATA = 02/05/2016 13:35 | MOTIVO_CANCELAMENTO = 
02/05/2016 14:19 - CHRISTIANO | USUARIO = 11570 | CI = 15718 | STATUS = 3 | DATA = 02/05/2016 14:19 | MOTIVO_CANCELAMENTO = 
02/05/2016 16:14 - ROBSONMANFRIM | USUARIO = 11234 | CI = 15714 | STATUS = 3 | DATA = 02/05/2016 16:14 | MOTIVO_CANCELAMENTO = 
02/05/2016 16:15 - ROBSONMANFRIM | USUARIO = 11234 | CI = 15715 | STATUS = 3 | DATA = 02/05/2016 16:15 | MOTIVO_CANCELAMENTO = 
02/05/2016 16:15 - ROBSONMANFRIM | USUARIO = 11234 | CI = 15721 | STATUS = 3 | DATA = 02/05/2016 16:15 | MOTIVO_CANCELAMENTO = 
02/05/2016 16:32 - ROBSONMANFRIM | USUARIO = 11234 | CI = 15722 | STATUS = 3 | DATA = 02/05/2016 16:32 | MOTIVO_CANCELAMENTO = 
02/05/2016 19:29 - DOUGLAS | USUARIO = 11530 | CI = 15720 | STATUS = 3 | DATA = 02/05/2016 19:29 | MOTIVO_CANCELAMENTO = 
03/05/2016 07:37 - ZEZE | USUARIO = 10931 | CI = 15727 | STATUS = 7 | DATA = 03/05/2016 7:37 | MOTIVO_CANCELAMENTO = 
03/05/2016 07:37 - ZEZE | USUARIO = 10931 | CI = 15727 | STATUS = 3 | DATA = 03/05/2016 7:37 | MOTIVO_CANCELAMENTO = 
03/05/2016 08:15 - ZEZE | USUARIO = 10931 | CI = 15728 | STATUS = 7 | DATA = 03/05/2016 8:15 | MOTIVO_CANCELAMENTO = 
03/05/2016 08:15 - ZEZE | USUARIO = 10931 | CI = 15728 | STATUS = 3 | DATA = 03/05/2016 8:15 | MOTIVO_CANCELAMENTO = 
