01/08/2016 09:19 - MARCELOGODOI | USUARIO = 11316 | CI = 16880 | STATUS = 7 | DATA = 01/08/2016 9:19 | MOTIVO_CANCELAMENTO = 
01/08/2016 09:25 - JT | USUARIO = 10823 | CI = 16872 | STATUS = 3 | DATA = 01/08/2016 9:25 | MOTIVO_CANCELAMENTO = 
01/08/2016 10:15 - MARTA | USUARIO = 10847 | CI = 16881 | STATUS = 3 | DATA = 01/08/2016 10:15 | MOTIVO_CANCELAMENTO = aprovada.
01/08/2016 15:09 - ZEZE | USUARIO = 10931 | CI = 16887 | STATUS = 7 | DATA = 01/08/2016 15:09 | MOTIVO_CANCELAMENTO = 
01/08/2016 15:09 - ZEZE | USUARIO = 10931 | CI = 16887 | STATUS = 3 | DATA = 01/08/2016 15:09 | MOTIVO_CANCELAMENTO = 
01/08/2016 17:33 - ACIR | USUARIO = 10839 | CI = 16868 | STATUS = 3 | DATA = 01/08/2016 17:33 | MOTIVO_CANCELAMENTO = 
01/08/2016 17:44 - ALEXANDRE | USUARIO = 10837 | CI = 16886 | STATUS = 7 | DATA = 01/08/2016 17:44 | MOTIVO_CANCELAMENTO = 
01/08/2016 17:44 - ALEXANDRE | USUARIO = 10837 | CI = 16886 | STATUS = 3 | DATA = 01/08/2016 17:44 | MOTIVO_CANCELAMENTO = 
01/08/2016 21:20 - AREIAS | USUARIO = 10997 | CI = 16878 | STATUS = 7 | DATA = 01/08/2016 21:20 | MOTIVO_CANCELAMENTO = 
01/08/2016 21:21 - AREIAS | USUARIO = 10997 | CI = 16885 | STATUS = 7 | DATA = 01/08/2016 21:21 | MOTIVO_CANCELAMENTO = 
01/08/2016 21:49 - DOUGLAS | USUARIO = 11530 | CI = 16885 | STATUS = 3 | DATA = 01/08/2016 21:49 | MOTIVO_CANCELAMENTO = 
02/08/2016 08:27 - DORACI | USUARIO = 10886 | CI = 16889 | STATUS = 7 | DATA = 02/08/2016 8:27 | MOTIVO_CANCELAMENTO = 
02/08/2016 08:27 - DORACI | USUARIO = 10886 | CI = 16889 | STATUS = 3 | DATA = 02/08/2016 8:27 | MOTIVO_CANCELAMENTO = 
02/08/2016 08:38 - MARCIO | USUARIO = 10850 | CI = 16890 | STATUS = 3 | DATA = 02/08/2016 8:38 | MOTIVO_CANCELAMENTO = 
02/08/2016 08:44 - ZEZE | USUARIO = 10931 | CI = 16888 | STATUS = 3 | DATA = 02/08/2016 8:44 | MOTIVO_CANCELAMENTO = 
02/08/2016 08:53 - MICHELSANTOS | USUARIO = 11324 | CI = 16889 | STATUS = 5 | DATA = 02/08/2016 8:53 | MOTIVO_CANCELAMENTO = Valores não informado na C.I
02/08/2016 09:26 - DORACI | USUARIO = 10886 | CI = 16891 | STATUS = 7 | DATA = 02/08/2016 9:26 | MOTIVO_CANCELAMENTO = 
02/08/2016 09:26 - DORACI | USUARIO = 10886 | CI = 16892 | STATUS = 7 | DATA = 02/08/2016 9:26 | MOTIVO_CANCELAMENTO = 
02/08/2016 09:26 - DORACI | USUARIO = 10886 | CI = 16892 | STATUS = 3 | DATA = 02/08/2016 9:26 | MOTIVO_CANCELAMENTO = 
02/08/2016 09:33 - JT | USUARIO = 10823 | CI = 16878 | STATUS = 3 | DATA = 02/08/2016 9:33 | MOTIVO_CANCELAMENTO = 
02/08/2016 09:33 - JT | USUARIO = 10823 | CI = 16893 | STATUS = 7 | DATA = 02/08/2016 9:33 | MOTIVO_CANCELAMENTO = 
02/08/2016 09:33 - JT | USUARIO = 10823 | CI = 16893 | STATUS = 3 | DATA = 02/08/2016 9:33 | MOTIVO_CANCELAMENTO = 
02/08/2016 09:33 - JT | USUARIO = 10823 | CI = 16894 | STATUS = 7 | DATA = 02/08/2016 9:33 | MOTIVO_CANCELAMENTO = 
02/08/2016 09:33 - JT | USUARIO = 10823 | CI = 16894 | STATUS = 3 | DATA = 02/08/2016 9:33 | MOTIVO_CANCELAMENTO = 
02/08/2016 09:34 - JT | USUARIO = 10823 | CI = 16895 | STATUS = 7 | DATA = 02/08/2016 9:34 | MOTIVO_CANCELAMENTO = 
02/08/2016 09:34 - JT | USUARIO = 10823 | CI = 16895 | STATUS = 3 | DATA = 02/08/2016 9:34 | MOTIVO_CANCELAMENTO = 
02/08/2016 09:35 - JT | USUARIO = 10823 | CI = 16875 | STATUS = 3 | DATA = 02/08/2016 9:35 | MOTIVO_CANCELAMENTO = 
02/08/2016 10:49 - LUIDE | USUARIO = 10836 | CI = 16869 | STATUS = 3 | DATA = 02/08/2016 10:49 | MOTIVO_CANCELAMENTO = 
02/08/2016 10:49 - LUIDE | USUARIO = 10836 | CI = 16884 | STATUS = 3 | DATA = 02/08/2016 10:49 | MOTIVO_CANCELAMENTO = 
02/08/2016 10:49 - LUIDE | USUARIO = 10836 | CI = 16896 | STATUS = 7 | DATA = 02/08/2016 10:49 | MOTIVO_CANCELAMENTO = 
02/08/2016 10:49 - LUIDE | USUARIO = 10836 | CI = 16896 | STATUS = 3 | DATA = 02/08/2016 10:49 | MOTIVO_CANCELAMENTO = 
02/08/2016 11:01 - MARCIO | USUARIO = 10850 | CI = 16897 | STATUS = 3 | DATA = 02/08/2016 11:01 | MOTIVO_CANCELAMENTO = 
02/08/2016 14:48 - ZEZE | USUARIO = 10931 | CI = 16898 | STATUS = 7 | DATA = 02/08/2016 14:48 | MOTIVO_CANCELAMENTO = 
02/08/2016 14:57 - LUIDE | USUARIO = 10836 | CI = 16900 | STATUS = 7 | DATA = 02/08/2016 14:57 | MOTIVO_CANCELAMENTO = 
02/08/2016 14:57 - LUIDE | USUARIO = 10836 | CI = 16900 | STATUS = 3 | DATA = 02/08/2016 14:57 | MOTIVO_CANCELAMENTO = 
02/08/2016 14:57 - LUIDE | USUARIO = 10836 | CI = 16902 | STATUS = 3 | DATA = 02/08/2016 14:57 | MOTIVO_CANCELAMENTO = 
02/08/2016 15:03 - GISELERATEIRO | USUARIO = 11143 | CI = 16904 | STATUS = 7 | DATA = 02/08/2016 15:03 | MOTIVO_CANCELAMENTO = 
02/08/2016 15:03 - GISELERATEIRO | USUARIO = 11143 | CI = 16904 | STATUS = 3 | DATA = 02/08/2016 15:03 | MOTIVO_CANCELAMENTO = 
02/08/2016 16:07 - DOUGLAS | USUARIO = 11530 | CI = 16891 | STATUS = 3 | DATA = 02/08/2016 16:07 | MOTIVO_CANCELAMENTO = 
02/08/2016 16:07 - DOUGLAS | USUARIO = 11530 | CI = 16898 | STATUS = 3 | DATA = 02/08/2016 16:07 | MOTIVO_CANCELAMENTO = 
02/08/2016 16:09 - ROBSONMANFRIM | USUARIO = 11234 | CI = 16879 | STATUS = 3 | DATA = 02/08/2016 16:09 | MOTIVO_CANCELAMENTO = 
02/08/2016 17:04 - ACIR | USUARIO = 10839 | CI = 16905 | STATUS = 3 | DATA = 02/08/2016 17:04 | MOTIVO_CANCELAMENTO = 
02/08/2016 17:06 - ACIR | USUARIO = 10839 | CI = 16876 | STATUS = 3 | DATA = 02/08/2016 17:06 | MOTIVO_CANCELAMENTO = 
02/08/2016 17:06 - ACIR | USUARIO = 10839 | CI = 16877 | STATUS = 3 | DATA = 02/08/2016 17:06 | MOTIVO_CANCELAMENTO = 
02/08/2016 17:07 - ACIR | USUARIO = 10839 | CI = 16899 | STATUS = 3 | DATA = 02/08/2016 17:07 | MOTIVO_CANCELAMENTO = 
02/08/2016 18:33 - ZEZE | USUARIO = 10931 | CI = 16903 | STATUS = 7 | DATA = 02/08/2016 18:33 | MOTIVO_CANCELAMENTO = 
02/08/2016 18:34 - ZEZE | USUARIO = 10931 | CI = 16909 | STATUS = 7 | DATA = 02/08/2016 18:34 | MOTIVO_CANCELAMENTO = 
02/08/2016 18:34 - ZEZE | USUARIO = 10931 | CI = 16909 | STATUS = 3 | DATA = 02/08/2016 18:34 | MOTIVO_CANCELAMENTO = 
02/08/2016 18:34 - ZEZE | USUARIO = 10931 | CI = 16910 | STATUS = 7 | DATA = 02/08/2016 18:34 | MOTIVO_CANCELAMENTO = 
02/08/2016 18:34 - ZEZE | USUARIO = 10931 | CI = 16910 | STATUS = 3 | DATA = 02/08/2016 18:34 | MOTIVO_CANCELAMENTO = 
02/08/2016 18:35 - ZEZE | USUARIO = 10931 | CI = 16911 | STATUS = 7 | DATA = 02/08/2016 18:35 | MOTIVO_CANCELAMENTO = 
02/08/2016 22:24 - DOUGLAS | USUARIO = 11530 | CI = 16903 | STATUS = 3 | DATA = 02/08/2016 22:24 | MOTIVO_CANCELAMENTO = 
02/08/2016 22:24 - DOUGLAS | USUARIO = 11530 | CI = 16911 | STATUS = 3 | DATA = 02/08/2016 22:24 | MOTIVO_CANCELAMENTO = 
03/08/2016 07:51 - DORACI | USUARIO = 10886 | CI = 16906 | STATUS = 7 | DATA = 03/08/2016 7:51 | MOTIVO_CANCELAMENTO = 
03/08/2016 07:51 - DORACI | USUARIO = 10886 | CI = 16906 | STATUS = 3 | DATA = 03/08/2016 7:51 | MOTIVO_CANCELAMENTO = 
03/08/2016 07:51 - DORACI | USUARIO = 10886 | CI = 16907 | STATUS = 7 | DATA = 03/08/2016 7:51 | MOTIVO_CANCELAMENTO = 
03/08/2016 07:51 - DORACI | USUARIO = 10886 | CI = 16907 | STATUS = 3 | DATA = 03/08/2016 7:51 | MOTIVO_CANCELAMENTO = 
03/08/2016 07:52 - DORACI | USUARIO = 10886 | CI = 16908 | STATUS = 7 | DATA = 03/08/2016 7:52 | MOTIVO_CANCELAMENTO = 
03/08/2016 07:52 - DORACI | USUARIO = 10886 | CI = 16908 | STATUS = 3 | DATA = 03/08/2016 7:52 | MOTIVO_CANCELAMENTO = 
03/08/2016 07:52 - DORACI | USUARIO = 10886 | CI = 16913 | STATUS = 7 | DATA = 03/08/2016 7:52 | MOTIVO_CANCELAMENTO = 
03/08/2016 07:52 - DORACI | USUARIO = 10886 | CI = 16913 | STATUS = 3 | DATA = 03/08/2016 7:52 | MOTIVO_CANCELAMENTO = 
03/08/2016 08:56 - MATHEUSUZELOTTO | USUARIO = 11309 | CI = 16916 | STATUS = 7 | DATA = 03/08/2016 8:56 | MOTIVO_CANCELAMENTO = 
03/08/2016 09:03 - DOUGLAS | USUARIO = 11530 | CI = 16916 | STATUS = 3 | DATA = 03/08/2016 9:03 | MOTIVO_CANCELAMENTO = 
03/08/2016 09:39 - CHRISTIANO | USUARIO = 11570 | CI = 16882 | STATUS = 3 | DATA = 03/08/2016 9:39 | MOTIVO_CANCELAMENTO = 
03/08/2016 09:39 - CHRISTIANO | USUARIO = 11570 | CI = 16880 | STATUS = 3 | DATA = 03/08/2016 9:39 | MOTIVO_CANCELAMENTO = 
03/08/2016 09:40 - CHRISTIANO | USUARIO = 11570 | CI = 16891 | STATUS = 3 | DATA = 03/08/2016 9:40 | MOTIVO_CANCELAMENTO = 
03/08/2016 09:40 - CHRISTIANO | USUARIO = 11570 | CI = 16920 | STATUS = 3 | DATA = 03/08/2016 9:40 | MOTIVO_CANCELAMENTO = 
