01/09/2016 07:17 - ROBSONMANFRIM | USUARIO = 11234 | CI = 17212 | STATUS = 5 | DATA = 01/09/2016 7:17 | MOTIVO_CANCELAMENTO = Separar C.I. por falta de cupom fiscal
01/09/2016 08:36 - MARCIO | USUARIO = 10850 | CI = 17260 | STATUS = 3 | DATA = 01/09/2016 8:36 | MOTIVO_CANCELAMENTO = 
01/09/2016 09:09 - CAMARA | USUARIO = 10841 | CI = 17261 | STATUS = 3 | DATA = 01/09/2016 9:09 | MOTIVO_CANCELAMENTO = 
01/09/2016 09:39 - ZEZE | USUARIO = 10931 | CI = 17263 | STATUS = 3 | DATA = 01/09/2016 9:39 | MOTIVO_CANCELAMENTO = 
01/09/2016 10:28 - MARTA | USUARIO = 10847 | CI = 17264 | STATUS = 3 | DATA = 01/09/2016 10:28 | MOTIVO_CANCELAMENTO = aprovado.
01/09/2016 10:29 - JT | USUARIO = 10823 | CI = 17252 | STATUS = 3 | DATA = 01/09/2016 10:29 | MOTIVO_CANCELAMENTO = 
01/09/2016 10:29 - JT | USUARIO = 10823 | CI = 17259 | STATUS = 7 | DATA = 01/09/2016 10:29 | MOTIVO_CANCELAMENTO = 
01/09/2016 10:29 - JT | USUARIO = 10823 | CI = 17259 | STATUS = 3 | DATA = 01/09/2016 10:29 | MOTIVO_CANCELAMENTO = 
01/09/2016 10:34 - ZEZE | USUARIO = 10931 | CI = 17265 | STATUS = 7 | DATA = 01/09/2016 10:34 | MOTIVO_CANCELAMENTO = 
01/09/2016 10:34 - ZEZE | USUARIO = 10931 | CI = 17265 | STATUS = 3 | DATA = 01/09/2016 10:34 | MOTIVO_CANCELAMENTO = 
01/09/2016 13:01 - DORACI | USUARIO = 10886 | CI = 17268 | STATUS = 7 | DATA = 01/09/2016 13:01 | MOTIVO_CANCELAMENTO = 
01/09/2016 13:09 - AREIAS | USUARIO = 10997 | CI = 17262 | STATUS = 7 | DATA = 01/09/2016 13:09 | MOTIVO_CANCELAMENTO = 
01/09/2016 13:52 - DOUGLAS | USUARIO = 11530 | CI = 17268 | STATUS = 3 | DATA = 01/09/2016 13:52 | MOTIVO_CANCELAMENTO = 
01/09/2016 16:55 - JT | USUARIO = 10823 | CI = 17274 | STATUS = 3 | DATA = 01/09/2016 16:55 | MOTIVO_CANCELAMENTO = 
01/09/2016 18:00 - DOUGLAS | USUARIO = 11530 | CI = 17275 | STATUS = 3 | DATA = 01/09/2016 18:00 | MOTIVO_CANCELAMENTO = 
02/09/2016 07:16 - CHRISTIANO | USUARIO = 11570 | CI = 17255 | STATUS = 3 | DATA = 02/09/2016 7:16 | MOTIVO_CANCELAMENTO = 
02/09/2016 07:17 - CHRISTIANO | USUARIO = 11570 | CI = 17268 | STATUS = 3 | DATA = 02/09/2016 7:17 | MOTIVO_CANCELAMENTO = 
02/09/2016 09:17 - SYLVIO | USUARIO = 10914 | CI = 17247 | STATUS = 3 | DATA = 02/09/2016 9:17 | MOTIVO_CANCELAMENTO = 
02/09/2016 10:26 - DORACI | USUARIO = 10886 | CI = 17280 | STATUS = 7 | DATA = 02/09/2016 10:26 | MOTIVO_CANCELAMENTO = 
02/09/2016 10:26 - DORACI | USUARIO = 10886 | CI = 17280 | STATUS = 3 | DATA = 02/09/2016 10:26 | MOTIVO_CANCELAMENTO = 
02/09/2016 11:09 - MARCIO | USUARIO = 10850 | CI = 17278 | STATUS = 3 | DATA = 02/09/2016 11:09 | MOTIVO_CANCELAMENTO = 
02/09/2016 13:12 - TADEUMACHADO | USUARIO = 11594 | CI = 17267 | STATUS = 3 | DATA = 02/09/2016 13:12 | MOTIVO_CANCELAMENTO = 
02/09/2016 13:12 - TADEUMACHADO | USUARIO = 11594 | CI = 17279 | STATUS = 3 | DATA = 02/09/2016 13:12 | MOTIVO_CANCELAMENTO = 
02/09/2016 13:30 - CAMARA | USUARIO = 10841 | CI = 17281 | STATUS = 3 | DATA = 02/09/2016 13:30 | MOTIVO_CANCELAMENTO = 
02/09/2016 13:33 - CAMARA | USUARIO = 10841 | CI = 17269 | STATUS = 3 | DATA = 02/09/2016 13:33 | MOTIVO_CANCELAMENTO = 
02/09/2016 13:33 - CAMARA | USUARIO = 10841 | CI = 17271 | STATUS = 3 | DATA = 02/09/2016 13:33 | MOTIVO_CANCELAMENTO = 
02/09/2016 13:34 - CAMARA | USUARIO = 10841 | CI = 17272 | STATUS = 3 | DATA = 02/09/2016 13:34 | MOTIVO_CANCELAMENTO = 
02/09/2016 13:51 - DORACI | USUARIO = 10886 | CI = 17282 | STATUS = 3 | DATA = 02/09/2016 13:51 | MOTIVO_CANCELAMENTO = 
02/09/2016 14:03 - CAMARA | USUARIO = 10841 | CI = 17286 | STATUS = 3 | DATA = 02/09/2016 14:03 | MOTIVO_CANCELAMENTO = 
02/09/2016 14:05 - ZEZE | USUARIO = 10931 | CI = 17284 | STATUS = 7 | DATA = 02/09/2016 14:05 | MOTIVO_CANCELAMENTO = 
02/09/2016 14:05 - ZEZE | USUARIO = 10931 | CI = 17284 | STATUS = 3 | DATA = 02/09/2016 14:05 | MOTIVO_CANCELAMENTO = 
02/09/2016 14:05 - ZEZE | USUARIO = 10931 | CI = 17285 | STATUS = 7 | DATA = 02/09/2016 14:05 | MOTIVO_CANCELAMENTO = 
02/09/2016 15:04 - DOUGLAS | USUARIO = 11530 | CI = 17285 | STATUS = 3 | DATA = 02/09/2016 15:04 | MOTIVO_CANCELAMENTO = 
02/09/2016 16:08 - SYLVIO | USUARIO = 10914 | CI = 17246 | STATUS = 3 | DATA = 02/09/2016 16:08 | MOTIVO_CANCELAMENTO = 
02/09/2016 16:08 - SYLVIO | USUARIO = 10914 | CI = 17249 | STATUS = 3 | DATA = 02/09/2016 16:08 | MOTIVO_CANCELAMENTO = 
02/09/2016 16:08 - SYLVIO | USUARIO = 10914 | CI = 17285 | STATUS = 3 | DATA = 02/09/2016 16:08 | MOTIVO_CANCELAMENTO = 
02/09/2016 16:42 - JT | USUARIO = 10823 | CI = 17291 | STATUS = 7 | DATA = 02/09/2016 16:42 | MOTIVO_CANCELAMENTO = 
02/09/2016 16:42 - JT | USUARIO = 10823 | CI = 17291 | STATUS = 3 | DATA = 02/09/2016 16:42 | MOTIVO_CANCELAMENTO = 
02/09/2016 16:43 - JT | USUARIO = 10823 | CI = 17290 | STATUS = 7 | DATA = 02/09/2016 16:43 | MOTIVO_CANCELAMENTO = 
02/09/2016 16:43 - JT | USUARIO = 10823 | CI = 17290 | STATUS = 3 | DATA = 02/09/2016 16:43 | MOTIVO_CANCELAMENTO = 
02/09/2016 16:53 - CAMARA | USUARIO = 10841 | CI = 17288 | STATUS = 3 | DATA = 02/09/2016 16:53 | MOTIVO_CANCELAMENTO = 
05/09/2016 07:18 - DORACI | USUARIO = 10886 | CI = 17292 | STATUS = 7 | DATA = 05/09/2016 7:18 | MOTIVO_CANCELAMENTO = 
05/09/2016 07:18 - DORACI | USUARIO = 10886 | CI = 17292 | STATUS = 3 | DATA = 05/09/2016 7:18 | MOTIVO_CANCELAMENTO = 
05/09/2016 08:21 - ZEZE | USUARIO = 10931 | CI = 17296 | STATUS = 7 | DATA = 05/09/2016 8:21 | MOTIVO_CANCELAMENTO = 
05/09/2016 08:21 - ZEZE | USUARIO = 10931 | CI = 17296 | STATUS = 3 | DATA = 05/09/2016 8:21 | MOTIVO_CANCELAMENTO = 
05/09/2016 08:21 - ZEZE | USUARIO = 10931 | CI = 17297 | STATUS = 7 | DATA = 05/09/2016 8:21 | MOTIVO_CANCELAMENTO = 
05/09/2016 08:36 - ZEZE | USUARIO = 10931 | CI = 17299 | STATUS = 7 | DATA = 05/09/2016 8:36 | MOTIVO_CANCELAMENTO = 
05/09/2016 08:36 - ZEZE | USUARIO = 10931 | CI = 17299 | STATUS = 3 | DATA = 05/09/2016 8:36 | MOTIVO_CANCELAMENTO = 
05/09/2016 08:40 - DOUGLAS | USUARIO = 11530 | CI = 17297 | STATUS = 3 | DATA = 05/09/2016 8:40 | MOTIVO_CANCELAMENTO = 
05/09/2016 09:10 - CHRISTIANO | USUARIO = 11570 | CI = 17297 | STATUS = 3 | DATA = 05/09/2016 9:10 | MOTIVO_CANCELAMENTO = 
05/09/2016 09:10 - CHRISTIANO | USUARIO = 11570 | CI = 17298 | STATUS = 3 | DATA = 05/09/2016 9:10 | MOTIVO_CANCELAMENTO = 
05/09/2016 09:21 - MARCELOGODOI | USUARIO = 11316 | CI = 17300 | STATUS = 7 | DATA = 05/09/2016 9:21 | MOTIVO_CANCELAMENTO = 
05/09/2016 09:21 - MARCELOGODOI | USUARIO = 11316 | CI = 17301 | STATUS = 7 | DATA = 05/09/2016 9:21 | MOTIVO_CANCELAMENTO = 
05/09/2016 09:33 - ZEZE | USUARIO = 10931 | CI = 17302 | STATUS = 7 | DATA = 05/09/2016 9:33 | MOTIVO_CANCELAMENTO = 
05/09/2016 09:33 - ZEZE | USUARIO = 10931 | CI = 17302 | STATUS = 3 | DATA = 05/09/2016 9:33 | MOTIVO_CANCELAMENTO = 
05/09/2016 09:34 - ZEZE | USUARIO = 10931 | CI = 17303 | STATUS = 7 | DATA = 05/09/2016 9:34 | MOTIVO_CANCELAMENTO = 
05/09/2016 09:34 - ZEZE | USUARIO = 10931 | CI = 17303 | STATUS = 3 | DATA = 05/09/2016 9:34 | MOTIVO_CANCELAMENTO = 
05/09/2016 09:48 - MARCELOGODOI | USUARIO = 11316 | CI = 17304 | STATUS = 7 | DATA = 05/09/2016 9:48 | MOTIVO_CANCELAMENTO = 
05/09/2016 09:52 - HEBERTLUCIO | USUARIO = 11635 | CI = 17276 | STATUS = 3 | DATA = 05/09/2016 9:52 | MOTIVO_CANCELAMENTO = 
05/09/2016 09:53 - HEBERTLUCIO | USUARIO = 11635 | CI = 17277 | STATUS = 3 | DATA = 05/09/2016 9:53 | MOTIVO_CANCELAMENTO = 
05/09/2016 09:53 - HEBERTLUCIO | USUARIO = 11635 | CI = 17295 | STATUS = 3 | DATA = 05/09/2016 9:53 | MOTIVO_CANCELAMENTO = 
05/09/2016 09:54 - HEBERTLUCIO | USUARIO = 11635 | CI = 17266 | STATUS = 3 | DATA = 05/09/2016 9:54 | MOTIVO_CANCELAMENTO = 
05/09/2016 09:54 - HEBERTLUCIO | USUARIO = 11635 | CI = 17287 | STATUS = 3 | DATA = 05/09/2016 9:54 | MOTIVO_CANCELAMENTO = 
05/09/2016 10:09 - CAMARA | USUARIO = 10841 | CI = 17305 | STATUS = 3 | DATA = 05/09/2016 10:09 | MOTIVO_CANCELAMENTO = 
05/09/2016 11:06 - ZEZE | USUARIO = 10931 | CI = 17306 | STATUS = 7 | DATA = 05/09/2016 11:06 | MOTIVO_CANCELAMENTO = 
05/09/2016 11:06 - ZEZE | USUARIO = 10931 | CI = 17306 | STATUS = 3 | DATA = 05/09/2016 11:06 | MOTIVO_CANCELAMENTO = 
05/09/2016 11:06 - ZEZE | USUARIO = 10931 | CI = 17307 | STATUS = 7 | DATA = 05/09/2016 11:06 | MOTIVO_CANCELAMENTO = 
05/09/2016 11:06 - ZEZE | USUARIO = 10931 | CI = 17308 | STATUS = 7 | DATA = 05/09/2016 11:06 | MOTIVO_CANCELAMENTO = 
05/09/2016 11:06 - ZEZE | USUARIO = 10931 | CI = 17308 | STATUS = 3 | DATA = 05/09/2016 11:06 | MOTIVO_CANCELAMENTO = 
05/09/2016 11:58 - MATHEUSUZELOTTO | USUARIO = 11309 | CI = 17313 | STATUS = 3 | DATA = 05/09/2016 11:58 | MOTIVO_CANCELAMENTO = 
05/09/2016 12:52 - AREIAS | USUARIO = 10997 | CI = 17289 | STATUS = 7 | DATA = 05/09/2016 12:52 | MOTIVO_CANCELAMENTO = 
05/09/2016 13:40 - CHRISTIANO | USUARIO = 11570 | CI = 17300 | STATUS = 3 | DATA = 05/09/2016 13:40 | MOTIVO_CANCELAMENTO = 
05/09/2016 13:40 - CHRISTIANO | USUARIO = 11570 | CI = 17301 | STATUS = 3 | DATA = 05/09/2016 13:40 | MOTIVO_CANCELAMENTO = 
05/09/2016 13:41 - CHRISTIANO | USUARIO = 11570 | CI = 17304 | STATUS = 3 | DATA = 05/09/2016 13:41 | MOTIVO_CANCELAMENTO = 
05/09/2016 13:41 - CHRISTIANO | USUARIO = 11570 | CI = 17307 | STATUS = 3 | DATA = 05/09/2016 13:41 | MOTIVO_CANCELAMENTO = 
05/09/2016 13:52 - DORACI | USUARIO = 10886 | CI = 17309 | STATUS = 7 | DATA = 05/09/2016 13:52 | MOTIVO_CANCELAMENTO = 
05/09/2016 13:52 - DORACI | USUARIO = 10886 | CI = 17312 | STATUS = 7 | DATA = 05/09/2016 13:52 | MOTIVO_CANCELAMENTO = 
05/09/2016 13:52 - DORACI | USUARIO = 10886 | CI = 17312 | STATUS = 3 | DATA = 05/09/2016 13:52 | MOTIVO_CANCELAMENTO = 
05/09/2016 14:34 - ALEXANDRE | USUARIO = 10837 | CI = 17262 | STATUS = 3 | DATA = 05/09/2016 14:34 | MOTIVO_CANCELAMENTO = 
05/09/2016 14:46 - DORACI | USUARIO = 10886 | CI = 17316 | STATUS = 3 | DATA = 05/09/2016 14:46 | MOTIVO_CANCELAMENTO = 
05/09/2016 14:59 - DOUGLAS | USUARIO = 11530 | CI = 17307 | STATUS = 3 | DATA = 05/09/2016 14:59 | MOTIVO_CANCELAMENTO = 
05/09/2016 14:59 - DOUGLAS | USUARIO = 11530 | CI = 17309 | STATUS = 3 | DATA = 05/09/2016 14:59 | MOTIVO_CANCELAMENTO = 
05/09/2016 15:20 - ZEZE | USUARIO = 10931 | CI = 17318 | STATUS = 7 | DATA = 05/09/2016 15:20 | MOTIVO_CANCELAMENTO = 
05/09/2016 15:30 - JT | USUARIO = 10823 | CI = 17289 | STATUS = 3 | DATA = 05/09/2016 15:30 | MOTIVO_CANCELAMENTO = 
05/09/2016 15:30 - JT | USUARIO = 10823 | CI = 17293 | STATUS = 7 | DATA = 05/09/2016 15:30 | MOTIVO_CANCELAMENTO = 
05/09/2016 15:30 - JT | USUARIO = 10823 | CI = 17293 | STATUS = 3 | DATA = 05/09/2016 15:30 | MOTIVO_CANCELAMENTO = 
05/09/2016 15:30 - JT | USUARIO = 10823 | CI = 17294 | STATUS = 7 | DATA = 05/09/2016 15:30 | MOTIVO_CANCELAMENTO = 
05/09/2016 15:30 - JT | USUARIO = 10823 | CI = 17294 | STATUS = 3 | DATA = 05/09/2016 15:30 | MOTIVO_CANCELAMENTO = 
05/09/2016 15:39 - ZEZE | USUARIO = 10931 | CI = 17319 | STATUS = 7 | DATA = 05/09/2016 15:39 | MOTIVO_CANCELAMENTO = 
05/09/2016 16:23 - CARACIOLO | USUARIO = 10840 | CI = 17320 | STATUS = 7 | DATA = 05/09/2016 16:23 | MOTIVO_CANCELAMENTO = OK
05/09/2016 20:34 - DOUGLAS | USUARIO = 11530 | CI = 17319 | STATUS = 3 | DATA = 05/09/2016 20:34 | MOTIVO_CANCELAMENTO = 
05/09/2016 21:34 - JT | USUARIO = 10823 | CI = 17320 | STATUS = 3 | DATA = 05/09/2016 21:34 | MOTIVO_CANCELAMENTO = 
06/09/2016 07:25 - CHRISTIANO | USUARIO = 11570 | CI = 17309 | STATUS = 3 | DATA = 06/09/2016 7:25 | MOTIVO_CANCELAMENTO = 
06/09/2016 07:25 - CHRISTIANO | USUARIO = 11570 | CI = 17318 | STATUS = 3 | DATA = 06/09/2016 7:25 | MOTIVO_CANCELAMENTO = 
06/09/2016 07:26 - CHRISTIANO | USUARIO = 11570 | CI = 17319 | STATUS = 3 | DATA = 06/09/2016 7:26 | MOTIVO_CANCELAMENTO = 
06/09/2016 09:32 - ZEZE | USUARIO = 10931 | CI = 17324 | STATUS = 7 | DATA = 06/09/2016 9:32 | MOTIVO_CANCELAMENTO = 
06/09/2016 09:32 - ZEZE | USUARIO = 10931 | CI = 17324 | STATUS = 3 | DATA = 06/09/2016 9:32 | MOTIVO_CANCELAMENTO = 
06/09/2016 09:37 - LUIDE | USUARIO = 10836 | CI = 17283 | STATUS = 7 | DATA = 06/09/2016 9:37 | MOTIVO_CANCELAMENTO = 
06/09/2016 09:37 - LUIDE | USUARIO = 10836 | CI = 17314 | STATUS = 7 | DATA = 06/09/2016 9:37 | MOTIVO_CANCELAMENTO = 
