01/10/2016 09:22 - CHRISTIANO | USUARIO = 11570 | CI = 17589 | STATUS = 3 | DATA = 01/10/2016 9:22 | MOTIVO_CANCELAMENTO = 
01/10/2016 09:23 - CHRISTIANO | USUARIO = 11570 | CI = 17624 | STATUS = 3 | DATA = 01/10/2016 9:23 | MOTIVO_CANCELAMENTO = 
01/10/2016 09:23 - CHRISTIANO | USUARIO = 11570 | CI = 17631 | STATUS = 3 | DATA = 01/10/2016 9:23 | MOTIVO_CANCELAMENTO = 
01/10/2016 09:23 - CHRISTIANO | USUARIO = 11570 | CI = 17640 | STATUS = 3 | DATA = 01/10/2016 9:23 | MOTIVO_CANCELAMENTO = 
01/10/2016 09:23 - CHRISTIANO | USUARIO = 11570 | CI = 17638 | STATUS = 3 | DATA = 01/10/2016 9:23 | MOTIVO_CANCELAMENTO = 
01/10/2016 09:24 - CHRISTIANO | USUARIO = 11570 | CI = 17494 | STATUS = 3 | DATA = 01/10/2016 9:24 | MOTIVO_CANCELAMENTO = 
01/10/2016 11:56 - JT | USUARIO = 10823 | CI = 17645 | STATUS = 7 | DATA = 01/10/2016 11:56 | MOTIVO_CANCELAMENTO = 
01/10/2016 11:56 - JT | USUARIO = 10823 | CI = 17648 | STATUS = 7 | DATA = 01/10/2016 11:56 | MOTIVO_CANCELAMENTO = 
01/10/2016 13:53 - SYLVIO | USUARIO = 10914 | CI = 17648 | STATUS = 3 | DATA = 01/10/2016 13:53 | MOTIVO_CANCELAMENTO = 
01/10/2016 13:53 - SYLVIO | USUARIO = 10914 | CI = 17645 | STATUS = 3 | DATA = 01/10/2016 13:53 | MOTIVO_CANCELAMENTO = 
03/10/2016 08:08 - ALEXANDRE | USUARIO = 10837 | CI = 17660 | STATUS = 3 | DATA = 03/10/2016 8:08 | MOTIVO_CANCELAMENTO = 
03/10/2016 08:38 - ROBSONMANFRIM | USUARIO = 11234 | CI = 15885 | STATUS = 5 | DATA = 03/10/2016 8:38 | MOTIVO_CANCELAMENTO = Atualização das férias via SGI WEB
03/10/2016 08:43 - MARCELOGODOI | USUARIO = 11316 | CI = 17662 | STATUS = 7 | DATA = 03/10/2016 8:43 | MOTIVO_CANCELAMENTO = 
03/10/2016 11:17 - HEBERTLUCIO | USUARIO = 11635 | CI = 17656 | STATUS = 7 | DATA = 03/10/2016 11:17 | MOTIVO_CANCELAMENTO = 
03/10/2016 11:17 - HEBERTLUCIO | USUARIO = 11635 | CI = 17656 | STATUS = 3 | DATA = 03/10/2016 11:17 | MOTIVO_CANCELAMENTO = 
03/10/2016 11:19 - ROBSONMANFRIM | USUARIO = 11234 | CI = 17663 | STATUS = 3 | DATA = 03/10/2016 11:19 | MOTIVO_CANCELAMENTO = 
03/10/2016 13:53 - ZEZE | USUARIO = 10931 | CI = 17661 | STATUS = 7 | DATA = 03/10/2016 13:53 | MOTIVO_CANCELAMENTO = 
03/10/2016 13:53 - ZEZE | USUARIO = 10931 | CI = 17661 | STATUS = 3 | DATA = 03/10/2016 13:53 | MOTIVO_CANCELAMENTO = 
