01/11/2016 07:43 - DORACI | USUARIO = 10886 | CI = 18029 | STATUS = 7 | DATA = 01/11/2016 7:43 | MOTIVO_CANCELAMENTO = 
01/11/2016 07:52 - JG | USUARIO = 10849 | CI = 18025 | STATUS = 3 | DATA = 01/11/2016 7:52 | MOTIVO_CANCELAMENTO = ok
01/11/2016 07:53 - TADEUMACHADO | USUARIO = 11594 | CI = 18031 | STATUS = 3 | DATA = 01/11/2016 7:53 | MOTIVO_CANCELAMENTO = 
01/11/2016 07:53 - TADEUMACHADO | USUARIO = 11594 | CI = 18032 | STATUS = 3 | DATA = 01/11/2016 7:53 | MOTIVO_CANCELAMENTO = 
01/11/2016 08:41 - TADEUMACHADO | USUARIO = 11594 | CI = 18038 | STATUS = 7 | DATA = 01/11/2016 8:41 | MOTIVO_CANCELAMENTO = 
01/11/2016 08:41 - TADEUMACHADO | USUARIO = 11594 | CI = 18038 | STATUS = 3 | DATA = 01/11/2016 8:41 | MOTIVO_CANCELAMENTO = 
01/11/2016 08:42 - TADEUMACHADO | USUARIO = 11594 | CI = 18039 | STATUS = 7 | DATA = 01/11/2016 8:42 | MOTIVO_CANCELAMENTO = A compra foi realizada com cartão de crédito particular, pois a Usina não possui cartão corporativo.
01/11/2016 08:42 - TADEUMACHADO | USUARIO = 11594 | CI = 18039 | STATUS = 3 | DATA = 01/11/2016 8:42 | MOTIVO_CANCELAMENTO = A compra foi realizada com cartão de crédito particular, pois a Usina não possui cartão corporativo.
01/11/2016 10:57 - ACIR | USUARIO = 10839 | CI = 18030 | STATUS = 3 | DATA = 01/11/2016 10:57 | MOTIVO_CANCELAMENTO = 
01/11/2016 10:57 - ACIR | USUARIO = 10839 | CI = 18034 | STATUS = 3 | DATA = 01/11/2016 10:57 | MOTIVO_CANCELAMENTO = 
01/11/2016 10:57 - ACIR | USUARIO = 10839 | CI = 18035 | STATUS = 3 | DATA = 01/11/2016 10:57 | MOTIVO_CANCELAMENTO = 
01/11/2016 10:58 - ACIR | USUARIO = 10839 | CI = 18036 | STATUS = 3 | DATA = 01/11/2016 10:58 | MOTIVO_CANCELAMENTO = 
01/11/2016 10:58 - ACIR | USUARIO = 10839 | CI = 18037 | STATUS = 3 | DATA = 01/11/2016 10:58 | MOTIVO_CANCELAMENTO = 
01/11/2016 10:59 - ALEXANDRE | USUARIO = 10837 | CI = 18041 | STATUS = 7 | DATA = 01/11/2016 10:59 | MOTIVO_CANCELAMENTO = 
01/11/2016 10:59 - ALEXANDRE | USUARIO = 10837 | CI = 18041 | STATUS = 3 | DATA = 01/11/2016 10:59 | MOTIVO_CANCELAMENTO = 
01/11/2016 10:59 - ALEXANDRE | USUARIO = 10837 | CI = 18042 | STATUS = 7 | DATA = 01/11/2016 10:59 | MOTIVO_CANCELAMENTO = 
01/11/2016 10:59 - ALEXANDRE | USUARIO = 10837 | CI = 18042 | STATUS = 3 | DATA = 01/11/2016 10:59 | MOTIVO_CANCELAMENTO = 
01/11/2016 10:59 - ALEXANDRE | USUARIO = 10837 | CI = 18044 | STATUS = 7 | DATA = 01/11/2016 10:59 | MOTIVO_CANCELAMENTO = 
01/11/2016 10:59 - ALEXANDRE | USUARIO = 10837 | CI = 18044 | STATUS = 3 | DATA = 01/11/2016 10:59 | MOTIVO_CANCELAMENTO = 
01/11/2016 11:20 - RONALDOGOMES | USUARIO = 10971 | CI = 18045 | STATUS = 5 | DATA = 01/11/2016 11:20 | MOTIVO_CANCELAMENTO = Incorreta.
01/11/2016 11:20 - DORACI | USUARIO = 10886 | CI = 18046 | STATUS = 3 | DATA = 01/11/2016 11:20 | MOTIVO_CANCELAMENTO = 
01/11/2016 11:42 - HEBERTLUCIO | USUARIO = 11635 | CI = 18017 | STATUS = 3 | DATA = 01/11/2016 11:42 | MOTIVO_CANCELAMENTO = 
01/11/2016 11:43 - HEBERTLUCIO | USUARIO = 11635 | CI = 18027 | STATUS = 3 | DATA = 01/11/2016 11:43 | MOTIVO_CANCELAMENTO = 
01/11/2016 11:43 - HEBERTLUCIO | USUARIO = 11635 | CI = 18040 | STATUS = 3 | DATA = 01/11/2016 11:43 | MOTIVO_CANCELAMENTO = 
01/11/2016 11:43 - HEBERTLUCIO | USUARIO = 11635 | CI = 18048 | STATUS = 3 | DATA = 01/11/2016 11:43 | MOTIVO_CANCELAMENTO = 
01/11/2016 11:43 - HEBERTLUCIO | USUARIO = 11635 | CI = 18049 | STATUS = 3 | DATA = 01/11/2016 11:43 | MOTIVO_CANCELAMENTO = 
01/11/2016 12:02 - ACIR | USUARIO = 10839 | CI = 18055 | STATUS = 3 | DATA = 01/11/2016 12:02 | MOTIVO_CANCELAMENTO = 
01/11/2016 12:21 - MATHEUSDELANEZA | USUARIO = 6900 | CI = 18053 | STATUS = 7 | DATA = 01/11/2016 12:21 | MOTIVO_CANCELAMENTO = Esta apuração segue a linha do planejamento tributário  que irá acrescer Selic nos créditos de Pis e Cofins.
01/11/2016 12:26 - CHRISTIANO | USUARIO = 11570 | CI = 18029 | STATUS = 3 | DATA = 01/11/2016 12:26 | MOTIVO_CANCELAMENTO = 
01/11/2016 12:26 - CHRISTIANO | USUARIO = 11570 | CI = 18053 | STATUS = 3 | DATA = 01/11/2016 12:26 | MOTIVO_CANCELAMENTO = 
01/11/2016 12:37 - DOUGLAS | USUARIO = 11530 | CI = 18053 | STATUS = 3 | DATA = 01/11/2016 12:37 | MOTIVO_CANCELAMENTO = 
01/11/2016 12:38 - DOUGLAS | USUARIO = 11530 | CI = 18029 | STATUS = 3 | DATA = 01/11/2016 12:38 | MOTIVO_CANCELAMENTO = 
01/11/2016 13:44 - MATHEUSUZELOTTO | USUARIO = 11309 | CI = 18013 | STATUS = 7 | DATA = 01/11/2016 13:44 | MOTIVO_CANCELAMENTO = ok
01/11/2016 13:44 - MATHEUSUZELOTTO | USUARIO = 11309 | CI = 18047 | STATUS = 3 | DATA = 01/11/2016 13:44 | MOTIVO_CANCELAMENTO = ok
01/11/2016 14:08 - TADEUMACHADO | USUARIO = 11594 | CI = 18050 | STATUS = 7 | DATA = 01/11/2016 14:08 | MOTIVO_CANCELAMENTO = 
01/11/2016 14:08 - TADEUMACHADO | USUARIO = 11594 | CI = 18050 | STATUS = 3 | DATA = 01/11/2016 14:08 | MOTIVO_CANCELAMENTO = 
01/11/2016 15:52 - ROBSONMANFRIM | USUARIO = 11234 | CI = 18043 | STATUS = 3 | DATA = 01/11/2016 15:52 | MOTIVO_CANCELAMENTO = 
