01/12/2016 07:09 - MARTA | USUARIO = 10847 | CI = 18413 | STATUS = 3 | DATA = 01/12/2016 7:09 | MOTIVO_CANCELAMENTO = Aprovado.
01/12/2016 07:47 - CHRISTIANO | USUARIO = 11570 | CI = 18406 | STATUS = 3 | DATA = 01/12/2016 7:47 | MOTIVO_CANCELAMENTO = 
01/12/2016 08:15 - MARCELOGODOI | USUARIO = 11316 | CI = 18398 | STATUS = 7 | DATA = 01/12/2016 8:15 | MOTIVO_CANCELAMENTO = Recurso para tentar diminuir os valores arbitrados a título de Danos Materiais e Morais.
01/12/2016 08:15 - ZEZE | USUARIO = 10931 | CI = 18415 | STATUS = 7 | DATA = 01/12/2016 8:15 | MOTIVO_CANCELAMENTO = 
01/12/2016 08:15 - ZEZE | USUARIO = 10931 | CI = 18415 | STATUS = 3 | DATA = 01/12/2016 8:15 | MOTIVO_CANCELAMENTO = 
01/12/2016 08:15 - MARCELOGODOI | USUARIO = 11316 | CI = 18399 | STATUS = 7 | DATA = 01/12/2016 8:15 | MOTIVO_CANCELAMENTO = O laudo do perito nos foi favorável, compensa fazer esse pagamento prévio.
01/12/2016 08:16 - ZEZE | USUARIO = 10931 | CI = 18417 | STATUS = 7 | DATA = 01/12/2016 8:16 | MOTIVO_CANCELAMENTO = 
01/12/2016 08:16 - ZEZE | USUARIO = 10931 | CI = 18417 | STATUS = 3 | DATA = 01/12/2016 8:16 | MOTIVO_CANCELAMENTO = 
01/12/2016 12:05 - JT | USUARIO = 10823 | CI = 18397 | STATUS = 3 | DATA = 01/12/2016 12:05 | MOTIVO_CANCELAMENTO = 
01/12/2016 12:05 - JT | USUARIO = 10823 | CI = 18422 | STATUS = 7 | DATA = 01/12/2016 12:05 | MOTIVO_CANCELAMENTO = 
01/12/2016 14:26 - JG | USUARIO = 10849 | CI = 18294 | STATUS = 3 | DATA = 01/12/2016 14:26 | MOTIVO_CANCELAMENTO = ok
01/12/2016 14:26 - JG | USUARIO = 10849 | CI = 18295 | STATUS = 3 | DATA = 01/12/2016 14:26 | MOTIVO_CANCELAMENTO = ok
01/12/2016 14:26 - JG | USUARIO = 10849 | CI = 18418 | STATUS = 3 | DATA = 01/12/2016 14:26 | MOTIVO_CANCELAMENTO = ok
01/12/2016 16:09 - ELTON | USUARIO = 10942 | CI = 18424 | STATUS = 5 | DATA = 01/12/2016 16:09 | MOTIVO_CANCELAMENTO = Os setores de armazenagem/ ensaque de açúcar, vão trabalhar somente 1 turno na entressafra.
01/12/2016 16:10 - SANTANA | USUARIO = 10904 | CI = 18286 | STATUS = 5 | DATA = 01/12/2016 16:10 | MOTIVO_CANCELAMENTO = FOI SOLICITADO A EMISSÃO DE UMA NOTA FISCAL DE SERVIÇO, ASSIM TODO O PROCESSO SERÁ PAGO ATRAVÉS DE PEDIDO DE COMPRA.
01/12/2016 16:38 - TADEUMACHADO | USUARIO = 11594 | CI = 18429 | STATUS = 3 | DATA = 01/12/2016 16:38 | MOTIVO_CANCELAMENTO = 
01/12/2016 16:56 - DOUGLAS | USUARIO = 11530 | CI = 18422 | STATUS = 3 | DATA = 01/12/2016 16:56 | MOTIVO_CANCELAMENTO = 
02/12/2016 07:46 - CHRISTIANO | USUARIO = 11570 | CI = 18398 | STATUS = 3 | DATA = 02/12/2016 7:46 | MOTIVO_CANCELAMENTO = 
02/12/2016 07:46 - CHRISTIANO | USUARIO = 11570 | CI = 18416 | STATUS = 7 | DATA = 02/12/2016 7:46 | MOTIVO_CANCELAMENTO = 
02/12/2016 07:46 - CHRISTIANO | USUARIO = 11570 | CI = 18416 | STATUS = 3 | DATA = 02/12/2016 7:46 | MOTIVO_CANCELAMENTO = 
02/12/2016 07:46 - CHRISTIANO | USUARIO = 11570 | CI = 18399 | STATUS = 3 | DATA = 02/12/2016 7:46 | MOTIVO_CANCELAMENTO = 
02/12/2016 07:55 - AREIAS | USUARIO = 10997 | CI = 18421 | STATUS = 7 | DATA = 02/12/2016 7:55 | MOTIVO_CANCELAMENTO = 
02/12/2016 08:50 - DOUGLAS | USUARIO = 11530 | CI = 18421 | STATUS = 3 | DATA = 02/12/2016 8:50 | MOTIVO_CANCELAMENTO = 
02/12/2016 08:50 - DOUGLAS | USUARIO = 11530 | CI = 18433 | STATUS = 3 | DATA = 02/12/2016 8:50 | MOTIVO_CANCELAMENTO = 
02/12/2016 10:04 - AREIAS | USUARIO = 10997 | CI = 18431 | STATUS = 7 | DATA = 02/12/2016 10:04 | MOTIVO_CANCELAMENTO = 
02/12/2016 10:04 - AREIAS | USUARIO = 10997 | CI = 18431 | STATUS = 3 | DATA = 02/12/2016 10:04 | MOTIVO_CANCELAMENTO = 
02/12/2016 10:16 - DORACI | USUARIO = 10886 | CI = 18434 | STATUS = 7 | DATA = 02/12/2016 10:16 | MOTIVO_CANCELAMENTO = 
02/12/2016 10:26 - AREIAS | USUARIO = 10997 | CI = 18435 | STATUS = 7 | DATA = 02/12/2016 10:26 | MOTIVO_CANCELAMENTO = 
02/12/2016 10:49 - ROBSONMANFRIM | USUARIO = 11234 | CI = 18428 | STATUS = 7 | DATA = 02/12/2016 10:49 | MOTIVO_CANCELAMENTO = 
02/12/2016 10:58 - ROBSONMANFRIM | USUARIO = 11234 | CI = 18432 | STATUS = 7 | DATA = 02/12/2016 10:58 | MOTIVO_CANCELAMENTO = Regularização documentação prédio alugado para o Bradesco. Necessário emissão do habite-se.
