02/01/2017 08:06 - HEBERTLUCIO | USUARIO = 11635 | CI = 18798 | STATUS = 3 | DATA = 02/01/2017 8:06 | MOTIVO_CANCELAMENTO = 
02/01/2017 08:06 - HEBERTLUCIO | USUARIO = 11635 | CI = 18797 | STATUS = 3 | DATA = 02/01/2017 8:06 | MOTIVO_CANCELAMENTO = 
02/01/2017 08:07 - HEBERTLUCIO | USUARIO = 11635 | CI = 18796 | STATUS = 3 | DATA = 02/01/2017 8:07 | MOTIVO_CANCELAMENTO = 
02/01/2017 08:07 - HEBERTLUCIO | USUARIO = 11635 | CI = 18795 | STATUS = 3 | DATA = 02/01/2017 8:07 | MOTIVO_CANCELAMENTO = 
02/01/2017 08:07 - HEBERTLUCIO | USUARIO = 11635 | CI = 18794 | STATUS = 3 | DATA = 02/01/2017 8:07 | MOTIVO_CANCELAMENTO = 
02/01/2017 08:07 - HEBERTLUCIO | USUARIO = 11635 | CI = 18791 | STATUS = 3 | DATA = 02/01/2017 8:07 | MOTIVO_CANCELAMENTO = 
02/01/2017 08:57 - MATHEUSDELANEZA | USUARIO = 6900 | CI = 18801 | STATUS = 7 | DATA = 02/01/2017 8:57 | MOTIVO_CANCELAMENTO = 
02/01/2017 08:59 - ROBSONMANFRIM | USUARIO = 11234 | CI = 18801 | STATUS = 3 | DATA = 02/01/2017 8:59 | MOTIVO_CANCELAMENTO = Certidão do Habite-se
02/01/2017 10:34 - ZEZE | USUARIO = 10931 | CI = 18799 | STATUS = 3 | DATA = 02/01/2017 10:34 | MOTIVO_CANCELAMENTO = 
02/01/2017 10:34 - ZEZE | USUARIO = 10931 | CI = 18806 | STATUS = 3 | DATA = 02/01/2017 10:34 | MOTIVO_CANCELAMENTO = 
02/01/2017 11:48 - AREIAS | USUARIO = 10997 | CI = 18800 | STATUS = 7 | DATA = 02/01/2017 11:48 | MOTIVO_CANCELAMENTO = 
02/01/2017 13:22 - AMADEUBOVI | USUARIO = 6888 | CI = 18807 | STATUS = 7 | DATA = 02/01/2017 13:22 | MOTIVO_CANCELAMENTO = 
02/01/2017 13:22 - AMADEUBOVI | USUARIO = 6888 | CI = 18807 | STATUS = 3 | DATA = 02/01/2017 13:22 | MOTIVO_CANCELAMENTO = 
02/01/2017 13:22 - AMADEUBOVI | USUARIO = 6888 | CI = 18804 | STATUS = 7 | DATA = 02/01/2017 13:22 | MOTIVO_CANCELAMENTO = 
02/01/2017 13:22 - AMADEUBOVI | USUARIO = 6888 | CI = 18804 | STATUS = 3 | DATA = 02/01/2017 13:22 | MOTIVO_CANCELAMENTO = 
02/01/2017 13:22 - AMADEUBOVI | USUARIO = 6888 | CI = 18803 | STATUS = 7 | DATA = 02/01/2017 13:22 | MOTIVO_CANCELAMENTO = 
02/01/2017 13:22 - AMADEUBOVI | USUARIO = 6888 | CI = 18803 | STATUS = 3 | DATA = 02/01/2017 13:22 | MOTIVO_CANCELAMENTO = 
02/01/2017 13:22 - AMADEUBOVI | USUARIO = 6888 | CI = 18802 | STATUS = 7 | DATA = 02/01/2017 13:22 | MOTIVO_CANCELAMENTO = 
