01/06/2017 08:01 - ZEZE | USUARIO = 10931 | CI = 20778 | STATUS = 7 | DATA = 01/06/2017 8:01 | MOTIVO_CANCELAMENTO = 
01/06/2017 08:01 - ZEZE | USUARIO = 10931 | CI = 20778 | STATUS = 3 | DATA = 01/06/2017 8:01 | MOTIVO_CANCELAMENTO = 
01/06/2017 08:01 - ZEZE | USUARIO = 10931 | CI = 20779 | STATUS = 7 | DATA = 01/06/2017 8:01 | MOTIVO_CANCELAMENTO = 
01/06/2017 08:01 - ZEZE | USUARIO = 10931 | CI = 20779 | STATUS = 3 | DATA = 01/06/2017 8:01 | MOTIVO_CANCELAMENTO = 
01/06/2017 08:01 - ZEZE | USUARIO = 10931 | CI = 20780 | STATUS = 3 | DATA = 01/06/2017 8:01 | MOTIVO_CANCELAMENTO = 
01/06/2017 08:23 - MARTA | USUARIO = 10847 | CI = 20781 | STATUS = 3 | DATA = 01/06/2017 8:23 | MOTIVO_CANCELAMENTO = Aprovado.
01/06/2017 08:59 - MARTA | USUARIO = 10847 | CI = 20783 | STATUS = 3 | DATA = 01/06/2017 8:59 | MOTIVO_CANCELAMENTO = Aprovado.
01/06/2017 09:03 - HEBERTLUCIO | USUARIO = 11635 | CI = 20782 | STATUS = 3 | DATA = 01/06/2017 9:03 | MOTIVO_CANCELAMENTO = 
01/06/2017 10:08 - CAMARA | USUARIO = 10841 | CI = 20785 | STATUS = 3 | DATA = 01/06/2017 10:08 | MOTIVO_CANCELAMENTO = 
01/06/2017 10:48 - ZEZE | USUARIO = 10931 | CI = 20786 | STATUS = 7 | DATA = 01/06/2017 10:48 | MOTIVO_CANCELAMENTO = 
01/06/2017 10:48 - ZEZE | USUARIO = 10931 | CI = 20786 | STATUS = 3 | DATA = 01/06/2017 10:48 | MOTIVO_CANCELAMENTO = 
01/06/2017 10:48 - ZEZE | USUARIO = 10931 | CI = 20787 | STATUS = 7 | DATA = 01/06/2017 10:48 | MOTIVO_CANCELAMENTO = 
01/06/2017 10:48 - ZEZE | USUARIO = 10931 | CI = 20787 | STATUS = 3 | DATA = 01/06/2017 10:48 | MOTIVO_CANCELAMENTO = 
01/06/2017 11:17 - REGI | USUARIO = 10864 | CI = 20789 | STATUS = 3 | DATA = 01/06/2017 11:17 | MOTIVO_CANCELAMENTO = OK
01/06/2017 11:22 - OSNY | USUARIO = 10826 | CI = 20788 | STATUS = 7 | DATA = 01/06/2017 11:22 | MOTIVO_CANCELAMENTO = 
01/06/2017 11:22 - OSNY | USUARIO = 10826 | CI = 20788 | STATUS = 3 | DATA = 01/06/2017 11:22 | MOTIVO_CANCELAMENTO = 
01/06/2017 12:08 - AREIAS | USUARIO = 10997 | CI = 20784 | STATUS = 7 | DATA = 01/06/2017 12:08 | MOTIVO_CANCELAMENTO = 
01/06/2017 12:08 - AREIAS | USUARIO = 10997 | CI = 20790 | STATUS = 7 | DATA = 01/06/2017 12:08 | MOTIVO_CANCELAMENTO = 
01/06/2017 14:31 - DOUGLAS | USUARIO = 11530 | CI = 20784 | STATUS = 3 | DATA = 01/06/2017 14:31 | MOTIVO_CANCELAMENTO = 
01/06/2017 14:31 - DOUGLAS | USUARIO = 11530 | CI = 20790 | STATUS = 3 | DATA = 01/06/2017 14:31 | MOTIVO_CANCELAMENTO = 
01/06/2017 14:54 - DORACI | USUARIO = 10886 | CI = 20791 | STATUS = 7 | DATA = 01/06/2017 14:54 | MOTIVO_CANCELAMENTO = 
01/06/2017 14:54 - DORACI | USUARIO = 10886 | CI = 20791 | STATUS = 3 | DATA = 01/06/2017 14:54 | MOTIVO_CANCELAMENTO = 
01/06/2017 15:32 - ZEZE | USUARIO = 10931 | CI = 20792 | STATUS = 3 | DATA = 01/06/2017 15:32 | MOTIVO_CANCELAMENTO = 
02/06/2017 07:29 - AMADEUBOVI | USUARIO = 6888 | CI = 20758 | STATUS = 7 | DATA = 02/06/2017 7:29 | MOTIVO_CANCELAMENTO = 
02/06/2017 07:29 - AMADEUBOVI | USUARIO = 6888 | CI = 20758 | STATUS = 3 | DATA = 02/06/2017 7:29 | MOTIVO_CANCELAMENTO = 
02/06/2017 07:29 - AMADEUBOVI | USUARIO = 6888 | CI = 20759 | STATUS = 7 | DATA = 02/06/2017 7:29 | MOTIVO_CANCELAMENTO = 
02/06/2017 07:29 - AMADEUBOVI | USUARIO = 6888 | CI = 20759 | STATUS = 3 | DATA = 02/06/2017 7:29 | MOTIVO_CANCELAMENTO = 
02/06/2017 08:43 - DORACI | USUARIO = 10886 | CI = 20793 | STATUS = 7 | DATA = 02/06/2017 8:43 | MOTIVO_CANCELAMENTO = 
02/06/2017 13:03 - DORACI | USUARIO = 10886 | CI = 20794 | STATUS = 7 | DATA = 02/06/2017 13:03 | MOTIVO_CANCELAMENTO = 
02/06/2017 13:03 - DORACI | USUARIO = 10886 | CI = 20794 | STATUS = 3 | DATA = 02/06/2017 13:03 | MOTIVO_CANCELAMENTO = 
02/06/2017 14:34 - LUIDE | USUARIO = 10836 | CI = 20757 | STATUS = 3 | DATA = 02/06/2017 14:34 | MOTIVO_CANCELAMENTO = 
02/06/2017 14:34 - LUIDE | USUARIO = 10836 | CI = 20796 | STATUS = 7 | DATA = 02/06/2017 14:34 | MOTIVO_CANCELAMENTO = 
02/06/2017 14:35 - LUIDE | USUARIO = 10836 | CI = 20797 | STATUS = 7 | DATA = 02/06/2017 14:35 | MOTIVO_CANCELAMENTO = 
02/06/2017 15:26 - LUIDE | USUARIO = 10836 | CI = 20798 | STATUS = 7 | DATA = 02/06/2017 15:26 | MOTIVO_CANCELAMENTO = 
02/06/2017 15:26 - LUIDE | USUARIO = 10836 | CI = 20798 | STATUS = 3 | DATA = 02/06/2017 15:26 | MOTIVO_CANCELAMENTO = 
02/06/2017 16:50 - HEBERTLUCIO | USUARIO = 11635 | CI = 20795 | STATUS = 3 | DATA = 02/06/2017 16:50 | MOTIVO_CANCELAMENTO = 
05/06/2017 08:11 - TADEUMACHADO | USUARIO = 11594 | CI = 20801 | STATUS = 7 | DATA = 05/06/2017 8:11 | MOTIVO_CANCELAMENTO = 
05/06/2017 08:11 - TADEUMACHADO | USUARIO = 11594 | CI = 20801 | STATUS = 3 | DATA = 05/06/2017 8:11 | MOTIVO_CANCELAMENTO = 
05/06/2017 08:26 - LUIDE | USUARIO = 10836 | CI = 20804 | STATUS = 7 | DATA = 05/06/2017 8:26 | MOTIVO_CANCELAMENTO = 
