03/07/2017 07:41 - MARTA | USUARIO = 10847 | CI = 21130 | STATUS = 3 | DATA = 03/07/2017 7:41 | MOTIVO_CANCELAMENTO = 
03/07/2017 07:41 - AMADEUBOVI | USUARIO = 6888 | CI = 21129 | STATUS = 3 | DATA = 03/07/2017 7:41 | MOTIVO_CANCELAMENTO = 
03/07/2017 08:42 - JT | USUARIO = 10823 | CI = 21122 | STATUS = 3 | DATA = 03/07/2017 8:42 | MOTIVO_CANCELAMENTO = 
03/07/2017 08:42 - JT | USUARIO = 10823 | CI = 21123 | STATUS = 3 | DATA = 03/07/2017 8:42 | MOTIVO_CANCELAMENTO = 
03/07/2017 10:05 - AREIAS | USUARIO = 10997 | CI = 21131 | STATUS = 7 | DATA = 03/07/2017 10:05 | MOTIVO_CANCELAMENTO = 
03/07/2017 10:05 - AREIAS | USUARIO = 10997 | CI = 21131 | STATUS = 3 | DATA = 03/07/2017 10:05 | MOTIVO_CANCELAMENTO = 
03/07/2017 10:15 - ZEZE | USUARIO = 10931 | CI = 21132 | STATUS = 7 | DATA = 03/07/2017 10:15 | MOTIVO_CANCELAMENTO = 
03/07/2017 10:15 - ZEZE | USUARIO = 10931 | CI = 21132 | STATUS = 3 | DATA = 03/07/2017 10:15 | MOTIVO_CANCELAMENTO = 
03/07/2017 11:30 - ZEZE | USUARIO = 10931 | CI = 21137 | STATUS = 3 | DATA = 03/07/2017 11:30 | MOTIVO_CANCELAMENTO = 
03/07/2017 13:40 - TADEUMACHADO | USUARIO = 11594 | CI = 21138 | STATUS = 7 | DATA = 03/07/2017 13:40 | MOTIVO_CANCELAMENTO = 
03/07/2017 13:40 - TADEUMACHADO | USUARIO = 11594 | CI = 21138 | STATUS = 3 | DATA = 03/07/2017 13:40 | MOTIVO_CANCELAMENTO = 
03/07/2017 15:52 - WILSONVICTORIA | USUARIO = 6958 | CI = 21139 | STATUS = 7 | DATA = 03/07/2017 15:52 | MOTIVO_CANCELAMENTO = 
03/07/2017 15:52 - WILSONVICTORIA | USUARIO = 6958 | CI = 21139 | STATUS = 3 | DATA = 03/07/2017 15:52 | MOTIVO_CANCELAMENTO = 
04/07/2017 08:33 - CHRISTIANO | USUARIO = 11570 | CI = 21120 | STATUS = 3 | DATA = 04/07/2017 8:33 | MOTIVO_CANCELAMENTO = 
04/07/2017 08:33 - CHRISTIANO | USUARIO = 11570 | CI = 21133 | STATUS = 7 | DATA = 04/07/2017 8:33 | MOTIVO_CANCELAMENTO = 
04/07/2017 08:33 - CHRISTIANO | USUARIO = 11570 | CI = 21133 | STATUS = 3 | DATA = 04/07/2017 8:33 | MOTIVO_CANCELAMENTO = 
04/07/2017 09:10 - DOUGLAS | USUARIO = 11530 | CI = 21133 | STATUS = 3 | DATA = 04/07/2017 9:10 | MOTIVO_CANCELAMENTO = 
04/07/2017 10:16 - DORACI | USUARIO = 10886 | CI = 21143 | STATUS = 7 | DATA = 04/07/2017 10:16 | MOTIVO_CANCELAMENTO = 
04/07/2017 11:39 - DORACI | USUARIO = 10886 | CI = 21147 | STATUS = 7 | DATA = 04/07/2017 11:39 | MOTIVO_CANCELAMENTO = 
04/07/2017 11:39 - DORACI | USUARIO = 10886 | CI = 21147 | STATUS = 3 | DATA = 04/07/2017 11:39 | MOTIVO_CANCELAMENTO = 
04/07/2017 11:39 - DORACI | USUARIO = 10886 | CI = 21148 | STATUS = 7 | DATA = 04/07/2017 11:39 | MOTIVO_CANCELAMENTO = 
04/07/2017 11:39 - DORACI | USUARIO = 10886 | CI = 21148 | STATUS = 3 | DATA = 04/07/2017 11:39 | MOTIVO_CANCELAMENTO = 
04/07/2017 11:40 - DORACI | USUARIO = 10886 | CI = 21149 | STATUS = 7 | DATA = 04/07/2017 11:40 | MOTIVO_CANCELAMENTO = 
04/07/2017 11:40 - DORACI | USUARIO = 10886 | CI = 21149 | STATUS = 3 | DATA = 04/07/2017 11:40 | MOTIVO_CANCELAMENTO = 
04/07/2017 12:11 - AREIAS | USUARIO = 10997 | CI = 21146 | STATUS = 7 | DATA = 04/07/2017 12:11 | MOTIVO_CANCELAMENTO = 
04/07/2017 13:36 - ZEZE | USUARIO = 10931 | CI = 21151 | STATUS = 7 | DATA = 04/07/2017 13:36 | MOTIVO_CANCELAMENTO = 
04/07/2017 13:36 - ZEZE | USUARIO = 10931 | CI = 21152 | STATUS = 7 | DATA = 04/07/2017 13:36 | MOTIVO_CANCELAMENTO = 
04/07/2017 13:36 - ZEZE | USUARIO = 10931 | CI = 21153 | STATUS = 7 | DATA = 04/07/2017 13:36 | MOTIVO_CANCELAMENTO = 
04/07/2017 13:36 - ZEZE | USUARIO = 10931 | CI = 21153 | STATUS = 3 | DATA = 04/07/2017 13:36 | MOTIVO_CANCELAMENTO = 
04/07/2017 13:36 - ZEZE | USUARIO = 10931 | CI = 21154 | STATUS = 7 | DATA = 04/07/2017 13:36 | MOTIVO_CANCELAMENTO = 
04/07/2017 13:36 - ZEZE | USUARIO = 10931 | CI = 21154 | STATUS = 3 | DATA = 04/07/2017 13:36 | MOTIVO_CANCELAMENTO = 
04/07/2017 13:36 - ZEZE | USUARIO = 10931 | CI = 21155 | STATUS = 7 | DATA = 04/07/2017 13:36 | MOTIVO_CANCELAMENTO = 
04/07/2017 14:07 - LUIDE | USUARIO = 10836 | CI = 21140 | STATUS = 7 | DATA = 04/07/2017 14:07 | MOTIVO_CANCELAMENTO = 
04/07/2017 14:07 - LUIDE | USUARIO = 10836 | CI = 21141 | STATUS = 7 | DATA = 04/07/2017 14:07 | MOTIVO_CANCELAMENTO = 
04/07/2017 14:08 - LUIDE | USUARIO = 10836 | CI = 21142 | STATUS = 7 | DATA = 04/07/2017 14:08 | MOTIVO_CANCELAMENTO = 
04/07/2017 14:08 - LUIDE | USUARIO = 10836 | CI = 21142 | STATUS = 3 | DATA = 04/07/2017 14:08 | MOTIVO_CANCELAMENTO = 
04/07/2017 14:08 - LUIDE | USUARIO = 10836 | CI = 21144 | STATUS = 7 | DATA = 04/07/2017 14:08 | MOTIVO_CANCELAMENTO = 
04/07/2017 14:08 - LUIDE | USUARIO = 10836 | CI = 21145 | STATUS = 7 | DATA = 04/07/2017 14:08 | MOTIVO_CANCELAMENTO = 
04/07/2017 14:17 - DOUGLAS | USUARIO = 11530 | CI = 21140 | STATUS = 3 | DATA = 04/07/2017 14:17 | MOTIVO_CANCELAMENTO = 
04/07/2017 14:17 - DOUGLAS | USUARIO = 11530 | CI = 21141 | STATUS = 3 | DATA = 04/07/2017 14:17 | MOTIVO_CANCELAMENTO = 
04/07/2017 14:18 - DOUGLAS | USUARIO = 11530 | CI = 21143 | STATUS = 3 | DATA = 04/07/2017 14:18 | MOTIVO_CANCELAMENTO = 
04/07/2017 14:18 - DOUGLAS | USUARIO = 11530 | CI = 21144 | STATUS = 3 | DATA = 04/07/2017 14:18 | MOTIVO_CANCELAMENTO = 
04/07/2017 14:18 - DOUGLAS | USUARIO = 11530 | CI = 21145 | STATUS = 3 | DATA = 04/07/2017 14:18 | MOTIVO_CANCELAMENTO = 
04/07/2017 14:18 - DOUGLAS | USUARIO = 11530 | CI = 21146 | STATUS = 3 | DATA = 04/07/2017 14:18 | MOTIVO_CANCELAMENTO = 
04/07/2017 14:18 - DOUGLAS | USUARIO = 11530 | CI = 21151 | STATUS = 3 | DATA = 04/07/2017 14:18 | MOTIVO_CANCELAMENTO = 
04/07/2017 14:18 - DOUGLAS | USUARIO = 11530 | CI = 21152 | STATUS = 3 | DATA = 04/07/2017 14:18 | MOTIVO_CANCELAMENTO = 
04/07/2017 14:18 - DOUGLAS | USUARIO = 11530 | CI = 21155 | STATUS = 3 | DATA = 04/07/2017 14:18 | MOTIVO_CANCELAMENTO = 
04/07/2017 14:32 - CHRISTIANO | USUARIO = 11570 | CI = 21143 | STATUS = 3 | DATA = 04/07/2017 14:32 | MOTIVO_CANCELAMENTO = 
04/07/2017 14:32 - CHRISTIANO | USUARIO = 11570 | CI = 21151 | STATUS = 3 | DATA = 04/07/2017 14:32 | MOTIVO_CANCELAMENTO = 
