01/08/2017 08:20 - MARCELOGODOI | USUARIO = 11316 | CI = 21453 | STATUS = 7 | DATA = 01/08/2017 8:20 | MOTIVO_CANCELAMENTO = Valor de causa R$ 123.000,00. Condenação em sede de Acórdão R$ 54.000,00.
01/08/2017 08:28 - MARCELOGODOI | USUARIO = 11316 | CI = 21454 | STATUS = 7 | DATA = 01/08/2017 8:28 | MOTIVO_CANCELAMENTO = Valor de causa R$ 80.000,00. Acórdão R$ 191.000,00. 

Não perdemos nada daquilo que realmente não era pago corretamente (hora extra, intrajornada, in itinere), o fato é que o processo foi arrastado desde 2012.
01/08/2017 08:36 - TADEUMACHADO | USUARIO = 11594 | CI = 21475 | STATUS = 7 | DATA = 01/08/2017 8:36 | MOTIVO_CANCELAMENTO = 
01/08/2017 08:36 - TADEUMACHADO | USUARIO = 11594 | CI = 21475 | STATUS = 3 | DATA = 01/08/2017 8:36 | MOTIVO_CANCELAMENTO = 
01/08/2017 08:36 - TADEUMACHADO | USUARIO = 11594 | CI = 21476 | STATUS = 7 | DATA = 01/08/2017 8:36 | MOTIVO_CANCELAMENTO = 
01/08/2017 08:36 - TADEUMACHADO | USUARIO = 11594 | CI = 21476 | STATUS = 3 | DATA = 01/08/2017 8:36 | MOTIVO_CANCELAMENTO = 
01/08/2017 08:41 - MARCELOGODOI | USUARIO = 11316 | CI = 21455 | STATUS = 7 | DATA = 01/08/2017 8:41 | MOTIVO_CANCELAMENTO = Valor de causa R$ 65.000,00. Condenação em Acórdão R$ 51.000,00
01/08/2017 08:41 - MARCELOGODOI | USUARIO = 11316 | CI = 21457 | STATUS = 7 | DATA = 01/08/2017 8:41 | MOTIVO_CANCELAMENTO = 
01/08/2017 08:43 - MARCELOGODOI | USUARIO = 11316 | CI = 21458 | STATUS = 7 | DATA = 01/08/2017 8:43 | MOTIVO_CANCELAMENTO = Valor de causa R$ 40.000,00. Condenação em sentença R$ 24.000,00.
01/08/2017 08:44 - MARCELOGODOI | USUARIO = 11316 | CI = 21464 | STATUS = 7 | DATA = 01/08/2017 8:44 | MOTIVO_CANCELAMENTO = Valor da causa R$ 35.000,00. Condenação em sentença R$ 12.000,00.
01/08/2017 08:55 - AREIAS | USUARIO = 10997 | CI = 21461 | STATUS = 7 | DATA = 01/08/2017 8:55 | MOTIVO_CANCELAMENTO = 
01/08/2017 08:56 - AREIAS | USUARIO = 10997 | CI = 21463 | STATUS = 7 | DATA = 01/08/2017 8:56 | MOTIVO_CANCELAMENTO = 
01/08/2017 08:56 - AREIAS | USUARIO = 10997 | CI = 21469 | STATUS = 7 | DATA = 01/08/2017 8:56 | MOTIVO_CANCELAMENTO = 
01/08/2017 08:56 - AREIAS | USUARIO = 10997 | CI = 21471 | STATUS = 7 | DATA = 01/08/2017 8:56 | MOTIVO_CANCELAMENTO = 
01/08/2017 08:57 - AREIAS | USUARIO = 10997 | CI = 21472 | STATUS = 7 | DATA = 01/08/2017 8:57 | MOTIVO_CANCELAMENTO = 
01/08/2017 11:10 - DORACI | USUARIO = 10886 | CI = 21479 | STATUS = 3 | DATA = 01/08/2017 11:10 | MOTIVO_CANCELAMENTO = 
01/08/2017 12:09 - JT | USUARIO = 10823 | CI = 21463 | STATUS = 3 | DATA = 01/08/2017 12:09 | MOTIVO_CANCELAMENTO = 
01/08/2017 12:10 - JT | USUARIO = 10823 | CI = 21477 | STATUS = 3 | DATA = 01/08/2017 12:10 | MOTIVO_CANCELAMENTO = 
01/08/2017 12:10 - JT | USUARIO = 10823 | CI = 21478 | STATUS = 7 | DATA = 01/08/2017 12:10 | MOTIVO_CANCELAMENTO = 
01/08/2017 12:10 - JT | USUARIO = 10823 | CI = 21478 | STATUS = 3 | DATA = 01/08/2017 12:10 | MOTIVO_CANCELAMENTO = 
01/08/2017 13:44 - AMADEUBOVI | USUARIO = 6888 | CI = 21481 | STATUS = 7 | DATA = 01/08/2017 13:44 | MOTIVO_CANCELAMENTO = 
01/08/2017 13:44 - AMADEUBOVI | USUARIO = 6888 | CI = 21481 | STATUS = 3 | DATA = 01/08/2017 13:44 | MOTIVO_CANCELAMENTO = 
01/08/2017 13:52 - AMADEUBOVI | USUARIO = 6888 | CI = 21482 | STATUS = 7 | DATA = 01/08/2017 13:52 | MOTIVO_CANCELAMENTO = 
01/08/2017 13:52 - AMADEUBOVI | USUARIO = 6888 | CI = 21482 | STATUS = 3 | DATA = 01/08/2017 13:52 | MOTIVO_CANCELAMENTO = 
01/08/2017 14:48 - DOUGLAS | USUARIO = 11530 | CI = 21453 | STATUS = 3 | DATA = 01/08/2017 14:48 | MOTIVO_CANCELAMENTO = mediante aprovação ACC
01/08/2017 14:48 - DOUGLAS | USUARIO = 11530 | CI = 21454 | STATUS = 3 | DATA = 01/08/2017 14:48 | MOTIVO_CANCELAMENTO = Mediante aprovação ACC
01/08/2017 14:48 - DOUGLAS | USUARIO = 11530 | CI = 21455 | STATUS = 3 | DATA = 01/08/2017 14:48 | MOTIVO_CANCELAMENTO = mediante aprovação ACC
01/08/2017 14:49 - DOUGLAS | USUARIO = 11530 | CI = 21458 | STATUS = 3 | DATA = 01/08/2017 14:49 | MOTIVO_CANCELAMENTO = mediante aprovação ACC
01/08/2017 14:49 - DOUGLAS | USUARIO = 11530 | CI = 21461 | STATUS = 3 | DATA = 01/08/2017 14:49 | MOTIVO_CANCELAMENTO = 
01/08/2017 15:13 - MARCIO | USUARIO = 10850 | CI = 21469 | STATUS = 3 | DATA = 01/08/2017 15:13 | MOTIVO_CANCELAMENTO = 
01/08/2017 15:13 - MARCIO | USUARIO = 10850 | CI = 21474 | STATUS = 3 | DATA = 01/08/2017 15:13 | MOTIVO_CANCELAMENTO = 
01/08/2017 15:36 - TADEUMACHADO | USUARIO = 11594 | CI = 21483 | STATUS = 7 | DATA = 01/08/2017 15:36 | MOTIVO_CANCELAMENTO = 
01/08/2017 15:36 - TADEUMACHADO | USUARIO = 11594 | CI = 21483 | STATUS = 3 | DATA = 01/08/2017 15:36 | MOTIVO_CANCELAMENTO = 
01/08/2017 16:47 - TADEUMACHADO | USUARIO = 11594 | CI = 21486 | STATUS = 3 | DATA = 01/08/2017 16:47 | MOTIVO_CANCELAMENTO = 
02/08/2017 07:30 - ZEZE | USUARIO = 10931 | CI = 21484 | STATUS = 7 | DATA = 02/08/2017 7:30 | MOTIVO_CANCELAMENTO = 
02/08/2017 07:30 - ZEZE | USUARIO = 10931 | CI = 21484 | STATUS = 3 | DATA = 02/08/2017 7:30 | MOTIVO_CANCELAMENTO = 
02/08/2017 07:30 - ZEZE | USUARIO = 10931 | CI = 21490 | STATUS = 7 | DATA = 02/08/2017 7:30 | MOTIVO_CANCELAMENTO = 
02/08/2017 07:30 - ZEZE | USUARIO = 10931 | CI = 21490 | STATUS = 3 | DATA = 02/08/2017 7:30 | MOTIVO_CANCELAMENTO = 
02/08/2017 07:30 - ZEZE | USUARIO = 10931 | CI = 21491 | STATUS = 3 | DATA = 02/08/2017 7:30 | MOTIVO_CANCELAMENTO = 
02/08/2017 07:56 - TADEUMACHADO | USUARIO = 11594 | CI = 21492 | STATUS = 7 | DATA = 02/08/2017 7:56 | MOTIVO_CANCELAMENTO = 
02/08/2017 07:56 - TADEUMACHADO | USUARIO = 11594 | CI = 21492 | STATUS = 3 | DATA = 02/08/2017 7:56 | MOTIVO_CANCELAMENTO = 
02/08/2017 10:06 - JENS | USUARIO = 10895 | CI = 21450 | STATUS = 3 | DATA = 02/08/2017 10:06 | MOTIVO_CANCELAMENTO = 
02/08/2017 10:06 - JENS | USUARIO = 10895 | CI = 21444 | STATUS = 3 | DATA = 02/08/2017 10:06 | MOTIVO_CANCELAMENTO = 
02/08/2017 10:07 - JENS | USUARIO = 10895 | CI = 21448 | STATUS = 3 | DATA = 02/08/2017 10:07 | MOTIVO_CANCELAMENTO = 
02/08/2017 10:59 - DORACI | USUARIO = 10886 | CI = 21495 | STATUS = 7 | DATA = 02/08/2017 10:59 | MOTIVO_CANCELAMENTO = 
