01/09/2017 07:07 - MARCIO | USUARIO = 10850 | CI = 21831 | STATUS = 7 | DATA = 01/09/2017 7:07 | MOTIVO_CANCELAMENTO = 
01/09/2017 07:07 - MARCIO | USUARIO = 10850 | CI = 21831 | STATUS = 3 | DATA = 01/09/2017 7:07 | MOTIVO_CANCELAMENTO = 
01/09/2017 11:17 - AREIAS | USUARIO = 10997 | CI = 21833 | STATUS = 7 | DATA = 01/09/2017 11:17 | MOTIVO_CANCELAMENTO = 
01/09/2017 11:17 - AREIAS | USUARIO = 10997 | CI = 21834 | STATUS = 7 | DATA = 01/09/2017 11:17 | MOTIVO_CANCELAMENTO = 
01/09/2017 11:17 - AREIAS | USUARIO = 10997 | CI = 21835 | STATUS = 7 | DATA = 01/09/2017 11:17 | MOTIVO_CANCELAMENTO = 
01/09/2017 11:20 - ROBERTA | USUARIO = 10935 | CI = 21833 | STATUS = 3 | DATA = 01/09/2017 11:20 | MOTIVO_CANCELAMENTO = 
01/09/2017 13:05 - AREIAS | USUARIO = 10997 | CI = 21836 | STATUS = 7 | DATA = 01/09/2017 13:05 | MOTIVO_CANCELAMENTO = 
01/09/2017 13:05 - AREIAS | USUARIO = 10997 | CI = 21837 | STATUS = 7 | DATA = 01/09/2017 13:05 | MOTIVO_CANCELAMENTO = 
01/09/2017 13:05 - AREIAS | USUARIO = 10997 | CI = 21837 | STATUS = 3 | DATA = 01/09/2017 13:05 | MOTIVO_CANCELAMENTO = 
01/09/2017 13:06 - AREIAS | USUARIO = 10997 | CI = 21838 | STATUS = 7 | DATA = 01/09/2017 13:06 | MOTIVO_CANCELAMENTO = 
01/09/2017 13:27 - DOUGLAS | USUARIO = 11530 | CI = 21834 | STATUS = 3 | DATA = 01/09/2017 13:27 | MOTIVO_CANCELAMENTO = 
01/09/2017 15:30 - LUIDE | USUARIO = 10836 | CI = 21816 | STATUS = 7 | DATA = 01/09/2017 15:30 | MOTIVO_CANCELAMENTO = 
01/09/2017 15:30 - LUIDE | USUARIO = 10836 | CI = 21817 | STATUS = 7 | DATA = 01/09/2017 15:30 | MOTIVO_CANCELAMENTO = 
01/09/2017 15:30 - LUIDE | USUARIO = 10836 | CI = 21817 | STATUS = 3 | DATA = 01/09/2017 15:30 | MOTIVO_CANCELAMENTO = 
01/09/2017 15:31 - LUIDE | USUARIO = 10836 | CI = 21828 | STATUS = 7 | DATA = 01/09/2017 15:31 | MOTIVO_CANCELAMENTO = 
01/09/2017 15:31 - LUIDE | USUARIO = 10836 | CI = 21832 | STATUS = 3 | DATA = 01/09/2017 15:31 | MOTIVO_CANCELAMENTO = 
01/09/2017 15:36 - LUIDE | USUARIO = 10836 | CI = 21838 | STATUS = 3 | DATA = 01/09/2017 15:36 | MOTIVO_CANCELAMENTO = 
01/09/2017 15:36 - LUIDE | USUARIO = 10836 | CI = 21835 | STATUS = 3 | DATA = 01/09/2017 15:36 | MOTIVO_CANCELAMENTO = 
01/09/2017 16:03 - MARTA | USUARIO = 10847 | CI = 21841 | STATUS = 3 | DATA = 01/09/2017 16:03 | MOTIVO_CANCELAMENTO = aprovado.
01/09/2017 16:29 - AMADEUBOVI | USUARIO = 6888 | CI = 21842 | STATUS = 3 | DATA = 01/09/2017 16:29 | MOTIVO_CANCELAMENTO = 
04/09/2017 07:08 - MARCELOGODOI | USUARIO = 11316 | CI = 21820 | STATUS = 7 | DATA = 04/09/2017 7:08 | MOTIVO_CANCELAMENTO = Valor da causa 150 mil . Condenação em sentença 129 mil. Conseguimos dividir em 15 parcelas.
