02/10/2017 08:44 - AREIAS | USUARIO = 10997 | CI = 22136 | STATUS = 7 | DATA = 02/10/2017 8:44 | MOTIVO_CANCELAMENTO = 
02/10/2017 08:52 - AMADEUBOVI | USUARIO = 6888 | CI = 22137 | STATUS = 3 | DATA = 02/10/2017 8:52 | MOTIVO_CANCELAMENTO = 
02/10/2017 09:17 - JT | USUARIO = 10823 | CI = 22136 | STATUS = 3 | DATA = 02/10/2017 9:17 | MOTIVO_CANCELAMENTO = 
02/10/2017 09:17 - JT | USUARIO = 10823 | CI = 22138 | STATUS = 7 | DATA = 02/10/2017 9:17 | MOTIVO_CANCELAMENTO = 
02/10/2017 09:17 - JT | USUARIO = 10823 | CI = 22138 | STATUS = 3 | DATA = 02/10/2017 9:17 | MOTIVO_CANCELAMENTO = 
02/10/2017 10:08 - ZEZE | USUARIO = 10931 | CI = 22141 | STATUS = 3 | DATA = 02/10/2017 10:08 | MOTIVO_CANCELAMENTO = 
02/10/2017 10:27 - WILSONVICTORIA | USUARIO = 6958 | CI = 22142 | STATUS = 7 | DATA = 02/10/2017 10:27 | MOTIVO_CANCELAMENTO = 
02/10/2017 10:27 - WILSONVICTORIA | USUARIO = 6958 | CI = 22142 | STATUS = 3 | DATA = 02/10/2017 10:27 | MOTIVO_CANCELAMENTO = 
02/10/2017 10:40 - ZEZE | USUARIO = 10931 | CI = 22144 | STATUS = 7 | DATA = 02/10/2017 10:40 | MOTIVO_CANCELAMENTO = 
02/10/2017 10:40 - ZEZE | USUARIO = 10931 | CI = 22144 | STATUS = 3 | DATA = 02/10/2017 10:40 | MOTIVO_CANCELAMENTO = 
02/10/2017 10:54 - CHRISTIANO | USUARIO = 11570 | CI = 22143 | STATUS = 3 | DATA = 02/10/2017 10:54 | MOTIVO_CANCELAMENTO = 
02/10/2017 10:54 - CHRISTIANO | USUARIO = 11570 | CI = 22132 | STATUS = 3 | DATA = 02/10/2017 10:54 | MOTIVO_CANCELAMENTO = 
02/10/2017 10:54 - CHRISTIANO | USUARIO = 11570 | CI = 22107 | STATUS = 3 | DATA = 02/10/2017 10:54 | MOTIVO_CANCELAMENTO = 
02/10/2017 10:54 - CHRISTIANO | USUARIO = 11570 | CI = 22089 | STATUS = 3 | DATA = 02/10/2017 10:54 | MOTIVO_CANCELAMENTO = 
02/10/2017 10:55 - CHRISTIANO | USUARIO = 11570 | CI = 22131 | STATUS = 3 | DATA = 02/10/2017 10:55 | MOTIVO_CANCELAMENTO = 
02/10/2017 11:31 - GISELERATEIRO | USUARIO = 11143 | CI = 22145 | STATUS = 7 | DATA = 02/10/2017 11:31 | MOTIVO_CANCELAMENTO = 
02/10/2017 11:34 - HEBERTLUCIO | USUARIO = 11635 | CI = 22129 | STATUS = 3 | DATA = 02/10/2017 11:34 | MOTIVO_CANCELAMENTO = 
