01/03/2018 07:43 - LUIDE | USUARIO = 10836 | CI = 23905 | STATUS = 7 | DATA = 01/03/2018 7:43 | MOTIVO_CANCELAMENTO = 
01/03/2018 07:53 - LUIDE | USUARIO = 10836 | CI = 23940 | STATUS = 3 | DATA = 01/03/2018 7:53 | MOTIVO_CANCELAMENTO = 
01/03/2018 08:39 - DOUGLAS | USUARIO = 11530 | CI = 23905 | STATUS = 3 | DATA = 01/03/2018 8:39 | MOTIVO_CANCELAMENTO = 
01/03/2018 09:08 - CAMARA | USUARIO = 10841 | CI = 23904 | STATUS = 3 | DATA = 01/03/2018 9:08 | MOTIVO_CANCELAMENTO = 
01/03/2018 09:24 - MARTA | USUARIO = 10847 | CI = 23941 | STATUS = 3 | DATA = 01/03/2018 9:24 | MOTIVO_CANCELAMENTO = 
01/03/2018 10:16 - MARTA | USUARIO = 10847 | CI = 23942 | STATUS = 3 | DATA = 01/03/2018 10:16 | MOTIVO_CANCELAMENTO = 
01/03/2018 10:28 - MARTA | USUARIO = 10847 | CI = 23943 | STATUS = 3 | DATA = 01/03/2018 10:28 | MOTIVO_CANCELAMENTO = 
01/03/2018 11:21 - AREIAS | USUARIO = 10997 | CI = 23939 | STATUS = 7 | DATA = 01/03/2018 11:21 | MOTIVO_CANCELAMENTO = 
01/03/2018 13:26 - JT | USUARIO = 10823 | CI = 23939 | STATUS = 3 | DATA = 01/03/2018 13:26 | MOTIVO_CANCELAMENTO = 
01/03/2018 14:06 - ZEZE | USUARIO = 10931 | CI = 23947 | STATUS = 7 | DATA = 01/03/2018 14:06 | MOTIVO_CANCELAMENTO = 
01/03/2018 14:06 - ZEZE | USUARIO = 10931 | CI = 23947 | STATUS = 3 | DATA = 01/03/2018 14:06 | MOTIVO_CANCELAMENTO = 
01/03/2018 16:14 - TADEUMACHADO | USUARIO = 11594 | CI = 23950 | STATUS = 7 | DATA = 01/03/2018 16:14 | MOTIVO_CANCELAMENTO = 
01/03/2018 16:14 - TADEUMACHADO | USUARIO = 11594 | CI = 23950 | STATUS = 3 | DATA = 01/03/2018 16:14 | MOTIVO_CANCELAMENTO = 
01/03/2018 16:14 - ZEZE | USUARIO = 10931 | CI = 23948 | STATUS = 7 | DATA = 01/03/2018 16:14 | MOTIVO_CANCELAMENTO = 
01/03/2018 16:14 - ZEZE | USUARIO = 10931 | CI = 23948 | STATUS = 3 | DATA = 01/03/2018 16:14 | MOTIVO_CANCELAMENTO = 
01/03/2018 16:14 - TADEUMACHADO | USUARIO = 11594 | CI = 23945 | STATUS = 7 | DATA = 01/03/2018 16:14 | MOTIVO_CANCELAMENTO = 
01/03/2018 16:14 - TADEUMACHADO | USUARIO = 11594 | CI = 23945 | STATUS = 3 | DATA = 01/03/2018 16:14 | MOTIVO_CANCELAMENTO = 
01/03/2018 16:14 - FABRICIOTOMASETTO | USUARIO = 6954 | CI = 23951 | STATUS = 3 | DATA = 01/03/2018 16:14 | MOTIVO_CANCELAMENTO = 
01/03/2018 16:15 - TADEUMACHADO | USUARIO = 11594 | CI = 23938 | STATUS = 7 | DATA = 01/03/2018 16:15 | MOTIVO_CANCELAMENTO = 
01/03/2018 16:15 - TADEUMACHADO | USUARIO = 11594 | CI = 23938 | STATUS = 3 | DATA = 01/03/2018 16:15 | MOTIVO_CANCELAMENTO = 
02/03/2018 07:44 - CAMARA | USUARIO = 10841 | CI = 23949 | STATUS = 3 | DATA = 02/03/2018 7:44 | MOTIVO_CANCELAMENTO = 
02/03/2018 10:22 - ZEZE | USUARIO = 10931 | CI = 23955 | STATUS = 3 | DATA = 02/03/2018 10:22 | MOTIVO_CANCELAMENTO = 
02/03/2018 10:58 - ZEZE | USUARIO = 10931 | CI = 23956 | STATUS = 7 | DATA = 02/03/2018 10:58 | MOTIVO_CANCELAMENTO = 
02/03/2018 10:58 - ZEZE | USUARIO = 10931 | CI = 23956 | STATUS = 3 | DATA = 02/03/2018 10:58 | MOTIVO_CANCELAMENTO = 
02/03/2018 11:19 - ZEZE | USUARIO = 10931 | CI = 23957 | STATUS = 7 | DATA = 02/03/2018 11:19 | MOTIVO_CANCELAMENTO = 
02/03/2018 11:35 - ZEZE | USUARIO = 10931 | CI = 23958 | STATUS = 7 | DATA = 02/03/2018 11:35 | MOTIVO_CANCELAMENTO = 
02/03/2018 11:35 - ZEZE | USUARIO = 10931 | CI = 23958 | STATUS = 3 | DATA = 02/03/2018 11:35 | MOTIVO_CANCELAMENTO = 
02/03/2018 11:37 - TADEUMACHADO | USUARIO = 11594 | CI = 23954 | STATUS = 7 | DATA = 02/03/2018 11:37 | MOTIVO_CANCELAMENTO = 
02/03/2018 11:37 - TADEUMACHADO | USUARIO = 11594 | CI = 23954 | STATUS = 3 | DATA = 02/03/2018 11:37 | MOTIVO_CANCELAMENTO = 
02/03/2018 11:37 - TADEUMACHADO | USUARIO = 11594 | CI = 23953 | STATUS = 7 | DATA = 02/03/2018 11:37 | MOTIVO_CANCELAMENTO = 
02/03/2018 11:37 - TADEUMACHADO | USUARIO = 11594 | CI = 23953 | STATUS = 3 | DATA = 02/03/2018 11:37 | MOTIVO_CANCELAMENTO = 
02/03/2018 13:55 - CAMARA | USUARIO = 10841 | CI = 23959 | STATUS = 3 | DATA = 02/03/2018 13:55 | MOTIVO_CANCELAMENTO = 
02/03/2018 14:07 - DOUGLAS | USUARIO = 11530 | CI = 23957 | STATUS = 3 | DATA = 02/03/2018 14:07 | MOTIVO_CANCELAMENTO = 
02/03/2018 14:07 - DOUGLAS | USUARIO = 11530 | CI = 23961 | STATUS = 3 | DATA = 02/03/2018 14:07 | MOTIVO_CANCELAMENTO = 
