02/04/2018 09:33 - TADEUMACHADO | USUARIO = 11594 | CI = 24233 | STATUS = 3 | DATA = 02/04/2018 9:33 | MOTIVO_CANCELAMENTO = 
02/04/2018 09:37 - TADEUMACHADO | USUARIO = 11594 | CI = 24108 | STATUS = 7 | DATA = 02/04/2018 9:37 | MOTIVO_CANCELAMENTO = 
02/04/2018 09:37 - TADEUMACHADO | USUARIO = 11594 | CI = 24108 | STATUS = 3 | DATA = 02/04/2018 9:37 | MOTIVO_CANCELAMENTO = 
02/04/2018 11:36 - CAMARA | USUARIO = 10841 | CI = 24225 | STATUS = 3 | DATA = 02/04/2018 11:36 | MOTIVO_CANCELAMENTO = 
02/04/2018 11:37 - CAMARA | USUARIO = 10841 | CI = 24234 | STATUS = 3 | DATA = 02/04/2018 11:37 | MOTIVO_CANCELAMENTO = 
02/04/2018 11:38 - CAMARA | USUARIO = 10841 | CI = 24236 | STATUS = 3 | DATA = 02/04/2018 11:38 | MOTIVO_CANCELAMENTO = 
02/04/2018 14:19 - HEBERTLUCIO | USUARIO = 11635 | CI = 24226 | STATUS = 3 | DATA = 02/04/2018 14:19 | MOTIVO_CANCELAMENTO = 
02/04/2018 14:19 - HEBERTLUCIO | USUARIO = 11635 | CI = 24232 | STATUS = 3 | DATA = 02/04/2018 14:19 | MOTIVO_CANCELAMENTO = 
02/04/2018 15:42 - ZEZE | USUARIO = 10931 | CI = 24235 | STATUS = 3 | DATA = 02/04/2018 15:42 | MOTIVO_CANCELAMENTO = 
02/04/2018 15:42 - ZEZE | USUARIO = 10931 | CI = 24237 | STATUS = 7 | DATA = 02/04/2018 15:42 | MOTIVO_CANCELAMENTO = 
02/04/2018 15:42 - ZEZE | USUARIO = 10931 | CI = 24237 | STATUS = 3 | DATA = 02/04/2018 15:42 | MOTIVO_CANCELAMENTO = 
02/04/2018 15:42 - ZEZE | USUARIO = 10931 | CI = 24238 | STATUS = 7 | DATA = 02/04/2018 15:42 | MOTIVO_CANCELAMENTO = 
02/04/2018 15:42 - ZEZE | USUARIO = 10931 | CI = 24238 | STATUS = 3 | DATA = 02/04/2018 15:42 | MOTIVO_CANCELAMENTO = 
03/04/2018 08:47 - MARCELOGODOI | USUARIO = 11316 | CI = 24241 | STATUS = 7 | DATA = 03/04/2018 8:47 | MOTIVO_CANCELAMENTO = 
03/04/2018 09:38 - FERNANDO | USUARIO = 10842 | CI = 24244 | STATUS = 3 | DATA = 03/04/2018 9:38 | MOTIVO_CANCELAMENTO = 
03/04/2018 12:52 - DOUGLAS | USUARIO = 11530 | CI = 24241 | STATUS = 3 | DATA = 03/04/2018 12:52 | MOTIVO_CANCELAMENTO = 
03/04/2018 13:41 - OSNY | USUARIO = 10826 | CI = 24250 | STATUS = 3 | DATA = 03/04/2018 13:41 | MOTIVO_CANCELAMENTO = 
03/04/2018 13:47 - ANITA | USUARIO = 11002 | CI = 24243 | STATUS = 3 | DATA = 03/04/2018 13:47 | MOTIVO_CANCELAMENTO = 
04/04/2018 09:16 - JT | USUARIO = 10823 | CI = 24254 | STATUS = 7 | DATA = 04/04/2018 9:16 | MOTIVO_CANCELAMENTO = 
04/04/2018 09:16 - JT | USUARIO = 10823 | CI = 24254 | STATUS = 3 | DATA = 04/04/2018 9:16 | MOTIVO_CANCELAMENTO = 
