02/05/2018 09:08 - TADEUMACHADO | USUARIO = 11594 | CI = 24441 | STATUS = 3 | DATA = 02/05/2018 9:08 | MOTIVO_CANCELAMENTO = Bom dia! Conforme alinhado com os Srs. Alexandre e Patrick, não será mais permitida a entrega nas dependências da Usina Santa Fé, prestadores de serviço sem a devida apresentação dos documentos necessários. Esta notificação será válida para a KPMG a partir de 07/05/18.

02/05/2018 09:16 - JT | USUARIO = 10823 | CI = 24431 | STATUS = 7 | DATA = 02/05/2018 9:16 | MOTIVO_CANCELAMENTO = 
02/05/2018 09:16 - JT | USUARIO = 10823 | CI = 24438 | STATUS = 7 | DATA = 02/05/2018 9:16 | MOTIVO_CANCELAMENTO = 
02/05/2018 09:16 - JT | USUARIO = 10823 | CI = 24438 | STATUS = 3 | DATA = 02/05/2018 9:16 | MOTIVO_CANCELAMENTO = 
02/05/2018 11:07 - ZEZE | USUARIO = 10931 | CI = 24440 | STATUS = 7 | DATA = 02/05/2018 11:07 | MOTIVO_CANCELAMENTO = 
02/05/2018 11:07 - ZEZE | USUARIO = 10931 | CI = 24440 | STATUS = 3 | DATA = 02/05/2018 11:07 | MOTIVO_CANCELAMENTO = 
02/05/2018 11:37 - MARCIO | USUARIO = 10850 | CI = 24443 | STATUS = 3 | DATA = 02/05/2018 11:37 | MOTIVO_CANCELAMENTO = 
02/05/2018 11:37 - MARCIO | USUARIO = 10850 | CI = 24439 | STATUS = 3 | DATA = 02/05/2018 11:37 | MOTIVO_CANCELAMENTO = 
02/05/2018 12:19 - ROBERTA | USUARIO = 10935 | CI = 24434 | STATUS = 3 | DATA = 02/05/2018 12:19 | MOTIVO_CANCELAMENTO = 
02/05/2018 15:15 - HEBERTLUCIO | USUARIO = 11635 | CI = 24431 | STATUS = 3 | DATA = 02/05/2018 15:15 | MOTIVO_CANCELAMENTO = 
02/05/2018 15:15 - HEBERTLUCIO | USUARIO = 11635 | CI = 24437 | STATUS = 3 | DATA = 02/05/2018 15:15 | MOTIVO_CANCELAMENTO = 
02/05/2018 15:38 - JT | USUARIO = 10823 | CI = 24442 | STATUS = 7 | DATA = 02/05/2018 15:38 | MOTIVO_CANCELAMENTO = 
02/05/2018 15:38 - JT | USUARIO = 10823 | CI = 24442 | STATUS = 3 | DATA = 02/05/2018 15:38 | MOTIVO_CANCELAMENTO = 
02/05/2018 16:01 - ZEZE | USUARIO = 10931 | CI = 24444 | STATUS = 3 | DATA = 02/05/2018 16:01 | MOTIVO_CANCELAMENTO = 
02/05/2018 17:32 - DOUGLAS | USUARIO = 11530 | CI = 24445 | STATUS = 3 | DATA = 02/05/2018 17:32 | MOTIVO_CANCELAMENTO = 
02/05/2018 17:33 - DOUGLAS | USUARIO = 11530 | CI = 24446 | STATUS = 3 | DATA = 02/05/2018 17:33 | MOTIVO_CANCELAMENTO = 
03/05/2018 08:42 - TADEUMACHADO | USUARIO = 11594 | CI = 24447 | STATUS = 3 | DATA = 03/05/2018 8:42 | MOTIVO_CANCELAMENTO = O valor solicitado já inclui o pagamento de hotel, por isso a solicitação de numerário maior.
03/05/2018 10:33 - ZEZE | USUARIO = 10931 | CI = 24453 | STATUS = 3 | DATA = 03/05/2018 10:33 | MOTIVO_CANCELAMENTO = 
03/05/2018 13:57 - ZEZE | USUARIO = 10931 | CI = 24454 | STATUS = 4 | DATA = 03/05/2018 13:57 | MOTIVO_CANCELAMENTO = Essa CI deve ser enviada para a área de Serviços do Areias.
03/05/2018 13:57 - ZEZE | USUARIO = 10931 | CI = 24455 | STATUS = 7 | DATA = 03/05/2018 13:57 | MOTIVO_CANCELAMENTO = 
03/05/2018 13:57 - ZEZE | USUARIO = 10931 | CI = 24455 | STATUS = 3 | DATA = 03/05/2018 13:57 | MOTIVO_CANCELAMENTO = 
03/05/2018 16:31 - MARCIO | USUARIO = 10850 | CI = 24456 | STATUS = 7 | DATA = 03/05/2018 16:31 | MOTIVO_CANCELAMENTO = 
03/05/2018 16:40 - MARCIO | USUARIO = 10850 | CI = 24457 | STATUS = 3 | DATA = 03/05/2018 16:40 | MOTIVO_CANCELAMENTO = 
03/05/2018 17:41 - LUIDE | USUARIO = 10836 | CI = 24458 | STATUS = 7 | DATA = 03/05/2018 17:41 | MOTIVO_CANCELAMENTO = 
03/05/2018 17:41 - LUIDE | USUARIO = 10836 | CI = 24459 | STATUS = 7 | DATA = 03/05/2018 17:41 | MOTIVO_CANCELAMENTO = 
03/05/2018 17:41 - LUIDE | USUARIO = 10836 | CI = 24460 | STATUS = 7 | DATA = 03/05/2018 17:41 | MOTIVO_CANCELAMENTO = 
03/05/2018 17:41 - LUIDE | USUARIO = 10836 | CI = 24461 | STATUS = 7 | DATA = 03/05/2018 17:41 | MOTIVO_CANCELAMENTO = 
03/05/2018 17:41 - LUIDE | USUARIO = 10836 | CI = 24462 | STATUS = 7 | DATA = 03/05/2018 17:41 | MOTIVO_CANCELAMENTO = 
03/05/2018 17:41 - LUIDE | USUARIO = 10836 | CI = 24463 | STATUS = 7 | DATA = 03/05/2018 17:41 | MOTIVO_CANCELAMENTO = 
03/05/2018 17:41 - LUIDE | USUARIO = 10836 | CI = 24463 | STATUS = 3 | DATA = 03/05/2018 17:41 | MOTIVO_CANCELAMENTO = 
03/05/2018 17:44 - DOUGLAS | USUARIO = 11530 | CI = 24458 | STATUS = 3 | DATA = 03/05/2018 17:44 | MOTIVO_CANCELAMENTO = 
03/05/2018 17:44 - DOUGLAS | USUARIO = 11530 | CI = 24459 | STATUS = 3 | DATA = 03/05/2018 17:44 | MOTIVO_CANCELAMENTO = 
03/05/2018 17:44 - DOUGLAS | USUARIO = 11530 | CI = 24460 | STATUS = 3 | DATA = 03/05/2018 17:44 | MOTIVO_CANCELAMENTO = 
03/05/2018 17:44 - DOUGLAS | USUARIO = 11530 | CI = 24461 | STATUS = 3 | DATA = 03/05/2018 17:44 | MOTIVO_CANCELAMENTO = 
03/05/2018 17:44 - DOUGLAS | USUARIO = 11530 | CI = 24462 | STATUS = 3 | DATA = 03/05/2018 17:44 | MOTIVO_CANCELAMENTO = 
03/05/2018 17:56 - AREIAS | USUARIO = 10997 | CI = 24448 | STATUS = 7 | DATA = 03/05/2018 17:56 | MOTIVO_CANCELAMENTO = 
03/05/2018 17:56 - AREIAS | USUARIO = 10997 | CI = 24449 | STATUS = 7 | DATA = 03/05/2018 17:56 | MOTIVO_CANCELAMENTO = 
03/05/2018 17:57 - AREIAS | USUARIO = 10997 | CI = 24450 | STATUS = 7 | DATA = 03/05/2018 17:57 | MOTIVO_CANCELAMENTO = 
03/05/2018 17:57 - AREIAS | USUARIO = 10997 | CI = 24451 | STATUS = 7 | DATA = 03/05/2018 17:57 | MOTIVO_CANCELAMENTO = 
03/05/2018 17:58 - AREIAS | USUARIO = 10997 | CI = 24452 | STATUS = 7 | DATA = 03/05/2018 17:58 | MOTIVO_CANCELAMENTO = 
03/05/2018 17:58 - AREIAS | USUARIO = 10997 | CI = 24452 | STATUS = 3 | DATA = 03/05/2018 17:58 | MOTIVO_CANCELAMENTO = 
03/05/2018 18:23 - DOUGLAS | USUARIO = 11530 | CI = 24449 | STATUS = 3 | DATA = 03/05/2018 18:23 | MOTIVO_CANCELAMENTO = 
03/05/2018 18:23 - DOUGLAS | USUARIO = 11530 | CI = 24448 | STATUS = 3 | DATA = 03/05/2018 18:23 | MOTIVO_CANCELAMENTO = 
03/05/2018 18:23 - DOUGLAS | USUARIO = 11530 | CI = 24450 | STATUS = 3 | DATA = 03/05/2018 18:23 | MOTIVO_CANCELAMENTO = 
03/05/2018 18:23 - DOUGLAS | USUARIO = 11530 | CI = 24451 | STATUS = 3 | DATA = 03/05/2018 18:23 | MOTIVO_CANCELAMENTO = 
04/05/2018 10:46 - ALEXANDRE | USUARIO = 10837 | CI = 24464 | STATUS = 7 | DATA = 04/05/2018 10:46 | MOTIVO_CANCELAMENTO = 
04/05/2018 10:46 - ALEXANDRE | USUARIO = 10837 | CI = 24464 | STATUS = 3 | DATA = 04/05/2018 10:46 | MOTIVO_CANCELAMENTO = 
04/05/2018 10:46 - ALEXANDRE | USUARIO = 10837 | CI = 24465 | STATUS = 7 | DATA = 04/05/2018 10:46 | MOTIVO_CANCELAMENTO = 
04/05/2018 10:46 - ALEXANDRE | USUARIO = 10837 | CI = 24465 | STATUS = 3 | DATA = 04/05/2018 10:46 | MOTIVO_CANCELAMENTO = 
04/05/2018 11:51 - HEBERTLUCIO | USUARIO = 11635 | CI = 24467 | STATUS = 3 | DATA = 04/05/2018 11:51 | MOTIVO_CANCELAMENTO = 
04/05/2018 11:51 - HEBERTLUCIO | USUARIO = 11635 | CI = 24468 | STATUS = 3 | DATA = 04/05/2018 11:51 | MOTIVO_CANCELAMENTO = 
04/05/2018 14:16 - AREIAS | USUARIO = 10997 | CI = 24471 | STATUS = 3 | DATA = 04/05/2018 14:16 | MOTIVO_CANCELAMENTO = 
07/05/2018 08:16 - OSNY | USUARIO = 10826 | CI = 24475 | STATUS = 7 | DATA = 07/05/2018 8:16 | MOTIVO_CANCELAMENTO = 
07/05/2018 09:17 - ZEZE | USUARIO = 10931 | CI = 24478 | STATUS = 3 | DATA = 07/05/2018 9:17 | MOTIVO_CANCELAMENTO = 
07/05/2018 09:33 - CAMARA | USUARIO = 10841 | CI = 24472 | STATUS = 3 | DATA = 07/05/2018 9:33 | MOTIVO_CANCELAMENTO = 
07/05/2018 09:34 - CAMARA | USUARIO = 10841 | CI = 24476 | STATUS = 3 | DATA = 07/05/2018 9:34 | MOTIVO_CANCELAMENTO = 
07/05/2018 09:34 - CAMARA | USUARIO = 10841 | CI = 24477 | STATUS = 3 | DATA = 07/05/2018 9:34 | MOTIVO_CANCELAMENTO = 
07/05/2018 10:04 - TADEUMACHADO | USUARIO = 11594 | CI = 24479 | STATUS = 3 | DATA = 07/05/2018 10:04 | MOTIVO_CANCELAMENTO = 
07/05/2018 10:31 - LUIDE | USUARIO = 10836 | CI = 24487 | STATUS = 5 | DATA = 07/05/2018 10:31 | MOTIVO_CANCELAMENTO = valor incorreto de R$ 30 mil.
07/05/2018 10:49 - DOUGLAS | USUARIO = 11530 | CI = 24473 | STATUS = 3 | DATA = 07/05/2018 10:49 | MOTIVO_CANCELAMENTO = 
07/05/2018 10:50 - DOUGLAS | USUARIO = 11530 | CI = 24475 | STATUS = 3 | DATA = 07/05/2018 10:50 | MOTIVO_CANCELAMENTO = 
07/05/2018 11:03 - AREIAS | USUARIO = 10997 | CI = 24485 | STATUS = 7 | DATA = 07/05/2018 11:03 | MOTIVO_CANCELAMENTO = 
07/05/2018 11:03 - AREIAS | USUARIO = 10997 | CI = 24486 | STATUS = 7 | DATA = 07/05/2018 11:03 | MOTIVO_CANCELAMENTO = 
07/05/2018 11:08 - CAMARA | USUARIO = 10841 | CI = 24486 | STATUS = 3 | DATA = 07/05/2018 11:08 | MOTIVO_CANCELAMENTO = 
07/05/2018 11:14 - FERNANDO | USUARIO = 10842 | CI = 24482 | STATUS = 3 | DATA = 07/05/2018 11:14 | MOTIVO_CANCELAMENTO = 
07/05/2018 13:54 - HEBERTLUCIO | USUARIO = 11635 | CI = 24469 | STATUS = 3 | DATA = 07/05/2018 13:54 | MOTIVO_CANCELAMENTO = 
07/05/2018 13:54 - HEBERTLUCIO | USUARIO = 11635 | CI = 24470 | STATUS = 3 | DATA = 07/05/2018 13:54 | MOTIVO_CANCELAMENTO = 
07/05/2018 13:54 - HEBERTLUCIO | USUARIO = 11635 | CI = 24474 | STATUS = 3 | DATA = 07/05/2018 13:54 | MOTIVO_CANCELAMENTO = 
07/05/2018 14:31 - ANITA | USUARIO = 11002 | CI = 24480 | STATUS = 3 | DATA = 07/05/2018 14:31 | MOTIVO_CANCELAMENTO = 
07/05/2018 14:36 - ROBERTO | USUARIO = 10845 | CI = 24484 | STATUS = 3 | DATA = 07/05/2018 14:36 | MOTIVO_CANCELAMENTO = 
07/05/2018 14:38 - ROBERTO | USUARIO = 10845 | CI = 24488 | STATUS = 3 | DATA = 07/05/2018 14:38 | MOTIVO_CANCELAMENTO = 
07/05/2018 14:38 - ROBERTO | USUARIO = 10845 | CI = 24489 | STATUS = 3 | DATA = 07/05/2018 14:38 | MOTIVO_CANCELAMENTO = 
08/05/2018 07:08 - MARCIO | USUARIO = 10850 | CI = 24493 | STATUS = 3 | DATA = 08/05/2018 7:08 | MOTIVO_CANCELAMENTO = 
08/05/2018 07:33 - TADEUMACHADO | USUARIO = 11594 | CI = 24490 | STATUS = 3 | DATA = 08/05/2018 7:33 | MOTIVO_CANCELAMENTO = 
08/05/2018 07:46 - ACIR | USUARIO = 10839 | CI = 24485 | STATUS = 3 | DATA = 08/05/2018 7:46 | MOTIVO_CANCELAMENTO = 
08/05/2018 11:17 - TADEUMACHADO | USUARIO = 11594 | CI = 24496 | STATUS = 3 | DATA = 08/05/2018 11:17 | MOTIVO_CANCELAMENTO = 
08/05/2018 13:55 - LUIDE | USUARIO = 10836 | CI = 24498 | STATUS = 3 | DATA = 08/05/2018 13:55 | MOTIVO_CANCELAMENTO = 
08/05/2018 13:55 - LUIDE | USUARIO = 10836 | CI = 24499 | STATUS = 7 | DATA = 08/05/2018 13:55 | MOTIVO_CANCELAMENTO = 
08/05/2018 14:22 - DOUGLAS | USUARIO = 11530 | CI = 24499 | STATUS = 3 | DATA = 08/05/2018 14:22 | MOTIVO_CANCELAMENTO = 
08/05/2018 15:54 - ZEZE | USUARIO = 10931 | CI = 24497 | STATUS = 3 | DATA = 08/05/2018 15:54 | MOTIVO_CANCELAMENTO = 
08/05/2018 15:54 - ZEZE | USUARIO = 10931 | CI = 24501 | STATUS = 7 | DATA = 08/05/2018 15:54 | MOTIVO_CANCELAMENTO = 
08/05/2018 15:54 - ZEZE | USUARIO = 10931 | CI = 24501 | STATUS = 3 | DATA = 08/05/2018 15:54 | MOTIVO_CANCELAMENTO = 
08/05/2018 15:54 - ZEZE | USUARIO = 10931 | CI = 24502 | STATUS = 7 | DATA = 08/05/2018 15:54 | MOTIVO_CANCELAMENTO = 
08/05/2018 15:54 - ZEZE | USUARIO = 10931 | CI = 24502 | STATUS = 3 | DATA = 08/05/2018 15:54 | MOTIVO_CANCELAMENTO = 
08/05/2018 15:54 - ZEZE | USUARIO = 10931 | CI = 24503 | STATUS = 7 | DATA = 08/05/2018 15:54 | MOTIVO_CANCELAMENTO = 
08/05/2018 15:54 - ZEZE | USUARIO = 10931 | CI = 24503 | STATUS = 3 | DATA = 08/05/2018 15:54 | MOTIVO_CANCELAMENTO = 
09/05/2018 07:44 - ZEZE | USUARIO = 10931 | CI = 24506 | STATUS = 3 | DATA = 09/05/2018 7:44 | MOTIVO_CANCELAMENTO = 
09/05/2018 07:44 - ZEZE | USUARIO = 10931 | CI = 24505 | STATUS = 7 | DATA = 09/05/2018 7:44 | MOTIVO_CANCELAMENTO = 
09/05/2018 07:44 - ZEZE | USUARIO = 10931 | CI = 24505 | STATUS = 3 | DATA = 09/05/2018 7:44 | MOTIVO_CANCELAMENTO = 
09/05/2018 13:08 - PORTARIA | USUARIO = 11207 | CI = 24512 | STATUS = 5 | DATA = 09/05/2018 13:08 | MOTIVO_CANCELAMENTO = FOI ENVIADA 2 COPIAS DA MESMA C.I
09/05/2018 13:46 - ROBERTA | USUARIO = 10935 | CI = 24513 | STATUS = 3 | DATA = 09/05/2018 13:46 | MOTIVO_CANCELAMENTO = 
09/05/2018 14:32 - ERIC | USUARIO = 11080 | CI = 24456 | STATUS = 5 | DATA = 09/05/2018 14:32 | MOTIVO_CANCELAMENTO = C.I Cancelada 
09/05/2018 14:53 - AREIAS | USUARIO = 10997 | CI = 24507 | STATUS = 7 | DATA = 09/05/2018 14:53 | MOTIVO_CANCELAMENTO = 
09/05/2018 14:53 - AREIAS | USUARIO = 10997 | CI = 24508 | STATUS = 7 | DATA = 09/05/2018 14:53 | MOTIVO_CANCELAMENTO = 
09/05/2018 14:53 - AREIAS | USUARIO = 10997 | CI = 24509 | STATUS = 7 | DATA = 09/05/2018 14:53 | MOTIVO_CANCELAMENTO = 
09/05/2018 14:53 - AREIAS | USUARIO = 10997 | CI = 24511 | STATUS = 7 | DATA = 09/05/2018 14:53 | MOTIVO_CANCELAMENTO = 
09/05/2018 15:42 - JT | USUARIO = 10823 | CI = 24500 | STATUS = 7 | DATA = 09/05/2018 15:42 | MOTIVO_CANCELAMENTO = 
09/05/2018 15:42 - JT | USUARIO = 10823 | CI = 24500 | STATUS = 3 | DATA = 09/05/2018 15:42 | MOTIVO_CANCELAMENTO = 
09/05/2018 16:28 - DOUGLAS | USUARIO = 11530 | CI = 24507 | STATUS = 3 | DATA = 09/05/2018 16:28 | MOTIVO_CANCELAMENTO = 
09/05/2018 16:29 - DOUGLAS | USUARIO = 11530 | CI = 24508 | STATUS = 3 | DATA = 09/05/2018 16:29 | MOTIVO_CANCELAMENTO = 
09/05/2018 16:29 - DOUGLAS | USUARIO = 11530 | CI = 24509 | STATUS = 3 | DATA = 09/05/2018 16:29 | MOTIVO_CANCELAMENTO = 
09/05/2018 16:29 - DOUGLAS | USUARIO = 11530 | CI = 24511 | STATUS = 3 | DATA = 09/05/2018 16:29 | MOTIVO_CANCELAMENTO = 
10/05/2018 10:39 - JT | USUARIO = 10823 | CI = 24515 | STATUS = 7 | DATA = 10/05/2018 10:39 | MOTIVO_CANCELAMENTO = 
10/05/2018 10:39 - JT | USUARIO = 10823 | CI = 24516 | STATUS = 7 | DATA = 10/05/2018 10:39 | MOTIVO_CANCELAMENTO = 
10/05/2018 11:30 - JT | USUARIO = 10823 | CI = 24520 | STATUS = 3 | DATA = 10/05/2018 11:30 | MOTIVO_CANCELAMENTO = 
10/05/2018 11:36 - ZEZE | USUARIO = 10931 | CI = 24522 | STATUS = 3 | DATA = 10/05/2018 11:36 | MOTIVO_CANCELAMENTO = 
10/05/2018 13:19 - JOAOROGANTE | USUARIO = 6966 | CI = 24491 | STATUS = 3 | DATA = 10/05/2018 13:19 | MOTIVO_CANCELAMENTO = 
10/05/2018 13:20 - JOAOROGANTE | USUARIO = 6966 | CI = 24510 | STATUS = 3 | DATA = 10/05/2018 13:20 | MOTIVO_CANCELAMENTO = Conforme alinhado com R.H. 
Colaborador da colheita auxiliando no plantio.
10/05/2018 13:21 - JOAOROGANTE | USUARIO = 6966 | CI = 24521 | STATUS = 7 | DATA = 10/05/2018 13:21 | MOTIVO_CANCELAMENTO = A compra de mudas para uso horta Itaquerê.
10/05/2018 13:30 - HEBERTLUCIO | USUARIO = 11635 | CI = 24492 | STATUS = 3 | DATA = 10/05/2018 13:30 | MOTIVO_CANCELAMENTO = 
10/05/2018 13:30 - HEBERTLUCIO | USUARIO = 11635 | CI = 24494 | STATUS = 3 | DATA = 10/05/2018 13:30 | MOTIVO_CANCELAMENTO = 
10/05/2018 13:31 - HEBERTLUCIO | USUARIO = 11635 | CI = 24495 | STATUS = 3 | DATA = 10/05/2018 13:31 | MOTIVO_CANCELAMENTO = 
10/05/2018 13:31 - HEBERTLUCIO | USUARIO = 11635 | CI = 24516 | STATUS = 3 | DATA = 10/05/2018 13:31 | MOTIVO_CANCELAMENTO = 
10/05/2018 13:31 - HEBERTLUCIO | USUARIO = 11635 | CI = 24518 | STATUS = 3 | DATA = 10/05/2018 13:31 | MOTIVO_CANCELAMENTO = 
10/05/2018 16:42 - ZEZE | USUARIO = 10931 | CI = 24521 | STATUS = 3 | DATA = 10/05/2018 16:42 | MOTIVO_CANCELAMENTO = 
10/05/2018 18:26 - DOUGLAS | USUARIO = 11530 | CI = 24515 | STATUS = 3 | DATA = 10/05/2018 18:26 | MOTIVO_CANCELAMENTO = 
11/05/2018 09:04 - REGI | USUARIO = 10864 | CI = 24525 | STATUS = 3 | DATA = 11/05/2018 9:04 | MOTIVO_CANCELAMENTO = ok!!..... Liberado!!
11/05/2018 11:24 - ALEXANDRE | USUARIO = 10837 | CI = 24528 | STATUS = 3 | DATA = 11/05/2018 11:24 | MOTIVO_CANCELAMENTO = 
11/05/2018 12:01 - TADEUMACHADO | USUARIO = 11594 | CI = 24526 | STATUS = 3 | DATA = 11/05/2018 12:01 | MOTIVO_CANCELAMENTO = 
11/05/2018 12:08 - ACIR | USUARIO = 10839 | CI = 24514 | STATUS = 7 | DATA = 11/05/2018 12:08 | MOTIVO_CANCELAMENTO = 
11/05/2018 12:09 - ACIR | USUARIO = 10839 | CI = 24523 | STATUS = 7 | DATA = 11/05/2018 12:09 | MOTIVO_CANCELAMENTO = 
11/05/2018 12:09 - ACIR | USUARIO = 10839 | CI = 24519 | STATUS = 3 | DATA = 11/05/2018 12:09 | MOTIVO_CANCELAMENTO = 
11/05/2018 12:09 - ACIR | USUARIO = 10839 | CI = 24504 | STATUS = 7 | DATA = 11/05/2018 12:09 | MOTIVO_CANCELAMENTO = 
11/05/2018 13:37 - CAMARA | USUARIO = 10841 | CI = 24504 | STATUS = 3 | DATA = 11/05/2018 13:37 | MOTIVO_CANCELAMENTO = 
11/05/2018 13:37 - CAMARA | USUARIO = 10841 | CI = 24523 | STATUS = 3 | DATA = 11/05/2018 13:37 | MOTIVO_CANCELAMENTO = 
11/05/2018 14:03 - JT | USUARIO = 10823 | CI = 24530 | STATUS = 7 | DATA = 11/05/2018 14:03 | MOTIVO_CANCELAMENTO = 
11/05/2018 14:03 - JT | USUARIO = 10823 | CI = 24530 | STATUS = 3 | DATA = 11/05/2018 14:03 | MOTIVO_CANCELAMENTO = 
12/05/2018 08:34 - MARCIO | USUARIO = 10850 | CI = 24534 | STATUS = 3 | DATA = 12/05/2018 8:34 | MOTIVO_CANCELAMENTO = 
14/05/2018 08:21 - OSNY | USUARIO = 10826 | CI = 24517 | STATUS = 7 | DATA = 14/05/2018 8:20 | MOTIVO_CANCELAMENTO = 
14/05/2018 10:14 - TADEUMACHADO | USUARIO = 11594 | CI = 24535 | STATUS = 3 | DATA = 14/05/2018 10:14 | MOTIVO_CANCELAMENTO = 
14/05/2018 10:23 - DOUGLAS | USUARIO = 11530 | CI = 24517 | STATUS = 3 | DATA = 14/05/2018 10:23 | MOTIVO_CANCELAMENTO = 
14/05/2018 10:30 - HEBERTLUCIO | USUARIO = 11635 | CI = 24527 | STATUS = 3 | DATA = 14/05/2018 10:30 | MOTIVO_CANCELAMENTO = 
14/05/2018 10:31 - HEBERTLUCIO | USUARIO = 11635 | CI = 24529 | STATUS = 3 | DATA = 14/05/2018 10:31 | MOTIVO_CANCELAMENTO = 
14/05/2018 10:31 - HEBERTLUCIO | USUARIO = 11635 | CI = 24536 | STATUS = 3 | DATA = 14/05/2018 10:31 | MOTIVO_CANCELAMENTO = 
