02/07/2018 08:09 - ACIR | USUARIO = 10839 | CI = 24804 | STATUS = 7 | DATA = 02/07/2018 8:09 | MOTIVO_CANCELAMENTO = 
02/07/2018 08:09 - ACIR | USUARIO = 10839 | CI = 24804 | STATUS = 3 | DATA = 02/07/2018 8:09 | MOTIVO_CANCELAMENTO = 
02/07/2018 11:29 - DOUGLAS | USUARIO = 11530 | CI = 24807 | STATUS = 3 | DATA = 02/07/2018 11:29 | MOTIVO_CANCELAMENTO = 
02/07/2018 12:52 - ZEZE | USUARIO = 10931 | CI = 24808 | STATUS = 7 | DATA = 02/07/2018 12:52 | MOTIVO_CANCELAMENTO = 
02/07/2018 12:52 - ZEZE | USUARIO = 10931 | CI = 24808 | STATUS = 3 | DATA = 02/07/2018 12:52 | MOTIVO_CANCELAMENTO = 
02/07/2018 13:20 - HEBERTLUCIO | USUARIO = 11635 | CI = 24782 | STATUS = 3 | DATA = 02/07/2018 13:20 | MOTIVO_CANCELAMENTO = 
02/07/2018 13:20 - HEBERTLUCIO | USUARIO = 11635 | CI = 24796 | STATUS = 3 | DATA = 02/07/2018 13:20 | MOTIVO_CANCELAMENTO = 
02/07/2018 13:20 - HEBERTLUCIO | USUARIO = 11635 | CI = 24802 | STATUS = 3 | DATA = 02/07/2018 13:20 | MOTIVO_CANCELAMENTO = 
02/07/2018 13:26 - LUIDE | USUARIO = 10836 | CI = 24790 | STATUS = 3 | DATA = 02/07/2018 13:26 | MOTIVO_CANCELAMENTO = 
02/07/2018 13:27 - LUIDE | USUARIO = 10836 | CI = 24809 | STATUS = 7 | DATA = 02/07/2018 13:27 | MOTIVO_CANCELAMENTO = 
02/07/2018 13:50 - LUIDE | USUARIO = 10836 | CI = 24810 | STATUS = 7 | DATA = 02/07/2018 13:50 | MOTIVO_CANCELAMENTO = 
02/07/2018 13:51 - LUIDE | USUARIO = 10836 | CI = 24811 | STATUS = 7 | DATA = 02/07/2018 13:51 | MOTIVO_CANCELAMENTO = 
02/07/2018 15:27 - AREIAS | USUARIO = 10997 | CI = 24799 | STATUS = 3 | DATA = 02/07/2018 15:27 | MOTIVO_CANCELAMENTO = 
02/07/2018 15:27 - AREIAS | USUARIO = 10997 | CI = 24812 | STATUS = 7 | DATA = 02/07/2018 15:27 | MOTIVO_CANCELAMENTO = 
02/07/2018 15:27 - AREIAS | USUARIO = 10997 | CI = 24812 | STATUS = 3 | DATA = 02/07/2018 15:27 | MOTIVO_CANCELAMENTO = 
02/07/2018 15:27 - AREIAS | USUARIO = 10997 | CI = 24813 | STATUS = 7 | DATA = 02/07/2018 15:27 | MOTIVO_CANCELAMENTO = 
02/07/2018 15:28 - AREIAS | USUARIO = 10997 | CI = 24814 | STATUS = 7 | DATA = 02/07/2018 15:28 | MOTIVO_CANCELAMENTO = 
02/07/2018 15:28 - AREIAS | USUARIO = 10997 | CI = 24815 | STATUS = 7 | DATA = 02/07/2018 15:28 | MOTIVO_CANCELAMENTO = 
02/07/2018 16:09 - DOUGLAS | USUARIO = 11530 | CI = 24814 | STATUS = 3 | DATA = 02/07/2018 16:09 | MOTIVO_CANCELAMENTO = 
03/07/2018 07:46 - MARCIO | USUARIO = 10850 | CI = 24803 | STATUS = 7 | DATA = 03/07/2018 7:46 | MOTIVO_CANCELAMENTO = 
03/07/2018 08:24 - ACIR | USUARIO = 10839 | CI = 24803 | STATUS = 3 | DATA = 03/07/2018 8:24 | MOTIVO_CANCELAMENTO = 
03/07/2018 08:42 - JOAOROGANTE | USUARIO = 6966 | CI = 24763 | STATUS = 7 | DATA = 03/07/2018 8:42 | MOTIVO_CANCELAMENTO = 
03/07/2018 08:42 - JOAOROGANTE | USUARIO = 6966 | CI = 24763 | STATUS = 3 | DATA = 03/07/2018 8:42 | MOTIVO_CANCELAMENTO = 
03/07/2018 11:14 - ZEZE | USUARIO = 10931 | CI = 24818 | STATUS = 3 | DATA = 03/07/2018 11:14 | MOTIVO_CANCELAMENTO = 
03/07/2018 12:34 - JT | USUARIO = 10823 | CI = 24813 | STATUS = 3 | DATA = 03/07/2018 12:34 | MOTIVO_CANCELAMENTO = 
03/07/2018 12:35 - JT | USUARIO = 10823 | CI = 24817 | STATUS = 7 | DATA = 03/07/2018 12:35 | MOTIVO_CANCELAMENTO = 
03/07/2018 15:23 - JT | USUARIO = 10823 | CI = 24820 | STATUS = 7 | DATA = 03/07/2018 15:23 | MOTIVO_CANCELAMENTO = 
03/07/2018 15:54 - HEBERTLUCIO | USUARIO = 11635 | CI = 24816 | STATUS = 3 | DATA = 03/07/2018 15:54 | MOTIVO_CANCELAMENTO = 
03/07/2018 15:54 - HEBERTLUCIO | USUARIO = 11635 | CI = 24819 | STATUS = 3 | DATA = 03/07/2018 15:54 | MOTIVO_CANCELAMENTO = 
03/07/2018 15:54 - HEBERTLUCIO | USUARIO = 11635 | CI = 24820 | STATUS = 3 | DATA = 03/07/2018 15:54 | MOTIVO_CANCELAMENTO = 
04/07/2018 07:30 - ELISSANDRA | USUARIO = 10851 | CI = 24809 | STATUS = 5 | DATA = 04/07/2018 7:30 | MOTIVO_CANCELAMENTO = CENCELAMENTO DE CI 24809
04/07/2018 08:04 - DOUGLAS | USUARIO = 11530 | CI = 24810 | STATUS = 3 | DATA = 04/07/2018 8:04 | MOTIVO_CANCELAMENTO = 
04/07/2018 08:04 - DOUGLAS | USUARIO = 11530 | CI = 24811 | STATUS = 3 | DATA = 04/07/2018 8:04 | MOTIVO_CANCELAMENTO = 
04/07/2018 09:26 - JT | USUARIO = 10823 | CI = 24821 | STATUS = 7 | DATA = 04/07/2018 9:26 | MOTIVO_CANCELAMENTO = 
04/07/2018 09:26 - JT | USUARIO = 10823 | CI = 24821 | STATUS = 3 | DATA = 04/07/2018 9:26 | MOTIVO_CANCELAMENTO = 
04/07/2018 10:18 - MARCIO | USUARIO = 10850 | CI = 24822 | STATUS = 3 | DATA = 04/07/2018 10:18 | MOTIVO_CANCELAMENTO = 
04/07/2018 11:28 - ALEXANDRE | USUARIO = 10837 | CI = 24806 | STATUS = 3 | DATA = 04/07/2018 11:28 | MOTIVO_CANCELAMENTO = Ok
04/07/2018 11:58 - FERNANDO | USUARIO = 10842 | CI = 24826 | STATUS = 3 | DATA = 04/07/2018 11:58 | MOTIVO_CANCELAMENTO = 
04/07/2018 12:04 - ANITA | USUARIO = 11002 | CI = 24824 | STATUS = 3 | DATA = 04/07/2018 12:04 | MOTIVO_CANCELAMENTO = 
04/07/2018 13:30 - LUIDE | USUARIO = 10836 | CI = 24829 | STATUS = 5 | DATA = 04/07/2018 13:30 | MOTIVO_CANCELAMENTO = valor incorreto
04/07/2018 13:30 - LUIDE | USUARIO = 10836 | CI = 24830 | STATUS = 5 | DATA = 04/07/2018 13:30 | MOTIVO_CANCELAMENTO = valor incorreto
05/07/2018 08:12 - ROBERTO | USUARIO = 10845 | CI = 24828 | STATUS = 3 | DATA = 05/07/2018 8:12 | MOTIVO_CANCELAMENTO = 
05/07/2018 08:12 - ROBERTO | USUARIO = 10845 | CI = 24831 | STATUS = 3 | DATA = 05/07/2018 8:12 | MOTIVO_CANCELAMENTO = 
05/07/2018 08:12 - ROBERTO | USUARIO = 10845 | CI = 24832 | STATUS = 3 | DATA = 05/07/2018 8:12 | MOTIVO_CANCELAMENTO = 
05/07/2018 13:18 - PARDAL | USUARIO = 10903 | CI = 24842 | STATUS = 3 | DATA = 05/07/2018 13:18 | MOTIVO_CANCELAMENTO = SERVIÇO DE MANUTENÇÃO NA PLOTTER D SETOR DE PROJETOS.
05/07/2018 13:43 - THIAGO | USUARIO = 10892 | CI = 24837 | STATUS = 3 | DATA = 05/07/2018 13:43 | MOTIVO_CANCELAMENTO = 
