01/04/2019 07:24 - CAMARA | USUARIO = 10841 | CI = 26981 | STATUS = 3 | DATA = 01/04/2019 7:24 | MOTIVO_CANCELAMENTO = 
01/04/2019 07:53 - MARCIO | USUARIO = 10850 | CI = 26983 | STATUS = 7 | DATA = 01/04/2019 7:53 | MOTIVO_CANCELAMENTO = 
01/04/2019 07:53 - MARCIO | USUARIO = 10850 | CI = 26983 | STATUS = 3 | DATA = 01/04/2019 7:53 | MOTIVO_CANCELAMENTO = 
01/04/2019 08:08 - LUIDE | USUARIO = 10836 | CI = 26982 | STATUS = 7 | DATA = 01/04/2019 8:08 | MOTIVO_CANCELAMENTO = 
01/04/2019 09:03 - JENS | USUARIO = 10895 | CI = 26984 | STATUS = 3 | DATA = 01/04/2019 9:03 | MOTIVO_CANCELAMENTO = 
01/04/2019 10:33 - CAMARA | USUARIO = 10841 | CI = 26988 | STATUS = 3 | DATA = 01/04/2019 10:33 | MOTIVO_CANCELAMENTO = 
01/04/2019 10:34 - DOUGLAS | USUARIO = 11530 | CI = 26982 | STATUS = 3 | DATA = 01/04/2019 10:34 | MOTIVO_CANCELAMENTO = 
01/04/2019 10:37 - CAMARA | USUARIO = 10841 | CI = 26985 | STATUS = 7 | DATA = 01/04/2019 10:37 | MOTIVO_CANCELAMENTO = 
01/04/2019 10:37 - CAMARA | USUARIO = 10841 | CI = 26985 | STATUS = 3 | DATA = 01/04/2019 10:37 | MOTIVO_CANCELAMENTO = 
01/04/2019 11:17 - BRUNOCAMAROTTI | USUARIO = 11392 | CI = 26986 | STATUS = 7 | DATA = 01/04/2019 11:17 | MOTIVO_CANCELAMENTO = 
01/04/2019 11:41 - ALEXANDRE | USUARIO = 10837 | CI = 26980 | STATUS = 7 | DATA = 01/04/2019 11:41 | MOTIVO_CANCELAMENTO = 
01/04/2019 11:41 - ALEXANDRE | USUARIO = 10837 | CI = 26980 | STATUS = 3 | DATA = 01/04/2019 11:41 | MOTIVO_CANCELAMENTO = 
01/04/2019 12:04 - DOUGLAS | USUARIO = 11530 | CI = 26989 | STATUS = 3 | DATA = 01/04/2019 12:04 | MOTIVO_CANCELAMENTO = 
01/04/2019 13:16 - HEBERTLUCIO | USUARIO = 11635 | CI = 26991 | STATUS = 3 | DATA = 01/04/2019 13:16 | MOTIVO_CANCELAMENTO = 
01/04/2019 13:16 - HEBERTLUCIO | USUARIO = 11635 | CI = 26993 | STATUS = 3 | DATA = 01/04/2019 13:16 | MOTIVO_CANCELAMENTO = 
01/04/2019 13:39 - JT | USUARIO = 10823 | CI = 26992 | STATUS = 7 | DATA = 01/04/2019 13:39 | MOTIVO_CANCELAMENTO = 
01/04/2019 13:39 - JT | USUARIO = 10823 | CI = 26992 | STATUS = 3 | DATA = 01/04/2019 13:39 | MOTIVO_CANCELAMENTO = 
01/04/2019 13:46 - CAMARA | USUARIO = 10841 | CI = 26990 | STATUS = 3 | DATA = 01/04/2019 13:46 | MOTIVO_CANCELAMENTO = 
01/04/2019 13:49 - AREIAS | USUARIO = 10997 | CI = 26994 | STATUS = 3 | DATA = 01/04/2019 13:49 | MOTIVO_CANCELAMENTO = 
01/04/2019 13:55 - OSNY | USUARIO = 10826 | CI = 26986 | STATUS = 3 | DATA = 01/04/2019 13:55 | MOTIVO_CANCELAMENTO = 
01/04/2019 14:21 - MARTA | USUARIO = 10847 | CI = 26995 | STATUS = 3 | DATA = 01/04/2019 14:21 | MOTIVO_CANCELAMENTO = Aprovado.
01/04/2019 15:15 - DOUGLAS | USUARIO = 11530 | CI = 26997 | STATUS = 7 | DATA = 01/04/2019 15:15 | MOTIVO_CANCELAMENTO = 
01/04/2019 15:15 - DOUGLAS | USUARIO = 11530 | CI = 26997 | STATUS = 3 | DATA = 01/04/2019 15:15 | MOTIVO_CANCELAMENTO = 
01/04/2019 17:39 - ZEZE | USUARIO = 10931 | CI = 26998 | STATUS = 7 | DATA = 01/04/2019 17:39 | MOTIVO_CANCELAMENTO = 
01/04/2019 17:39 - ZEZE | USUARIO = 10931 | CI = 26998 | STATUS = 3 | DATA = 01/04/2019 17:39 | MOTIVO_CANCELAMENTO = 
02/04/2019 11:14 - HEBERTLUCIO | USUARIO = 11635 | CI = 27000 | STATUS = 3 | DATA = 02/04/2019 11:14 | MOTIVO_CANCELAMENTO = 
02/04/2019 11:14 - HEBERTLUCIO | USUARIO = 11635 | CI = 27001 | STATUS = 3 | DATA = 02/04/2019 11:14 | MOTIVO_CANCELAMENTO = 
02/04/2019 11:34 - MARCIO | USUARIO = 10850 | CI = 27002 | STATUS = 3 | DATA = 02/04/2019 11:34 | MOTIVO_CANCELAMENTO = 
