02/05/2019 07:53 - ANAGOBATO | USUARIO = 7049 | CI = 27240 | STATUS = 7 | DATA = 02/05/2019 7:53 | MOTIVO_CANCELAMENTO = 
02/05/2019 08:00 - CAMARA | USUARIO = 10841 | CI = 27235 | STATUS = 3 | DATA = 02/05/2019 8:00 | MOTIVO_CANCELAMENTO = 
02/05/2019 08:11 - JENS | USUARIO = 10895 | CI = 27241 | STATUS = 3 | DATA = 02/05/2019 8:11 | MOTIVO_CANCELAMENTO = 
02/05/2019 08:11 - JENS | USUARIO = 10895 | CI = 27239 | STATUS = 3 | DATA = 02/05/2019 8:11 | MOTIVO_CANCELAMENTO = 
02/05/2019 10:23 - BRUNOCAMAROTTI | USUARIO = 11392 | CI = 27243 | STATUS = 7 | DATA = 02/05/2019 10:23 | MOTIVO_CANCELAMENTO = 
02/05/2019 11:02 - HEBERTLUCIO | USUARIO = 11635 | CI = 27245 | STATUS = 3 | DATA = 02/05/2019 11:02 | MOTIVO_CANCELAMENTO = CONTRATO ESTÁ COM A RACINE AGUARDANDO RETORNO ASSINADO
02/05/2019 11:33 - JENS | USUARIO = 10895 | CI = 27246 | STATUS = 3 | DATA = 02/05/2019 11:33 | MOTIVO_CANCELAMENTO = 
02/05/2019 11:52 - TADEUMACHADO | USUARIO = 11594 | CI = 27247 | STATUS = 3 | DATA = 02/05/2019 11:52 | MOTIVO_CANCELAMENTO = 
02/05/2019 13:18 - TADEUMACHADO | USUARIO = 11594 | CI = 27248 | STATUS = 3 | DATA = 02/05/2019 13:18 | MOTIVO_CANCELAMENTO = Recebi a informação da portaria (Valquiria) que a documentação referente a segurança do trabalho está correta. A Vivo não fornece a minuta de seus subcontratados. Já solicitamos por diversas, mas a empresa alega que por questões de sigilo de contrato, não pode fornece-lo.
02/05/2019 14:43 - HEBERTLUCIO | USUARIO = 11635 | CI = 27249 | STATUS = 3 | DATA = 02/05/2019 14:43 | MOTIVO_CANCELAMENTO = CONTRATO ENCONTRA-SE ASSINADO, PENDENTE ASSINATURA DA DIRETORIA DA USINA SANTA FE
02/05/2019 15:22 - CAMARA | USUARIO = 10841 | CI = 27250 | STATUS = 3 | DATA = 02/05/2019 15:22 | MOTIVO_CANCELAMENTO = 
02/05/2019 15:43 - LUIDE | USUARIO = 10836 | CI = 27213 | STATUS = 7 | DATA = 02/05/2019 15:43 | MOTIVO_CANCELAMENTO = 
02/05/2019 15:43 - LUIDE | USUARIO = 10836 | CI = 27240 | STATUS = 3 | DATA = 02/05/2019 15:43 | MOTIVO_CANCELAMENTO = 
02/05/2019 15:44 - LUIDE | USUARIO = 10836 | CI = 27243 | STATUS = 3 | DATA = 02/05/2019 15:44 | MOTIVO_CANCELAMENTO = 
02/05/2019 15:52 - DOUGLAS | USUARIO = 11530 | CI = 27213 | STATUS = 3 | DATA = 02/05/2019 15:52 | MOTIVO_CANCELAMENTO = 
03/05/2019 08:14 - ZEZE | USUARIO = 10931 | CI = 27242 | STATUS = 7 | DATA = 03/05/2019 8:14 | MOTIVO_CANCELAMENTO = 
03/05/2019 08:14 - ZEZE | USUARIO = 10931 | CI = 27242 | STATUS = 3 | DATA = 03/05/2019 8:14 | MOTIVO_CANCELAMENTO = 
03/05/2019 08:14 - ZEZE | USUARIO = 10931 | CI = 27244 | STATUS = 7 | DATA = 03/05/2019 8:14 | MOTIVO_CANCELAMENTO = 
03/05/2019 08:14 - ZEZE | USUARIO = 10931 | CI = 27244 | STATUS = 3 | DATA = 03/05/2019 8:14 | MOTIVO_CANCELAMENTO = 
03/05/2019 08:27 - MARCIO | USUARIO = 10850 | CI = 27252 | STATUS = 3 | DATA = 03/05/2019 8:27 | MOTIVO_CANCELAMENTO = 
03/05/2019 08:49 - HEBERTLUCIO | USUARIO = 11635 | CI = 27253 | STATUS = 3 | DATA = 03/05/2019 8:49 | MOTIVO_CANCELAMENTO = O CONTRATO ESTÁ EM PROCESSO
03/05/2019 09:59 - REGI | USUARIO = 10864 | CI = 27236 | STATUS = 4 | DATA = 03/05/2019 9:59 | MOTIVO_CANCELAMENTO = pessoal sem integração e sem documento!!
03/05/2019 13:01 - HEBERTLUCIO | USUARIO = 11635 | CI = 27254 | STATUS = 3 | DATA = 03/05/2019 13:01 | MOTIVO_CANCELAMENTO = 
03/05/2019 13:05 - MARCIO | USUARIO = 10850 | CI = 27255 | STATUS = 3 | DATA = 03/05/2019 13:05 | MOTIVO_CANCELAMENTO = 
03/05/2019 13:42 - AREIAS | USUARIO = 10997 | CI = 27256 | STATUS = 7 | DATA = 03/05/2019 13:42 | MOTIVO_CANCELAMENTO = 
03/05/2019 14:01 - DOUGLAS | USUARIO = 11530 | CI = 27256 | STATUS = 3 | DATA = 03/05/2019 14:01 | MOTIVO_CANCELAMENTO = 
03/05/2019 15:25 - JENS | USUARIO = 10895 | CI = 27260 | STATUS = 3 | DATA = 03/05/2019 15:25 | MOTIVO_CANCELAMENTO = 
03/05/2019 17:08 - FERNANDO | USUARIO = 10842 | CI = 27263 | STATUS = 3 | DATA = 03/05/2019 17:08 | MOTIVO_CANCELAMENTO = 
03/05/2019 18:29 - ROBERTA | USUARIO = 10935 | CI = 27251 | STATUS = 3 | DATA = 03/05/2019 18:29 | MOTIVO_CANCELAMENTO = 
03/05/2019 18:54 - ANITA | USUARIO = 11002 | CI = 27261 | STATUS = 3 | DATA = 03/05/2019 18:54 | MOTIVO_CANCELAMENTO = 
04/05/2019 08:03 - ROBERTO | USUARIO = 10845 | CI = 27265 | STATUS = 3 | DATA = 04/05/2019 8:03 | MOTIVO_CANCELAMENTO = 
04/05/2019 14:03 - HEBERTLUCIO | USUARIO = 11635 | CI = 27266 | STATUS = 3 | DATA = 04/05/2019 14:03 | MOTIVO_CANCELAMENTO = NAO FOI POSSIVEL FIRMAR CONTRATO COM A EMPRESA
06/05/2019 08:14 - JENS | USUARIO = 10895 | CI = 27267 | STATUS = 3 | DATA = 06/05/2019 8:14 | MOTIVO_CANCELAMENTO = 
06/05/2019 08:15 - JENS | USUARIO = 10895 | CI = 27268 | STATUS = 3 | DATA = 06/05/2019 8:15 | MOTIVO_CANCELAMENTO = 
06/05/2019 08:19 - JENS | USUARIO = 10895 | CI = 27269 | STATUS = 3 | DATA = 06/05/2019 8:19 | MOTIVO_CANCELAMENTO = 
06/05/2019 12:48 - MARCIO | USUARIO = 10850 | CI = 27271 | STATUS = 7 | DATA = 06/05/2019 12:48 | MOTIVO_CANCELAMENTO = 
06/05/2019 12:48 - MARCIO | USUARIO = 10850 | CI = 27271 | STATUS = 3 | DATA = 06/05/2019 12:48 | MOTIVO_CANCELAMENTO = 
06/05/2019 14:16 - LUIDE | USUARIO = 10836 | CI = 27257 | STATUS = 7 | DATA = 06/05/2019 14:15 | MOTIVO_CANCELAMENTO = 
06/05/2019 14:16 - LUIDE | USUARIO = 10836 | CI = 27258 | STATUS = 7 | DATA = 06/05/2019 14:16 | MOTIVO_CANCELAMENTO = 
06/05/2019 14:16 - LUIDE | USUARIO = 10836 | CI = 27259 | STATUS = 3 | DATA = 06/05/2019 14:16 | MOTIVO_CANCELAMENTO = 
06/05/2019 14:18 - LUIDE | USUARIO = 10836 | CI = 27272 | STATUS = 7 | DATA = 06/05/2019 14:18 | MOTIVO_CANCELAMENTO = 
06/05/2019 14:18 - LUIDE | USUARIO = 10836 | CI = 27272 | STATUS = 3 | DATA = 06/05/2019 14:18 | MOTIVO_CANCELAMENTO = 
06/05/2019 14:20 - HEBERTLUCIO | USUARIO = 11635 | CI = 27270 | STATUS = 3 | DATA = 06/05/2019 14:20 | MOTIVO_CANCELAMENTO = 
06/05/2019 14:22 - DOUGLAS | USUARIO = 11530 | CI = 27257 | STATUS = 3 | DATA = 06/05/2019 14:22 | MOTIVO_CANCELAMENTO = ACC
06/05/2019 14:22 - DOUGLAS | USUARIO = 11530 | CI = 27258 | STATUS = 3 | DATA = 06/05/2019 14:22 | MOTIVO_CANCELAMENTO = 
06/05/2019 16:38 - CAMARA | USUARIO = 10841 | CI = 27273 | STATUS = 3 | DATA = 06/05/2019 16:38 | MOTIVO_CANCELAMENTO = 
07/05/2019 07:52 - TADEUMACHADO | USUARIO = 11594 | CI = 27275 | STATUS = 7 | DATA = 07/05/2019 7:52 | MOTIVO_CANCELAMENTO = 
07/05/2019 07:52 - TADEUMACHADO | USUARIO = 11594 | CI = 27275 | STATUS = 3 | DATA = 07/05/2019 7:52 | MOTIVO_CANCELAMENTO = 
07/05/2019 10:11 - HEBERTLUCIO | USUARIO = 11635 | CI = 27276 | STATUS = 3 | DATA = 07/05/2019 10:11 | MOTIVO_CANCELAMENTO = 
07/05/2019 10:23 - MARCIO | USUARIO = 10850 | CI = 27277 | STATUS = 7 | DATA = 07/05/2019 10:23 | MOTIVO_CANCELAMENTO = 
07/05/2019 11:33 - DOUGLAS | USUARIO = 11530 | CI = 27277 | STATUS = 3 | DATA = 07/05/2019 11:33 | MOTIVO_CANCELAMENTO = 
07/05/2019 16:30 - CAMARA | USUARIO = 10841 | CI = 27279 | STATUS = 3 | DATA = 07/05/2019 16:30 | MOTIVO_CANCELAMENTO = 
08/05/2019 08:45 - GUSTAVOGIRO | USUARIO = 6963 | CI = 27284 | STATUS = 7 | DATA = 08/05/2019 8:45 | MOTIVO_CANCELAMENTO = 
08/05/2019 08:45 - GUSTAVOGIRO | USUARIO = 6963 | CI = 27284 | STATUS = 3 | DATA = 08/05/2019 8:45 | MOTIVO_CANCELAMENTO = 
08/05/2019 11:18 - ZEZE | USUARIO = 10931 | CI = 27274 | STATUS = 7 | DATA = 08/05/2019 11:18 | MOTIVO_CANCELAMENTO = 
08/05/2019 11:18 - ZEZE | USUARIO = 10931 | CI = 27274 | STATUS = 3 | DATA = 08/05/2019 11:18 | MOTIVO_CANCELAMENTO = 
08/05/2019 11:18 - ZEZE | USUARIO = 10931 | CI = 27285 | STATUS = 7 | DATA = 08/05/2019 11:18 | MOTIVO_CANCELAMENTO = 
08/05/2019 11:18 - ZEZE | USUARIO = 10931 | CI = 27285 | STATUS = 3 | DATA = 08/05/2019 11:18 | MOTIVO_CANCELAMENTO = 
08/05/2019 11:19 - ZEZE | USUARIO = 10931 | CI = 27286 | STATUS = 7 | DATA = 08/05/2019 11:19 | MOTIVO_CANCELAMENTO = 
08/05/2019 11:19 - ZEZE | USUARIO = 10931 | CI = 27286 | STATUS = 3 | DATA = 08/05/2019 11:19 | MOTIVO_CANCELAMENTO = 
08/05/2019 11:19 - ZEZE | USUARIO = 10931 | CI = 27287 | STATUS = 7 | DATA = 08/05/2019 11:19 | MOTIVO_CANCELAMENTO = 
08/05/2019 11:19 - ZEZE | USUARIO = 10931 | CI = 27287 | STATUS = 3 | DATA = 08/05/2019 11:19 | MOTIVO_CANCELAMENTO = 
08/05/2019 11:19 - ZEZE | USUARIO = 10931 | CI = 27288 | STATUS = 7 | DATA = 08/05/2019 11:19 | MOTIVO_CANCELAMENTO = 
08/05/2019 11:19 - ZEZE | USUARIO = 10931 | CI = 27288 | STATUS = 3 | DATA = 08/05/2019 11:19 | MOTIVO_CANCELAMENTO = 
08/05/2019 12:13 - DOUGLAS | USUARIO = 11530 | CI = 27291 | STATUS = 3 | DATA = 08/05/2019 12:13 | MOTIVO_CANCELAMENTO = 
08/05/2019 12:22 - GENAILDOTORRES | USUARIO = 7046 | CI = 27289 | STATUS = 7 | DATA = 08/05/2019 12:22 | MOTIVO_CANCELAMENTO = 
08/05/2019 12:22 - GENAILDOTORRES | USUARIO = 7046 | CI = 27289 | STATUS = 3 | DATA = 08/05/2019 12:22 | MOTIVO_CANCELAMENTO = 
08/05/2019 13:31 - MARCIO | USUARIO = 10850 | CI = 27294 | STATUS = 3 | DATA = 08/05/2019 13:31 | MOTIVO_CANCELAMENTO = 
08/05/2019 13:59 - DOUGLAS | USUARIO = 11530 | CI = 27295 | STATUS = 7 | DATA = 08/05/2019 13:59 | MOTIVO_CANCELAMENTO = 
08/05/2019 13:59 - DOUGLAS | USUARIO = 11530 | CI = 27295 | STATUS = 3 | DATA = 08/05/2019 13:59 | MOTIVO_CANCELAMENTO = 
08/05/2019 16:05 - MARCIO | USUARIO = 10850 | CI = 27296 | STATUS = 3 | DATA = 08/05/2019 16:05 | MOTIVO_CANCELAMENTO = 
09/05/2019 09:21 - MARTA | USUARIO = 10847 | CI = 27299 | STATUS = 3 | DATA = 09/05/2019 9:21 | MOTIVO_CANCELAMENTO = aprovado.
09/05/2019 09:57 - JOAOROGANTE | USUARIO = 6966 | CI = 27302 | STATUS = 3 | DATA = 09/05/2019 9:57 | MOTIVO_CANCELAMENTO = 
09/05/2019 09:57 - JOAOROGANTE | USUARIO = 6966 | CI = 27283 | STATUS = 3 | DATA = 09/05/2019 9:57 | MOTIVO_CANCELAMENTO = 
