03/05/2016 07:56 - LUZMARINA | ID =  | CI = 15729 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 16.70
03/05/2016 10:58 - FRANCISCO | ID =  | CI = 15731 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 146.04
03/05/2016 10:58 - FRANCISCO | ID =  | CI = 15731 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 146.40
03/05/2016 10:58 - FRANCISCO | ID =  | CI = 15731 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 68.35
03/05/2016 10:58 - FRANCISCO | ID =  | CI = 15731 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 210.00
03/05/2016 11:52 - NORIVAL | ID =  | CI = 15732 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 22.00
04/05/2016 13:50 - NORIVAL | ID =  | CI = 15768 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 20.00
05/05/2016 15:56 - FRANCISCO | ID =  | CI = 15790 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 26.75
07/05/2016 08:42 - LARISSALIMA | ID =  | CI = 15806 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 50.04
07/05/2016 08:42 - LARISSALIMA | ID =  | CI = 15806 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 4.30
07/05/2016 08:42 - LARISSALIMA | ID =  | CI = 15806 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 32.90
09/05/2016 08:21 - NORIVAL | ID =  | CI = 15808 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 25.20
09/05/2016 10:41 - NORIVAL | ID =  | CI = 15814 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 20.00
09/05/2016 10:41 - NORIVAL | ID =  | CI = 15814 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 25.20
10/05/2016 08:59 - FRANCISCO | ID =  | CI = 15825 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 135.00
10/05/2016 08:59 - FRANCISCO | ID =  | CI = 15825 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 88.30
