01/11/2016 08:09 - DONIZETE | ID =  | CI = 18038 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 27.49
01/11/2016 08:09 - DONIZETE | ID =  | CI = 18038 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 113.00
01/11/2016 08:29 - DONIZETE | ID = 14228 | CI = 18038 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 27.49
01/11/2016 08:29 - DONIZETE | ID = 14229 | CI = 18038 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 113.00
01/11/2016 08:37 - SANDRA | ID =  | CI = 18041 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 274.10
01/11/2016 10:07 - RONALDOGOMES | ID =  | CI = 18045 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 82.00
01/11/2016 10:07 - RONALDOGOMES | ID =  | CI = 18045 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 58.40
01/11/2016 11:22 - RONALDOGOMES | ID =  | CI = 18050 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 82.00
01/11/2016 11:22 - RONALDOGOMES | ID =  | CI = 18050 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 58.40
01/11/2016 13:54 - MATHEUSUZELOTTO | ID =  | CI = 18056 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 60.00
01/11/2016 13:54 - MATHEUSUZELOTTO | ID =  | CI = 18056 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 30.00
03/11/2016 09:10 - FRANCISCO | ID =  | CI = 18068 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 145.02
03/11/2016 09:10 - FRANCISCO | ID =  | CI = 18068 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 69.08
03/11/2016 09:14 - FRANCISCO | ID =  | CI = 18069 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 75.00
03/11/2016 09:24 - FRANCISCO | ID =  | CI = 18072 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 18.00
04/11/2016 07:42 - LUZMARINA | ID =  | CI = 18095 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 18.35
04/11/2016 09:43 - NORIVAL | ID =  | CI = 18097 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 300.00
04/11/2016 11:17 - MARIANACAMPOS | ID =  | CI = 18106 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 55.56
04/11/2016 11:17 - MARIANACAMPOS | ID =  | CI = 18106 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 31.00
07/11/2016 15:26 - STEFANIAESTEVO | ID =  | CI = 18120 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 106.06
07/11/2016 15:32 - STEFANIAESTEVO | ID =  | CI = 18122 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 38.80
07/11/2016 17:31 - NORIVAL | ID =  | CI = 18131 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 205.07
07/11/2016 17:31 - NORIVAL | ID =  | CI = 18131 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 123.00
08/11/2016 10:00 - MICHELAAUGUSTO | ID =  | CI = 18137 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 62.00
08/11/2016 10:00 - MICHELAAUGUSTO | ID =  | CI = 18137 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 336.20
08/11/2016 10:00 - MICHELAAUGUSTO | ID =  | CI = 18137 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 430.35
08/11/2016 10:00 - MICHELAAUGUSTO | ID =  | CI = 18137 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 900.00
08/11/2016 11:32 - FRANCISCO | ID =  | CI = 18139 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 90.00
08/11/2016 11:32 - FRANCISCO | ID =  | CI = 18139 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 78.74
08/11/2016 11:32 - FRANCISCO | ID =  | CI = 18139 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 148.00
08/11/2016 13:00 - NORIVAL | ID =  | CI = 18144 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 30.17
09/11/2016 08:23 - MARTA | ID =  | CI = 18154 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 39.90
09/11/2016 08:23 - MARTA | ID =  | CI = 18154 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
09/11/2016 10:26 - FRANCISCO | ID =  | CI = 18160 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 80.00
09/11/2016 10:26 - FRANCISCO | ID =  | CI = 18160 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 130.10
09/11/2016 10:26 - FRANCISCO | ID =  | CI = 18160 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 74.95
09/11/2016 10:26 - FRANCISCO | ID =  | CI = 18160 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 115.00
09/11/2016 14:52 - FRANCISCO | ID =  | CI = 18167 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 34.50
10/11/2016 07:28 - KLEBER | ID =  | CI = 18170 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 0.00
10/11/2016 07:28 - KLEBER | ID =  | CI = 18170 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 0.00
10/11/2016 07:28 - KLEBER | ID =  | CI = 18170 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 58.00
10/11/2016 07:28 - KLEBER | ID =  | CI = 18170 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
10/11/2016 07:28 - KLEBER | ID =  | CI = 18170 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
10/11/2016 07:28 - KLEBER | ID =  | CI = 18170 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
10/11/2016 08:40 - MARIANACAMPOS | ID =  | CI = 18171 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 57.00
10/11/2016 08:40 - MARIANACAMPOS | ID =  | CI = 18171 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 15.50
10/11/2016 08:42 - MARIANACAMPOS | ID = 14354 | CI = 18171 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 57.00
10/11/2016 08:42 - MARIANACAMPOS | ID = 14355 | CI = 18171 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 15.50
10/11/2016 14:06 - MICHELAAUGUSTO | ID =  | CI = 18177 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 50.18
