01/12/2017 09:18 - MARTA | ID =  | CI = 22839 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 4.00
01/12/2017 09:18 - MARTA | ID =  | CI = 22839 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 70.00
01/12/2017 09:18 - MARTA | ID =  | CI = 22839 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
01/12/2017 09:18 - MARTA | ID =  | CI = 22839 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
01/12/2017 11:02 - LUZMARINA | ID =  | CI = 22846 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 19.00
02/12/2017 08:13 - NORIVAL | ID =  | CI = 22853 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 40.40
02/12/2017 08:13 - NORIVAL | ID =  | CI = 22853 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 16.00
04/12/2017 08:20 - OSVALDOFLORES | ID =  | CI = 22858 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 863.50
04/12/2017 08:20 - OSVALDOFLORES | ID =  | CI = 22858 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 164.20
04/12/2017 08:20 - OSVALDOFLORES | ID =  | CI = 22858 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 82.73
04/12/2017 08:20 - OSVALDOFLORES | ID =  | CI = 22858 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
04/12/2017 08:20 - OSVALDOFLORES | ID =  | CI = 22858 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
04/12/2017 08:20 - OSVALDOFLORES | ID =  | CI = 22858 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
04/12/2017 08:50 - ROGERINHO | ID =  | CI = 22859 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 35.75
04/12/2017 08:50 - ROGERINHO | ID =  | CI = 22859 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 8.00
04/12/2017 09:02 - SANDRA | ID =  | CI = 22860 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 228.50
04/12/2017 14:59 - ANGELO | ID =  | CI = 22878 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 58.00
04/12/2017 14:59 - ANGELO | ID =  | CI = 22878 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 365.18
04/12/2017 14:59 - ANGELO | ID =  | CI = 22878 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 238.45
04/12/2017 14:59 - ANGELO | ID =  | CI = 22878 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 1000.00
04/12/2017 14:59 - NORIVAL | ID =  | CI = 22879 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 120.00
04/12/2017 18:04 - CAIOAUGUSTO | ID =  | CI = 22903 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 176.00
