02/04/2018 09:35 - FAUSTO | ID = 21768 | CI = 24108 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 60.10
02/04/2018 09:35 - FAUSTO | ID = 21769 | CI = 24108 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 194.20
02/04/2018 09:35 - FAUSTO | ID = 21770 | CI = 24108 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 600.00
02/04/2018 13:44 - LUZMARINA | ID =  | CI = 24237 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 95.01
02/04/2018 13:44 - LUZMARINA | ID =  | CI = 24237 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 62.59
04/04/2018 15:22 - STEFANIAESTEVO | ID =  | CI = 24259 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 54.00
04/04/2018 16:59 - LUZMARINA | ID =  | CI = 24262 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 17.50
05/04/2018 07:27 - LUZMARINA | ID =  | CI = 24263 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 234.59
05/04/2018 12:38 - NORIVAL | ID =  | CI = 24268 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 136.00
06/04/2018 07:45 - LUZMARINA | ID =  | CI = 24273 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 54.50
06/04/2018 08:33 - ERIC | ID =  | CI = 24274 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 0.00
06/04/2018 08:33 - ERIC | ID =  | CI = 24274 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 0.00
06/04/2018 08:33 - ERIC | ID =  | CI = 24274 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 182.00
06/04/2018 08:33 - ERIC | ID =  | CI = 24274 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 48.00
06/04/2018 08:33 - ERIC | ID =  | CI = 24274 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
06/04/2018 08:33 - ERIC | ID =  | CI = 24274 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
07/04/2018 16:12 - NORIVAL | ID =  | CI = 24279 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 107.01
07/04/2018 16:12 - NORIVAL | ID =  | CI = 24279 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 25.54
09/04/2018 07:19 - OTAVIOGIRO | ID =  | CI = 24281 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 100.00
09/04/2018 07:19 - OTAVIOGIRO | ID =  | CI = 24281 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 68.80
09/04/2018 07:35 - OTAVIOGIRO | ID =  | CI = 24282 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 264.55
