02/07/2018 08:03 - ANGELO | ID =  | CI = 24804 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 78.58
02/07/2018 08:03 - ANGELO | ID =  | CI = 24804 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 70.00
02/07/2018 08:03 - ANGELO | ID =  | CI = 24804 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 18.00
02/07/2018 08:03 - ANGELO | ID =  | CI = 24804 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 500.00
02/07/2018 08:26 - STEFANIAESTEVO | ID =  | CI = 24805 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 514.54
02/07/2018 09:23 - MARCOSROGERIO | ID =  | CI = 24806 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 132.70
02/07/2018 09:23 - MARCOSROGERIO | ID =  | CI = 24806 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
02/07/2018 09:23 - MARCOSROGERIO | ID =  | CI = 24806 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
02/07/2018 09:23 - MARCOSROGERIO | ID =  | CI = 24806 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
02/07/2018 15:07 - OTAVIOGIRO | ID =  | CI = 24812 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 49.98
02/07/2018 15:07 - OTAVIOGIRO | ID =  | CI = 24812 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 139.60
02/07/2018 15:10 - OTAVIOGIRO | ID =  | CI = 24813 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 101.67
02/07/2018 15:11 - OTAVIOGIRO | ID =  | CI = 24813 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 101.67
02/07/2018 15:11 - OTAVIOGIRO | ID = 23179 | CI = 24813 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 0.00
02/07/2018 15:13 - OTAVIOGIRO | ID =  | CI = 24814 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 35.50
02/07/2018 15:22 - OTAVIOGIRO | ID =  | CI = 24815 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 281.44
02/07/2018 15:22 - OTAVIOGIRO | ID =  | CI = 24815 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 108.40
03/07/2018 09:16 - NORIVAL | ID =  | CI = 24817 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 85.00
03/07/2018 12:41 - NORIVAL | ID =  | CI = 24820 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 70.00
04/07/2018 14:13 - OTAVIOGIRO | ID =  | CI = 24833 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 171.08
