01/10/2018 10:33 - MARCOSROGERIO | ID =  | CI = 25406 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 133.26
01/10/2018 10:33 - MARCOSROGERIO | ID =  | CI = 25406 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 5.00
01/10/2018 11:06 - OTAVIOGIRO | ID =  | CI = 25407 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 40.00
01/10/2018 11:32 - NORIVAL | ID =  | CI = 25408 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 55.51
02/10/2018 14:58 - NORIVAL | ID =  | CI = 25421 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 53.00
03/10/2018 10:52 - OTAVIOGIRO | ID =  | CI = 25430 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 70.00
03/10/2018 10:52 - OTAVIOGIRO | ID =  | CI = 25430 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 43.51
03/10/2018 10:56 - OTAVIOGIRO | ID =  | CI = 25431 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 124.00
03/10/2018 10:56 - OTAVIOGIRO | ID =  | CI = 25431 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 94.61
03/10/2018 11:02 - OTAVIOGIRO | ID =  | CI = 25432 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 80.00
03/10/2018 11:02 - OTAVIOGIRO | ID =  | CI = 25432 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 29.20
03/10/2018 11:02 - OTAVIOGIRO | ID =  | CI = 25432 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 12.00
03/10/2018 12:12 - NORIVAL | ID =  | CI = 25433 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 18.40
04/10/2018 13:22 - CAMACETI | ID =  | CI = 25442 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 93.38
04/10/2018 13:22 - CAMACETI | ID =  | CI = 25442 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 150.00
05/10/2018 10:27 - JENS | ID =  | CI = 25458 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 36.40
05/10/2018 10:27 - JENS | ID =  | CI = 25458 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 14.50
05/10/2018 11:31 - JENS | ID =  | CI = 25462 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 148.50
05/10/2018 14:52 - JENS | ID =  | CI = 25463 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 34.40
