03/12/2018 07:20 - SANDRA | ID =  | CI = 25861 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 126.90
03/12/2018 09:48 - NORIVAL | ID =  | CI = 25867 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 20.00
03/12/2018 09:48 - NORIVAL | ID =  | CI = 25867 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 83.70
03/12/2018 09:48 - NORIVAL | ID =  | CI = 25867 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 15.00
03/12/2018 10:02 - NORIVAL | ID =  | CI = 25868 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 0.40
03/12/2018 10:03 - NORIVAL | ID = 25632 | CI = 25868 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 40.00
03/12/2018 11:32 - LUZMARINA | ID =  | CI = 25873 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 22.00
05/12/2018 08:29 - NORIVAL | ID =  | CI = 25895 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 28.60
05/12/2018 08:29 - NORIVAL | ID =  | CI = 25895 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 4.50
05/12/2018 08:35 - NORIVAL | ID =  | CI = 25896 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 16.20
05/12/2018 08:35 - NORIVAL | ID =  | CI = 25896 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.10
05/12/2018 08:37 - NORIVAL | ID = 25650 | CI = 25896 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 16.20
05/12/2018 08:37 - NORIVAL | ID = 25651 | CI = 25896 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 10.00
05/12/2018 09:01 - ROGERINHO | ID =  | CI = 25899 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 30.00
05/12/2018 09:01 - ROGERINHO | ID =  | CI = 25899 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 34.30
05/12/2018 09:07 - ROGERINHO | ID =  | CI = 25900 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 80.00
05/12/2018 09:07 - ROGERINHO | ID =  | CI = 25900 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 122.37
05/12/2018 09:09 - ROGERINHO | ID =  | CI = 25901 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 12.00
05/12/2018 09:24 - ROGERINHO | ID =  | CI = 25902 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 298.05
05/12/2018 09:24 - ROGERINHO | ID =  | CI = 25902 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 252.14
06/12/2018 15:49 - NORIVAL | ID =  | CI = 25919 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 28.60
07/12/2018 08:28 - VELOSA | ID =  | CI = 25921 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 9.00
08/12/2018 12:17 - NORIVAL | ID =  | CI = 25936 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 28.60
10/12/2018 07:16 - SANDRA | ID =  | CI = 25937 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 135.27
10/12/2018 08:21 - STEFANIAESTEVO | ID =  | CI = 25940 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 45.65
10/12/2018 13:51 - ROGERINHO | ID =  | CI = 25947 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 85.12
11/12/2018 08:24 - LUZMARINA | ID =  | CI = 25950 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 26.00
11/12/2018 15:44 - NORIVAL | ID =  | CI = 25957 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 128.00
11/12/2018 15:44 - NORIVAL | ID =  | CI = 25957 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 95.58
12/12/2018 13:27 - ELTON | ID =  | CI = 25969 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 2.85
12/12/2018 13:27 - ELTON | ID =  | CI = 25969 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 112.70
12/12/2018 16:30 - CAIOVALENCA | ID =  | CI = 25977 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 20.00
12/12/2018 16:30 - CAIOVALENCA | ID =  | CI = 25977 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 0.00
12/12/2018 16:30 - CAIOVALENCA | ID =  | CI = 25977 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 15.30
12/12/2018 16:30 - CAIOVALENCA | ID =  | CI = 25977 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
12/12/2018 16:30 - CAIOVALENCA | ID =  | CI = 25977 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
12/12/2018 16:30 - CAIOVALENCA | ID =  | CI = 25977 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
12/12/2018 16:41 - PARDAL | ID =  | CI = 25978 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 124.10
13/12/2018 08:41 - ROGERINHO | ID =  | CI = 25982 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 21.40
