02/01/2019 07:35 - ROGERINHO | ID =  | CI = 26128 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 284.01
02/01/2019 07:35 - ROGERINHO | ID =  | CI = 26128 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 115.22
02/01/2019 07:40 - ROGERINHO | ID = 26028 | CI = 26128 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 284.01
02/01/2019 07:40 - ROGERINHO | ID = 26029 | CI = 26128 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 115.22
03/01/2019 13:48 - MAURICIOFERREIRA | ID =  | CI = 26148 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 32.40
03/01/2019 13:48 - MAURICIOFERREIRA | ID =  | CI = 26148 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 0.00
03/01/2019 13:48 - MAURICIOFERREIRA | ID =  | CI = 26148 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 102.00
03/01/2019 14:02 - MAURICIOFERREIRA | ID =  | CI = 26149 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 74.25
04/01/2019 07:59 - SANDRA | ID =  | CI = 26153 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 99.70
04/01/2019 08:48 - ELTON | ID =  | CI = 26155 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 126.00
04/01/2019 08:58 - ELTON | ID =  | CI = 26156 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 299.00
05/01/2019 09:35 - ROGERINHO | ID =  | CI = 26163 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 110.00
05/01/2019 09:35 - ROGERINHO | ID =  | CI = 26163 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 81.89
05/01/2019 09:46 - ROGERINHO | ID =  | CI = 26164 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 153.03
05/01/2019 09:46 - ROGERINHO | ID =  | CI = 26164 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 250.35
07/01/2019 16:00 - ROGERINHO | ID =  | CI = 26174 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 65.02
07/01/2019 16:00 - ROGERINHO | ID =  | CI = 26174 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 77.51
07/01/2019 16:00 - ROGERINHO | ID =  | CI = 26174 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 96.25
08/01/2019 09:38 - ELTON | ID =  | CI = 26186 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 142.60
08/01/2019 09:38 - ELTON | ID =  | CI = 26186 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 67.00
08/01/2019 11:38 - LUZMARINA | ID =  | CI = 26190 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 16.50
09/01/2019 07:47 - ROGERINHO | ID =  | CI = 26195 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 93.78
09/01/2019 07:47 - ROGERINHO | ID =  | CI = 26195 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 78.30
09/01/2019 11:32 - STEFANIAESTEVO | ID =  | CI = 26199 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 37.49
10/01/2019 07:29 - ROGERINHO | ID =  | CI = 26203 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 10.07
10/01/2019 07:40 - ROGERINHO | ID =  | CI = 26204 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 74.44
10/01/2019 07:40 - ROGERINHO | ID =  | CI = 26204 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 14.70
10/01/2019 18:25 - NORIVAL | ID =  | CI = 26213 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 28.60
10/01/2019 18:30 - NORIVAL | ID =  | CI = 26214 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 48.60
11/01/2019 07:48 - ROGERINHO | ID =  | CI = 26215 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 311.25
11/01/2019 11:00 - SANDRA | ID =  | CI = 26221 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 106.70
14/01/2019 07:21 - ROGERINHO | ID =  | CI = 26229 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 226.67
14/01/2019 07:21 - ROGERINHO | ID =  | CI = 26229 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 57.20
14/01/2019 07:21 - ROGERINHO | ID =  | CI = 26229 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
14/01/2019 07:21 - ROGERINHO | ID =  | CI = 26229 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 300.00
14/01/2019 07:26 - ROGERINHO | ID =  | CI = 26230 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 23.00
14/01/2019 07:28 - ROGERINHO | ID =  | CI = 26231 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 36.00
14/01/2019 07:39 - ALEXZG | ID =  | CI = 26232 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 338.40
14/01/2019 07:39 - ALEXZG | ID =  | CI = 26232 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 65.00
14/01/2019 07:39 - ALEXZG | ID =  | CI = 26232 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 500.00
14/01/2019 11:09 - PARDAL | ID =  | CI = 26239 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 75.80
15/01/2019 07:17 - ROGERINHO | ID =  | CI = 26245 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 290.01
15/01/2019 07:17 - ROGERINHO | ID =  | CI = 26245 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 197.26
15/01/2019 07:17 - ROGERINHO | ID =  | CI = 26245 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 171.36
16/01/2019 09:40 - ELTON | ID =  | CI = 26268 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 91.00
16/01/2019 11:44 - STEFANIAESTEVO | ID =  | CI = 26276 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 30.50
16/01/2019 11:45 - STEFANIAESTEVO | ID = 26229 | CI = 26276 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 30.50
16/01/2019 11:49 - OTAVIOGIRO | ID =  | CI = 26278 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 71.50
16/01/2019 11:49 - OTAVIOGIRO | ID =  | CI = 26278 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 150.00
16/01/2019 11:51 - STEFANIAESTEVO | ID =  | CI = 26279 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 30.00
16/01/2019 15:33 - GENAILDOTORRES | ID =  | CI = 26283 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 100.00
16/01/2019 15:33 - GENAILDOTORRES | ID =  | CI = 26283 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 0.00
16/01/2019 15:33 - GENAILDOTORRES | ID =  | CI = 26283 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 39.00
16/01/2019 15:33 - GENAILDOTORRES | ID =  | CI = 26283 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 26.60
16/01/2019 15:33 - GENAILDOTORRES | ID =  | CI = 26283 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 58.00
16/01/2019 15:33 - GENAILDOTORRES | ID =  | CI = 26283 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
16/01/2019 15:50 - ROGERINHO | ID =  | CI = 26285 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 67.80
