01/02/2019 06:52 - KLEBER | ID =  | CI = 26448 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 0.00
01/02/2019 06:52 - KLEBER | ID =  | CI = 26448 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 0.00
01/02/2019 06:52 - KLEBER | ID =  | CI = 26448 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 140.47
01/02/2019 06:52 - KLEBER | ID =  | CI = 26448 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
01/02/2019 06:52 - KLEBER | ID =  | CI = 26448 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
01/02/2019 06:52 - KLEBER | ID =  | CI = 26448 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
01/02/2019 13:29 - MICHELAAUGUSTO | ID =  | CI = 26456 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 57.17
01/02/2019 13:29 - MICHELAAUGUSTO | ID =  | CI = 26456 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 230.20
01/02/2019 13:29 - MICHELAAUGUSTO | ID =  | CI = 26456 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 450.00
01/02/2019 14:34 - KLEBER | ID =  | CI = 26457 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 0.00
01/02/2019 14:34 - KLEBER | ID =  | CI = 26457 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 0.00
01/02/2019 14:34 - KLEBER | ID =  | CI = 26457 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 90.00
01/02/2019 14:34 - KLEBER | ID =  | CI = 26457 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
01/02/2019 14:34 - KLEBER | ID =  | CI = 26457 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
01/02/2019 14:34 - KLEBER | ID =  | CI = 26457 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
01/02/2019 15:00 - ROGERINHO | ID =  | CI = 26458 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 96.00
02/02/2019 09:07 - NORIVAL | ID =  | CI = 26461 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 24.80
02/02/2019 09:22 - NORIVAL | ID =  | CI = 26462 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 80.00
02/02/2019 09:22 - NORIVAL | ID =  | CI = 26462 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 117.39
04/02/2019 07:05 - SANDRA | ID =  | CI = 26464 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 127.06
04/02/2019 07:51 - OSVALDOFLORES | ID =  | CI = 26467 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 52.70
04/02/2019 07:51 - OSVALDOFLORES | ID =  | CI = 26467 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 7.20
04/02/2019 07:51 - OSVALDOFLORES | ID =  | CI = 26467 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 0.00
04/02/2019 07:51 - OSVALDOFLORES | ID =  | CI = 26467 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
04/02/2019 07:51 - OSVALDOFLORES | ID =  | CI = 26467 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
04/02/2019 07:51 - OSVALDOFLORES | ID =  | CI = 26467 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
04/02/2019 09:35 - ELTON | ID =  | CI = 26469 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 91.00
04/02/2019 09:39 - ELTON | ID =  | CI = 26470 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 102.00
04/02/2019 10:52 - ELTON | ID =  | CI = 26472 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 39.80
04/02/2019 10:52 - ELTON | ID =  | CI = 26472 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 178.50
04/02/2019 16:01 - ELTON | ID =  | CI = 26483 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 62.90
05/02/2019 07:14 - OTAVIOGIRO | ID =  | CI = 26488 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 19.18
05/02/2019 07:24 - PARDAL | ID =  | CI = 26489 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 68.80
06/02/2019 07:53 - OSVALDOFLORES | ID = 26489 | CI = 26467 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 52.70
06/02/2019 07:53 - OSVALDOFLORES | ID = 26490 | CI = 26467 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 7.20
06/02/2019 07:53 - OSVALDOFLORES | ID = 26491 | CI = 26467 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 0.00
06/02/2019 07:53 - OSVALDOFLORES | ID = 26492 | CI = 26467 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
06/02/2019 07:53 - OSVALDOFLORES | ID = 26493 | CI = 26467 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
06/02/2019 07:53 - OSVALDOFLORES | ID = 26494 | CI = 26467 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
06/02/2019 08:11 - SIDINEI | ID =  | CI = 26498 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 124.84
06/02/2019 08:11 - SIDINEI | ID =  | CI = 26498 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 0.00
