03/05/2019 13:25 - OTAVIOGIRO | ID =  | CI = 27256 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 10.00
06/05/2019 12:39 - CINTIAFERREIRA | ID =  | CI = 27271 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 178.50
06/05/2019 12:39 - CINTIAFERREIRA | ID =  | CI = 27271 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 39.80
06/05/2019 12:39 - CINTIAFERREIRA | ID =  | CI = 27271 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 0.00
06/05/2019 12:39 - CINTIAFERREIRA | ID =  | CI = 27271 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
06/05/2019 12:39 - CINTIAFERREIRA | ID =  | CI = 27271 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
06/05/2019 12:39 - CINTIAFERREIRA | ID =  | CI = 27271 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
07/05/2019 15:50 - SANDRA | ID =  | CI = 27278 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 57.90
07/05/2019 15:50 - SANDRA | ID =  | CI = 27278 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 45.00
08/05/2019 07:34 - CAIOAUGUSTO | ID =  | CI = 27283 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 28.60
08/05/2019 07:34 - CAIOAUGUSTO | ID =  | CI = 27283 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 45.00
08/05/2019 08:14 - MATHEUSRODRIGUES | ID =  | CI = 27284 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 113.00
08/05/2019 09:14 - LUZMARINA | ID =  | CI = 27285 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 80.00
08/05/2019 09:14 - LUZMARINA | ID =  | CI = 27285 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 87.50
08/05/2019 09:24 - LUZMARINA | ID =  | CI = 27286 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 60.00
08/05/2019 09:29 - LUZMARINA | ID =  | CI = 27287 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 65.70
08/05/2019 11:19 - ROBERTA | ID =  | CI = 27289 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 165.40
08/05/2019 11:19 - ROBERTA | ID =  | CI = 27289 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
08/05/2019 11:52 - TIAGOBOGANHA | ID =  | CI = 27292 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 116.80
08/05/2019 11:52 - TIAGOBOGANHA | ID =  | CI = 27292 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 0.00
08/05/2019 11:52 - TIAGOBOGANHA | ID =  | CI = 27292 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 201.50
08/05/2019 11:52 - TIAGOBOGANHA | ID =  | CI = 27292 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
08/05/2019 11:52 - TIAGOBOGANHA | ID =  | CI = 27292 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 20.00
08/05/2019 12:24 - TIAGOBOGANHA | ID =  | CI = 27293 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 240.00
08/05/2019 12:24 - TIAGOBOGANHA | ID =  | CI = 27293 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
08/05/2019 13:48 - GENAILDOTORRES | ID =  | CI = 27295 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 566.33
08/05/2019 13:48 - GENAILDOTORRES | ID =  | CI = 27295 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 53.98
09/05/2019 08:17 - NORIVAL | ID =  | CI = 27298 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 14.40
09/05/2019 08:29 - NORIVAL | ID =  | CI = 27300 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 59.40
09/05/2019 09:28 - CAIOAUGUSTO | ID =  | CI = 27302 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 50.00
09/05/2019 09:59 - OTAVIOGIRO | ID =  | CI = 27304 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 24.90
09/05/2019 10:03 - OTAVIOGIRO | ID =  | CI = 27305 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 32.00
09/05/2019 10:09 - OTAVIOGIRO | ID =  | CI = 27306 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 100.00
09/05/2019 10:09 - OTAVIOGIRO | ID =  | CI = 27306 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 182.99
09/05/2019 10:18 - OTAVIOGIRO | ID =  | CI = 27307 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 41.70
09/05/2019 10:18 - OTAVIOGIRO | ID =  | CI = 27307 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 16.65
09/05/2019 15:16 - ROBERTA | ID =  | CI = 27310 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 116.80
09/05/2019 15:16 - ROBERTA | ID =  | CI = 27310 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 0.00
09/05/2019 15:16 - ROBERTA | ID =  | CI = 27310 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 441.50
09/05/2019 15:16 - ROBERTA | ID =  | CI = 27310 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
09/05/2019 15:16 - ROBERTA | ID =  | CI = 27310 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 20.00
09/05/2019 15:16 - ROBERTA | ID =  | CI = 27310 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
10/05/2019 07:17 - VELOSA | ID =  | CI = 27311 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 6.00
10/05/2019 07:17 - VELOSA | ID =  | CI = 27311 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
10/05/2019 07:55 - ELTON | ID =  | CI = 27312 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 83.97
10/05/2019 07:55 - ELTON | ID =  | CI = 27312 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 72.20
10/05/2019 07:55 - ELTON | ID =  | CI = 27312 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 22.75
10/05/2019 07:55 - ELTON | ID =  | CI = 27312 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 500.00
11/05/2019 12:42 - NORIVAL | ID =  | CI = 27316 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 295.03
11/05/2019 12:42 - NORIVAL | ID =  | CI = 27316 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 72.60
11/05/2019 12:42 - NORIVAL | ID =  | CI = 27316 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 188.17
11/05/2019 12:42 - NORIVAL | ID =  | CI = 27316 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 247.93
11/05/2019 12:42 - NORIVAL | ID =  | CI = 27316 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 85.00
13/05/2019 07:25 - SANDRA | ID =  | CI = 27317 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 182.93
13/05/2019 07:25 - SANDRA | ID =  | CI = 27317 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 5.00
13/05/2019 10:29 - OTAVIOGIRO | ID =  | CI = 27321 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 150.00
13/05/2019 10:29 - OTAVIOGIRO | ID =  | CI = 27321 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 119.80
13/05/2019 10:29 - OTAVIOGIRO | ID =  | CI = 27321 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 500.00
14/05/2019 08:42 - NORIVAL | ID =  | CI = 27328 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 14.30
14/05/2019 10:27 - JENS | ID =  | CI = 27331 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 20.00
14/05/2019 10:27 - JENS | ID =  | CI = 27331 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 131.00
14/05/2019 10:27 - JENS | ID =  | CI = 27331 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 70.60
14/05/2019 11:46 - KLEBER | ID =  | CI = 27332 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 0.00
14/05/2019 11:46 - KLEBER | ID =  | CI = 27332 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 0.00
14/05/2019 11:46 - KLEBER | ID =  | CI = 27332 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 208.79
14/05/2019 11:46 - KLEBER | ID =  | CI = 27332 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
14/05/2019 11:46 - KLEBER | ID =  | CI = 27332 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 155.00
14/05/2019 11:46 - KLEBER | ID =  | CI = 27332 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
14/05/2019 14:09 - STEFANIAESTEVO | ID =  | CI = 27333 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 69.00
15/05/2019 08:55 - CAMACETI | ID =  | CI = 27337 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 100.00
15/05/2019 08:55 - CAMACETI | ID =  | CI = 27337 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 100.00
15/05/2019 11:31 - CINTIAFERREIRA | ID =  | CI = 27345 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 178.50
15/05/2019 11:31 - CINTIAFERREIRA | ID =  | CI = 27345 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 39.80
15/05/2019 11:31 - CINTIAFERREIRA | ID =  | CI = 27345 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 0.00
15/05/2019 11:31 - CINTIAFERREIRA | ID =  | CI = 27345 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
