01/04/2015 07:07 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 01/04/2015 7:07
01/04/2015 07:15 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 01/04/2015 7:15
01/04/2015 07:17 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 01/04/2015 7:17
01/04/2015 07:19 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 01/04/2015 7:19
01/04/2015 07:22 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 01/04/2015 7:22
01/04/2015 07:39 - ROBSONMANFRIM | ID_USUARIO = 11234 | DATA_LOGIN = 01/04/2015 7:39
01/04/2015 07:58 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/04/2015 7:58
01/04/2015 08:06 - LUCIANOHENRIQUE | ID_USUARIO = 11110 | DATA_LOGIN = 01/04/2015 8:06
01/04/2015 08:10 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 01/04/2015 8:10
01/04/2015 08:25 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 01/04/2015 8:25
01/04/2015 08:28 - MONICA | ID_USUARIO = 10876 | DATA_LOGIN = 01/04/2015 8:28
01/04/2015 08:30 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 01/04/2015 8:30
01/04/2015 08:30 - MONICA | ID_USUARIO = 10876 | DATA_LOGIN = 01/04/2015 8:30
01/04/2015 08:33 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 01/04/2015 8:33
01/04/2015 08:33 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 01/04/2015 8:33
01/04/2015 08:44 - REGI | ID_USUARIO = 10864 | DATA_LOGIN = 01/04/2015 8:44
01/04/2015 09:03 - BRUNOFAZOLO | ID_USUARIO = 11372 | DATA_LOGIN = 01/04/2015 9:03
01/04/2015 09:23 - LUIDE | ID_USUARIO = 10836 | DATA_LOGIN = 01/04/2015 9:23
01/04/2015 09:25 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 01/04/2015 9:25
01/04/2015 09:40 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 01/04/2015 9:40
01/04/2015 09:42 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 01/04/2015 9:42
01/04/2015 09:56 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 01/04/2015 9:56
01/04/2015 10:09 - CAMARA | ID_USUARIO = 10841 | DATA_LOGIN = 01/04/2015 10:09
01/04/2015 10:13 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 01/04/2015 10:13
01/04/2015 10:19 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 01/04/2015 10:19
01/04/2015 10:25 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 01/04/2015 10:25
01/04/2015 10:31 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 01/04/2015 10:31
01/04/2015 10:35 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 01/04/2015 10:35
01/04/2015 10:36 - REGI | ID_USUARIO = 10864 | DATA_LOGIN = 01/04/2015 10:36
01/04/2015 10:51 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 01/04/2015 10:51
01/04/2015 10:52 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 01/04/2015 10:52
01/04/2015 10:53 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 01/04/2015 10:53
01/04/2015 10:56 - HEITOR | ID_USUARIO = 10996 | DATA_LOGIN = 01/04/2015 10:56
01/04/2015 10:58 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 01/04/2015 10:58
01/04/2015 10:59 - ADRIANAP | ID_USUARIO = 11103 | DATA_LOGIN = 01/04/2015 10:59
01/04/2015 11:00 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 01/04/2015 11:00
01/04/2015 11:02 - TIAGOLIMA | ID_USUARIO = 11092 | DATA_LOGIN = 01/04/2015 11:02
01/04/2015 11:03 - CABRAL | ID_USUARIO = 10975 | DATA_LOGIN = 01/04/2015 11:03
01/04/2015 11:09 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 01/04/2015 11:09
01/04/2015 11:09 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 01/04/2015 11:09
01/04/2015 11:09 - OSNY | ID_USUARIO = 10826 | DATA_LOGIN = 01/04/2015 11:09
01/04/2015 11:14 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 01/04/2015 11:14
01/04/2015 11:15 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 01/04/2015 11:15
01/04/2015 11:18 - ELTON | ID_USUARIO = 10942 | DATA_LOGIN = 01/04/2015 11:18
01/04/2015 11:19 - SYLVIO | ID_USUARIO = 10914 | DATA_LOGIN = 01/04/2015 11:19
01/04/2015 11:21 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 01/04/2015 11:21
