01/05/2015 10:04 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 01/05/2015 10:04
01/05/2015 10:54 - CABRAL | ID_USUARIO = 10975 | DATA_LOGIN = 01/05/2015 10:54
02/05/2015 07:02 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 02/05/2015 7:02
02/05/2015 08:00 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 02/05/2015 8:00
02/05/2015 09:31 - EDENILSON | ID_USUARIO = 10976 | DATA_LOGIN = 02/05/2015 9:31
02/05/2015 14:39 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/05/2015 14:39
02/05/2015 14:40 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/05/2015 14:40
03/05/2015 01:27 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/05/2015 1:27
03/05/2015 12:55 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/05/2015 12:55
03/05/2015 12:59 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/05/2015 12:59
03/05/2015 13:11 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/05/2015 13:11
03/05/2015 13:17 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/05/2015 13:17
03/05/2015 13:36 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/05/2015 13:36
03/05/2015 13:46 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/05/2015 13:46
03/05/2015 14:39 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/05/2015 14:39
03/05/2015 15:03 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/05/2015 15:03
04/05/2015 05:19 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/05/2015 5:19
04/05/2015 07:14 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 04/05/2015 7:14
04/05/2015 07:16 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 04/05/2015 7:16
04/05/2015 07:22 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 04/05/2015 7:22
04/05/2015 07:35 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 04/05/2015 7:35
04/05/2015 07:43 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 04/05/2015 7:43
04/05/2015 07:43 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 04/05/2015 7:43
04/05/2015 07:44 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/05/2015 7:44
04/05/2015 07:45 - ACYRNETO | ID_USUARIO = 11327 | DATA_LOGIN = 04/05/2015 7:45
04/05/2015 07:48 - TIAGOLIMA | ID_USUARIO = 11092 | DATA_LOGIN = 04/05/2015 7:48
04/05/2015 07:56 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 04/05/2015 7:56
04/05/2015 08:28 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 04/05/2015 8:28
04/05/2015 08:31 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 04/05/2015 8:31
04/05/2015 08:32 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/05/2015 8:32
04/05/2015 08:37 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 04/05/2015 8:37
04/05/2015 08:49 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 04/05/2015 8:49
04/05/2015 08:53 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 04/05/2015 8:53
04/05/2015 08:54 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 04/05/2015 8:54
04/05/2015 08:58 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 04/05/2015 8:58
04/05/2015 08:58 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 04/05/2015 8:58
04/05/2015 09:00 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/05/2015 9:00
04/05/2015 09:06 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/05/2015 9:06
04/05/2015 09:08 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 04/05/2015 9:08
04/05/2015 09:08 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 04/05/2015 9:08
04/05/2015 09:29 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 04/05/2015 9:29
04/05/2015 09:47 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 04/05/2015 9:47
04/05/2015 09:48 - HEITOR | ID_USUARIO = 10996 | DATA_LOGIN = 04/05/2015 9:48
04/05/2015 10:01 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 04/05/2015 10:01
04/05/2015 10:16 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/05/2015 10:16
04/05/2015 10:23 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/05/2015 10:23
04/05/2015 10:43 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 04/05/2015 10:43
04/05/2015 10:47 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 04/05/2015 10:47
04/05/2015 11:24 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/05/2015 11:24
04/05/2015 12:06 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/05/2015 12:06
04/05/2015 12:40 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/05/2015 12:40
04/05/2015 12:55 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 04/05/2015 12:55
04/05/2015 13:02 - FERNANDOPIRES | ID_USUARIO = 11220 | DATA_LOGIN = 04/05/2015 13:02
04/05/2015 13:16 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 04/05/2015 13:16
04/05/2015 13:33 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 04/05/2015 13:33
