01/10/2015 07:09 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 01/10/2015 7:09
01/10/2015 07:09 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 01/10/2015 7:09
01/10/2015 07:18 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 01/10/2015 7:18
01/10/2015 07:23 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/10/2015 7:23
01/10/2015 07:24 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 01/10/2015 7:24
01/10/2015 07:24 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 01/10/2015 7:24
01/10/2015 07:30 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 01/10/2015 7:30
01/10/2015 07:47 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 01/10/2015 7:47
01/10/2015 07:58 - TIAGOLIMA | ID_USUARIO = 11092 | DATA_LOGIN = 01/10/2015 7:58
01/10/2015 08:08 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 01/10/2015 8:08
01/10/2015 08:21 - TIAGOLIMA | ID_USUARIO = 11092 | DATA_LOGIN = 01/10/2015 8:21
01/10/2015 08:29 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 01/10/2015 8:29
01/10/2015 08:29 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 01/10/2015 8:29
01/10/2015 08:46 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 01/10/2015 8:46
01/10/2015 08:48 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 01/10/2015 8:48
01/10/2015 09:07 - FERNANDOPIRES | ID_USUARIO = 11220 | DATA_LOGIN = 01/10/2015 9:07
01/10/2015 09:23 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 01/10/2015 9:23
01/10/2015 09:48 - OSNY | ID_USUARIO = 10826 | DATA_LOGIN = 01/10/2015 9:48
01/10/2015 10:07 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 01/10/2015 10:07
01/10/2015 10:12 - HEITOR | ID_USUARIO = 10996 | DATA_LOGIN = 01/10/2015 10:12
01/10/2015 10:21 - BRUNOCAMAROTTI | ID_USUARIO = 11392 | DATA_LOGIN = 01/10/2015 10:21
01/10/2015 10:25 - JULIANACORREA | ID_USUARIO = 11504 | DATA_LOGIN = 01/10/2015 10:25
01/10/2015 10:48 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 01/10/2015 10:48
01/10/2015 10:56 - GRAZIELA | ID_USUARIO = 10984 | DATA_LOGIN = 01/10/2015 10:56
01/10/2015 11:07 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 01/10/2015 11:07
01/10/2015 11:25 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 01/10/2015 11:25
01/10/2015 11:42 - TOM | ID_USUARIO = 10831 | DATA_LOGIN = 01/10/2015 11:42
01/10/2015 11:57 - JACKSON | ID_USUARIO = 10863 | DATA_LOGIN = 01/10/2015 11:57
01/10/2015 12:00 - JACKSON | ID_USUARIO = 10863 | DATA_LOGIN = 01/10/2015 12:00
01/10/2015 12:01 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 01/10/2015 12:01
01/10/2015 12:06 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 01/10/2015 12:06
01/10/2015 12:36 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 01/10/2015 12:36
01/10/2015 12:49 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 01/10/2015 12:49
01/10/2015 12:56 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 01/10/2015 12:56
01/10/2015 13:11 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 01/10/2015 13:11
01/10/2015 13:23 - GRAZIELA | ID_USUARIO = 10984 | DATA_LOGIN = 01/10/2015 13:23
01/10/2015 13:32 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 01/10/2015 13:32
01/10/2015 13:37 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 01/10/2015 13:37
01/10/2015 13:41 - GRAZIELA | ID_USUARIO = 10984 | DATA_LOGIN = 01/10/2015 13:41
01/10/2015 13:48 - JG | ID_USUARIO = 10849 | DATA_LOGIN = 01/10/2015 13:48
01/10/2015 13:54 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/10/2015 13:54
01/10/2015 14:16 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 01/10/2015 14:16
01/10/2015 14:31 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 01/10/2015 14:31
01/10/2015 14:32 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 01/10/2015 14:32
01/10/2015 14:36 - ACIR | ID_USUARIO = 10839 | DATA_LOGIN = 01/10/2015 14:36
01/10/2015 15:22 - TOM | ID_USUARIO = 10831 | DATA_LOGIN = 01/10/2015 15:22
01/10/2015 15:34 - GRAZIELA | ID_USUARIO = 10984 | DATA_LOGIN = 01/10/2015 15:34
01/10/2015 15:34 - MARCELOGODOI | ID_USUARIO = 11316 | DATA_LOGIN = 01/10/2015 15:34
01/10/2015 15:54 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 01/10/2015 15:54
01/10/2015 16:16 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 01/10/2015 16:16
01/10/2015 16:20 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 01/10/2015 16:20
01/10/2015 16:30 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 01/10/2015 16:30
01/10/2015 16:32 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 01/10/2015 16:32
01/10/2015 17:01 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 01/10/2015 17:01
01/10/2015 18:10 - TOM | ID_USUARIO = 10831 | DATA_LOGIN = 01/10/2015 18:10
01/10/2015 18:31 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 01/10/2015 18:31
02/10/2015 00:49 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/10/2015 0:49
02/10/2015 07:28 - MICHELSANTOS | ID_USUARIO = 11324 | DATA_LOGIN = 02/10/2015 7:28
02/10/2015 07:39 - MARCELOGODOI | ID_USUARIO = 11316 | DATA_LOGIN = 02/10/2015 7:39
02/10/2015 07:44 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 02/10/2015 7:44
02/10/2015 07:48 - DORACI | ID_USUARIO = 10886 | DATA_LOGIN = 02/10/2015 7:48
02/10/2015 07:48 - VALDINEI | ID_USUARIO = 11172 | DATA_LOGIN = 02/10/2015 7:48
02/10/2015 07:53 - ADRIANAP | ID_USUARIO = 11103 | DATA_LOGIN = 02/10/2015 7:53
02/10/2015 07:56 - VALDINEI | ID_USUARIO = 11172 | DATA_LOGIN = 02/10/2015 7:56
02/10/2015 08:09 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 02/10/2015 8:09
02/10/2015 08:13 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 02/10/2015 8:13
